seq,rtt_ms,status
2657,15.25,ok
2658,5.39,ok
2659,8.33,ok
2660,5.73,ok
2661,6.52,ok
2662,6.57,ok
2663,7.62,ok
2664,7.64,ok
2665,6.15,ok
2666,12.63,ok
2667,6.15,ok
2668,9.97,ok
2669,6.10,ok
2670,5.76,ok
2671,5.37,ok
2672,6.44,ok
2673,7.97,ok
2674,5.62,ok
2675,7.39,ok
2676,6.57,ok
2677,4.81,ok
2678,6.69,ok
2679,6.74,ok
2680,7.90,ok
2681,5.62,ok
2682,6.40,ok
2683,5.68,ok
2684,5.80,ok
2685,5.59,ok
2686,8.47,ok
2687,6.19,ok
2688,5.92,ok
2689,6.08,ok
2690,5.55,ok
2691,7.48,ok
2692,7.76,ok
2693,5.28,ok
2694,5.61,ok
2695,8.23,ok
2696,6.50,ok
2697,5.51,ok
2698,5.52,ok
2699,8.17,ok
2700,5.88,ok
2701,5.89,ok
2702,6.07,ok
2703,5.50,ok
2704,8.70,ok
2705,6.49,ok
2706,8.28,ok
2707,6.31,ok
2708,6.03,ok
2709,5.32,ok
2710,6.43,ok
2711,6.49,ok
