frame,time_s,detected,confidence,center_x,center_y,axis_angle_deg,chord_angle_deg,start_segment_angle_deg,end_segment_angle_deg,body_bend_angle_deg,yaw_rate_deg_s,speed_px_s,curvature_px,curvature_pct_length,length_px,width_px,elongation,area_px,bbox_x,bbox_y,bbox_w,bbox_h,seg1_x,seg1_y,seg2_x,seg2_y,seg3_x,seg3_y,seg4_x,seg4_y,seg5_x,seg5_y,seg6_x,seg6_y,seg7_x,seg7_y
0,0.0,1,1.0,400.3006407226511,637.5067748542618,155.60855667329062,162.16886895374523,152.93322153251574,-177.13471080878298,29.93206765870127,,,46.630124058832564,0.11119078350510811,419.3704063312979,120.74522195102934,6.428934249964637,38082,197,523,401,214,563.6544775681582,554.4299537005569,506.50281200029957,569.3812863566566,457.39815332886934,608.7263414531311,411.7887284263854,645.4804378675612,360.24273911015365,668.8433723954139,300.75450761578617,679.1861969278077,228.4666571697253,662.2479187915966
3,0.2,1,1.0,385.67812836047943,646.1299866236525,159.6368992585886,160.40453065263262,154.69085996604525,170.57044399540982,15.879584029364565,20.14171292648996,84.87897987747333,24.454628492844737,0.057653743348585244,424.1637588905114,118.98316126365984,6.732703860971894,38127,195,542,401,199,565.7064302757408,567.8206000302953,504.8033591721249,582.970205430187,457.00127109782693,619.2265107548055,405.0005790201608,650.9890743510169,349.7540978166068,667.8335974745252,293.40148419473854,667.1807467399365,227.93665743393802,688.0649111591018
6,0.4,1,0.7757711102946538,399.5719502540923,629.4218953497281,144.32878997463268,152.3015778343944,128.30276634200087,175.3605660209505,47.057799678949635,-76.54054641977964,108.65065586884715,52.04267630073791,0.13994242669665422,371.8863358968904,142.27120791957833,3.8788555514732765,39159,192,465,373,276,498.40258608551306,542.0055473087649,466.2656574913947,572.2079125743525,430.69215428867335,627.7333143978852,390.92610379494243,657.2064771932625,341.71220131326436,678.2709626432243,286.27289744539604,680.4452055894911,220.02790124134046,688.1457453542648
9,0.6,1,0.8078933383001647,414.0099639561435,601.9094940650299,144.68185944965174,157.5775071409928,157.6495497060655,-178.4445183632329,23.905931930701627,1.7653473750952746,155.35350527996462,57.196756211482146,0.1315072796769604,434.932243690102,165.02900359318238,4.039466691500822,52991,195,457,401,284,551.9241491955275,524.7666141376686,489.6007765053255,527.49354967167,442.39644544541295,569.7999037732488,412.1592791643981,634.8041780942181,360.27018220895457,665.7234227238713,294.1560787056369,668.100109778867,219.5769500231113,661.9029053662427
12,0.8,1,0.57059741639735,402.08695754884127,626.1600009449339,149.7613916449691,161.90234440943613,167.83470333449182,179.45097481799894,11.61627148350712,25.39766097658684,135.1152439328038,34.6858716916845,0.09354169055371499,370.8065514570386,152.03105947427326,2.852987081986751,42331,205,503,369,239,527.7606919324467,579.7274166505927,473.88864976035,573.5674097797686,429.97115509257657,600.8082723628711,391.38001523870713,637.2809847759563,352.04991964875614,673.6417374549526,296.3713252472906,670.7835484751156,237.01663814317402,674.7440542735927
15,1.0,1,0.7208264320374668,396.10276073619633,609.7840299079754,140.77641084382165,151.24679189349786,145.52923221932446,171.28440106700992,25.755168847685468,-44.9249040057373,87.17554687178249,48.96876853288364,0.11132339364382274,439.87851007810957,173.815452537376,3.6041321601873313,52160,160,384,410,358,522.3878942982493,525.0508432890745,464.8042242692857,539.1808802464993,423.2516550625088,593.1108484384746,390.62378582799397,647.0631023212868,338.5499325928515,681.7769931675454,255.26682155813918,673.6903357114223,197.28286031017896,703.4332554497624
18,1.2,1,0.5325025155031704,406.228134515792,597.0202040408082,143.40546837486946,154.15114609568695,145.58537325953674,174.6904419324002,29.105068672863467,13.145287655239034,81.46140879948804,45.72784106579281,0.11234550310921126,407.028673157845,182.48093695262338,2.6625125775158542,44991,182,384,433,347,522.8535008898964,520.851295597871,481.681499037787,538.434114824635,436.04512792890705,580.3227853888053,394.5382539766016,627.7530640864328,350.424083786067,655.2000754063282,282.05315297266816,644.3377360869796,220.64875698073357,667.2608042131727
21,1.4,1,0.6458682148959939,424.1421844090822,597.1313306373964,147.16959615137267,154.02728293182278,151.7986928217337,164.56707782807425,12.768385006340537,18.820638882516082,89.57197283466498,22.26477136969789,0.05048166509622456,441.04669145239893,189.4446871927447,3.2293410744799704,57123,204,384,412,347,556.2137158172978,530.5230540724438,509.45567398007523,551.2539226204485,453.0093804260546,585.8637647285454,401.43156606342944,626.1721967218658,352.42938586982945,654.5612985325329,287.49784599668334,662.4212739755652,235.09858429521728,686.9521305569889
24,1.6,1,0.45973552636113924,399.9895650134834,609.181967405323,141.75410693583987,134.45330660092353,96.63108707194361,173.11345013394117,76.48236306199756,-27.077446077663982,134.95988942841095,99.83369512371901,0.2501419654195666,399.1081422753937,180.40772855839117,2.298677631805696,42645,198,399,368,332,458.64948601105345,444.76437448662375,490.06711762745334,555.2942156366694,441.88018031597005,589.0117294216998,397.67211949662936,622.5466622322506,357.4933912217189,657.9995756011348,294.3613418438224,656.1738257020213,234.9213420884211,672.8032291378312
27,1.8,1,0.5596240095648102,419.8780443198098,598.7216295302832,149.1396679332491,155.09068666467138,158.08083008980933,164.62276744769997,6.541937357890646,36.92780498704608,112.35771864653618,30.864910110780098,0.06509412704105433,474.1581385877385,206.06934801285357,2.7981200478240518,65614,179,384,453,352,559.9823347047845,530.4191388033634,502.3217731727512,549.210177453742,446.4810430826227,576.090483302789,400.3753247675366,638.5683686465351,335.3236570487842,658.9894334940955,267.80824583433576,668.7611756116622,207.3011396243104,694.1979842538902
