frame,time_s,detected,confidence,axis_angle_deg,chord_angle_deg,body_bend_angle_deg,lateral_error_px,length_px,center_x,center_y,red_count,black_count,area,score,white_candidate_count,black_blob_count,red_blob_count,bbox,black_area,center,line1_x,line1_y,line2_x,line2_y,line3_x,line3_y,line4_x,line4_y,line5_x,line5_y,line6_x,line6_y,red_area,servo_bboxes,servo_center_count,servo_feature_count
0,0.0,1,1.0,84.50348457113259,85.50613347268494,20.897074568807568,17.84602409366164,185.00403414597494,514.2298481535048,171.765682284209,4,10,5485.4800000000005,29285.48,1,21,8,"(391, 2, 207, 415)",897.5,"(507.7101727612607, 211.50126547487426)",498.03164556962025,72.95569620253164,502.2459546925566,104.69741100323624,514.9583333333333,144.34166666666664,523.7689393939394,172.66098484848484,524.2033898305085,211.48305084745763,512.5271512113617,257.390977443609,728.5,"[(491, 65, 15, 15), (496, 98, 16, 19), (511, 139, 12, 10), (515, 165, 19, 20), (517, 208, 18, 7), (505, 242, 16, 32)]",6,9
3,0.2,1,1.0,84.1534168317483,84.13789686895849,3.1137698968859553,19.428262396998957,325.64314040926956,448.43467077974856,220.20080363134076,2,23,14949.02,60707.08480636728,1,30,3,"(321, -10, 234, 480)",2929.5,"(438.2147047804372, 197.12142792308782)",422.46437994722953,67.00263852242745,450.2867737948084,172.91882983106714,433.94117647058823,210.95294117647057,452.5284552845528,264.23867595818814,466.5348837209302,306.01841085271315,455.7238095238095,390.9428571428571,364.0,"[(410, 58, 24, 19), (436, 148, 31, 50), (427, 202, 15, 18), (444, 250, 18, 30), (460, 288, 14, 33), (454, 385, 5, 12)]",6,23
6,0.4,1,1.0,89.8758884247086,104.3215943523526,67.676828054232,120.05180410724837,394.4995060892702,415.13367299236216,215.71896275916555,3,17,4487.9800000000005,29964.96263381309,1,31,4,"(336, 16, 221, 450)",4403.5,"(441.85707805386846, 233.4479617262909)",405.01984126984127,62.912698412698404,406.4051724137931,134.14367816091954,487.54421768707476,224.98979591836735,436.9803921568627,294.5049019607843,435.38211382113815,397.0650406504065,307.4347826086956,445.1521739130435,257.5,"[(401, 59, 10, 10), (403, 129, 9, 12), (483, 220, 10, 10), (434, 290, 6, 10), (432, 390, 8, 14), (304, 443, 8, 5)]",6,15
9,0.6,1,1.0,73.11145215228113,76.94680409597034,-20.997577705306526,48.018366119094566,370.38688860076934,455.3149521374102,219.91151234487182,2,22,9089.28,39953.309454727256,1,32,4,"(349, 65, 247, 324)",3876.0,"(459.8414775839759, 233.62517726208824)",436.09604519774007,59.68361581920903,467.38957055214723,135.90184049079755,419.49261603375527,200.67616033755274,481.15052103434965,268.86144345812426,502.462962962963,317.4032921810699,519.75,420.5,208.0,"[(432, 57, 8, 7), (462, 126, 13, 23), (413, 193, 14, 21), (454, 250, 60, 48), (496, 313, 14, 11), (516, 417, 9, 8)]",6,21
12,0.8,1,1.0,73.89658688364419,62.591667930724626,45.460391542773856,104.25937886796311,382.94160420762285,447.6369521958911,243.27593046143758,5,40,26233.32,96031.20160343622,1,51,6,"(341, 54, 293, 414)",7651.0,"(471.9769962649339, 256.6862050240762)",291.30425055928407,58.79418344519015,409.54758742806547,60.33864541832669,431.6983612461732,158.1307401404646,439.56792339916217,226.88210652304008,473.1734068627451,323.49325980392155,467.5833333333333,398.75,638.5,"[(281, 57, 23, 5), (376, 57, 68, 10), (416, 134, 34, 59), (427, 214, 24, 23), (465, 304, 21, 48), (465, 396, 7, 6)]",6,35
15,1.0,1,1.0,97.89763062206774,67.39533025395717,46.32529279601096,167.66412103449335,500.01431044419365,490.0875754094756,259.71130996108457,4,40,23143.54,95323.84172958153,1,50,5,"(328, 81, 276, 415)",5870.5,"(462.62630527319976, 259.77975352812575)",286.7277353689567,59.82697201017812,379.9946605644546,131.9862700228833,534.3223924142961,218.2939460247994,447.61139455782313,361.1811224489796,443.52384948943904,398.83396279199883,478.9185185185185,521.4296296296296,346.0,"[(278, 57, 18, 8), (363, 121, 32, 23), (527, 206, 17, 25), (440, 346, 18, 31), (422, 373, 44, 49), (474, 519, 11, 6)]",6,40
18,1.2,1,1.0,76.17245183158978,87.72143671892488,-0.9085031188797501,82.92288955771912,410.38751557823275,422.39397890109495,272.4858990056969,2,42,16461.54,75273.10085836948,1,55,5,"(326, 71, 242, 408)",6864.0,"(432.25533427611856, 291.9196751798732)",409.88837920489294,63.39908256880734,331.59630911188003,181.4313725490196,396.2410256410256,223.56410256410254,439.1551766740795,286.4677538917717,490.28641975308636,387.0037037037037,426.20454545454544,473.4621212121212,231.5,"[(397, 57, 27, 17), (327, 171, 12, 25), (393, 219, 8, 10), (418, 264, 33, 49), (472, 367, 38, 37), (422, 470, 11, 8)]",6,40
21,1.4,1,1.0,88.17192398737289,87.12313036344135,-16.90272218048719,41.44107726043548,366.73944474500064,431.5515835801571,257.1341496272048,2,38,16358.7,75985.99969740238,1,44,5,"(297, 115, 298, 397)",6260.5,"(433.0030913116187, 328.2621346296962)",436.3662745098039,76.60470588235295,453.8285714285714,143.31428571428572,431.57082082082076,207.30530530530527,403.53502415458934,248.9746376811594,432.07339642481594,339.69863301787586,454.7728362764334,442.8819489862655,130.5,"[(429, 66, 20, 30), (450, 139, 9, 10), (415, 188, 34, 43), (391, 240, 25, 18), (416, 313, 30, 53), (432, 420, 48, 60)]",6,36
24,1.6,1,1.0,98.40241305323991,83.55205292050378,57.77262576032403,70.27215903016972,223.7219029348676,406.8768055550966,353.6066114030557,2,30,14791.0,61623.51702741564,1,46,3,"(326, 168, 262, 360)",6303.5,"(442.31566598972785, 360.6930434987036)",385.5350066050198,263.89784236019375,423.8070743890914,285.20386121236663,464.04528985507244,332.8333333333333,430.6719114219114,360.6596736596736,370.3962148962149,439.9383394383394,410.65909090909093,486.20454545454544,308.5,"[(374, 253, 27, 26), (396, 257, 61, 58), (458, 328, 14, 10), (424, 341, 19, 36), (359, 419, 25, 42), (408, 482, 7, 10)]",6,28
27,1.8,1,0.5,104.85639865758985,90.36576262993536,-1.7103717309716444,66.63081255979849,329.2379074065109,414.46734425825287,345.9148166852366,1,42,14309.36,77097.78930704182,1,67,2,"(357, 191, 269, 303)",5209.0,"(470.62027780771837, 348.58575199025506)",436.10176222387685,181.26880119136263,387.6845425867508,259.4232386961093,472.94629305312316,320.34500875656744,397.8276108726752,388.7625178826895,367.88888888888886,428.87852619458835,434.0,510.5,77.0,"[(414, 160, 40, 41), (370, 248, 38, 23), (457, 311, 30, 22), (392, 374, 16, 26), (357, 419, 26, 21), (432, 506, 5, 10)]",6,39
