seq,millis,channel,target_deg,actual_deg,error_deg
21466,1717691,CH1,139.821,140.880,-1.059
21466,1717691,CH2,141.428,136.800,4.628
21466,1717691,CH3,138.643,130.080,8.563
21466,1717691,CH4,117.176,107.760,9.416
21466,1717691,CH5,104.833,97.920,6.913
21466,1717691,CH6,98.787,97.440,1.347
21467,1717772,CH1,127.571,135.600,-8.029
21467,1717772,CH2,138.370,138.720,-0.350
21467,1717772,CH3,144.633,139.680,4.953
21467,1717772,CH4,129.779,120.000,9.779
21467,1717772,CH5,118.629,109.200,9.429
21467,1717772,CH6,109.314,101.760,7.554
21468,1717851,CH1,127.571,135.600,-8.029
21468,1717851,CH2,138.370,138.720,-0.350
21468,1717851,CH3,144.633,139.680,4.953
21468,1717851,CH4,129.779,120.000,9.779
21468,1717851,CH5,118.629,109.200,9.429
21468,1717851,CH6,109.314,101.760,7.554
21469,1717931,CH1,112.429,122.400,-9.971
21469,1717931,CH2,128.295,134.400,-6.105
21469,1717931,CH3,143.124,143.040,0.084
21469,1717931,CH4,137.501,131.520,5.981
21469,1717931,CH5,131.803,121.680,10.123
21469,1717931,CH6,124.227,113.760,10.467
21470,1718020,CH1,100.179,109.440,-9.261
21470,1718020,CH2,115.051,123.120,-8.068
21470,1718020,CH3,134.693,139.680,-4.987
21470,1718020,CH4,137.393,138.000,-0.607
21470,1718020,CH5,139.323,135.120,4.203
21470,1718020,CH6,137.832,127.920,9.912
21471,1718091,CH1,100.179,109.440,-9.261
21471,1718091,CH2,115.051,123.120,-8.068
21471,1718091,CH3,134.693,139.680,-4.987
21471,1718091,CH4,137.393,138.000,-0.607
21471,1718091,CH5,139.323,135.120,4.203
21471,1718091,CH6,137.832,127.920,9.912
21472,1718171,CH1,95.500,100.080,-4.580
21472,1718171,CH2,103.698,110.880,-7.182
21472,1718171,CH3,122.558,130.080,-7.522
21472,1718171,CH4,129.495,135.120,-5.625
21472,1718171,CH5,138.316,138.720,-0.404
21472,1718171,CH6,144.931,140.400,4.531
21473,1718251,CH1,100.179,99.120,1.059
21473,1718251,CH2,98.572,102.480,-3.908
21473,1718251,CH3,111.357,118.560,-7.203
21473,1718251,CH4,116.824,125.040,-8.216
21473,1718251,CH5,129.167,135.600,-6.433
21473,1718251,CH6,142.813,143.760,-0.947
21474,1718332,CH1,112.429,103.680,8.749
21474,1718332,CH2,101.630,100.320,1.310
21474,1718332,CH3,105.367,109.440,-4.073
21474,1718332,CH4,104.221,112.560,-8.339
21474,1718332,CH5,115.371,124.560,-9.189
21474,1718332,CH6,132.286,139.680,-7.394
21475,1718420,CH1,112.429,103.680,8.749
21475,1718420,CH2,101.630,100.320,1.310
21475,1718420,CH3,105.367,109.440,-4.073
21475,1718420,CH4,104.221,112.560,-8.339
21475,1718420,CH5,115.371,124.560,-9.189
21475,1718420,CH6,132.286,139.680,-7.394
21476,1718491,CH1,127.571,116.400,11.171
21476,1718491,CH2,111.705,104.880,6.825
21476,1718491,CH3,106.876,106.320,0.556
21476,1718491,CH4,96.499,102.000,-5.501
21476,1718491,CH5,102.197,110.880,-8.683
