seq,millis,channel,target_deg,actual_deg,error_deg
24987,1999369,CH1,156.735,147.120,9.615
24987,1999369,CH2,145.550,136.560,8.990
24987,1999369,CH3,133.574,126.480,7.094
24987,1999369,CH4,113.246,109.680,3.566
24987,1999369,CH5,99.570,100.320,-0.750
24987,1999369,CH6,102.566,110.880,-8.314
24988,1999449,CH1,161.414,156.480,4.934
24988,1999449,CH2,156.191,148.320,7.871
24988,1999449,CH3,145.930,136.560,9.370
24988,1999449,CH4,124.311,115.920,8.391
24988,1999449,CH5,104.706,99.600,5.106
24988,1999449,CH6,98.897,100.800,-1.903
24989,1999529,CH1,156.735,157.680,-0.945
24989,1999529,CH2,160.121,156.240,3.881
24989,1999529,CH3,155.724,147.360,8.364
24989,1999529,CH4,137.588,128.400,9.188
24989,1999529,CH5,116.652,108.000,8.652
24989,1999529,CH6,104.563,100.320,4.243
24990,1999618,CH1,156.735,157.680,-0.945
24990,1999618,CH2,160.121,156.240,3.881
24990,1999618,CH3,155.724,147.360,8.364
24990,1999618,CH4,137.588,128.400,9.188
24990,1999618,CH5,116.652,108.000,8.652
24990,1999618,CH6,104.563,100.320,4.243
24991,1999689,CH1,144.485,152.880,-8.395
24991,1999689,CH2,155.840,157.440,-1.600
24991,1999689,CH3,159.216,155.280,3.936
24991,1999689,CH4,148.003,140.400,7.603
24991,1999689,CH5,130.845,120.000,10.845
24991,1999689,CH6,117.401,108.240,9.161
24992,1999769,CH1,129.343,140.160,-10.817
24992,1999769,CH2,144.982,151.680,-6.698
24992,1999769,CH3,155.071,156.720,-1.649
24992,1999769,CH4,151.579,148.560,3.019
24992,1999769,CH5,141.864,134.160,7.704
24992,1999769,CH6,132.507,121.200,11.307
24993,1999849,CH1,129.343,140.160,-10.817
24993,1999849,CH2,144.982,151.680,-6.698
24993,1999849,CH3,155.071,156.720,-1.649
24993,1999849,CH4,151.579,148.560,3.019
24993,1999849,CH5,141.864,134.160,7.704
24993,1999849,CH6,132.507,121.200,11.307
24994,1999929,CH1,117.093,126.240,-9.147
24994,1999929,CH2,131.696,141.120,-9.424
24994,1999929,CH3,144.873,151.920,-7.047
24994,1999929,CH4,146.951,149.280,-2.329
24994,1999929,CH5,145.499,143.280,2.219
24994,1999929,CH6,144.110,135.360,8.750
24995,2000018,CH1,112.414,117.600,-5.186
24995,2000018,CH2,121.055,129.360,-8.305
24995,2000018,CH3,132.517,142.320,-9.803
24995,2000018,CH4,135.885,144.240,-8.355
24995,2000018,CH5,140.363,144.720,-4.357
24995,2000018,CH6,147.779,145.920,1.859
24996,2000089,CH1,117.093,115.920,1.173
24996,2000089,CH2,117.125,121.200,-4.075
24996,2000089,CH3,122.723,130.080,-7.357
24996,2000089,CH4,122.608,132.720,-10.112
24996,2000089,CH5,128.417,138.000,-9.583
24996,2000089,CH6,142.112,146.400,-4.288
24997,2000169,CH1,117.093,115.920,1.173
24997,2000169,CH2,117.125,121.200,-4.075
24997,2000169,CH3,122.723,130.080,-7.357
24997,2000169,CH4,122.608,132.720,-10.112
24997,2000169,CH5,128.417,138.000,-9.583
24997,2000169,CH6,142.112,146.400,-4.288
24998,2000249,CH1,129.344,120.000,9.344
24998,2000249,CH2,121.406,119.520,1.886
24998,2000249,CH3,119.231,122.400,-3.169
24998,2000249,CH4,112.193,119.760,-7.567
24998,2000249,CH5,114.224,124.800,-10.576
24998,2000249,CH6,129.274,139.440,-10.166
24999,2000329,CH1,144.485,132.960,11.525
24999,2000329,CH2,132.264,125.040,7.224
24999,2000329,CH3,123.376,120.960,2.416
24999,2000329,CH4,108.617,111.120,-2.503
24999,2000329,CH5,103.205,111.120,-7.915
24999,2000329,CH6,114.169,125.760,-11.591
25000,2000418,CH1,144.485,132.960,11.525
25000,2000418,CH2,132.264,125.040,7.224
25000,2000418,CH3,123.376,120.960,2.416
25000,2000418,CH4,108.617,111.120,-2.503
25000,2000418,CH5,103.205,111.120,-7.915
25000,2000418,CH6,114.169,125.760,-11.591
25001,2000489,CH1,156.735,146.880,9.855
25001,2000489,CH2,145.550,136.800,8.750
25001,2000489,CH3,133.574,126.240,7.334
25001,2000489,CH4,113.246,109.440,3.806
25001,2000489,CH5,99.570,100.320,-0.750
25001,2000489,CH6,102.566,111.360,-8.794
25002,2000569,CH1,161.414,156.240,5.174
25002,2000569,CH2,156.191,148.320,7.871
25002,2000569,CH3,145.930,137.280,8.650
25002,2000569,CH4,124.311,115.680,8.631
25002,2000569,CH5,104.706,100.080,4.626
25002,2000569,CH6,98.897,99.840,-0.943
25003,2000650,CH1,156.735,157.440,-0.705
25003,2000650,CH2,160.121,156.240,3.881
25003,2000650,CH3,155.724,147.360,8.364
25003,2000650,CH4,137.588,127.680,9.908
25003,2000650,CH5,116.652,108.000,8.652
25003,2000650,CH6,104.564,100.080,4.484
25004,2000729,CH1,156.735,157.440,-0.705
25004,2000729,CH2,160.121,156.240,3.881
25004,2000729,CH3,155.724,147.360,8.364
25004,2000729,CH4,137.588,127.680,9.908
25004,2000729,CH5,116.652,108.000,8.652
25004,2000729,CH6,104.564,100.080,4.484
25005,2000818,CH1,144.485,152.880,-8.395
25005,2000818,CH2,155.840,157.440,-1.600
25005,2000818,CH3,159.216,155.280,3.936
25005,2000818,CH4,148.003,139.920,8.083
25005,2000818,CH5,130.845,120.000,10.845
25005,2000818,CH6,117.401,108.480,8.921
