seq,millis,channel,target_deg,actual_deg,error_deg
30973,2478246,CH1,154.049,144.480,9.569
30973,2478246,CH2,138.943,129.840,9.103
30973,2478246,CH3,129.436,122.400,7.036
30973,2478246,CH4,108.573,105.360,3.213
30973,2478246,CH5,97.336,97.920,-0.584
30973,2478246,CH6,103.176,111.120,-7.944
30974,2478326,CH1,154.049,144.480,9.569
30974,2478326,CH2,138.943,129.840,9.103
30974,2478326,CH3,129.436,122.400,7.036
30974,2478326,CH4,108.573,105.360,3.213
30974,2478326,CH5,97.336,97.920,-0.584
30974,2478326,CH6,103.176,111.120,-7.944
30975,2478415,CH1,158.728,153.120,5.608
30975,2478415,CH2,149.584,140.880,8.704
30975,2478415,CH3,141.792,131.760,10.032
30975,2478415,CH4,119.638,111.360,8.278
30975,2478415,CH5,102.472,97.440,5.032
30975,2478415,CH6,99.507,100.080,-0.573
30976,2478486,CH1,154.048,154.800,-0.752
30976,2478486,CH2,153.514,149.760,3.754
30976,2478486,CH3,151.587,143.280,8.307
30976,2478486,CH4,132.915,121.680,11.235
30976,2478486,CH5,114.418,104.880,9.538
30976,2478486,CH6,105.174,100.320,4.854
30977,2478566,CH1,154.048,154.800,-0.752
30977,2478566,CH2,153.514,149.760,3.754
30977,2478566,CH3,151.587,143.280,8.307
30977,2478566,CH4,132.915,121.680,11.235
30977,2478566,CH5,114.418,104.880,9.538
30977,2478566,CH6,105.174,100.320,4.854
30978,2478646,CH1,141.798,150.240,-8.442
30978,2478646,CH2,149.233,151.200,-1.967
30978,2478646,CH3,155.078,151.200,3.878
30978,2478646,CH4,143.330,135.120,8.210
30978,2478646,CH5,128.610,117.600,11.010
30978,2478646,CH6,118.011,108.480,9.531
30979,2478726,CH1,126.656,138.000,-11.344
30979,2478726,CH2,138.375,145.440,-7.065
30979,2478726,CH3,150.934,152.640,-1.706
30979,2478726,CH4,146.906,143.520,3.386
30979,2478726,CH5,139.629,130.800,8.829
30979,2478726,CH6,133.117,121.200,11.917
30980,2478815,CH1,114.407,123.600,-9.193
30980,2478815,CH2,125.089,134.400,-9.311
30980,2478815,CH3,140.736,148.320,-7.584
30980,2478815,CH4,142.278,145.680,-3.402
30980,2478815,CH5,143.265,141.840,1.425
30980,2478815,CH6,144.720,136.080,8.640
30981,2478886,CH1,114.407,123.600,-9.193
30981,2478886,CH2,125.089,134.400,-9.311
30981,2478886,CH3,140.736,148.320,-7.584
30981,2478886,CH4,142.278,145.680,-3.402
30981,2478886,CH5,143.265,141.840,1.425
30981,2478886,CH6,144.720,136.080,8.640
30982,2478966,CH1,109.728,115.200,-5.472
30982,2478966,CH2,114.448,122.640,-8.192
30982,2478966,CH3,128.380,138.480,-10.100
30982,2478966,CH4,131.212,139.920,-8.708
30982,2478966,CH5,138.128,142.800,-4.672
30982,2478966,CH6,148.389,146.400,1.989
30983,2479046,CH1,114.407,113.520,0.887
30983,2479046,CH2,110.518,114.240,-3.722
30983,2479046,CH3,118.586,126.480,-7.894
30983,2479046,CH4,117.936,128.400,-10.464
30983,2479046,CH5,126.183,135.600,-9.417
30983,2479046,CH6,142.723,147.120,-4.397
30984,2479126,CH1,126.657,117.600,9.057
30984,2479126,CH2,114.799,112.800,1.999
30984,2479126,CH3,115.094,118.800,-3.706
30984,2479126,CH4,107.520,116.160,-8.640
30984,2479126,CH5,111.990,122.400,-10.410
30984,2479126,CH6,129.885,139.920,-10.035
30985,2479215,CH1,126.657,117.600,9.057
30985,2479215,CH2,114.799,112.800,1.999
30985,2479215,CH3,115.094,118.800,-3.706
30985,2479215,CH4,107.520,116.160,-8.640
30985,2479215,CH5,111.990,122.400,-10.410
30985,2479215,CH6,129.885,139.920,-10.035
30986,2479286,CH1,141.799,130.080,11.719
30986,2479286,CH2,125.657,118.560,7.097
30986,2479286,CH3,119.238,117.120,2.118
30986,2479286,CH4,103.944,107.040,-3.096
30986,2479286,CH5,100.971,109.440,-8.469
30986,2479286,CH6,114.780,126.480,-11.700
30987,2479366,CH1,154.049,144.720,9.329
30987,2479366,CH2,138.943,130.080,8.863
30987,2479366,CH3,129.436,121.920,7.516
30987,2479366,CH4,108.573,105.600,2.973
30987,2479366,CH5,97.336,98.640,-1.304
30987,2479366,CH6,103.176,111.360,-8.184
30988,2479446,CH1,154.049,144.720,9.329
30988,2479446,CH2,138.943,130.080,8.863
30988,2479446,CH3,129.436,121.920,7.516
30988,2479446,CH4,108.573,105.600,2.973
30988,2479446,CH5,97.336,98.640,-1.304
30988,2479446,CH6,103.176,111.360,-8.184
30989,2479526,CH1,158.728,153.360,5.368
30989,2479526,CH2,149.584,140.640,8.944
30989,2479526,CH3,141.792,132.240,9.552
30989,2479526,CH4,119.638,111.360,8.278
30989,2479526,CH5,102.472,97.920,4.552
30989,2479526,CH6,99.507,100.320,-0.813
30990,2479615,CH1,154.048,154.800,-0.752
30990,2479615,CH2,153.514,150.480,3.034
30990,2479615,CH3,151.587,143.280,8.307
30990,2479615,CH4,132.915,123.120,9.795
30990,2479615,CH5,114.418,104.880,9.538
30990,2479615,CH6,105.174,100.080,5.094
30991,2479686,CH1,141.798,150.000,-8.202
30991,2479686,CH2,149.233,151.200,-1.967
30991,2479686,CH3,155.078,151.200,3.878
30991,2479686,CH4,143.330,135.120,8.210
30991,2479686,CH5,128.611,117.840,10.771
30991,2479686,CH6,118.011,108.720,9.291
30992,2479766,CH1,141.798,150.000,-8.202
30992,2479766,CH2,149.233,151.200,-1.967
30992,2479766,CH3,155.078,151.200,3.878
30992,2479766,CH4,143.330,135.120,8.210
30992,2479766,CH5,128.611,117.840,10.771
30992,2479766,CH6,118.011,108.720,9.291
30993,2479846,CH1,126.656,137.760,-11.104
30993,2479846,CH2,138.375,145.200,-6.825
30993,2479846,CH3,150.934,152.400,-1.466
30993,2479846,CH4,146.906,143.280,3.626
30993,2479846,CH5,139.629,131.040,8.589
30993,2479846,CH6,133.117,121.200,11.917
30994,2479926,CH1,114.407,123.360,-8.953
30994,2479926,CH2,125.089,134.160,-9.071
30994,2479926,CH3,140.736,147.840,-7.104
30994,2479926,CH4,142.278,145.680,-3.402
30994,2479926,CH5,143.265,141.840,1.425
