seq,millis,channel,target_deg,actual_deg,error_deg
32626,2610485,CH1,128.735,118.080,10.655
32626,2610485,CH2,115.814,106.320,9.494
32626,2610485,CH3,108.445,100.560,7.885
32626,2610485,CH4,95.126,91.440,3.686
32626,2610485,CH5,90.573,91.200,-0.627
32626,2610485,CH6,94.403,102.720,-8.317
32627,2610565,CH1,128.735,118.080,10.655
32627,2610565,CH2,115.814,106.320,9.494
32627,2610565,CH3,108.445,100.560,7.885
32627,2610565,CH4,95.126,91.440,3.686
32627,2610565,CH5,90.573,91.200,-0.627
32627,2610565,CH6,94.403,102.720,-8.317
32628,2610645,CH1,133.414,126.960,6.454
32628,2610645,CH2,126.454,117.840,8.614
32628,2610645,CH3,120.801,109.920,10.881
32628,2610645,CH4,106.192,96.960,9.232
32628,2610645,CH5,95.709,89.760,5.949
32628,2610645,CH6,90.734,91.440,-0.706
32629,2610725,CH1,128.735,129.120,-0.385
32629,2610725,CH2,130.384,125.520,4.864
32629,2610725,CH3,130.595,122.160,8.435
32629,2610725,CH4,119.468,108.480,10.988
32629,2610725,CH5,107.655,97.680,9.975
32629,2610725,CH6,96.400,91.200,5.200
32630,2610814,CH1,116.485,124.800,-8.315
32630,2610814,CH2,126.103,127.440,-1.337
32630,2610814,CH3,134.087,130.080,4.007
32630,2610814,CH4,129.884,120.720,9.164
32630,2610814,CH5,121.848,109.680,12.168
32630,2610814,CH6,109.238,98.880,10.358
32631,2610885,CH1,116.485,124.800,-8.315
32631,2610885,CH2,126.103,127.440,-1.337
32631,2610885,CH3,134.087,130.080,4.007
32631,2610885,CH4,129.884,120.720,9.164
32631,2610885,CH5,121.848,109.680,12.168
32631,2610885,CH6,109.238,98.880,10.358
32632,2610965,CH1,101.343,111.840,-10.497
32632,2610965,CH2,115.246,121.920,-6.674
32632,2610965,CH3,129.942,131.280,-1.338
32632,2610965,CH4,133.460,130.080,3.380
32632,2610965,CH5,132.866,123.120,9.746
32632,2610965,CH6,124.343,112.080,12.263
32633,2611045,CH1,89.093,99.120,-10.027
32633,2611045,CH2,101.959,110.160,-8.201
32633,2611045,CH3,119.744,126.480,-6.736
32633,2611045,CH4,128.832,132.240,-3.408
32633,2611045,CH5,136.502,135.360,1.142
32633,2611045,CH6,135.946,126.960,8.986
32634,2611125,CH1,84.414,90.240,-5.826
32634,2611125,CH2,91.319,98.880,-7.561
32634,2611125,CH3,107.389,116.640,-9.251
32634,2611125,CH4,117.766,125.520,-7.754
32634,2611125,CH5,131.366,135.600,-4.234
32634,2611125,CH6,139.616,138.000,1.616
32635,2611214,CH1,84.414,90.240,-5.826
32635,2611214,CH2,91.319,98.880,-7.561
32635,2611214,CH3,107.389,116.640,-9.251
32635,2611214,CH4,117.766,125.520,-7.754
32635,2611214,CH5,131.366,135.600,-4.234
32635,2611214,CH6,139.616,138.000,1.616
32636,2611285,CH1,89.093,88.080,1.013
32636,2611285,CH2,87.388,90.720,-3.332
32636,2611285,CH3,97.594,104.160,-6.566
32636,2611285,CH4,104.490,114.000,-9.510
32636,2611285,CH5,119.420,127.680,-8.260
32636,2611285,CH6,133.949,137.760,-3.811
32637,2611365,CH1,101.343,92.640,8.703
32637,2611365,CH2,91.670,89.280,2.390
32637,2611365,CH3,94.102,96.720,-2.618
32637,2611365,CH4,94.074,101.520,-7.446
32637,2611365,CH5,105.227,115.440,-10.213
32637,2611365,CH6,121.111,129.840,-8.729
32638,2611445,CH1,101.343,92.640,8.703
32638,2611445,CH2,91.670,89.280,2.390
32638,2611445,CH3,94.102,96.720,-2.618
32638,2611445,CH4,94.074,101.520,-7.446
32638,2611445,CH5,105.227,115.440,-10.213
32638,2611445,CH6,121.111,129.840,-8.729
32639,2611525,CH1,116.485,104.400,12.085
32639,2611525,CH2,102.527,95.520,7.007
32639,2611525,CH3,98.247,95.760,2.487
32639,2611525,CH4,90.498,92.880,-2.382
32639,2611525,CH5,94.208,102.000,-7.792
32639,2611525,CH6,106.006,117.120,-11.114
32640,2611614,CH1,128.735,118.080,10.655
32640,2611614,CH2,115.814,106.320,9.494
32640,2611614,CH3,108.445,100.320,8.125
32640,2611614,CH4,95.126,91.440,3.686
32640,2611614,CH5,90.573,91.440,-0.867
32640,2611614,CH6,94.403,102.480,-8.077
32641,2611685,CH1,133.414,127.440,5.974
32641,2611685,CH2,126.454,117.600,8.854
32641,2611685,CH3,120.801,110.640,10.161
32641,2611685,CH4,106.192,96.480,9.712
32641,2611685,CH5,95.709,90.240,5.469
32641,2611685,CH6,90.734,91.680,-0.946
32642,2611765,CH1,133.414,127.440,5.974
32642,2611765,CH2,126.454,117.600,8.854
32642,2611765,CH3,120.801,110.640,10.161
32642,2611765,CH4,106.192,96.480,9.712
32642,2611765,CH5,95.709,90.240,5.469
32642,2611765,CH6,90.734,91.680,-0.946
32643,2611845,CH1,128.735,129.120,-0.385
32643,2611845,CH2,130.384,125.760,4.624
32643,2611845,CH3,130.595,122.160,8.435
32643,2611845,CH4,119.468,108.480,10.988
32643,2611845,CH5,107.655,97.680,9.975
32643,2611845,CH6,96.400,91.920,4.480
32644,2611925,CH1,116.485,125.040,-8.555
32644,2611925,CH2,126.103,127.680,-1.577
32644,2611925,CH3,134.087,130.080,4.007
32644,2611925,CH4,129.884,120.960,8.924
32644,2611925,CH5,121.848,110.160,11.688
32644,2611925,CH6,109.238,99.120,10.118
32645,2612014,CH1,116.485,125.040,-8.555
32645,2612014,CH2,126.103,127.680,-1.577
32645,2612014,CH3,134.087,130.080,4.007
32645,2612014,CH4,129.884,120.960,8.924
32645,2612014,CH5,121.848,110.160,11.688
32645,2612014,CH6,109.238,99.120,10.118
32646,2612085,CH1,101.343,112.320,-10.977
32646,2612085,CH2,115.246,121.680,-6.434
32646,2612085,CH3,129.942,131.280,-1.338
32646,2612085,CH4,133.460,130.080,3.380
32646,2612085,CH5,132.866,123.840,9.026
32646,2612085,CH6,124.343,111.360,12.983
32647,2612165,CH1,89.093,99.120,-10.027
32647,2612165,CH2,101.959,110.400,-8.441
32647,2612165,CH3,119.744,126.240,-6.496
32647,2612165,CH4,128.832,131.760,-2.928
32647,2612165,CH5,136.502,134.160,2.342
32647,2612165,CH6,135.946,126.720,9.226
32648,2612245,CH1,84.414,89.760,-5.346
32648,2612245,CH2,91.319,99.120,-7.801
32648,2612245,CH3,107.388,116.160,-8.771
32648,2612245,CH4,117.766,125.520,-7.754
32648,2612245,CH5,131.366,135.360,-3.994
