seq,millis,channel,target_deg,actual_deg,error_deg
34646,2772164,CH1,120.190,130.080,-9.890
34646,2772164,CH2,133.124,142.800,-9.676
34646,2772164,CH3,150.520,157.680,-7.160
34646,2772164,CH4,146.325,149.760,-3.435
34646,2772164,CH5,150.659,149.520,1.139
34646,2772164,CH6,144.584,135.600,8.984
34647,2772244,CH1,120.190,130.080,-9.890
34647,2772244,CH2,133.124,142.800,-9.676
34647,2772244,CH3,150.520,157.680,-7.160
34647,2772244,CH4,146.325,149.760,-3.435
34647,2772244,CH5,150.659,149.520,1.139
34647,2772244,CH6,144.584,135.600,8.984
34648,2772324,CH1,115.511,121.680,-6.169
34648,2772324,CH2,122.484,131.280,-8.796
34648,2772324,CH3,138.164,148.800,-10.636
34648,2772324,CH4,135.259,144.720,-9.461
34648,2772324,CH5,145.523,150.000,-4.477
34648,2772324,CH6,148.253,146.400,1.853
34649,2772412,CH1,120.191,119.760,0.431
34649,2772412,CH2,118.554,122.880,-4.326
34649,2772412,CH3,128.370,137.280,-8.910
34649,2772412,CH4,121.983,133.200,-11.217
34649,2772412,CH5,133.577,144.000,-10.423
34649,2772412,CH6,142.587,146.640,-4.053
34650,2772484,CH1,132.441,123.840,8.601
34650,2772484,CH2,122.835,121.200,1.635
34650,2772484,CH3,124.878,129.360,-4.482
34650,2772484,CH4,111.567,120.240,-8.673
34650,2772484,CH5,119.384,132.000,-12.616
34650,2772484,CH6,129.749,140.160,-10.411
34651,2772564,CH1,132.441,123.840,8.601
34651,2772564,CH2,122.835,121.200,1.635
34651,2772564,CH3,124.878,129.360,-4.482
34651,2772564,CH4,111.567,120.240,-8.673
34651,2772564,CH5,119.384,132.000,-12.616
34651,2772564,CH6,129.749,140.160,-10.411
34652,2772644,CH1,147.583,135.600,11.983
34652,2772644,CH2,133.692,126.480,7.212
34652,2772644,CH3,129.022,127.680,1.342
34652,2772644,CH4,107.991,110.880,-2.889
34652,2772644,CH5,108.366,117.600,-9.234
34652,2772644,CH6,114.643,126.720,-12.077
34653,2772724,CH1,159.832,149.280,10.552
34653,2772724,CH2,146.979,138.240,8.739
34653,2772724,CH3,139.220,132.480,6.740
34653,2772724,CH4,112.620,109.200,3.420
34653,2772724,CH5,104.730,105.600,-0.870
34653,2772724,CH6,103.040,111.600,-8.560
34654,2772812,CH1,159.832,149.280,10.552
34654,2772812,CH2,146.979,138.240,8.739
34654,2772812,CH3,139.220,132.480,6.740
34654,2772812,CH4,112.620,109.200,3.420
34654,2772812,CH5,104.730,105.600,-0.870
34654,2772812,CH6,103.040,111.600,-8.560
34655,2772884,CH1,164.511,158.160,6.351
34655,2772884,CH2,157.619,148.800,8.819
34655,2772884,CH3,151.576,141.840,9.736
34655,2772884,CH4,123.686,114.960,8.726
34655,2772884,CH5,109.866,105.360,4.506
34655,2772884,CH6,99.371,101.040,-1.669
34656,2772964,CH1,159.832,160.080,-0.248
34656,2772964,CH2,161.550,157.200,4.350
34656,2772964,CH3,161.370,152.400,8.970
34656,2772964,CH4,136.962,126.720,10.242
34656,2772964,CH5,121.812,111.840,9.972
34656,2772964,CH6,105.038,100.320,4.718
34657,2773044,CH1,147.582,156.240,-8.658
34657,2773044,CH2,157.268,158.880,-1.612
34657,2773044,CH3,164.862,160.320,4.542
34657,2773044,CH4,147.377,139.440,7.937
