seq,millis,channel,target_deg,actual_deg,error_deg
38007,3041122,CH1,119.802,108.480,11.322
38007,3041122,CH2,107.538,97.680,9.858
38007,3041122,CH3,101.116,93.120,7.996
38007,3041122,CH4,86.508,82.800,3.708
38007,3041122,CH5,83.607,85.440,-1.833
38007,3041122,CH6,98.784,108.480,-9.696
38008,3041210,CH1,124.481,117.600,6.881
38008,3041210,CH2,118.179,108.720,9.459
38008,3041210,CH3,113.472,102.000,11.472
38008,3041210,CH4,97.574,87.600,9.974
38008,3041210,CH5,88.743,82.800,5.943
38008,3041210,CH6,95.115,96.480,-1.365
38009,3041282,CH1,124.481,117.600,6.881
38009,3041282,CH2,118.179,108.720,9.459
38009,3041282,CH3,113.472,102.000,11.472
38009,3041282,CH4,97.574,87.600,9.974
38009,3041282,CH5,88.743,82.800,5.943
38009,3041282,CH6,95.115,96.480,-1.365
38010,3041362,CH1,119.801,119.520,0.281
38010,3041362,CH2,122.109,116.640,5.469
38010,3041362,CH3,123.267,113.760,9.507
38010,3041362,CH4,110.850,98.640,12.210
38010,3041362,CH5,100.689,89.040,11.649
38010,3041362,CH6,100.782,95.280,5.502
38011,3041442,CH1,107.551,115.920,-8.369
38011,3041442,CH2,117.828,118.560,-0.732
38011,3041442,CH3,126.759,120.960,5.799
38011,3041442,CH4,121.266,110.640,10.626
38011,3041442,CH5,114.881,99.840,15.041
38011,3041442,CH6,113.619,101.520,12.099
38012,3041522,CH1,92.410,104.160,-11.750
38012,3041522,CH2,106.970,114.480,-7.510
38012,3041522,CH3,122.614,123.600,-0.986
38012,3041522,CH4,124.842,120.240,4.602
38012,3041522,CH5,125.900,113.760,12.140
38012,3041522,CH6,128.725,114.240,14.485
38013,3041610,CH1,92.410,104.160,-11.750
38013,3041610,CH2,106.970,114.480,-7.510
38013,3041610,CH3,122.614,123.600,-0.986
38013,3041610,CH4,124.842,120.240,4.602
38013,3041610,CH5,125.900,113.760,12.140
38013,3041610,CH6,128.725,114.240,14.485
38014,3041682,CH1,80.160,90.480,-10.320
38014,3041682,CH2,93.684,102.480,-8.796
38014,3041682,CH3,112.416,119.280,-6.864
38014,3041682,CH4,120.214,123.120,-2.906
38014,3041682,CH5,129.536,126.480,3.056
38014,3041682,CH6,140.328,129.600,10.728
38015,3041762,CH1,75.481,81.600,-6.119
38015,3041762,CH2,83.043,90.720,-7.677
38015,3041762,CH3,100.060,109.680,-9.620
38015,3041762,CH4,109.148,117.360,-8.212
38015,3041762,CH5,124.400,129.120,-4.720
