seq,millis,channel,target_deg,actual_deg,error_deg
38970,3118161,CH1,113.854,124.080,-10.226
38970,3118161,CH2,129.278,139.200,-9.922
38970,3118161,CH3,148.006,155.520,-7.514
38970,3118161,CH4,140.219,143.520,-3.301
38970,3118161,CH5,145.363,143.760,1.603
38970,3118161,CH6,143.091,133.440,9.651
38971,3118241,CH1,113.854,124.080,-10.226
38971,3118241,CH2,129.278,139.200,-9.922
38971,3118241,CH3,148.006,155.520,-7.514
38971,3118241,CH4,140.219,143.520,-3.301
38971,3118241,CH5,145.363,143.760,1.603
38971,3118241,CH6,143.091,133.440,9.651
38972,3118321,CH1,109.175,115.440,-6.265
38972,3118321,CH2,118.637,127.680,-9.043
38972,3118321,CH3,135.651,146.640,-10.989
38972,3118321,CH4,129.153,138.720,-9.567
38972,3118321,CH5,140.226,144.960,-4.734
38972,3118321,CH6,146.761,144.480,2.281
38973,3118410,CH1,113.854,113.520,0.334
38973,3118410,CH2,114.707,119.280,-4.573
38973,3118410,CH3,125.856,135.360,-9.504
38973,3118410,CH4,115.877,127.920,-12.043
38973,3118410,CH5,128.281,138.960,-10.679
38973,3118410,CH6,141.094,144.720,-3.626
38974,3118481,CH1,126.104,117.360,8.744
38974,3118481,CH2,118.988,117.600,1.388
38974,3118481,CH3,122.364,126.960,-4.596
38974,3118481,CH4,105.462,114.720,-9.258
38974,3118481,CH5,114.088,126.720,-12.632
38974,3118481,CH6,128.256,138.480,-10.224
38975,3118561,CH1,126.104,117.360,8.744
38975,3118561,CH2,118.988,117.600,1.388
38975,3118561,CH3,122.364,126.960,-4.596
38975,3118561,CH4,105.462,114.720,-9.258
38975,3118561,CH5,114.088,126.720,-12.632
38975,3118561,CH6,128.256,138.480,-10.224
38976,3118641,CH1,141.246,129.360,11.886
38976,3118641,CH2,129.845,122.640,7.205
38976,3118641,CH3,126.509,124.800,1.709
38976,3118641,CH4,101.885,105.120,-3.235
38976,3118641,CH5,103.069,112.560,-9.491
38976,3118641,CH6,113.151,125.520,-12.369
38977,3118721,CH1,153.496,143.040,10.456
38977,3118721,CH2,143.132,133.920,9.212
38977,3118721,CH3,136.707,129.600,7.107
38977,3118721,CH4,106.514,103.200,3.314
38977,3118721,CH5,99.433,101.040,-1.607
38977,3118721,CH6,101.548,111.360,-9.812
38978,3118810,CH1,153.496,143.040,10.456
38978,3118810,CH2,143.132,133.920,9.212
38978,3118810,CH3,136.707,129.600,7.107
38978,3118810,CH4,106.514,103.200,3.314
38978,3118810,CH5,99.433,101.040,-1.607
38978,3118810,CH6,101.548,111.360,-9.812
38979,3118881,CH1,158.175,151.440,6.735
38979,3118881,CH2,153.772,144.960,8.812
38979,3118881,CH3,149.062,139.440,9.622
38979,3118881,CH4,117.580,108.720,8.860
38979,3118881,CH5,104.569,99.360,5.209
38979,3118881,CH6,97.879,100.080,-2.201
38980,3118961,CH1,153.496,154.080,-0.584
38980,3118961,CH2,157.703,153.360,4.343
38980,3118961,CH3,158.857,150.240,8.617
38980,3118961,CH4,130.856,121.200,9.656
38980,3118961,CH5,116.515,107.040,9.475
38980,3118961,CH6,103.545,99.360,4.185
38981,3119041,CH1,141.246,150.000,-8.754
38981,3119041,CH2,153.421,155.040,-1.619
38981,3119041,CH3,162.349,158.400,3.949
38981,3119041,CH4,141.271,132.960,8.311
38981,3119041,CH5,130.708,119.280,11.428
38981,3119041,CH6,116.383,106.800,9.583
38982,3119121,CH1,141.246,150.000,-8.754
38982,3119121,CH2,153.421,155.040,-1.619
38982,3119121,CH3,162.349,158.400,3.949
38982,3119121,CH4,141.271,132.960,8.311
38982,3119121,CH5,130.708,119.280,11.428
38982,3119121,CH6,116.383,106.800,9.583
38983,3119210,CH1,126.104,138.000,-11.896
38983,3119210,CH2,142.564,150.000,-7.436
38983,3119210,CH3,158.204,160.320,-2.116
38983,3119210,CH4,144.848,141.600,3.248
38983,3119210,CH5,141.727,133.200,8.527
38983,3119210,CH6,131.488,119.760,11.728
38984,3119281,CH1,113.854,124.320,-10.466
38984,3119281,CH2,129.278,139.200,-9.922
38984,3119281,CH3,148.006,155.520,-7.514
38984,3119281,CH4,140.219,143.280,-3.061
38984,3119281,CH5,145.363,143.280,2.083
38984,3119281,CH6,143.091,133.440,9.651
38985,3119361,CH1,113.854,124.320,-10.466
38985,3119361,CH2,129.278,139.200,-9.922
38985,3119361,CH3,148.006,155.520,-7.514
38985,3119361,CH4,140.219,143.280,-3.061
38985,3119361,CH5,145.363,143.280,2.083
38985,3119361,CH6,143.091,133.440,9.651
38986,3119441,CH1,109.175,115.680,-6.505
38986,3119441,CH2,118.637,127.920,-9.283
38986,3119441,CH3,135.651,146.400,-10.749
38986,3119441,CH4,129.153,138.240,-9.087
38986,3119441,CH5,140.226,145.200,-4.974
38986,3119441,CH6,146.761,144.720,2.041
38987,3119521,CH1,113.854,113.760,0.094
38987,3119521,CH2,114.707,119.520,-4.813
38987,3119521,CH3,125.856,135.120,-9.264
38987,3119521,CH4,115.877,127.440,-11.563
38987,3119521,CH5,128.281,138.720,-10.439
38987,3119521,CH6,141.094,145.440,-4.346
38988,3119610,CH1,126.104,117.600,8.504
38988,3119610,CH2,118.988,117.600,1.388
38988,3119610,CH3,122.364,126.240,-3.876
38988,3119610,CH4,105.462,114.480,-9.018
38988,3119610,CH5,114.088,126.240,-12.152
38988,3119610,CH6,128.256,138.960,-10.704
38989,3119681,CH1,126.104,117.600,8.504
38989,3119681,CH2,118.988,117.600,1.388
38989,3119681,CH3,122.364,126.240,-3.876
38989,3119681,CH4,105.462,114.480,-9.018
38989,3119681,CH5,114.088,126.240,-12.152
38989,3119681,CH6,128.256,138.960,-10.704
38990,3119761,CH1,141.246,129.360,11.886
38990,3119761,CH2,129.845,122.640,7.205
38990,3119761,CH3,126.509,124.800,1.709
38990,3119761,CH4,101.885,105.120,-3.235
38990,3119761,CH5,103.069,113.280,-10.211
38990,3119761,CH6,113.151,126.480,-13.329
38991,3119841,CH1,153.496,143.280,10.216
38991,3119841,CH2,143.132,134.160,8.972
38991,3119841,CH3,136.707,130.080,6.627
38991,3119841,CH4,106.514,103.200,3.314
38991,3119841,CH5,99.433,101.520,-2.087
38991,3119841,CH6,101.548,111.600,-10.052
38992,3119921,CH1,158.175,151.920,6.255
38992,3119921,CH2,153.772,144.960,8.812
38992,3119921,CH3,149.063,139.440,9.623
38992,3119921,CH4,117.580,109.200,8.380
38992,3119921,CH5,104.569,99.840,4.729
38992,3119921,CH6,97.879,100.560,-2.681
38993,3120010,CH1,158.175,151.920,6.255
38993,3120010,CH2,153.772,144.960,8.812
38993,3120010,CH3,149.063,139.440,9.623
38993,3120010,CH4,117.580,109.200,8.380
38993,3120010,CH5,104.569,99.840,4.729
38993,3120010,CH6,97.879,100.560,-2.681
38994,3120081,CH1,153.496,153.600,-0.104
38994,3120081,CH2,157.703,153.120,4.583
38994,3120081,CH3,158.857,150.480,8.377
38994,3120081,CH4,130.856,120.240,10.616
38994,3120081,CH5,116.515,107.520,8.995
38994,3120081,CH6,103.545,99.360,4.185
38995,3120161,CH1,141.246,149.760,-8.514
38995,3120161,CH2,153.421,155.280,-1.859
38995,3120161,CH3,162.349,158.160,4.189
38995,3120161,CH4,141.271,132.960,8.311
38995,3120161,CH5,130.708,119.040,11.668
38995,3120161,CH6,116.383,106.560,9.823
38996,3120241,CH1,141.246,149.760,-8.514
38996,3120241,CH2,153.421,155.280,-1.859
38996,3120241,CH3,162.349,158.160,4.189
38996,3120241,CH4,141.271,132.960,8.311
38996,3120241,CH5,130.708,119.040,11.668
38996,3120241,CH6,116.383,106.560,9.823
38997,3120321,CH1,126.104,138.000,-11.896
38997,3120321,CH2,142.564,150.000,-7.436
38997,3120321,CH3,158.204,159.840,-1.636
38997,3120321,CH4,144.848,141.600,3.248
38997,3120321,CH5,141.727,132.720,9.007
38997,3120321,CH6,131.488,118.800,12.688
38998,3120410,CH1,113.854,124.320,-10.466
38998,3120410,CH2,129.278,139.440,-10.162
38998,3120410,CH3,148.006,155.520,-7.514
38998,3120410,CH4,140.219,143.280,-3.061
38998,3120410,CH5,145.363,143.280,2.083
38998,3120410,CH6,143.091,132.960,10.131
38999,3120481,CH1,109.175,115.680,-6.505
38999,3120481,CH2,118.637,127.920,-9.283
38999,3120481,CH3,135.651,146.400,-10.749
38999,3120481,CH4,129.153,138.720,-9.567
38999,3120481,CH5,140.226,144.720,-4.494
38999,3120481,CH6,146.761,144.480,2.281
39000,3120561,CH1,109.175,115.680,-6.505
39000,3120561,CH2,118.637,127.920,-9.283
39000,3120561,CH3,135.651,146.400,-10.749
39000,3120561,CH4,129.153,138.720,-9.567
39000,3120561,CH5,140.226,144.720,-4.494
39000,3120561,CH6,146.761,144.480,2.281
39001,3120641,CH1,113.854,113.520,0.334
39001,3120641,CH2,114.707,119.280,-4.573
39001,3120641,CH3,125.856,134.640,-8.784
39001,3120641,CH4,115.877,127.440,-11.563
39001,3120641,CH5,128.281,138.720,-10.439
39001,3120641,CH6,141.094,145.200,-4.106
39002,3120721,CH1,126.104,117.360,8.744
39002,3120721,CH2,118.988,117.360,1.628
39002,3120721,CH3,122.364,126.240,-3.876
39002,3120721,CH4,105.462,114.000,-8.538
39002,3120721,CH5,114.088,126.000,-11.912
39002,3120721,CH6,128.256,138.720,-10.464
39003,3120810,CH1,126.104,117.360,8.744
39003,3120810,CH2,118.988,117.360,1.628
39003,3120810,CH3,122.364,126.240,-3.876
39003,3120810,CH4,105.462,114.000,-8.538
39003,3120810,CH5,114.088,126.000,-11.912
39003,3120810,CH6,128.256,138.720,-10.464
39004,3120881,CH1,141.246,129.360,11.886
39004,3120881,CH2,129.845,122.400,7.445
39004,3120881,CH3,126.509,124.800,1.709
39004,3120881,CH4,101.885,104.640,-2.755
39004,3120881,CH5,103.069,112.080,-9.011
39004,3120881,CH6,113.151,125.760,-12.609
39005,3120961,CH1,153.496,143.280,10.216
39005,3120961,CH2,143.132,134.400,8.732
