seq,millis,channel,target_deg,actual_deg,error_deg
43570,3486160,CH1,97.663,88.320,9.343
43570,3486160,CH2,89.466,87.360,2.106
43570,3486160,CH3,94.381,97.680,-3.299
43570,3486160,CH4,86.633,94.080,-7.447
43570,3486160,CH5,98.935,109.440,-10.505
43570,3486160,CH6,123.529,132.720,-9.191
43571,3486238,CH1,112.805,100.080,12.725
43571,3486238,CH2,100.324,92.880,7.444
43571,3486238,CH3,98.525,96.240,2.285
43571,3486238,CH4,83.056,85.920,-2.864
43571,3486238,CH5,87.916,96.720,-8.804
43571,3486238,CH6,108.423,120.000,-11.577
43572,3486318,CH1,112.805,100.080,12.725
43572,3486318,CH2,100.324,92.880,7.444
43572,3486318,CH3,98.525,96.240,2.285
43572,3486318,CH4,83.056,85.920,-2.864
43572,3486318,CH5,87.916,96.720,-8.804
43572,3486318,CH6,108.423,120.000,-11.577
43573,3486407,CH1,125.055,114.000,11.055
43573,3486407,CH2,113.610,103.920,9.690
43573,3486407,CH3,108.723,101.040,7.683
43573,3486407,CH4,87.685,84.240,3.445
43573,3486407,CH5,84.281,85.680,-1.399
43573,3486407,CH6,96.820,105.600,-8.780
43574,3486478,CH1,129.734,122.880,6.854
43574,3486478,CH2,124.251,114.960,9.291
43574,3486478,CH3,121.079,110.640,10.439
43574,3486478,CH4,98.751,89.280,9.471
43574,3486478,CH5,89.417,83.760,5.657
43574,3486478,CH6,93.151,94.560,-1.409
43575,3486558,CH1,129.734,122.880,6.854
43575,3486558,CH2,124.251,114.960,9.291
43575,3486558,CH3,121.079,110.640,10.439
43575,3486558,CH4,98.751,89.280,9.471
43575,3486558,CH5,89.417,83.760,5.657
43575,3486558,CH6,93.151,94.560,-1.409
43576,3486638,CH1,125.055,125.040,0.015
43576,3486638,CH2,128.181,123.360,4.821
43576,3486638,CH3,130.873,121.680,9.193
43576,3486638,CH4,112.027,99.840,12.187
43576,3486638,CH5,101.363,90.000,11.363
43576,3486638,CH6,98.817,94.080,4.737
43577,3486718,CH1,112.805,121.440,-8.635
43577,3486718,CH2,123.900,125.040,-1.140
43577,3486718,CH3,134.365,130.080,4.285
43577,3486718,CH4,122.442,112.800,9.642
43577,3486718,CH5,115.556,102.240,13.316
43577,3486718,CH6,111.655,100.560,11.095
43578,3486807,CH1,97.663,109.680,-12.017
43578,3486807,CH2,113.042,120.000,-6.958
43578,3486807,CH3,130.221,131.520,-1.299
43578,3486807,CH4,126.019,122.640,3.379
43578,3486807,CH5,126.574,116.400,10.174
43578,3486807,CH6,126.760,114.000,12.760
43579,3486878,CH1,97.663,109.680,-12.017
43579,3486878,CH2,113.042,120.000,-6.958
43579,3486878,CH3,130.221,131.520,-1.299
43579,3486878,CH4,126.019,122.640,3.379
43579,3486878,CH5,126.574,116.400,10.174
43579,3486878,CH6,126.760,114.000,12.760
43580,3486958,CH1,85.413,96.000,-10.587
43580,3486958,CH2,99.756,109.200,-9.444
43580,3486958,CH3,120.023,127.440,-7.417
43580,3486958,CH4,121.390,124.560,-3.170
43580,3486958,CH5,130.210,128.640,1.570
43580,3486958,CH6,138.364,128.400,9.964
43581,3487038,CH1,80.734,86.640,-5.906
43581,3487038,CH2,89.115,97.680,-8.565
43581,3487038,CH3,107.667,117.120,-9.453
43581,3487038,CH4,110.324,118.800,-8.476
