seq,millis,channel,target_deg,actual_deg,error_deg
14906,1193056,CH1,92.376,83.280,9.096
14906,1193056,CH2,85.730,84.240,1.490
14906,1193056,CH3,84.954,88.320,-3.366
14906,1193056,CH4,96.342,104.400,-8.058
14906,1193056,CH5,107.982,118.080,-10.098
14906,1193056,CH6,102.883,112.800,-9.917
14907,1193136,CH1,107.518,95.760,11.758
14907,1193136,CH2,96.587,88.800,7.787
14907,1193136,CH3,89.099,87.120,1.979
14907,1193136,CH4,92.766,96.000,-3.234
14907,1193136,CH5,96.963,104.160,-7.197
14907,1193136,CH6,87.778,99.360,-11.582
14908,1193224,CH1,119.768,109.440,10.328
14908,1193224,CH2,109.874,100.080,9.794
14908,1193224,CH3,99.297,91.920,7.377
14908,1193224,CH4,97.395,93.840,3.555
14908,1193224,CH5,93.328,93.840,-0.512
14908,1193224,CH6,76.175,84.720,-8.545
14909,1193296,CH1,124.446,118.080,6.366
14909,1193296,CH2,120.514,110.880,9.634
14909,1193296,CH3,111.653,100.080,11.573
14909,1193296,CH4,108.461,99.120,9.341
14909,1193296,CH5,98.464,92.880,5.584
14909,1193296,CH6,72.505,74.400,-1.895
14910,1193376,CH1,124.446,118.080,6.366
14910,1193376,CH2,120.514,110.880,9.634
14910,1193376,CH3,111.653,100.080,11.573
14910,1193376,CH4,108.461,99.120,9.341
14910,1193376,CH5,98.464,92.880,5.584
14910,1193376,CH6,72.505,74.400,-1.895
14911,1193456,CH1,119.767,120.000,-0.233
14911,1193456,CH2,124.444,120.240,4.204
14911,1193456,CH3,121.447,112.080,9.367
14911,1193456,CH4,121.737,109.680,12.057
14911,1193456,CH5,110.410,99.840,10.570
14911,1193456,CH6,78.172,73.440,4.732
14912,1193536,CH1,107.517,115.680,-8.163
14912,1193536,CH2,120.163,121.200,-1.037
14912,1193536,CH3,124.939,120.240,4.699
14912,1193536,CH4,132.152,122.160,9.992
14912,1193536,CH5,124.603,112.080,12.523
14912,1193536,CH6,91.010,80.160,10.850
14913,1193624,CH1,107.517,115.680,-8.163
14913,1193624,CH2,120.163,121.200,-1.037
14913,1193624,CH3,124.939,120.240,4.699
14913,1193624,CH4,132.152,122.160,9.992
14913,1193624,CH5,124.603,112.080,12.523
14913,1193624,CH6,91.010,80.160,10.850
14914,1193696,CH1,92.375,103.200,-10.825
14914,1193696,CH2,109.306,115.920,-6.614
14914,1193696,CH3,120.794,121.920,-1.126
14914,1193696,CH4,135.729,131.760,3.969
14914,1193696,CH5,135.621,126.720,8.901
14914,1193696,CH6,106.115,93.120,12.995
14915,1193776,CH1,80.125,89.040,-8.915
14915,1193776,CH2,96.019,104.400,-8.381
14915,1193776,CH3,110.596,117.360,-6.764
14915,1193776,CH4,131.100,134.400,-3.300
14915,1193776,CH5,139.257,138.000,1.257
14915,1193776,CH6,117.718,108.480,9.238
14916,1193856,CH1,75.446,81.120,-5.674
14916,1193856,CH2,85.379,93.840,-8.461
14916,1193856,CH3,98.240,107.280,-9.040
14916,1193856,CH4,120.034,128.400,-8.366
14916,1193856,CH5,134.121,138.000,-3.879
14916,1193856,CH6,121.387,119.040,2.347
14917,1193936,CH1,75.446,81.120,-5.674
14917,1193936,CH2,85.379,93.840,-8.461
14917,1193936,CH3,98.240,107.280,-9.040
14917,1193936,CH4,120.034,128.400,-8.366
14917,1193936,CH5,134.121,138.000,-3.879
14917,1193936,CH6,121.387,119.040,2.347
14918,1194024,CH1,80.126,79.200,0.926
14918,1194024,CH2,81.449,85.680,-4.231
14918,1194024,CH3,88.446,96.240,-7.794
14918,1194024,CH4,106.758,116.640,-9.882
14918,1194024,CH5,122.175,130.560,-8.385
14918,1194024,CH6,115.721,119.760,-4.039
14919,1194096,CH1,92.376,83.280,9.096
14919,1194096,CH2,85.730,84.000,1.730
14919,1194096,CH3,84.954,88.320,-3.366
14919,1194096,CH4,96.342,104.400,-8.058
14919,1194096,CH5,107.982,118.560,-10.578
14919,1194096,CH6,102.883,112.080,-9.197
14920,1194176,CH1,92.376,83.280,9.096
14920,1194176,CH2,85.730,84.000,1.730
14920,1194176,CH3,84.954,88.320,-3.366
14920,1194176,CH4,96.342,104.400,-8.058
14920,1194176,CH5,107.982,118.560,-10.578
14920,1194176,CH6,102.883,112.080,-9.197
14921,1194256,CH1,107.518,95.760,11.758
14921,1194256,CH2,96.587,88.560,8.027
14921,1194256,CH3,89.099,87.120,1.979
14921,1194256,CH4,92.766,95.760,-2.994
14921,1194256,CH5,96.963,104.880,-7.917
14921,1194256,CH6,87.778,99.120,-11.342
14922,1194336,CH1,119.768,109.680,10.088
14922,1194336,CH2,109.874,100.320,9.554
14922,1194336,CH3,99.297,91.920,7.377
14922,1194336,CH4,97.395,93.840,3.555
14922,1194336,CH5,93.328,94.080,-0.752
14922,1194336,CH6,76.175,84.960,-8.785
14923,1194424,CH1,124.446,118.320,6.126
14923,1194424,CH2,120.514,111.840,8.674
14923,1194424,CH3,111.653,101.040,10.613
14923,1194424,CH4,108.461,98.880,9.581
14923,1194424,CH5,98.464,93.600,4.864
14923,1194424,CH6,72.505,74.640,-2.135
14924,1194496,CH1,124.446,118.320,6.126
14924,1194496,CH2,120.514,111.840,8.674
14924,1194496,CH3,111.653,101.040,10.613
14924,1194496,CH4,108.461,98.880,9.581
14924,1194496,CH5,98.464,93.600,4.864
14924,1194496,CH6,72.505,74.640,-2.135
14925,1194576,CH1,119.767,120.240,-0.473
14925,1194576,CH2,124.444,120.000,4.444
14925,1194576,CH3,121.447,112.800,8.647
14925,1194576,CH4,121.737,109.680,12.057
14925,1194576,CH5,110.410,100.320,10.090
14925,1194576,CH6,78.172,73.440,4.732
14926,1194656,CH1,107.517,115.920,-8.403
14926,1194656,CH2,120.163,121.680,-1.517
14926,1194656,CH3,124.939,120.000,4.939
14926,1194656,CH4,132.152,122.640,9.512
14926,1194656,CH5,124.603,112.800,11.803
14926,1194656,CH6,91.010,80.640,10.370
14927,1194736,CH1,92.375,103.440,-11.065
14927,1194736,CH2,109.306,116.640,-7.334
14927,1194736,CH3,120.794,122.160,-1.366
14927,1194736,CH4,135.729,132.000,3.729
14927,1194736,CH5,135.621,126.720,8.901
14927,1194736,CH6,106.115,93.360,12.755
14928,1194824,CH1,92.375,103.440,-11.065
14928,1194824,CH2,109.306,116.640,-7.334
14928,1194824,CH3,120.794,122.160,-1.366
14928,1194824,CH4,135.729,132.000,3.729
14928,1194824,CH5,135.621,126.720,8.901
14928,1194824,CH6,106.115,93.360,12.755
14929,1194896,CH1,80.125,89.760,-9.635
14929,1194896,CH2,96.019,105.120,-9.101
14929,1194896,CH3,110.596,117.360,-6.764
14929,1194896,CH4,131.100,134.160,-3.060
14929,1194896,CH5,139.257,138.480,0.777
14929,1194896,CH6,117.718,108.240,9.478
14930,1194976,CH1,75.446,81.360,-5.914
14930,1194976,CH2,85.379,93.360,-7.981
14930,1194976,CH3,98.240,107.280,-9.040
14930,1194976,CH4,120.034,128.160,-8.126
14930,1194976,CH5,134.121,138.720,-4.599
14930,1194976,CH6,121.387,118.560,2.827
14931,1195056,CH1,75.446,81.360,-5.914
14931,1195056,CH2,85.379,93.360,-7.981
14931,1195056,CH3,98.240,107.280,-9.040
14931,1195056,CH4,120.034,128.160,-8.126
14931,1195056,CH5,134.121,138.720,-4.599
14931,1195056,CH6,121.387,118.560,2.827
14932,1195136,CH1,80.126,79.200,0.926
14932,1195136,CH2,81.449,85.920,-4.471
14932,1195136,CH3,88.446,96.000,-7.554
14932,1195136,CH4,106.758,117.360,-10.602
14932,1195136,CH5,122.175,130.560,-8.385
14932,1195136,CH6,115.721,119.760,-4.039
14933,1195224,CH1,92.376,83.040,9.336
14933,1195224,CH2,85.730,83.760,1.970
14933,1195224,CH3,84.954,88.320,-3.366
14933,1195224,CH4,96.342,104.640,-8.298
14933,1195224,CH5,107.982,118.080,-10.098
14933,1195224,CH6,102.883,112.080,-9.197
14934,1195296,CH1,107.518,96.000,11.518
14934,1195296,CH2,96.587,89.040,7.547
14934,1195296,CH3,89.099,87.120,1.979
14934,1195296,CH4,92.766,95.520,-2.754
14934,1195296,CH5,96.963,104.640,-7.677
14934,1195296,CH6,87.778,99.360,-11.582
14935,1195375,CH1,107.518,96.000,11.518
14935,1195375,CH2,96.587,89.040,7.547
14935,1195375,CH3,89.099,87.120,1.979
14935,1195375,CH4,92.766,95.520,-2.754
14935,1195375,CH5,96.963,104.640,-7.677
14935,1195375,CH6,87.778,99.360,-11.582
14936,1195456,CH1,119.768,109.680,10.088
14936,1195456,CH2,109.874,100.320,9.554
14936,1195456,CH3,99.297,91.920,7.377
14936,1195456,CH4,97.395,93.600,3.795
14936,1195456,CH5,93.328,94.080,-0.752
14936,1195456,CH6,76.175,84.960,-8.785
14937,1195536,CH1,124.446,118.560,5.886
14937,1195536,CH2,120.514,111.600,8.914
14937,1195536,CH3,111.653,101.040,10.613
14937,1195536,CH4,108.461,99.120,9.341
14937,1195536,CH5,98.464,93.120,5.344
14937,1195536,CH6,72.505,74.400,-1.895
14938,1195624,CH1,124.446,118.560,5.886
14938,1195624,CH2,120.514,111.600,8.914
14938,1195624,CH3,111.653,101.040,10.613
14938,1195624,CH4,108.461,99.120,9.341
14938,1195624,CH5,98.464,93.120,5.344
14938,1195624,CH6,72.505,74.400,-1.895
14939,1195696,CH1,119.767,120.480,-0.713
14939,1195696,CH2,124.444,119.760,4.684
14939,1195696,CH3,121.447,112.320,9.127
14939,1195696,CH4,121.737,109.680,12.057
14939,1195696,CH5,110.410,99.840,10.570
14939,1195696,CH6,78.172,73.680,4.492
14940,1195776,CH1,107.517,115.920,-8.403
14940,1195776,CH2,120.163,121.440,-1.277
14940,1195776,CH3,124.939,121.200,3.739
14940,1195776,CH4,132.152,122.880,9.272
14940,1195776,CH5,124.603,113.040,11.563
14940,1195776,CH6,91.010,80.640,10.370
14941,1195856,CH1,92.375,103.440,-11.065
14941,1195856,CH2,109.306,115.680,-6.374
14941,1195856,CH3,120.794,122.160,-1.366
14941,1195856,CH4,135.729,132.240,3.489
14941,1195856,CH5,135.621,126.720,8.901
14941,1195856,CH6,106.115,93.840,12.275
14942,1195936,CH1,92.375,103.440,-11.065
14942,1195936,CH2,109.306,115.680,-6.374
14942,1195936,CH3,120.794,122.160,-1.366
14942,1195936,CH4,135.729,132.240,3.489
14942,1195936,CH5,135.621,126.720,8.901
14942,1195936,CH6,106.115,93.840,12.275
14943,1196024,CH1,80.125,89.760,-9.635
14943,1196024,CH2,96.019,104.640,-8.621
14943,1196024,CH3,110.596,117.360,-6.764
14943,1196024,CH4,131.100,134.160,-3.060
14943,1196024,CH5,139.257,138.480,0.777
14943,1196024,CH6,117.718,108.240,9.478
14944,1196097,CH1,75.446,81.360,-5.914
14944,1196097,CH2,85.379,93.840,-8.461
14944,1196097,CH3,98.240,107.280,-9.040
14944,1196097,CH4,120.034,128.160,-8.126
14944,1196097,CH5,134.121,138.960,-4.839
14944,1196097,CH6,121.387,118.800,2.587
14945,1196176,CH1,75.446,81.360,-5.914
14945,1196176,CH2,85.379,93.840,-8.461
14945,1196176,CH3,98.240,107.280,-9.040
14945,1196176,CH4,120.034,128.160,-8.126
14945,1196176,CH5,134.121,138.960,-4.839
14945,1196176,CH6,121.387,118.800,2.587
14946,1196256,CH1,80.126,79.440,0.686
14946,1196256,CH2,81.449,85.680,-4.231
14946,1196256,CH3,88.446,96.000,-7.554
14946,1196256,CH4,106.758,116.640,-9.882
14946,1196256,CH5,122.175,131.040,-8.865
14946,1196256,CH6,115.721,119.760,-4.039
14947,1196336,CH1,92.376,83.280,9.096
14947,1196336,CH2,85.730,83.520,2.210
14947,1196336,CH3,84.954,88.320,-3.366
14947,1196336,CH4,96.342,103.920,-7.578
14947,1196336,CH5,107.982,118.080,-10.098
14947,1196336,CH6,102.883,112.320,-9.437
14948,1196424,CH1,107.518,95.520,11.998
14948,1196424,CH2,96.587,87.840,8.747
14948,1196424,CH3,89.099,87.120,1.979
14948,1196424,CH4,92.766,95.280,-2.514
14948,1196424,CH5,96.963,104.640,-7.677
