time,x,y,yaw
1.000000000000000021e-03,5.999999978144184842e-01,6.674955116081626727e-06,-1.192656693138212083e-04
2.000000000000000042e-03,5.999999682108603238e-01,2.653717112327536043e-05,-4.732860162868046498e-04
3.000000000000000062e-03,5.999998540178037576e-01,5.917576582614714198e-05,-1.056466637900713200e-03
4.000000000000000083e-03,5.999995584376017765e-01,1.041700415412849523e-04,-1.863385466003772417e-03
5.000000000000000104e-03,5.999989519097831403e-01,1.610705992606820125e-04,-2.888787497011664762e-03
6.000000000000000125e-03,5.999978756335081487e-01,2.294023541131173793e-04,-4.127577835620423879e-03
7.000000000000000146e-03,5.999961450283444186e-01,3.086677036844287514e-04,-5.574805547995970167e-03
8.000000000000000167e-03,5.999935531083172569e-01,3.983496782174467121e-04,-7.225647107426011635e-03
9.000000000000001055e-03,5.999898737423143835e-01,4.979150217221395280e-04,-9.075389839173050172e-03
1.000000000000000194e-02,5.999848649172755399e-01,6.068171378488251833e-04,-1.111941591063685467e-02
1.100000000000000283e-02,5.999782717576208624e-01,7.244989661600031994e-04,-1.335318708447864877e-02
1.200000000000000372e-02,5.999698294301391011e-01,8.503957287220309524e-04,-1.577223040242548696e-02
1.300000000000000461e-02,5.999592658165707748e-01,9.839375821553697499e-04,-1.837212516323164999e-02
1.400000000000000550e-02,5.999463040521284540e-01,1.124552123254018987e-03,-2.114849130670770280e-02
1.500000000000000638e-02,5.999306670696510357e-01,1.271654579212355696e-03,-2.409662969758257986e-02
1.600000000000000727e-02,5.999120822990703372e-01,1.424650012062156357e-03,-2.721117741956762676e-02
1.700000000000000816e-02,5.998902840482094323e-01,1.582939387345883020e-03,-3.048664559187493767e-02
1.800000000000000905e-02,5.998650148966003792e-01,1.745933752473949330e-03,-3.391752192936182270e-02
1.900000000000000994e-02,5.998360277346196368e-01,1.913054189678686789e-03,-3.749827021902637364e-02
2.000000000000001082e-02,5.998030874893282016e-01,2.083733761312600574e-03,-4.122333146223480793e-02
