time,x,y,yaw
1.000000000000000021e-03,5.999999974492705723e-01,-7.143568544198952708e-06,1.252198838722359895e-04
2.000000000000000042e-03,5.999999634677309901e-01,-2.842087381599300855e-05,4.971680577934134817e-04
3.000000000000000062e-03,5.999998323023295610e-01,-6.342768802303222486e-05,1.110555409140199633e-03
4.000000000000000083e-03,5.999994926030021158e-01,-1.117512340780835167e-04,1.960445510783087163e-03
5.000000000000000104e-03,5.999987951072350834e-01,-1.729490566713676181e-04,3.042230558743958153e-03
6.000000000000000125e-03,5.999975564740596123e-01,-2.465524993335299619e-04,4.351605778995088630e-03
7.000000000000000146e-03,5.999955630281275099e-01,-3.320700696227696369e-04,5.884542892394921398e-03
8.000000000000000167e-03,5.999925743885785590e-01,-4.289906889456962524e-04,7.637263170929082558e-03
9.000000000000001055e-03,5.999883269393607721e-01,-5.367868370233508379e-04,9.606210536565644789e-03
1.000000000000000194e-02,5.999825376204734884e-01,-6.549190156905360105e-04,1.178797271303202825e-02
1.100000000000000283e-02,5.999749078600207230e-01,-7.828394157115003971e-04,1.417920009457859093e-02
1.200000000000000372e-02,5.999651269506490747e-01,-9.199946779850365353e-04,1.677665774647280755e-02
1.300000000000000461e-02,5.999528752291043432e-01,-1.065827632988181062e-03,1.957721802294963565e-02
1.400000000000000550e-02,5.999378270067148300e-01,-1.219780127864167341e-03,2.257783976959737079e-02
1.500000000000000638e-02,5.999196533094408590e-01,-1.381295500135215626e-03,2.577554955445324203e-02
1.600000000000000727e-02,5.998980243972920068e-01,-1.549820872499441116e-03,2.916742499672832917e-02
1.700000000000000816e-02,5.998726120612333235e-01,-1.724809268563221032e-03,3.275058020552677057e-02
1.800000000000000905e-02,5.998430916984006656e-01,-1.905721550745698156e-03,3.652215329299716984e-02
1.900000000000000994e-02,5.998091441688663261e-01,-2.092028182787086799e-03,4.047929588715748483e-02
2.000000000000001082e-02,5.997704574393142307e-01,-2.283210820312076006e-03,4.461916453889584744e-02
2.100000000000001171e-02,5.997267280208028462e-01,-2.478763733756494947e-03,4.893891389481317550e-02
2.200000000000001260e-02,5.996776623330274392e-01,-2.678195453470033627e-03,5.343568688960076418e-02
2.300000000000001349e-02,5.996229788684270812e-01,-2.881033110394282115e-03,5.810657743112512819e-02
2.400000000000001438e-02,5.995624094581830654e-01,-3.086824518175212972e-03,6.294863443121911928e-02
2.500000000000001527e-02,5.994956999982117285e-01,-3.295139071473440762e-03,6.795888073186223677e-02
2.600000000000001615e-02,5.994226108482302307e-01,-3.505568296678251983e-03,7.313431333889702790e-02
2.700000000000001704e-02,5.993429171190338689e-01,-3.717726366552154271e-03,7.847190467046219475e-02
2.800000000000001793e-02,5.992564088193179650e-01,-3.931250458605095588e-03,8.396860464950632597e-02
2.900000000000001882e-02,5.991628908659627495e-01,-4.145800942010502421e-03,8.962134348032418929e-02
3.000000000000001971e-02,5.990621829742071025e-01,-4.361061406544519681e-03,9.542703496316681799e-02
3.100000000000002059e-02,5.989541194435337168e-01,-4.576738547085401621e-03,1.013825802157016093e-01
3.200000000000002148e-02,5.988385488543357393e-01,-4.792561917125237603e-03,1.074848716849125529e-01
3.300000000000002237e-02,5.987153336895479905e-01,-5.008283564538973387e-03,1.137307973475242817e-01
3.400000000000002326e-02,5.985843498944581897e-01,-5.223677562543327380e-03,1.201172450109001255e-01
3.500000000000002415e-02,5.984454863868844399e-01,-5.438539448374357654e-03,1.266411066393870466e-01
3.600000000000002504e-02,5.982986445288429600e-01,-5.652685581730043651e-03,1.332992826431172451e-01
3.700000000000002592e-02,5.981437375697628012e-01,-5.865952434485288691e-03,1.400886860772461162e-01
3.800000000000002681e-02,5.979806900702481220e-01,-6.078195822591725417e-03,1.470062467094780390e-01
3.900000000000002770e-02,5.978094373143598705e-01,-6.289290090447097192e-03,1.540489149225095222e-01
4.000000000000002859e-02,5.976299247174001739e-01,-6.499127257361847487e-03,1.612136654257400048e-01
4.100000000000002948e-02,5.974421072352494866e-01,-6.707616135077976161e-03,1.684975007573155104e-01
4.200000000000003036e-02,5.972459487804254730e-01,-6.914681424613211558e-03,1.758974545633508468e-01
4.300000000000003125e-02,5.970414216492203607e-01,-7.120262800024368399e-03,1.834105946460943271e-01
4.400000000000003214e-02,5.968285059635218825e-01,-7.324313986006303345e-03,1.910340257769392036e-01
4.500000000000003303e-02,5.966071891302459074e-01,-7.526801835584295830e-03,1.987648922736258983e-01
4.600000000000003392e-02,5.963774653206879162e-01,-7.727705413512697685e-03,2.066003803437991837e-01
4.700000000000003481e-02,5.961393349715560230e-01,-7.927015090370359562e-03,2.145377201993609040e-01
4.800000000000003569e-02,5.958928043089580795e-01,-8.124731651749872441e-03,2.225741879478604357e-01
4.900000000000003658e-02,5.956378848961881856e-01,-8.320865426368062590e-03,2.307071072685606405e-01
