time,x,y,yaw
1.000000000000000021e-03,5.999999974406219350e-01,7.143568544476508464e-06,-1.252198838665056287e-04
2.000000000000000042e-03,5.999999634333251786e-01,2.842087381665914236e-05,-4.971680577035635876e-04
3.000000000000000062e-03,5.999998322255589711e-01,6.342768802536369321e-05,-1.110555408693482318e-03
4.000000000000000083e-03,5.999994924677584107e-01,1.117512340844117880e-04,-1.960445509397359259e-03
5.000000000000000104e-03,5.999987948979367269e-01,1.729490566854119393e-04,-3.042230555426008072e-03
6.000000000000000125e-03,5.999975561756761833e-01,2.465524993603418480e-04,-4.351605772252808285e-03
7.000000000000000146e-03,5.999955626262006847e-01,3.320700696683442921e-04,-5.884542880163414792e-03
8.000000000000000167e-03,5.999925738692372112e-01,4.289906890173611487e-04,-7.637263150509754003e-03
9.000000000000001055e-03,5.999883262893291880e-01,5.367868371298212260e-04,-9.606210504575865908e-03
1.000000000000000194e-02,5.999825365384481302e-01,6.549174807894408978e-04,-1.178802532193782421e-02
1.100000000000000283e-02,5.999749047247932010e-01,7.828309160449187232e-04,-1.417951925591425487e-02
1.200000000000000372e-02,5.999651175410111170e-01,9.199674140659142019e-04,-1.677765110509395891e-02
1.300000000000000461e-02,5.999528510867824238e-01,1.065761778633655954e-03,-1.957950426321345902e-02
1.400000000000000550e-02,5.999377735886718410e-01,1.219645717511763650e-03,-2.258226584698421954e-02
1.500000000000000638e-02,5.999195479197292347e-01,1.381050070004663510e-03,-2.578320762157071747e-02
1.600000000000000727e-02,5.998978339305438556e-01,1.549406886455384491e-03,-2.917966878916308446e-02
1.700000000000000816e-02,5.998722905920461645e-01,1.724151362100134754e-03,-3.276904065850889947e-02
1.800000000000000905e-02,5.998425779522007506e-01,1.904723628304738625e-03,-3.654875317278656610e-02
1.900000000000000994e-02,5.998083589103745394e-01,2.090570404677583038e-03,-4.051626323987427003e-02
2.000000000000001082e-02,5.997693008145805749e-01,2.281146515910770223e-03,-4.466904478266176676e-02
2.100000000000001171e-02,5.997250768879957006e-01,2.475916277464740300e-03,-4.900458040711856006e-02
2.200000000000001260e-02,5.996753674921332378e-01,2.674354754401031542e-03,-5.352035457177165695e-02
2.300000000000001349e-02,5.996198612348324630e-01,2.875948897798574766e-03,-5.821384813336798886e-02
2.400000000000001438e-02,5.995582559318022309e-01,3.080198563276403956e-03,-6.308253413906722562e-02
2.500000000000001527e-02,5.994902594308616495e-01,3.286617416194126395e-03,-6.812387473479401823e-02
2.600000000000001615e-02,5.994155903082503123e-01,3.494733728127918937e-03,-7.333531906166812497e-02
2.700000000000001704e-02,5.993339784464679632e-01,3.704091069224424437e-03,-7.871430201706836050e-02
2.800000000000001793e-02,5.992451655030559543e-01,3.914248901024985905e-03,-8.425824376328046317e-02
2.900000000000001882e-02,5.991489052795726522e-01,4.124783074329785304e-03,-8.996454987430911598e-02
3.000000000000001971e-02,5.990449674157884985e-01,4.335176295423348591e-03,-9.582970327431170054e-02
3.100000000000002059e-02,5.989331402358054612e-01,4.544821449451341699e-03,-1.018483171165355666e-01
3.200000000000002148e-02,5.988132306916317260e-01,4.753034968267677574e-03,-1.080146837846124447e-01
3.300000000000002237e-02,5.986850621891723900e-01,4.959180710582322682e-03,-1.143231018249410980e-01
3.400000000000002326e-02,5.985484747250551241e-01,5.162647499922845551e-03,-1.207678857455700833e-01
3.500000000000002415e-02,5.984033317219208392e-01,5.362840582161576553e-03,-1.273431638143728284e-01
3.600000000000002504e-02,5.982495558581488737e-01,5.559095414985504302e-03,-1.340408795031720057e-01
3.700000000000002592e-02,5.980871305442303498e-01,5.750717058170151663e-03,-1.408510618268558334e-01
3.800000000000002681e-02,5.979160852144168592e-01,5.937015473785056674e-03,-1.477636578804632228e-01
3.900000000000002770e-02,5.977364829016620362e-01,6.117360342713595855e-03,-1.547686962166140434e-01
4.000000000000002859e-02,5.975484206605921056e-01,6.291167475666825659e-03,-1.618563085654117495e-01
4.100000000000002948e-02,5.973520279096797836e-01,6.457897851198879380e-03,-1.690167507404086444e-01
4.200000000000003036e-02,5.971474645152510252e-01,6.617056583446079276e-03,-1.762404225976076655e-01
4.300000000000003125e-02,5.969349187437817950e-01,6.768191693653169416e-03,-1.835178869366267118e-01
4.400000000000003214e-02,5.967146051116453132e-01,6.910892716870176145e-03,-1.908398872598355278e-01
4.500000000000003303e-02,5.964867621590510538e-01,7.044789173743015720e-03,-1.981973643289131615e-01
4.600000000000003392e-02,5.962516501724973716e-01,7.169548935619662888e-03,-2.055814714789338526e-01
4.700000000000003481e-02,5.960095488776593342e-01,7.284876509303206404e-03,-2.129835886678700385e-01
4.800000000000003569e-02,5.957607551222540154e-01,7.390511265739418967e-03,-2.203953352543890354e-01
4.900000000000003658e-02,5.955055805660482982e-01,7.486225634770249382e-03,-2.278085815090050981e-01
5.000000000000003747e-02,5.952443493927564999e-01,7.571823285822287808e-03,-2.352154588727931317e-01
5.100000000000003836e-02,5.949773960560871267e-01,7.647137312016827337e-03,-2.426083689832028711e-01
5.200000000000003925e-02,5.947050630696442131e-01,7.712028432596440553e-03,-2.499799914861091377e-01
5.300000000000004013e-02,5.944276988482348756e-01,7.766383225572603966e-03,-2.573232906428178923e-01
5.400000000000004102e-02,5.941456556084202534e-01,7.810112398808854994e-03,-2.646315207124563806e-01
5.500000000000004191e-02,5.938593237946436787e-01,7.843151601064746181e-03,-2.718977533057038709e-01
5.600000000000004280e-02,5.935691277435950486e-01,7.865464802112864806e-03,-2.791146417109934275e-01
5.700000000000004369e-02,5.932755202742048262e-01,7.877041838811216223e-03,-2.862750629563894922e-01
5.800000000000004458e-02,5.929789656470301207e-01,7.877901836824685589e-03,-2.933721282255267737e-01
5.900000000000004546e-02,5.926799526761397097e-01,7.868098792413957820e-03,-3.003989451862117965e-01
6.000000000000004635e-02,5.923789897009582583e-01,7.847717885861471565e-03,-3.073488488813365671e-01
6.100000000000004724e-02,5.920765848653049002e-01,7.816867458205145613e-03,-3.142154849864212673e-01
6.200000000000004813e-02,5.917732465082728988e-01,7.775676721797353252e-03,-3.209928208507091818e-01
6.300000000000004208e-02,5.914694807538600774e-01,7.724293226765710507e-03,-3.276751550146909109e-01
6.400000000000004297e-02,5.911657867587811754e-01,7.662880187199572202e-03,-3.342571144693775587e-01
6.500000000000004385e-02,5.908626554202343062e-01,7.591613794927287717e-03,-3.407336539920675644e-01
6.600000000000004474e-02,5.905605667525342106e-01,7.510680842131189916e-03,-3.471000552272546225e-01
6.700000000000004563e-02,5.902599876176800597e-01,7.420276461803654300e-03,-3.533519248397185009e-01
6.800000000000004652e-02,5.899613695917127476e-01,7.320602051257119047e-03,-3.594851916464165131e-01
6.900000000000004741e-02,5.896651469571012605e-01,7.211863358065173646e-03,-3.654961026423807491e-01
7.000000000000004829e-02,5.893717348144088541e-01,7.094268686228588638e-03,-3.713812184125911409e-01
7.100000000000004918e-02,5.890815273048398693e-01,6.968027179242719527e-03,-3.771374078286777176e-01
7.200000000000005007e-02,5.887948959299520446e-01,6.833347228389852202e-03,-3.827618418454252214e-01
7.300000000000005096e-02,5.885121879712607029e-01,6.690435013509354878e-03,-3.882519862969122104e-01
7.400000000000005185e-02,5.882337250571612053e-01,6.539493185305722545e-03,-3.936055935110960302e-01
