time,x,y,yaw
1.000000000000000021e-03,5.999999974406219350e-01,7.143568544476508464e-06,-1.252198838665056287e-04
2.000000000000000042e-03,5.999999634333251786e-01,2.842087381665914236e-05,-4.971680577035635876e-04
3.000000000000000062e-03,5.999998322255589711e-01,6.342768802536369321e-05,-1.110555408693482318e-03
4.000000000000000083e-03,5.999994924677584107e-01,1.117512340844117880e-04,-1.960445509397359259e-03
5.000000000000000104e-03,5.999987948979367269e-01,1.729490566854119393e-04,-3.042230555426008072e-03
6.000000000000000125e-03,5.999975561756761833e-01,2.465524993603418480e-04,-4.351605772252808285e-03
7.000000000000000146e-03,5.999955626262006847e-01,3.320700696683442921e-04,-5.884542268712152774e-03
8.000000000000000167e-03,5.999925744038551167e-01,4.289902412097368334e-04,-7.637071798476552723e-03
9.000000000000001055e-03,5.999883296913474107e-01,5.367853452296622585e-04,-9.605238697060189401e-03
1.000000000000000194e-02,5.999825486367439398e-01,6.549149132911158411e-04,-1.178524842325356405e-02
1.100000000000000283e-02,5.999749369932610987e-01,7.828291995565783701e-04,-1.417344431609540711e-02
1.200000000000000372e-02,5.999651909413732387e-01,9.199377338350300803e-04,-1.676578963235816205e-02
1.300000000000000461e-02,5.999530018239096485e-01,1.065614815855264741e-03,-1.955754615680516117e-02
1.400000000000000550e-02,5.999380596669862120e-01,1.219213207423130996e-03,-2.254390880920309828e-02
1.500000000000000638e-02,5.999200562294559891e-01,1.380091784480397266e-03,-2.572008305542789613e-02
1.600000000000000727e-02,5.998986880145684708e-01,1.547613703319572487e-03,-2.908127473109068523e-02
1.700000000000000816e-02,5.998736589958246768e-01,1.721149068961758122e-03,-3.262268218354565097e-02
1.800000000000000905e-02,5.998446830536242613e-01,1.900077379654363519e-03,-3.633949065871670131e-02
1.900000000000000994e-02,5.998114865870805001e-01,2.083757086293214211e-03,-4.022664031935453688e-02
2.000000000000001082e-02,5.997738126523751712e-01,2.271449265258240757e-03,-4.427761530298721798e-02
2.100000000000001171e-02,5.997314230126630230e-01,2.462344255249049318e-03,-4.848511101287582975e-02
2.200000000000001260e-02,5.996840992094925049e-01,2.655643823132325387e-03,-5.284177719847553412e-02
2.300000000000001349e-02,5.996316435235580222e-01,2.850575269300714698e-03,-5.734022790104635614e-02
2.400000000000001438e-02,5.995738798879155507e-01,3.046387647207382532e-03,-6.197305263790768570e-02
2.500000000000001527e-02,5.995106545023960454e-01,3.242353376901985218e-03,-6.673282858992396482e-02
2.600000000000001615e-02,5.994418361987211563e-01,3.437769622483932697e-03,-7.161213355988974016e-02
2.700000000000001704e-02,5.993673165758448551e-01,3.631959443901600082e-03,-7.660355948296071471e-02
2.800000000000001793e-02,5.992870193008498214e-01,3.824255335589110683e-03,-8.169923064263844015e-02
2.900000000000001882e-02,5.992009054705483839e-01,4.014002178465425619e-03,-8.689030153430708781e-02
3.000000000000001971e-02,5.991089724634049984e-01,4.200561637559829808e-03,-9.216779969923494242e-02
3.100000000000002059e-02,5.990112464222929756e-01,4.383332740812484474e-03,-9.752281351134518828e-02
3.200000000000002148e-02,5.989077823561489433e-01,4.561748159174539019e-03,-1.029465107653262240e-01
3.300000000000002237e-02,5.987986630425905510e-01,4.735274152283253102e-03,-1.084301568959227940e-01
3.400000000000002326e-02,5.986839977542917079e-01,4.903410312091127654e-03,-1.139651326384818475e-01
3.500000000000002415e-02,5.985639208339847972e-01,5.065689135153372824e-03,-1.195429509972178589e-01
3.600000000000002504e-02,5.984385901418124432e-01,5.221675442334650086e-03,-1.251552734213328411e-01
3.700000000000002592e-02,5.983081853973762909e-01,5.370965665493887542e-03,-1.307939251102594735e-01
3.800000000000002681e-02,5.981729064374035065e-01,5.513187020127263693e-03,-1.364509093883708168e-01
3.900000000000002770e-02,5.980329714084927639e-01,5.647996582134606758e-03,-1.421184211065173175e-01
4.000000000000002859e-02,5.978886149129427618e-01,5.775080285937816971e-03,-1.477888590427686721e-01
4.100000000000002948e-02,5.977400861242111452e-01,5.894151860141694232e-03,-1.534548372878486722e-01
4.200000000000003036e-02,5.975876468871328395e-01,6.004951715819828451e-03,-1.591091956120807838e-01
4.300000000000003125e-02,5.974315698166385857e-01,6.107245801347027658e-03,-1.647450088203449847e-01
4.400000000000003214e-02,5.972721364073737549e-01,6.200824436514207338e-03,-1.703555951097277255e-01
4.500000000000003303e-02,5.971096420038483066e-01,6.285504789275309090e-03,-1.759344322027130425e-01
4.600000000000003392e-02,5.969444009662523420e-01,6.361136239864839670e-03,-1.814749285957537595e-01
4.700000000000003481e-02,5.967767443413601880e-01,6.427598428275171916e-03,-1.869706692336571552e-01
4.800000000000003569e-02,5.966070072856514139e-01,6.484796097281919636e-03,-1.924154987370341741e-01
4.900000000000003658e-02,5.964355282247703061e-01,6.532657629413962663e-03,-1.978035277471071052e-01
5.000000000000003747e-02,5.962626471780747561e-01,6.571133246056015675e-03,-2.031291358381648871e-01
5.100000000000003836e-02,5.960887038773513558e-01,6.600193210489713191e-03,-2.083869713580094041e-01
5.200000000000003925e-02,5.959140360211434562e-01,6.619826106132431498e-03,-2.135719540549885775e-01
5.300000000000004013e-02,5.957389772130344818e-01,6.630037273863242930e-03,-2.186792775862117510e-01
5.400000000000004102e-02,5.955638552033691857e-01,6.630847314076149246e-03,-2.237044110541585862e-01
5.500000000000004191e-02,5.953889900348594555e-01,6.622290628920002309e-03,-2.286431000047602913e-01
5.600000000000004280e-02,5.952146925066631455e-01,6.604414055142504569e-03,-2.334913665910166303e-01
5.700000000000004369e-02,5.950412626299427243e-01,6.577275556172657023e-03,-2.382455090381706553e-01
5.800000000000004458e-02,5.948689881984681183e-01,6.540942989126885543e-03,-2.429021004580002030e-01
5.900000000000004546e-02,5.946981464679645946e-01,6.495495774401227607e-03,-2.474579611540095869e-01
6.000000000000004635e-02,5.945290024296782105e-01,6.441027353155104329e-03,-2.519101300934582510e-01
6.100000000000004724e-02,5.943618077232393215e-01,6.377643319362025220e-03,-2.562558963249109145e-01
6.200000000000004813e-02,5.941967963308718570e-01,6.305459502815802253e-03,-2.604928025574163031e-01
6.300000000000004208e-02,5.940341839465478335e-01,6.224600288241288748e-03,-2.646186418147868369e-01
6.400000000000004297e-02,5.938741668063064472e-01,6.135197170574091530e-03,-2.686314531001057215e-01
6.500000000000004385e-02,5.937169205351114920e-01,6.037387397396898336e-03,-2.725295153550299498e-01
6.600000000000004474e-02,5.935625991051434180e-01,5.931312760690421459e-03,-2.763113378862956382e-01
6.700000000000004563e-02,5.934113346354112917e-01,5.817118708694613005e-03,-2.799756439019860932e-01
6.800000000000004652e-02,5.932632408973947946e-01,5.694955039422466836e-03,-2.835213488119136538e-01
6.900000000000004741e-02,5.931184253785536376e-01,5.564979265111236195e-03,-2.869475591749235943e-01
7.000000000000004829e-02,5.929769752580617004e-01,5.427347203342480775e-03,-2.902535098860483109e-01
7.100000000000004918e-02,5.928389754312265447e-01,5.282214558401554516e-03,-2.934385990558176505e-01
7.200000000000005007e-02,5.927045049118881970e-01,5.129740625279766153e-03,-2.965023854201496722e-01
7.300000000000005096e-02,5.925736367212911526e-01,4.970086999224909707e-03,-2.994445656201772943e-01
7.400000000000005185e-02,5.924464332312191495e-01,4.803416586029563007e-03,-3.022649705317502766e-01
