time,x,y,yaw
1.000000000000000021e-03,5.999999974406219350e-01,7.143568544476508464e-06,-1.252198838665056287e-04
2.000000000000000042e-03,5.999999634333251786e-01,2.842087381665914236e-05,-4.971680577035635876e-04
3.000000000000000062e-03,5.999998322255589711e-01,6.342768802536369321e-05,-1.110555408693482318e-03
4.000000000000000083e-03,5.999994924677584107e-01,1.117512340844117880e-04,-1.960445509397359259e-03
5.000000000000000104e-03,5.999987948979367269e-01,1.729490566854119393e-04,-3.042230555426008072e-03
6.000000000000000125e-03,5.999975561756761833e-01,2.465524993603418480e-04,-4.351605772252808285e-03
7.000000000000000146e-03,5.999955626262006847e-01,3.320700696683442921e-04,-5.884542880163414792e-03
8.000000000000000167e-03,5.999925738692372112e-01,4.289906890173611487e-04,-7.637263150509754003e-03
9.000000000000001055e-03,5.999883262893291880e-01,5.367868371298212260e-04,-9.606210504575865908e-03
1.000000000000000194e-02,5.999825365384481302e-01,6.549174807894408978e-04,-1.178802532193782421e-02
1.100000000000000283e-02,5.999749047247932010e-01,7.828309160449187232e-04,-1.417951925591425487e-02
1.200000000000000372e-02,5.999651175410111170e-01,9.199674140659142019e-04,-1.677765110509395891e-02
1.300000000000000461e-02,5.999528510867824238e-01,1.065761778633655954e-03,-1.957950426321345902e-02
1.400000000000000550e-02,5.999377735886718410e-01,1.219645717511763650e-03,-2.258226584698421954e-02
1.500000000000000638e-02,5.999195479197292347e-01,1.381050070004663510e-03,-2.578320762157071747e-02
1.600000000000000727e-02,5.998978339305438556e-01,1.549406886455384491e-03,-2.917966878916308446e-02
1.700000000000000816e-02,5.998722905920461645e-01,1.724151362100134754e-03,-3.276904065850889947e-02
1.800000000000000905e-02,5.998425779522007506e-01,1.904723628304738625e-03,-3.654875317278656610e-02
1.900000000000000994e-02,5.998083589103745394e-01,2.090570404677583038e-03,-4.051626323987427003e-02
2.000000000000001082e-02,5.997693008145805749e-01,2.281146515910770223e-03,-4.466904478266176676e-02
2.100000000000001171e-02,5.997250768879957006e-01,2.475916277464740300e-03,-4.900458040711856006e-02
2.200000000000001260e-02,5.996753674921332378e-01,2.674354754401031542e-03,-5.352035457177165695e-02
2.300000000000001349e-02,5.996198612348324630e-01,2.875948897798574766e-03,-5.821384813336798886e-02
2.400000000000001438e-02,5.995582559318022309e-01,3.080198563276403956e-03,-6.308253413906722562e-02
2.500000000000001527e-02,5.994902594308616495e-01,3.286617416194126395e-03,-6.812387473479401823e-02
2.600000000000001615e-02,5.994155903082503123e-01,3.494733728127918937e-03,-7.333531906166812497e-02
2.700000000000001704e-02,5.993339784464679632e-01,3.704091069224424437e-03,-7.871430201706836050e-02
2.800000000000001793e-02,5.992451655030559543e-01,3.914248901024985905e-03,-8.425824376328046317e-02
2.900000000000001882e-02,5.991489052795726522e-01,4.124783074329785304e-03,-8.996454987430911598e-02
3.000000000000001971e-02,5.990449639997594833e-01,4.335286236642255098e-03,-9.583061201985509925e-02
3.100000000000002059e-02,5.989331205055612450e-01,4.545368153694773206e-03,-1.018538090942990304e-01
3.200000000000002148e-02,5.988131663792670700e-01,4.754655949511910062e-03,-1.080315087074902730e-01
3.300000000000002237e-02,5.986849059995943412e-01,4.962794269415704562e-03,-1.143610689629758342e-01
3.400000000000002326e-02,5.985481565390627923e-01,5.169445370320713273e-03,-1.208398404578366198e-01
3.500000000000002415e-02,5.984027479095045399e-01,5.374289142603516645e-03,-1.274651684463946055e-01
3.600000000000002504e-02,5.982485226620506413e-01,5.577023067762143516e-03,-1.342343951176229178e-01
3.700000000000002592e-02,5.980853489071878970e-01,5.777347346282213358e-03,-1.411444719403710801e-01
3.800000000000002681e-02,5.979131339109040599e-01,5.974961376139953373e-03,-1.481911297691239915e-01
3.900000000000002770e-02,5.977318224521335210e-01,6.169567226720074071e-03,-1.553698166300068184e-01
4.000000000000002859e-02,5.975413801346864950e-01,6.360896052091002950e-03,-1.626759980076563084e-01
4.100000000000002948e-02,5.973418041031440806e-01,6.548671587211229994e-03,-1.701048159047342245e-01
4.200000000000003036e-02,5.971331409779881971e-01,6.732569138087618477e-03,-1.776496854949761173e-01
4.300000000000003125e-02,5.969154853605732614e-01,6.912225117712389455e-03,-1.853033690306761516e-01
4.400000000000003214e-02,5.966889615511965506e-01,7.087310897813725585e-03,-1.930587112211721024e-01
4.500000000000003303e-02,5.964537218568004562e-01,7.257529750814228908e-03,-2.009086538134565447e-01
4.600000000000003392e-02,5.962099455463487629e-01,7.422613535450095501e-03,-2.088462494086666954e-01
4.700000000000003481e-02,5.959578371614742132e-01,7.582321592534801979e-03,-2.168646744680618743e-01
4.800000000000003569e-02,5.956976252703524155e-01,7.736439812486284318e-03,-2.249572357760871721e-01
4.900000000000003658e-02,5.954295786396107681e-01,7.884788971447731498e-03,-2.331171456633703565e-01
5.000000000000003747e-02,5.951540318590683443e-01,8.027064915091974839e-03,-2.413358420662462533e-01
5.100000000000003836e-02,5.948713914145895565e-01,8.162876502872562501e-03,-2.496018642636393670e-01
5.200000000000003925e-02,5.945821215135721483e-01,8.291750887819138160e-03,-2.579035186218980868e-01
5.300000000000004013e-02,5.942867127708987285e-01,8.413293960212508971e-03,-2.662293653880630773e-01
5.400000000000004102e-02,5.939856830409975252e-01,8.527154850067553138e-03,-2.745682397255946317e-01
5.500000000000004191e-02,5.936795733095834304e-01,8.633023223430014159e-03,-2.829092708252475830e-01
5.600000000000004280e-02,5.933689435987823391e-01,8.730626550101761030e-03,-2.912418990691569842e-01
5.700000000000004369e-02,5.930543689191218881e-01,8.819727374621055827e-03,-2.995558912504368010e-01
5.800000000000004458e-02,5.927364352969566319e-01,8.900120617481743768e-03,-3.078413538664570015e-01
5.900000000000004546e-02,5.924157359021180458e-01,8.971630928581775244e-03,-3.160887445088284009e-01
6.000000000000004635e-02,5.920928673001900622e-01,9.034110109731152694e-03,-3.242888813633555967e-01
6.100000000000004724e-02,5.917684258632529559e-01,9.087434618374412576e-03,-3.324329508116751764e-01
6.200000000000004813e-02,5.914430043516272217e-01,9.131503113597227994e-03,-3.405125125541748066e-01
6.300000000000004208e-02,5.911171890521744743e-01,9.166234030708875213e-03,-3.485194998577503256e-01
6.400000000000004297e-02,5.907915576782737377e-01,9.191563850176609485e-03,-3.564462301609827022e-01
6.500000000000004385e-02,5.904666761772789929e-01,9.207445217872090026e-03,-3.642854128520848223e-01
6.600000000000004474e-02,5.901430939199499015e-01,9.213844347860766781e-03,-3.720301361188004807e-01
6.700000000000004563e-02,5.898213435738143273e-01,9.210739131532474921e-03,-3.796738602696700937e-01
6.800000000000004652e-02,5.895019428330381395e-01,9.198121035746686935e-03,-3.872104013425412550e-01
6.900000000000004741e-02,5.891853918360167031e-01,9.175997916889333528e-03,-3.946339106548496511e-01
7.000000000000004829e-02,5.888721692354061954e-01,9.144391434777021654e-03,-4.019388967974291127e-01
7.100000000000004918e-02,5.885627277417722070e-01,9.103334657688977316e-03,-4.091202269288610194e-01
7.200000000000005007e-02,5.882574928319516117e-01,9.052869848427180788e-03,-4.161731227018385382e-01
7.300000000000005096e-02,5.879568611263814581e-01,8.993046593809284062e-03,-4.230931553931571165e-01
7.400000000000005185e-02,5.876611989338671460e-01,8.923920063441725947e-03,-4.298762401349488504e-01
