time,x,y,yaw
1.000000000000000021e-03,5.999999974492713495e-01,-7.144457427277206563e-06,1.252161951340062182e-04
2.000000000000000042e-03,5.999999634612963595e-01,-2.842812092934687840e-05,4.971150613025056200e-04
3.000000000000000062e-03,5.999998322233215386e-01,-6.345660511858364217e-05,1.110299712757235099e-03
4.000000000000000083e-03,5.999994921836471207e-01,-1.118318709640298003e-04,1.959663896488803275e-03
5.000000000000000104e-03,5.999987935971680120e-01,-1.731304049078508100e-04,3.040375038106664200e-03
6.000000000000000125e-03,5.999975521852860538e-01,-2.469061936852812167e-04,4.347856368287979743e-03
7.000000000000000146e-03,5.999955526841685982e-01,-3.326935900099803334e-04,5.877768462539218960e-03
8.000000000000000167e-03,5.999925522621698537e-01,-4.300100689623165273e-04,7.625990488358385874e-03
9.000000000000001055e-03,5.999882837892355214e-01,-5.383588881973100371e-04,9.588601396305230368e-03
1.000000000000000194e-02,5.999824590554130310e-01,-6.572315871466449799e-04,1.176186141829150926e-02
1.100000000000000283e-02,5.999747718282900655e-01,-7.861103488625009739e-04,1.414219426301450977e-02
1.200000000000000372e-02,5.999649007799647826e-01,-9.244702265820969878e-04,1.672616974731080605e-02
1.300000000000000461e-02,5.999525121475977052e-01,-1.071781295899132402e-03,1.951048727995273457e-02
1.400000000000000550e-02,5.999372623112924074e-01,-1.227510644751017566e-03,2.249196031371160365e-02
1.500000000000000638e-02,5.999188002036041079e-01,-1.391124240458896377e-03,2.566750182970001237e-02
1.600000000000000727e-02,5.998967695599410899e-01,-1.562088671845818233e-03,2.903411091489137980e-02
1.700000000000000816e-02,5.998708110107358049e-01,-1.739872769050854195e-03,3.258886046803242259e-02
1.800000000000000905e-02,5.998405640172925768e-01,-1.923949104098265916e-03,3.632888604645045233e-02
1.900000000000000994e-02,5.998056686541374249e-01,-2.113795375621008166e-03,4.025137584660274520e-02
2.000000000000001082e-02,5.997657672415159791e-01,-2.308895681390255028e-03,4.435356179460338971e-02
2.100000000000001171e-02,5.997205058324118765e-01,-2.508741682486714808e-03,4.863271170929393816e-02
2.200000000000001260e-02,5.996695355590762055e-01,-2.712833663075564505e-03,5.308612248953252510e-02
2.300000000000001349e-02,5.996125138445913549e-01,-2.920681489821330690e-03,5.771111426905143477e-02
2.400000000000001438e-02,5.995491054854207302e-01,-3.131805475023174967e-03,6.250502547623217053e-02
2.500000000000001527e-02,5.994789836112432990e-01,-3.345737147554150859e-03,6.746520873221042991e-02
2.600000000000001615e-02,5.994018305286238357e-01,-3.562019935676952187e-03,7.258902751858389846e-02
2.700000000000001704e-02,5.993173384552451521e-01,-3.780209765770925490e-03,7.787385354539022586e-02
2.800000000000001793e-02,5.992252101515218587e-01,-3.999875580953327070e-03,8.331706475069675100e-02
2.900000000000001882e-02,5.991251594564424021e-01,-4.220599783516576498e-03,8.891604386486076650e-02
3.000000000000001971e-02,5.990169117344430472e-01,-4.441978605029428540e-03,9.466817747505967828e-02
3.100000000000002059e-02,5.989002042400173309e-01,-4.663622407867662467e-03,1.005708555288585826e-01
3.200000000000002148e-02,5.987747864066186310e-01,-4.885155921856454420e-03,1.066214712192042613e-01
3.300000000000002237e-02,5.986404200662122088e-01,-5.106218419611396886e-03,1.128174211971585128e-01
3.400000000000002326e-02,5.984968796056059359e-01,-5.326463834072314718e-03,1.191561060627812918e-01
3.500000000000002415e-02,5.983439520654246779e-01,-5.545560821624107017e-03,1.256349310887382165e-01
3.600000000000002504e-02,5.981814371873065417e-01,-5.763192774097480875e-03,1.322513071353487446e-01
3.700000000000002592e-02,5.980091474145964314e-01,-5.979057782840524471e-03,1.390026517198414968e-01
3.800000000000002681e-02,5.978269080493983090e-01,-6.192868810864060602e-03,1.458863874392006266e-01
3.900000000000002770e-02,5.976345595840997227e-01,-6.404358096582463133e-03,1.528999029936253251e-01
4.000000000000002859e-02,5.974319685780129507e-01,-6.613286815339791680e-03,1.600403664528774750e-01
4.100000000000002948e-02,5.972190253859900322e-01,-6.819446429569997470e-03,1.673047236298295937e-01
4.200000000000003036e-02,5.969956433683967223e-01,-7.022657778002039386e-03,1.746899035619464968e-01
4.300000000000003125e-02,5.967617525235541232e-01,-7.222767990818446115e-03,1.821928324792677079e-01
4.400000000000003214e-02,5.965172997735022076e-01,-7.419649904985503586e-03,1.898104387246443425e-01
4.500000000000003303e-02,5.962622547122135019e-01,-7.613089465038191950e-03,1.975387964852072242e-01
4.600000000000003392e-02,5.959966382528077977e-01,-7.802790952325000529e-03,2.053714614599202737e-01
4.700000000000003481e-02,5.957205118190177506e-01,-7.988364764396793660e-03,2.133012015707493880e-01
4.800000000000003569e-02,5.954339718274139770e-01,-8.169486563535943713e-03,2.213208602948754378e-01
4.900000000000003658e-02,5.951371353728311941e-01,-8.345867002182094652e-03,2.294233709079273043e-01
5.000000000000003747e-02,5.948301416933639008e-01,-8.517249906865365094e-03,2.376017699319420973e-01
5.100000000000003836e-02,5.945131647046029144e-01,-8.683401490143682899e-03,2.458489805585708232e-01
5.200000000000003925e-02,5.941864670127546821e-01,-8.844026280057537548e-03,2.541559847600391997e-01
5.300000000000004013e-02,5.938503837364924598e-01,-8.998812587215576642e-03,2.625122059691178400e-01
5.400000000000004102e-02,5.935053046294046508e-01,-9.147436324572821853e-03,2.709071603922309501e-01
5.500000000000004191e-02,5.931516436506230061e-01,-9.289626611049206506e-03,2.793305902284612396e-01
5.600000000000004280e-02,5.927898427505817747e-01,-9.425147156208013577e-03,2.877724793475990306e-01
5.700000000000004369e-02,5.924203688077522845e-01,-9.553793943993638127e-03,2.962230674757796445e-01
5.800000000000004458e-02,5.920437105626019658e-01,-9.675392913615632473e-03,3.046728628995293287e-01
5.900000000000004546e-02,5.916603755722252833e-01,-9.789797659329690926e-03,3.131126537132976062e-01
6.000000000000004635e-02,5.912708872062331089e-01,-9.896887167979540045e-03,3.215335176474107270e-01
6.100000000000004724e-02,5.908757817017907810e-01,-9.996563610408681910e-03,3.299268305230610432e-01
6.200000000000004813e-02,5.904756052931914301e-01,-1.008875020025129521e-02,3.382842733886651243e-01
6.300000000000004208e-02,5.900709114290194623e-01,-1.017338913118936983e-02,3.465978383978984834e-01
6.400000000000004297e-02,5.896622580878105868e-01,-1.025043960152727252e-02,3.548598334941446275e-01
6.500000000000004385e-02,5.892502052011397984e-01,-1.031987593289890315e-02,3.630628859691745758e-01
