time,x,y,yaw
1.000000000000000021e-03,5.999999977530228179e-01,5.001050757458269658e-06,-1.023502024694416922e-04
2.000000000000000042e-03,5.999999678274645643e-01,1.986274856813352585e-05,-4.059819802763793041e-04
3.000000000000000062e-03,5.999998525681452533e-01,4.423669222453074923e-05,-9.057168825631503693e-04
4.000000000000000083e-03,5.999995546537491009e-01,7.774716136771386843e-05,-1.596532997957983945e-03
5.000000000000000104e-03,5.999989442106443693e-01,1.199814927386189112e-04,-2.473551984172733375e-03
6.000000000000000125e-03,5.999978625073941751e-01,1.704941355825106974e-04,-3.532024901424010016e-03
7.000000000000000146e-03,5.999961255836374630e-01,2.288106148039537047e-04,-4.767317349376091508e-03
8.000000000000000167e-03,5.999935278208841094e-01,2.944313755450789216e-04,-6.174894410228307269e-03
9.000000000000001055e-03,5.999898453816663313e-01,3.668355009640023034e-04,-7.750305781367795854e-03
1.000000000000000194e-02,5.999848394776543525e-01,4.454842919620616293e-04,-9.489171471380831308e-03
1.100000000000000283e-02,5.999782595020557441e-01,5.298246935478978514e-04,-1.138716837108142386e-02
1.200000000000000372e-02,5.999698459903149983e-01,6.192925604365795422e-04,-1.344001794781382250e-02
1.300000000000000461e-02,5.999593333998725075e-01,7.133157547108970320e-04,-1.564347525166917205e-02
1.400000000000000550e-02,5.999464527007520864e-01,8.113170706007810651e-04,-1.799331936414005212e-02
1.500000000000000638e-02,5.999309337713423229e-01,9.127169830799308770e-04,-2.048534536818951562e-02
1.600000000000000727e-02,5.999125075961674325e-01,1.016936218364683508e-03,-2.311535787157639743e-02
1.700000000000000816e-02,5.998909082646836088e-01,1.123398145789378244e-03,-2.587916607421618040e-02
1.800000000000000905e-02,5.998658747721782314e-01,1.231530991758433835e-03,-2.877258033571267193e-02
1.900000000000000994e-02,5.998371526256870423e-01,1.340769877572867141e-03,-3.179141017100076128e-02
2.000000000000001082e-02,5.998044952594600021e-01,1.450558683902092305e-03,-3.493146358006967572e-02
2.100000000000001171e-02,5.997676652659132968e-01,1.560351745529098277e-03,-3.818854760157138623e-02
2.200000000000001260e-02,5.997264354491872451e-01,1.669615380747835331e-03,-4.155846996920866537e-02
2.300000000000001349e-02,5.996805897094069637e-01,1.777829260445673576e-03,-4.503704174350915690e-02
2.400000000000001438e-02,5.996299237665136950e-01,1.884487622463904000e-03,-4.862008078925782878e-02
2.500000000000001527e-02,5.995742457331160180e-01,1.989100337309923638e-03,-5.230341596981205599e-02
2.600000000000001615e-02,5.995133765462151709e-01,2.091193831691873228e-03,-5.608289193312086807e-02
2.700000000000001704e-02,5.994471541073876919e-01,2.190303620174027799e-03,-5.995418501139945788e-02
2.800000000000001793e-02,5.993754442571178620e-01,2.285962971426191981e-03,-6.391195896946651189e-02
2.900000000000001882e-02,5.992981414424051190e-01,2.377707479610580155e-03,-6.795043191689838225e-02
3.000000000000001971e-02,5.992151623615840084e-01,2.465097229775226051e-03,-7.206385088942751649e-02
3.100000000000002059e-02,5.991264452674665009e-01,2.547717209857636167e-03,-7.624650295189484839e-02
3.200000000000002148e-02,5.990319499279473936e-01,2.625176693402175854e-03,-8.049272631790171939e-02
3.300000000000002237e-02,5.989316571745584294e-01,2.697109293474553304e-03,-8.479692136858339724e-02
3.400000000000002326e-02,5.988255683107078786e-01,2.763172881100839362e-03,-8.915356146406101800e-02
3.500000000000002415e-02,5.987137043950370163e-01,2.823049381152020754e-03,-9.355720345572529628e-02
3.600000000000002504e-02,5.985961054148060123e-01,2.876444458467630749e-03,-9.800249782140262045e-02
3.700000000000002592e-02,5.984728293636183416e-01,2.923087106768473831e-03,-1.024841983584801747e-01
3.800000000000002681e-02,5.983439512371102609e-01,2.962729152569232305e-03,-1.069971713821073339e-01
3.900000000000002770e-02,5.982095619594833824e-01,2.995144685870088086e-03,-1.115364043865735011e-01
4.000000000000002859e-02,5.980697672529269315e-01,3.020129428899620549e-03,-1.160970141378320081e-01
4.100000000000002948e-02,5.979246864610128220e-01,3.037500053595709737e-03,-1.206742541737799712e-01
4.200000000000003036e-02,5.977744513358549394e-01,3.047093457828886631e-03,-1.252635216958546127e-01
4.300000000000003125e-02,5.976192046571368044e-01,3.048765990856683317e-03,-1.298603636232005532e-01
4.400000000000003214e-02,5.974591057123762594e-01,3.042392566370899498e-03,-1.344603791622846212e-01
4.500000000000003303e-02,5.972943525419474042e-01,3.027868678710854411e-03,-1.390586081502983851e-01
4.600000000000003392e-02,5.971251767097702778e-01,3.005111712403085722e-03,-1.436498451822287303e-01
4.700000000000003481e-02,5.969518278005083722e-01,2.974061609020139940e-03,-1.482290554120109238e-01
4.800000000000003569e-02,5.967745672193226492e-01,2.934679697702002876e-03,-1.527913788300333531e-01
4.900000000000003658e-02,5.965936683594363910e-01,2.886946980206306357e-03,-1.573321359127392294e-01
5.000000000000003747e-02,5.964094146101913685e-01,2.830862822978508220e-03,-1.618468335816829473e-01
5.100000000000003836e-02,5.962220971495819644e-01,2.766443604410862012e-03,-1.663311710371491170e-01
5.200000000000003925e-02,5.960320123932567604e-01,2.693721376941071721e-03,-1.707810431434374221e-01
5.300000000000004013e-02,5.958394607358273865e-01,2.612742553079028252e-03,-1.751925435571576040e-01
5.400000000000004102e-02,5.956447445869028634e-01,2.523566686903400136e-03,-1.795619670721705363e-01
5.500000000000004191e-02,5.954481665284526715e-01,2.426265271871508311e-03,-1.838858112747284168e-01
5.600000000000004280e-02,5.952500275052208245e-01,2.320920561044936825e-03,-1.881607777121845904e-01
5.700000000000004369e-02,5.950506250478740933e-01,2.207624396418528256e-03,-1.923837724334411803e-01
5.800000000000004458e-02,5.948502515258342616e-01,2.086477088857452422e-03,-1.965519059139317071e-01
5.900000000000004546e-02,5.946492022121813159e-01,1.957589820685778914e-03,-2.006624173579687753e-01
6.000000000000004635e-02,5.944477865960716700e-01,1.821091678618436127e-03,-2.047124064573503932e-01
6.100000000000004724e-02,5.942463257487844430e-01,1.677128171443165172e-03,-2.086990556808777930e-01
6.200000000000004813e-02,5.940451318945296766e-01,1.525855777779083766e-03,-2.126197453410010596e-01
6.300000000000004208e-02,5.938445099520101023e-01,1.367445151471802234e-03,-2.164720489677493531e-01
6.400000000000004297e-02,5.936447578948687021e-01,1.202071572979912517e-03,-2.202537379801151329e-01
6.500000000000004385e-02,5.934461666150798731e-01,1.029917335413021995e-03,-2.239627805699984375e-01
6.600000000000004474e-02,5.932490159541955466e-01,8.511625753693241592e-04,-2.275973373158473034e-01
6.700000000000004563e-02,5.930535704286671317e-01,6.659907505133233485e-04,-2.311557598150886239e-01
6.800000000000004652e-02,5.928600761652359497e-01,4.745836258053248713e-04,-2.346365793189485460e-01
6.900000000000004741e-02,5.926687601981365239e-01,2.771255529867011624e-04,-2.380384983678407729e-01
7.000000000000004829e-02,5.924798301613941609e-01,7.380146817154153993e-05,-2.413603808145483864e-01
7.100000000000004918e-02,5.922934748078207967e-01,-1.352040604498672138e-04,-2.446012398176725111e-01
7.200000000000005007e-02,5.921098700334086473e-01,-3.497043698143520452e-04,-2.477602000159761231e-01
7.300000000000005096e-02,5.919291811181291996e-01,-5.695073708607556462e-04,-2.508364608949161245e-01
7.400000000000005185e-02,5.917515682410587896e-01,-7.944163154576244779e-04,-2.538293317364050394e-01
7.500000000000005274e-02,5.915771946381207513e-01,-1.024229816398047888e-03,-2.567382903478633849e-01
7.600000000000005362e-02,5.914062391599627100e-01,-1.258740661851942555e-03,-2.595630139881433540e-01
7.700000000000005451e-02,5.912388249935216500e-01,-1.497749030185568930e-03,-2.623029821917809978e-01
7.800000000000005540e-02,5.910750602531500419e-01,-1.741055557286874667e-03,-2.649577535047196175e-01
7.900000000000005629e-02,5.909150426255782573e-01,-1.988463841581022962e-03,-2.675270577981578857e-01
8.000000000000005718e-02,5.907588810782035127e-01,-2.239776661618120279e-03,-2.700107386718509361e-01
8.100000000000005806e-02,5.906066782789334280e-01,-2.494799664464086852e-03,-2.724087331639586940e-01
8.200000000000005895e-02,5.904585303083550452e-01,-2.753340318002672760e-03,-2.747210644466834273e-01
8.300000000000005984e-02,5.903145252730768178e-01,-3.015212395827471248e-03,-2.769478343813723820e-01
8.400000000000006073e-02,5.901747460320593275e-01,-3.280237830913468322e-03,-2.790892206745095860e-01
8.500000000000006162e-02,5.900392711642972188e-01,-3.548245662008786550e-03,-2.811454786171521669e-01
8.600000000000006251e-02,5.899081738217911708e-01,-3.819069438774469472e-03,-2.831169387875056564e-01
8.700000000000006339e-02,5.897815186419935740e-01,-4.092547908476906748e-03,-2.850040045262809407e-01
8.800000000000006428e-02,5.896593625870111266e-01,-4.368527323954762842e-03,-2.868071504943773276e-01
8.900000000000006517e-02,5.895417561617535274e-01,-4.646862737189616510e-03,-2.885269229053564755e-01
9.000000000000006606e-02,5.894287433693917722e-01,-4.927416041181131856e-03,-2.901639383276434780e-01
9.100000000000006695e-02,5.893203617912433634e-01,-5.210056037052823719e-03,-2.917188826682849401e-01
9.200000000000006783e-02,5.892166425540489305e-01,-5.494658364793514327e-03,-2.931925108627482790e-01
9.300000000000006872e-02,5.891176102518161928e-01,-5.781105531773023110e-03,-2.945856464962892662e-01
9.400000000000006961e-02,5.890232828404106113e-01,-6.069286883823910017e-03,-2.958991813091493839e-01
9.500000000000007050e-02,5.889336715258113308e-01,-6.359098551483588491e-03,-2.971340745768042968e-01
9.600000000000007139e-02,5.888487806570111838e-01,-6.650443366892966335e-03,-2.982913523584826421e-01
9.700000000000007228e-02,5.887686076907623356e-01,-6.943230733392036225e-03,-2.993721066739595815e-01
9.800000000000007316e-02,5.886931433889110998e-01,-7.237376384745253244e-03,-3.003774951203292409e-01
9.900000000000007405e-02,5.886223711318040452e-01,-7.532802362715473876e-03,-3.013087385585267453e-01
1.000000000000000749e-01,5.885562668026955713e-01,-7.829436309686854667e-03,-3.021671184180964032e-01
1.010000000000000758e-01,5.884947986529519559e-01,-8.127204217284800247e-03,-3.029539573822672138e-01
1.020000000000000767e-01,5.884379272691663276e-01,-8.426024596644265952e-03,-3.036705947554999563e-01
1.030000000000000776e-01,5.883856053152929366e-01,-8.725804083359600671e-03,-3.043183850507591437e-01
1.040000000000000785e-01,5.883377775319542646e-01,-9.026439025508370406e-03,-3.048986996554637341e-01
1.050000000000000794e-01,5.882943810926863915e-01,-9.327816341741346218e-03,-3.054129285016803919e-01
1.060000000000000803e-01,5.882553457257021501e-01,-9.629814343877607374e-03,-3.058624814654180568e-01
1.070000000000000812e-01,5.882205939322482369e-01,-9.932303591594360270e-03,-3.062487896409006316e-01
1.080000000000000820e-01,5.881900412054844596e-01,-1.023514777963802080e-02,-3.065733066472292601e-01
1.090000000000000829e-01,5.881635963868966366e-01,-1.053820464341187479e-02,-3.068375097552561437e-01
1.100000000000000838e-01,5.881411620058454304e-01,-1.084132686660244094e-02,-3.070429008436247331e-01
1.110000000000000847e-01,5.881226346610129996e-01,-1.114436298761611877e-02,-3.071910071566387179e-01
1.120000000000000856e-01,5.881079054334595879e-01,-1.144715829681081098e-02,-3.072833818422242569e-01
1.130000000000000865e-01,5.880968603280528617e-01,-1.174955571759916939e-02,-3.073216042537354475e-01
1.140000000000000874e-01,5.880893807391693873e-01,-1.205139666764531992e-02,-3.073072800254726400e-01
1.150000000000000883e-01,5.880853439296483964e-01,-1.235252193942709686e-02,-3.072420414179197201e-01
1.160000000000000892e-01,5.880846235285498436e-01,-1.265277253456825735e-02,-3.071275476434575102e-01
1.170000000000000900e-01,5.880870900420352987e-01,-1.295199044967809687e-02,-3.069654841535793821e-01
1.180000000000000909e-01,5.880926113796550725e-01,-1.325001937025116483e-02,-3.067575615320765614e-01
1.190000000000000918e-01,5.881010533831823039e-01,-1.354670532553881035e-02,-3.065055141721215182e-01
1.200000000000000927e-01,5.881122803580235425e-01,-1.384189729270068892e-02,-3.062110987637057802e-01
1.210000000000000936e-01,5.881261549998569871e-01,-1.413544738469968420e-02,-3.058760936159635180e-01
1.220000000000000945e-01,5.881425398454941389e-01,-1.442721174946393070e-02,-3.055022968568587016e-01
1.230000000000000954e-01,5.881612979554585730e-01,-1.471705110752569157e-02,-3.050915224492330990e-01
1.240000000000000963e-01,5.881822940625798246e-01,-1.500483153568082928e-02,-3.046455980465274105e-01
1.250000000000000833e-01,5.882053933321582662e-01,-1.529042451051637608e-02,-3.041663616440919427e-01
