time,x,y,yaw
1.000000000000000021e-03,5.999999999007092910e-01,-4.331816423397416571e-06,4.932784563919062035e-05
2.000000000000000042e-03,5.999999979933224870e-01,-1.725837923810535912e-05,1.961418666628230410e-04
3.000000000000000062e-03,5.999999906061718180e-01,-3.858619218155556752e-05,4.388528917782405460e-04
4.000000000000000083e-03,5.999999714212261859e-01,-6.812990981963640280e-05,7.757613653731893063e-04
5.000000000000000104e-03,5.999999319311587476e-01,-1.056953910750224601e-04,1.205063031487674154e-03
6.000000000000000125e-03,5.999998616532999929e-01,-1.510801685445928300e-04,1.724854621847380070e-03
7.000000000000000146e-03,5.999997483476363636e-01,-2.040739249351553042e-04,2.333139538789116320e-03
8.000000000000000167e-03,5.999995782376148501e-01,-2.644589758347692943e-04,3.027833525181074150e-03
9.000000000000001055e-03,5.999993362336157876e-01,-3.320107583834053244e-04,3.806770313200040674e-03
1.000000000000000194e-02,5.999990061565099175e-01,-4.064983251278464493e-04,4.667707243623865111e-03
1.100000000000000283e-02,5.999985709605201167e-01,-4.876848425274249443e-04,5.608330848483500386e-03
1.200000000000000372e-02,5.999980129636089954e-01,-5.753280939645999403e-04,6.626262387455790492e-03
1.300000000000000461e-02,5.999973140638552582e-01,-6.691809851760988082e-04,7.719063334135281909e-03
1.400000000000000550e-02,5.999964559506153483e-01,-7.689920518038073638e-04,8.884240806777004423e-03
1.500000000000000638e-02,5.999954203041106826e-01,-8.745059675937527643e-04,1.011925293473291479e-02
1.600000000000000727e-02,5.999941889909938819e-01,-9.854640528276781275e-04,1.142151415551414910e-02
1.700000000000000816e-02,5.999927442493684371e-01,-1.101604781578058301e-03,1.278840043671129918e-02
1.800000000000000905e-02,5.999910688632280609e-01,-1.222664286740282602e-03,1.421725441719638022e-02
1.900000000000000994e-02,5.999891463255712099e-01,-1.348376861730449239e-03,1.570539046221242768e-02
2.000000000000001082e-02,5.999869609895842615e-01,-1.478475457731887044e-03,1.725009962713465114e-02
2.100000000000001171e-02,5.999844982074381550e-01,-1.612692175376073678e-03,1.884865452486545606e-02
2.200000000000001260e-02,5.999817444563695368e-01,-1.750758749757996835e-03,2.049831409200835591e-02
2.300000000000001349e-02,5.999786874173977935e-01,-1.892407028777187694e-03,2.219632825075415830e-02
2.400000000000001438e-02,5.999753160746045255e-01,-2.037369441732217457e-03,2.393994246013467914e-02
2.500000000000001527e-02,5.999716207858836192e-01,-2.185379458614855608e-03,2.572640215065728764e-02
2.600000000000001615e-02,5.999675933666387406e-01,-2.336172037822215053e-03,2.755295704143401886e-02
2.700000000000001704e-02,5.999632271365336056e-01,-2.489484062890068294e-03,2.941686533500459388e-02
2.800000000000001793e-02,5.999585169564290998e-01,-2.645054766565679838e-03,3.131539778621313108e-02
2.900000000000001882e-02,5.999534592519328857e-01,-2.802626141505892843e-03,3.324584164184424956e-02
3.000000000000001971e-02,5.999480520240120240e-01,-2.961943336859618192e-03,3.520550444782948735e-02
3.100000000000002059e-02,5.999422948471948569e-01,-3.122755040390945425e-03,3.719171771876238902e-02
3.200000000000002148e-02,5.999361888559675560e-01,-3.284813845039535884e-03,3.920184046871309780e-02
