time,x,y,yaw
1.000000000000000021e-03,5.999999974492705723e-01,-7.143568544198952708e-06,1.252198838722359895e-04
2.000000000000000042e-03,5.999999634677309901e-01,-2.842087381599300855e-05,4.971680577934134817e-04
3.000000000000000062e-03,5.999998323023295610e-01,-6.342768802303222486e-05,1.110555409140199633e-03
4.000000000000000083e-03,5.999994926030021158e-01,-1.117512340780835167e-04,1.960445510783087163e-03
5.000000000000000104e-03,5.999987951072350834e-01,-1.729490566713676181e-04,3.042230558743958153e-03
6.000000000000000125e-03,5.999975564740596123e-01,-2.465524993335299619e-04,4.351605778995088630e-03
7.000000000000000146e-03,5.999955630281275099e-01,-3.320700696227696369e-04,5.884542892394921398e-03
8.000000000000000167e-03,5.999925743885785590e-01,-4.289906889456962524e-04,7.637263170929082558e-03
9.000000000000001055e-03,5.999883269393607721e-01,-5.367868370233508379e-04,9.606210536565644789e-03
1.000000000000000194e-02,5.999825373318465882e-01,-6.549174806392277226e-04,1.178802536959904987e-02
1.100000000000000283e-02,5.999749056736324304e-01,-7.828309158431356884e-04,1.417951932408578232e-02
1.200000000000000372e-02,5.999651190561345881e-01,-9.199692429895933721e-04,1.677759914841303601e-02
1.300000000000000461e-02,5.999528558534289457e-01,-1.065773922279855679e-03,1.957914623376037430e-02
1.400000000000000550e-02,5.999377888978002504e-01,-1.219688747566671783e-03,2.258108929511588175e-02
1.500000000000000638e-02,5.999195885801273942e-01,-1.381161098211347582e-03,2.578041680315239226e-02
1.600000000000000727e-02,5.998979254103219416e-01,-1.549644682618700475e-03,2.917415961692331264e-02
1.700000000000000816e-02,5.998724723969393047e-01,-1.724601951922255516e-03,3.275937595021021637e-02
1.800000000000000905e-02,5.998429071810538193e-01,-1.905506275977464359e-03,3.653313862919499444e-02
1.900000000000000994e-02,5.998089139212814391e-01,-2.091843891013911438e-03,4.049252455355450975e-02
2.000000000000001082e-02,5.997701849365577598e-01,-2.283115622826903390e-03,4.463460623760381191e-02
2.100000000000001171e-02,5.997264221156753949e-01,-2.478838391094695393e-03,4.895644528204978752e-02
2.200000000000001260e-02,5.996773418099852204e-01,-2.678546082729715838e-03,5.345487833233664166e-02
2.300000000000001349e-02,5.996226775676920528e-01,-2.881793083300776548e-03,5.812636754738599587e-02
2.400000000000001438e-02,5.995621817131320253e-01,-3.088154766576867161e-03,6.296728950815709547e-02
2.500000000000001527e-02,5.994956239857653912e-01,-3.297230094304992587e-03,6.797398164138870880e-02
2.600000000000001615e-02,5.994227924141352082e-01,-3.508641792107802804e-03,7.314274541044078759e-02
2.700000000000001704e-02,5.993434936511464750e-01,-3.722036762169811386e-03,7.846985053192701010e-02
2.800000000000001793e-02,5.992575531198284233e-01,-3.937086299354963792e-03,8.395154001612585570e-02
2.900000000000001882e-02,5.991648149887356389e-01,-4.153486125521688166e-03,8.958403584477032944e-02
3.000000000000001971e-02,5.990651419958665791e-01,-4.370956257099101183e-03,9.536354511690828262e-02
3.100000000000002059e-02,5.989584151394524714e-01,-4.589240721104892451e-03,1.012862665113084260e-01
3.200000000000002148e-02,5.988445395665074056e-01,-4.808097587068793644e-03,1.073481684675640507e-01
3.300000000000002237e-02,5.987234571983420794e-01,-5.027146936504689467e-03,1.135431145062910652e-01
3.400000000000002326e-02,5.985951459611835723e-01,-5.245964663041613463e-03,1.198633536302936980e-01
3.500000000000002415e-02,5.984596121226376519e-01,-5.464081526320663240e-03,1.263011176493411825e-01
3.600000000000002504e-02,5.983168867660599854e-01,-5.681083358268113059e-03,1.328486654231133823e-01
3.700000000000002592e-02,5.981670442618048922e-01,-5.896512627503680548e-03,1.394972775636863505e-01
3.800000000000002681e-02,5.980101949661313920e-01,-6.109918007996095746e-03,1.462372388687210034e-01
3.900000000000002770e-02,5.978464863402762619e-01,-6.320842304241069964e-03,1.530588979069057443e-01
4.000000000000002859e-02,5.976760912724471408e-01,-6.528872085431014494e-03,1.599526983576380346e-01
4.100000000000002948e-02,5.974992086794839175e-01,-6.733624054889086885e-03,1.669091978237933482e-01
4.200000000000003036e-02,5.973160617064130484e-01,-6.934743874202287106e-03,1.739190855953553494e-01
4.300000000000003125e-02,5.971268958596310794e-01,-7.131904903074026691e-03,1.809731993187921884e-01
4.400000000000003214e-02,5.969319770929557567e-01,-7.324806875408429452e-03,1.880625405440874143e-01
4.500000000000003303e-02,5.967315898639800054e-01,-7.513174530611788082e-03,1.951782891360169803e-01
4.600000000000003392e-02,5.965260351764521962e-01,-7.696756217511147025e-03,2.023118165487871600e-01
4.700000000000003481e-02,5.963156286227802028e-01,-7.875322486670943700e-03,2.094546979737061110e-01
4.800000000000003569e-02,5.961006984392299701e-01,-8.048664685265438656e-03,2.165987233783493449e-01
4.900000000000003658e-02,5.958815835849631259e-01,-8.216593567059726766e-03,2.237359074628900157e-01
