time,x,y,yaw
1.000000000000000021e-03,5.999999983959570793e-01,2.140743044831694419e-06,-6.550283928526804442e-05
2.000000000000000042e-03,5.999999770363164675e-01,8.487393739098347822e-06,-2.596201024768219072e-04
3.000000000000000062e-03,5.999998949072631316e-01,1.886343110213406504e-05,-5.785908557710713312e-04
4.000000000000000083e-03,5.999996829715642521e-01,3.306797838759090169e-05,-1.018725828812780832e-03
5.000000000000000104e-03,5.999992494146813016e-01,5.087567274686399799e-05,-1.576402766044096831e-03
6.000000000000000125e-03,5.999984824384330118e-01,7.203945158107405433e-05,-2.248061386399481838e-03
7.000000000000000146e-03,5.999972529891021145e-01,9.629325599602722718e-05,-3.030198144356779574e-03
8.000000000000000167e-03,5.999954173930699408e-01,1.233546410885910660e-04,-3.919360959288146519e-03
9.000000000000001055e-03,5.999928198820609904e-01,1.529272840296580505e-04,-4.912144066701660053e-03
1.000000000000000194e-02,5.999892950172317496e-01,1.847033814843523913e-04,-6.005183124733648632e-03
1.100000000000000283e-02,5.999846699927784410e-01,2.183659303073848257e-04,-7.195150686932440601e-03
1.200000000000000372e-02,5.999787668122943396e-01,2.535908866146963092e-04,-8.478752131738076167e-03
1.300000000000000461e-02,5.999714043316938250e-01,2.900491996524201532e-04,-9.852722118513318472e-03
1.400000000000000550e-02,5.999624001640075921e-01,3.274087180988316526e-04,-1.131382162037869107e-02
1.500000000000000638e-02,5.999515724427456620e-01,3.653359675520606586e-04,-1.285883556581451231e-02
1.600000000000000727e-02,5.999387414418221320e-01,4.034977989808563592e-04,-1.448457110429214947e-02
1.700000000000000816e-02,5.999237310512551824e-01,4.415629088544981151e-04,-1.618785649627595830e-02
1.800000000000000905e-02,5.999063701089705214e-01,4.792032325098838363e-04,-1.796554061490997917e-02
1.900000000000000994e-02,5.998864935900795059e-01,5.160952130774387747e-04,-1.981449303561330644e-02
2.000000000000001082e-02,5.998639436559426441e-01,5.519209489586729411e-04,-2.173160468063934855e-02
