time,x,y,yaw
1.000000000000000021e-03,5.999999974406219350e-01,7.143568544476508464e-06,-1.252198838665056287e-04
2.000000000000000042e-03,5.999999634333251786e-01,2.842087381665914236e-05,-4.971680577035635876e-04
3.000000000000000062e-03,5.999998322255589711e-01,6.342768802536369321e-05,-1.110555408693482318e-03
4.000000000000000083e-03,5.999994925883476160e-01,1.117303194193564053e-04,-1.960116259919495244e-03
5.000000000000000104e-03,5.999987958636695540e-01,1.728428430011197392e-04,-3.040475572618741434e-03
6.000000000000000125e-03,5.999975601812129744e-01,2.462449263193056126e-04,-4.346461510327850539e-03
7.000000000000000146e-03,5.999955746321528061e-01,3.313907785999492539e-04,-5.873103906991953074e-03
8.000000000000000167e-03,5.999926033060611896e-01,4.277121807731987246e-04,-7.615611668829466198e-03
9.000000000000001055e-03,5.999883891675813485e-01,5.346222261522481922e-04,-9.569350312445455697e-03
1.000000000000000194e-02,5.999826579565852303e-01,6.515188347269162961e-04,-1.172982033037409805e-02
1.100000000000000283e-02,5.999751217520552515e-01,7.777881663872943108e-04,-1.409263671455573616e-02
1.200000000000000372e-02,5.999654825132318958e-01,9.127987088194400300e-04,-1.665344257025404631e-02
1.300000000000000461e-02,5.999534361993149600e-01,1.055815829743289580e-03,-1.940694625524839664e-02
1.400000000000000550e-02,5.999386763674723344e-01,1.206039946621884074e-03,-2.234707374378159736e-02
1.500000000000000638e-02,5.999208971876515140e-01,1.362646510122911270e-03,-2.546774241567412514e-02
1.600000000000000727e-02,5.998997961068751605e-01,1.524819527340737224e-03,-2.876285546194163809e-02
1.700000000000000816e-02,5.998750763314526502e-01,1.691746645683001038e-03,-3.222629836400267567e-02
1.800000000000000905e-02,5.998464490394743720e-01,1.862622090281818021e-03,-3.585193738135480923e-02
1.900000000000000994e-02,5.998136353281733335e-01,2.036649378543420319e-03,-3.963361993428266006e-02
2.000000000000001082e-02,5.997763679024247230e-01,2.213043813623194467e-03,-4.356517673730891937e-02
2.100000000000001171e-02,5.997343925129845488e-01,2.391034759807564303e-03,-4.764042551718362245e-02
2.200000000000001260e-02,5.996874691549913816e-01,2.569867703869466169e-03,-5.185317613527785918e-02
2.300000000000001349e-02,5.996353730387997683e-01,2.748806107445378455e-03,-5.619723692722106145e-02
2.400000000000001438e-02,5.995778953462075345e-01,2.927133065996734285e-03,-6.066642203576010778e-02
2.500000000000001527e-02,5.995148437859378898e-01,3.104152778886870578e-03,-6.525455951712119673e-02
2.600000000000001615e-02,5.994460429632864074e-01,3.279191829977268213e-03,-6.995550015701759716e-02
2.700000000000001704e-02,5.993713345789530855e-01,3.451600278231825580e-03,-7.476312681334924826e-02
2.800000000000001793e-02,5.992905774720407308e-01,3.620752574863217443e-03,-7.967136410273008285e-02
2.900000000000001882e-02,5.992036475220527958e-01,3.786048317299450794e-03,-8.467418828870308667e-02
3.000000000000001971e-02,5.991104423422944913e-01,3.946904202740852963e-03,-8.976543771396024163e-02
3.100000000000002059e-02,5.990108946013100732e-01,4.102741686108080099e-03,-9.493790072645991174e-02
3.200000000000002148e-02,5.989049721131034509e-01,4.252991463416067042e-03,-1.001839197817944449e-01
3.300000000000002237e-02,5.987926681215383073e-01,4.397117827146745928e-03,-1.054959236352176338e-01
3.400000000000002326e-02,5.986739999152775882e-01,4.534618449870797541e-03,-1.108664422214993978e-01
3.500000000000002415e-02,5.985490082308861925e-01,4.665023391721700996e-03,-1.162881210930563070e-01
3.600000000000002504e-02,5.984177562013612839e-01,4.787894776041301537e-03,-1.217537353144765577e-01
3.700000000000002592e-02,5.982803281913774418e-01,4.902826327391252015e-03,-1.272562027257259643e-01
3.800000000000002681e-02,5.981368285368636739e-01,5.009442788316442741e-03,-1.327885965033496485e-01
3.900000000000002770e-02,5.979873802054453957e-01,5.107399230793896461e-03,-1.383441569644459079e-01
4.000000000000002859e-02,5.978321233931603862e-01,5.196380277727064012e-03,-1.439163025720710254e-01
4.100000000000002948e-02,5.976712140717149735e-01,5.276099249165000504e-03,-1.494986401130587172e-01
4.200000000000003036e-02,5.975048224993652068e-01,5.346297247155684662e-03,-1.550849740300432045e-01
4.300000000000003125e-02,5.973331317072402280e-01,5.406742192298918948e-03,-1.606693148987546893e-01
4.400000000000003214e-02,5.971563359714157082e-01,5.457227824130050919e-03,-1.662458870491689278e-01
4.500000000000003303e-02,5.969746392787567135e-01,5.497572676349649079e-03,-1.718091353334222082e-01
4.600000000000003392e-02,5.967882535923453302e-01,5.527619001859718217e-03,-1.773537306409747882e-01
4.700000000000003481e-02,5.965973975991741840e-01,5.547231746738601199e-03,-1.828745747534783472e-01
4.800000000000003569e-02,5.964022953558488771e-01,5.556297504573981527e-03,-1.883668050982985065e-01
4.900000000000003658e-02,5.962031747845090157e-01,5.554723415276907605e-03,-1.938257969071547349e-01
5.000000000000003747e-02,5.960002663435727266e-01,5.542435950056934235e-03,-1.992471612785215451e-01
5.100000000000003836e-02,5.957938023294470087e-01,5.519379772915167237e-03,-2.046267450130080656e-01
5.200000000000003925e-02,5.955840528190982086e-01,5.485518512224063503e-03,-2.099600739914780634e-01
5.300000000000004013e-02,5.953713178394428596e-01,5.440838794948221757e-03,-2.152421906213804470e-01
5.400000000000004102e-02,5.951559210561998547e-01,5.385348774247789017e-03,-2.204683298189893392e-01
5.500000000000004191e-02,5.949381862939822074e-01,5.319078134512267297e-03,-2.256339790926656375e-01
5.600000000000004280e-02,5.947184399466886040e-01,5.242076032979214872e-03,-2.307348808041135291e-01
5.700000000000004369e-02,5.944970132007280084e-01,5.154413991302619902e-03,-2.357669957351964107e-01
5.800000000000004458e-02,5.942742379071137560e-01,5.056187588730054472e-03,-2.407264947227484853e-01
5.900000000000004546e-02,5.940504446677548067e-01,4.947513944092263305e-03,-2.456097921997295042e-01
6.000000000000004635e-02,5.938259834599557418e-01,4.828539940313347767e-03,-2.504133087585210804e-01
6.100000000000004724e-02,5.936012141440387690e-01,4.699441157164252481e-03,-2.551334245923707056e-01
6.200000000000004813e-02,5.933765027036981277e-01,4.560418433107171765e-03,-2.597667451716084708e-01
6.300000000000004208e-02,5.931522035885835598e-01,4.411691148198726431e-03,-2.643101158831612785e-01
6.400000000000004297e-02,5.929286605436639990e-01,4.253495395366846399e-03,-2.687606209717598449e-01
6.500000000000004385e-02,5.927062054069023311e-01,4.086082889017683684e-03,-2.731155806289961574e-01
6.600000000000004474e-02,5.924851597539702031e-01,3.909722152704742104e-03,-2.773725443664775692e-01
6.700000000000004563e-02,5.922658366656110562e-01,3.724691572567606634e-03,-2.815292939942203865e-01
6.800000000000004652e-02,5.920485373571410248e-01,3.531268568560452792e-03,-2.855838411578323632e-01
6.900000000000004741e-02,5.918335461205419534e-01,3.329733288052139084e-03,-2.895344202035073367e-01
7.000000000000004829e-02,5.916211253190112318e-01,3.120364281682275198e-03,-2.933794711868173422e-01
7.100000000000004918e-02,5.914115152606655990e-01,2.903443255930893141e-03,-2.971176263020540165e-01
7.200000000000005007e-02,5.912049354540465096e-01,2.679252373563256739e-03,-3.007476958385636445e-01
7.300000000000005096e-02,5.910015872688950678e-01,2.448072763111208694e-03,-3.042686544882498567e-01
7.400000000000005185e-02,5.908016582138498896e-01,2.210183639322793603e-03,-3.076796329286924370e-01
