name,direction,action_mode,run_idx,status,started_at,finished_at,model_zip,best_model_zip,eval_reward_png,eval_reward_csv,eval_debug_csv,train_log,gait_json,exported_amp_scales,exported_joint_bias,policy_rollout_png,policy_rollout_summary,policy_fitted_yaw_rate_rad_s,policy_fitted_yaw_rate_error_rad_s,policy_radius_m,fixed_gait_png,fixed_gait_summary,fixed_fitted_yaw_rate_rad_s,fixed_fitted_yaw_rate_error_rad_s,fixed_radius_m,error
formal_tailamp_y05_200k_right_biasonly_run01,right,bias_only,1,done,2026-06-20 03:14:29,2026-06-20 03:27:59,C:\robot_eel\mujoco_simulation\outputs\zips\formal_tailamp_y05_200k_right_biasonly_run01.zip,C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\formal_tailamp_y05_200k_right_biasonly_run01_eval\best_model\best_model.zip,C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\formal_tailamp_y05_200k_right_biasonly_run01_eval_reward.png,C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\formal_tailamp_y05_200k_right_biasonly_run01_eval_reward.csv,C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\formal_tailamp_y05_200k_right_biasonly_run01_eval_debug.csv,C:\robot_eel\mujoco_simulation\outputs\batch_logs\formal_tailamp_y05_200k_right_biasonly_run01.train.log,C:\robot_eel\mujoco_simulation\outputs\json\rl_gaits\formal_tailamp_y05_200k_right_biasonly_run01.json,"[1.225, 1.075, 1.0, 1.075, 1.15, 1.225]","[-0.243685, -0.201518, -0.229519, -0.28872, -0.255423, -0.295915]",C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\policy_curve\sim_formal_tailamp_y05_200k_right_biasonly_run01_policy_rollout_fitted_rotated.png,C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\policy_curve\formal_tailamp_y05_200k_right_biasonly_run01_policy_rollout_summary.json,-0.2953117045440319,0.20468829545596812,0.16073641429935565,C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\fixed_gait_curve\sim_formal_tailamp_y05_200k_right_biasonly_run01_fixed_gait_fitted_rotated.png,C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\fixed_gait_curve\formal_tailamp_y05_200k_right_biasonly_run01_fixed_gait_summary.json,-0.3655905224927106,0.13440947750728938,0.3024721406753255,
formal_tailamp_y05_200k_right_biasonly_run02,right,bias_only,2,done,2026-06-20 03:27:59,2026-06-20 03:50:22,C:\robot_eel\mujoco_simulation\outputs\zips\formal_tailamp_y05_200k_right_biasonly_run02.zip,C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\formal_tailamp_y05_200k_right_biasonly_run02_eval\best_model\best_model.zip,C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\formal_tailamp_y05_200k_right_biasonly_run02_eval_reward.png,C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\formal_tailamp_y05_200k_right_biasonly_run02_eval_reward.csv,C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\formal_tailamp_y05_200k_right_biasonly_run02_eval_debug.csv,C:\robot_eel\mujoco_simulation\outputs\batch_logs\formal_tailamp_y05_200k_right_biasonly_run02.train.log,C:\robot_eel\mujoco_simulation\outputs\json\rl_gaits\formal_tailamp_y05_200k_right_biasonly_run02.json,"[1.225, 1.075, 1.0, 1.075, 1.15, 1.225]","[-0.233544, -0.201222, -0.196694, -0.266313, -0.230657, -0.246038]",C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\policy_curve\sim_formal_tailamp_y05_200k_right_biasonly_run02_policy_rollout_fitted_rotated.png,C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\policy_curve\formal_tailamp_y05_200k_right_biasonly_run02_policy_rollout_summary.json,-0.2913316610196006,0.20866833898039938,0.1794449544942072,C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\fixed_gait_curve\sim_formal_tailamp_y05_200k_right_biasonly_run02_fixed_gait_fitted_rotated.png,C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\fixed_gait_curve\formal_tailamp_y05_200k_right_biasonly_run02_fixed_gait_summary.json,-0.34489517275978165,0.15510482724021835,0.3378311210863994,
formal_tailamp_y05_200k_right_biasonly_run03,right,bias_only,3,done,2026-06-20 03:50:22,2026-06-20 04:13:07,C:\robot_eel\mujoco_simulation\outputs\zips\formal_tailamp_y05_200k_right_biasonly_run03.zip,C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\formal_tailamp_y05_200k_right_biasonly_run03_eval\best_model\best_model.zip,C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\formal_tailamp_y05_200k_right_biasonly_run03_eval_reward.png,C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\formal_tailamp_y05_200k_right_biasonly_run03_eval_reward.csv,C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\formal_tailamp_y05_200k_right_biasonly_run03_eval_debug.csv,C:\robot_eel\mujoco_simulation\outputs\batch_logs\formal_tailamp_y05_200k_right_biasonly_run03.train.log,C:\robot_eel\mujoco_simulation\outputs\json\rl_gaits\formal_tailamp_y05_200k_right_biasonly_run03.json,"[1.225, 1.075, 1.0, 1.075, 1.15, 1.225]","[-0.270352, -0.208064, -0.280502, -0.27454, -0.32021, -0.283841]",C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\policy_curve\sim_formal_tailamp_y05_200k_right_biasonly_run03_policy_rollout_fitted_rotated.png,C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\policy_curve\formal_tailamp_y05_200k_right_biasonly_run03_policy_rollout_summary.json,-0.2407420402219693,0.2592579597780307,0.24252889691224208,C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\fixed_gait_curve\sim_formal_tailamp_y05_200k_right_biasonly_run03_fixed_gait_fitted_rotated.png,C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\fixed_gait_curve\formal_tailamp_y05_200k_right_biasonly_run03_fixed_gait_summary.json,-0.39294747633630434,0.10705252366369566,0.2702285301963039,
formal_tailamp_y05_200k_right_tail3amp_run01,right,bias_tail3_amp,1,done,2026-06-20 04:13:07,2026-06-20 04:32:37,C:\robot_eel\mujoco_simulation\outputs\zips\formal_tailamp_y05_200k_right_tail3amp_run01.zip,C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\formal_tailamp_y05_200k_right_tail3amp_run01_eval\best_model\best_model.zip,C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\formal_tailamp_y05_200k_right_tail3amp_run01_eval_reward.png,C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\formal_tailamp_y05_200k_right_tail3amp_run01_eval_reward.csv,C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\formal_tailamp_y05_200k_right_tail3amp_run01_eval_debug.csv,C:\robot_eel\mujoco_simulation\outputs\batch_logs\formal_tailamp_y05_200k_right_tail3amp_run01.train.log,C:\robot_eel\mujoco_simulation\outputs\json\rl_gaits\formal_tailamp_y05_200k_right_tail3amp_run01.json,"[1.225, 1.075, 1.0, 1.325504, 1.371207, 1.51873]","[-0.107232, -0.132295, -0.150109, -0.191748, -0.187542, -0.232928]",C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\policy_curve\sim_formal_tailamp_y05_200k_right_tail3amp_run01_policy_rollout_fitted_rotated.png,C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\policy_curve\formal_tailamp_y05_200k_right_tail3amp_run01_policy_rollout_summary.json,-0.24349078237489535,0.25650921762510465,0.2851619206606123,C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\fixed_gait_curve\sim_formal_tailamp_y05_200k_right_tail3amp_run01_fixed_gait_fitted_rotated.png,C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\fixed_gait_curve\formal_tailamp_y05_200k_right_tail3amp_run01_fixed_gait_summary.json,-0.2954977947296678,0.2045022052703322,0.4602020611512349,
formal_tailamp_y05_200k_right_tail3amp_run02,right,bias_tail3_amp,2,done,2026-06-20 04:32:37,2026-06-20 04:45:41,C:\robot_eel\mujoco_simulation\outputs\zips\formal_tailamp_y05_200k_right_tail3amp_run02.zip,C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\formal_tailamp_y05_200k_right_tail3amp_run02_eval\best_model\best_model.zip,C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\formal_tailamp_y05_200k_right_tail3amp_run02_eval_reward.png,C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\formal_tailamp_y05_200k_right_tail3amp_run02_eval_reward.csv,C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\formal_tailamp_y05_200k_right_tail3amp_run02_eval_debug.csv,C:\robot_eel\mujoco_simulation\outputs\batch_logs\formal_tailamp_y05_200k_right_tail3amp_run02.train.log,C:\robot_eel\mujoco_simulation\outputs\json\rl_gaits\formal_tailamp_y05_200k_right_tail3amp_run02.json,"[1.225, 1.075, 1.0, 1.193409, 1.426867, 1.474884]","[-0.232254, -0.161876, -0.225071, -0.235172, -0.266508, -0.194105]",C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\policy_curve\sim_formal_tailamp_y05_200k_right_tail3amp_run02_policy_rollout_fitted_rotated.png,C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\policy_curve\formal_tailamp_y05_200k_right_tail3amp_run02_policy_rollout_summary.json,-0.23806761423427467,0.2619323857657253,0.2393501028973084,C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\fixed_gait_curve\sim_formal_tailamp_y05_200k_right_tail3amp_run02_fixed_gait_fitted_rotated.png,C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\fixed_gait_curve\formal_tailamp_y05_200k_right_tail3amp_run02_fixed_gait_summary.json,-0.3806102505118349,0.11938974948816511,0.3334286235792178,
formal_tailamp_y05_200k_right_tail3amp_run03,right,bias_tail3_amp,3,done,2026-06-20 04:45:41,2026-06-20 04:58:48,C:\robot_eel\mujoco_simulation\outputs\zips\formal_tailamp_y05_200k_right_tail3amp_run03.zip,C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\formal_tailamp_y05_200k_right_tail3amp_run03_eval\best_model\best_model.zip,C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\formal_tailamp_y05_200k_right_tail3amp_run03_eval_reward.png,C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\formal_tailamp_y05_200k_right_tail3amp_run03_eval_reward.csv,C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\formal_tailamp_y05_200k_right_tail3amp_run03_eval_debug.csv,C:\robot_eel\mujoco_simulation\outputs\batch_logs\formal_tailamp_y05_200k_right_tail3amp_run03.train.log,C:\robot_eel\mujoco_simulation\outputs\json\rl_gaits\formal_tailamp_y05_200k_right_tail3amp_run03.json,"[1.225, 1.075, 1.0, 1.209905, 1.363006, 1.518753]","[-0.304911, -0.309945, -0.303098, -0.280168, -0.289622, -0.298681]",C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\policy_curve\sim_formal_tailamp_y05_200k_right_tail3amp_run03_policy_rollout_fitted_rotated.png,C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\policy_curve\formal_tailamp_y05_200k_right_tail3amp_run03_policy_rollout_summary.json,-0.32658575001506496,0.17341424998493504,0.15333217370347904,C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\fixed_gait_curve\sim_formal_tailamp_y05_200k_right_tail3amp_run03_fixed_gait_fitted_rotated.png,C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\fixed_gait_curve\formal_tailamp_y05_200k_right_tail3amp_run03_fixed_gait_summary.json,-0.49555710692416627,0.0044428930758337315,0.22937367002928716,
formal_tailamp_y05_200k_left_biasonly_run01,left,bias_only,1,done,2026-06-20 04:58:48,2026-06-20 05:10:50,C:\robot_eel\mujoco_simulation\outputs\zips\formal_tailamp_y05_200k_left_biasonly_run01.zip,C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\formal_tailamp_y05_200k_left_biasonly_run01_eval\best_model\best_model.zip,C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\formal_tailamp_y05_200k_left_biasonly_run01_eval_reward.png,C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\formal_tailamp_y05_200k_left_biasonly_run01_eval_reward.csv,C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\formal_tailamp_y05_200k_left_biasonly_run01_eval_debug.csv,C:\robot_eel\mujoco_simulation\outputs\batch_logs\formal_tailamp_y05_200k_left_biasonly_run01.train.log,C:\robot_eel\mujoco_simulation\outputs\json\rl_gaits\formal_tailamp_y05_200k_left_biasonly_run01.json,"[1.225, 1.075, 1.0, 1.075, 1.15, 1.225]","[0.1376, 0.188274, 0.22171, 0.198599, 0.290977, 0.222905]",C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\policy_curve\sim_formal_tailamp_y05_200k_left_biasonly_run01_policy_rollout_fitted_rotated.png,C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\policy_curve\formal_tailamp_y05_200k_left_biasonly_run01_policy_rollout_summary.json,0.2206093204501038,0.27939067954989616,0.2727587443018485,C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\fixed_gait_curve\sim_formal_tailamp_y05_200k_left_biasonly_run01_fixed_gait_fitted_rotated.png,C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\fixed_gait_curve\formal_tailamp_y05_200k_left_biasonly_run01_fixed_gait_summary.json,0.3176366733660251,0.18236332663397492,0.36323893888012504,
formal_tailamp_y05_200k_left_biasonly_run02,left,bias_only,2,done,2026-06-20 05:10:50,2026-06-20 05:22:09,C:\robot_eel\mujoco_simulation\outputs\zips\formal_tailamp_y05_200k_left_biasonly_run02.zip,C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\formal_tailamp_y05_200k_left_biasonly_run02_eval\best_model\best_model.zip,C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\formal_tailamp_y05_200k_left_biasonly_run02_eval_reward.png,C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\formal_tailamp_y05_200k_left_biasonly_run02_eval_reward.csv,C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\formal_tailamp_y05_200k_left_biasonly_run02_eval_debug.csv,C:\robot_eel\mujoco_simulation\outputs\batch_logs\formal_tailamp_y05_200k_left_biasonly_run02.train.log,C:\robot_eel\mujoco_simulation\outputs\json\rl_gaits\formal_tailamp_y05_200k_left_biasonly_run02.json,"[1.225, 1.075, 1.0, 1.075, 1.15, 1.225]","[0.219518, 0.18962, 0.153265, 0.237928, 0.231743, 0.227456]",C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\policy_curve\sim_formal_tailamp_y05_200k_left_biasonly_run02_policy_rollout_fitted_rotated.png,C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\policy_curve\formal_tailamp_y05_200k_left_biasonly_run02_policy_rollout_summary.json,0.20432040543230612,0.2956795945676939,0.3217051808634636,C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\fixed_gait_curve\sim_formal_tailamp_y05_200k_left_biasonly_run02_fixed_gait_fitted_rotated.png,C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\fixed_gait_curve\formal_tailamp_y05_200k_left_biasonly_run02_fixed_gait_summary.json,0.31503369647475055,0.18496630352524945,0.37915033755232413,
formal_tailamp_y05_200k_left_biasonly_run03,left,bias_only,3,done,2026-06-20 05:22:09,2026-06-20 05:33:41,C:\robot_eel\mujoco_simulation\outputs\zips\formal_tailamp_y05_200k_left_biasonly_run03.zip,C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\formal_tailamp_y05_200k_left_biasonly_run03_eval\best_model\best_model.zip,C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\formal_tailamp_y05_200k_left_biasonly_run03_eval_reward.png,C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\formal_tailamp_y05_200k_left_biasonly_run03_eval_reward.csv,C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\formal_tailamp_y05_200k_left_biasonly_run03_eval_debug.csv,C:\robot_eel\mujoco_simulation\outputs\batch_logs\formal_tailamp_y05_200k_left_biasonly_run03.train.log,C:\robot_eel\mujoco_simulation\outputs\json\rl_gaits\formal_tailamp_y05_200k_left_biasonly_run03.json,"[1.225, 1.075, 1.0, 1.075, 1.15, 1.225]","[0.327438, 0.328904, 0.31744, 0.343994, 0.273943, 0.216825]",C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\policy_curve\sim_formal_tailamp_y05_200k_left_biasonly_run03_policy_rollout_fitted_rotated.png,C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\policy_curve\formal_tailamp_y05_200k_left_biasonly_run03_policy_rollout_summary.json,0.24295848317356075,0.2570415168264393,0.2744149084702197,C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\fixed_gait_curve\sim_formal_tailamp_y05_200k_left_biasonly_run03_fixed_gait_fitted_rotated.png,C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\fixed_gait_curve\formal_tailamp_y05_200k_left_biasonly_run03_fixed_gait_summary.json,0.4691503811392405,0.030849618860759487,0.22382290457161044,
formal_tailamp_y05_200k_left_tail3amp_run01,left,bias_tail3_amp,1,done,2026-06-20 05:33:41,2026-06-20 05:45:17,C:\robot_eel\mujoco_simulation\outputs\zips\formal_tailamp_y05_200k_left_tail3amp_run01.zip,C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\formal_tailamp_y05_200k_left_tail3amp_run01_eval\best_model\best_model.zip,C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\formal_tailamp_y05_200k_left_tail3amp_run01_eval_reward.png,C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\formal_tailamp_y05_200k_left_tail3amp_run01_eval_reward.csv,C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\formal_tailamp_y05_200k_left_tail3amp_run01_eval_debug.csv,C:\robot_eel\mujoco_simulation\outputs\batch_logs\formal_tailamp_y05_200k_left_tail3amp_run01.train.log,C:\robot_eel\mujoco_simulation\outputs\json\rl_gaits\formal_tailamp_y05_200k_left_tail3amp_run01.json,"[1.225, 1.075, 1.0, 1.286939, 1.488288, 1.426606]","[0.223208, 0.205785, 0.285891, 0.246922, 0.238095, 0.136218]",C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\policy_curve\sim_formal_tailamp_y05_200k_left_tail3amp_run01_policy_rollout_fitted_rotated.png,C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\policy_curve\formal_tailamp_y05_200k_left_tail3amp_run01_policy_rollout_summary.json,0.32395815157214214,0.17604184842785786,0.25975205984354643,C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\fixed_gait_curve\sim_formal_tailamp_y05_200k_left_tail3amp_run01_fixed_gait_fitted_rotated.png,C:\robot_eel\mujoco_simulation\outputs\csv_png\formal_tailamp_y05_200k\fixed_gait_curve\formal_tailamp_y05_200k_left_tail3amp_run01_fixed_gait_summary.json,0.42392512424189943,0.07607487575810057,0.30483692990988065,
