timesteps,mean_reward,ci95_low,ci95_high,run01,run02,run03,run04,run05,run06,run07,run08,run09,run10
5.000000000000000000e+03,-6.130106075999999860e+01,-6.207507496049999673e+01,-6.049328935449999989e+01,-6.154883019999999760e+01,-6.347231140000000238e+01,-5.887715299999999985e+01,-6.101245219999999847e+01,-5.943181380000000047e+01,-6.206321140000000014e+01,-6.231662099999999782e+01,-6.102077460000000286e+01,-6.145409640000000451e+01,-6.181334359999999606e+01
1.000000000000000000e+04,-5.926444011999999617e+01,-6.121060338249999688e+01,-5.731137299849999778e+01,-6.071846200000000238e+01,-6.236975740000000457e+01,-5.667025140000000505e+01,-5.445017799999999397e+01,-5.514492119999999886e+01,-6.301530360000000286e+01,-6.163426520000000153e+01,-5.661495340000000454e+01,-5.901414359999999704e+01,-6.301216540000000066e+01
1.500000000000000000e+04,-5.527676204000000837e+01,-5.755605209149999979e+01,-5.302895318499999178e+01,-5.603680500000000109e+01,-5.787856480000000658e+01,-5.062076720000000307e+01,-5.220793479999999676e+01,-4.962168060000000480e+01,-6.180006040000000667e+01,-5.837939880000000414e+01,-5.390583219999999898e+01,-5.441259019999999680e+01,-5.790398639999999375e+01
2.000000000000000000e+04,-4.993440515999999718e+01,-5.274470770199999947e+01,-4.729507092649999578e+01,-4.985406199999999899e+01,-4.609021380000000079e+01,-4.591757779999999656e+01,-4.285816140000000019e+01,-4.872716039999998827e+01,-5.478516479999999689e+01,-5.874300020000000444e+01,-5.110777399999999204e+01,-4.845392800000000477e+01,-5.280700919999999599e+01
2.500000000000000000e+04,-4.341843563999999844e+01,-4.559147398899998649e+01,-4.130080083999999374e+01,-4.137211359999999871e+01,-4.031269340000000057e+01,-4.297878240000000005e+01,-3.766950319999999408e+01,-4.054772160000000270e+01,-4.755284899999999482e+01,-4.942653459999999654e+01,-4.620930900000000463e+01,-4.225146479999999372e+01,-4.586338479999999151e+01
3.000000000000000000e+04,-3.870758224000000780e+01,-4.019575168900000506e+01,-3.721093794299999047e+01,-3.926310780000000022e+01,-3.649772019999999628e+01,-3.881666740000000004e+01,-3.470621500000000026e+01,-3.587549800000000033e+01,-3.949243520000000274e+01,-4.194074459999999505e+01,-4.144915480000000230e+01,-3.743739800000000173e+01,-4.159688140000000089e+01
3.500000000000000000e+04,-3.589417989999999747e+01,-3.690458160500000417e+01,-3.496838838650000270e+01,-3.749059859999999844e+01,-3.440575460000000163e+01,-3.465699460000000443e+01,-3.437582600000000355e+01,-3.424492899999999906e+01,-3.543061619999999579e+01,-3.855959000000000003e+01,-3.744777459999999536e+01,-3.497391259999999846e+01,-3.735580280000000641e+01
4.000000000000000000e+04,-3.470591830000000044e+01,-3.524887294000000537e+01,-3.417481861200000282e+01,-3.567020799999999525e+01,-3.328697300000000325e+01,-3.384541660000000718e+01,-3.401297919999999664e+01,-3.448149740000000207e+01,-3.529171420000000126e+01,-3.610366899999999646e+01,-3.447837280000000248e+01,-3.423914820000000248e+01,-3.564920460000000446e+01
4.500000000000000000e+04,-3.449455595999999957e+01,-3.511146686449999521e+01,-3.384927856399999513e+01,-3.585666579999999470e+01,-3.253199200000000246e+01,-3.377443659999999426e+01,-3.331118099999999771e+01,-3.441648399999998986e+01,-3.566154139999999728e+01,-3.533394100000000293e+01,-3.454319180000000244e+01,-3.429222279999999756e+01,-3.522390320000000230e+01
5.000000000000000000e+04,-3.427411586000000199e+01,-3.501431175999999823e+01,-3.354214942449999626e+01,-3.611089460000000173e+01,-3.228973820000000217e+01,-3.378518400000000099e+01,-3.258853599999999773e+01,-3.401327460000000258e+01,-3.576127679999999742e+01,-3.463595039999999869e+01,-3.420738699999999710e+01,-3.400748439999999562e+01,-3.534143259999999742e+01
5.500000000000000000e+04,-3.414998914000000241e+01,-3.490260956850000440e+01,-3.339746655950000331e+01,-3.596224780000000010e+01,-3.204850860000000523e+01,-3.333768339999999597e+01,-3.257235119999999995e+01,-3.458642759999999328e+01,-3.556467339999999666e+01,-3.447916479999999950e+01,-3.402193219999999485e+01,-3.368363520000000477e+01,-3.524326720000000535e+01
6.000000000000000000e+04,-3.410696229999999929e+01,-3.485870487599999734e+01,-3.335437273850000395e+01,-3.583353379999999788e+01,-3.200376039999999733e+01,-3.308080879999999979e+01,-3.257850880000000160e+01,-3.458688680000000204e+01,-3.572128159999999752e+01,-3.389550540000000467e+01,-3.409643020000000035e+01,-3.417871260000000433e+01,-3.509419459999999447e+01
6.500000000000000000e+04,-3.420365848000000142e+01,-3.495622582149999857e+01,-3.344772697200000522e+01,-3.589312979999999698e+01,-3.207740979999999809e+01,-3.300252400000000108e+01,-3.296117719999999451e+01,-3.498719579999999496e+01,-3.575864400000000387e+01,-3.384720159999999112e+01,-3.373599019999999626e+01,-3.455691699999999855e+01,-3.521639539999999613e+01
7.000000000000000000e+04,-3.424884602000000200e+01,-3.502208283499999908e+01,-3.349212257000001358e+01,-3.581341139999999967e+01,-3.222660000000000480e+01,-3.282734360000000606e+01,-3.327250420000000020e+01,-3.516172740000000374e+01,-3.590119980000000055e+01,-3.387751820000000436e+01,-3.383535279999999545e+01,-3.397908560000000477e+01,-3.559371720000000039e+01
7.500000000000000000e+04,-3.415892220000000634e+01,-3.495789008350000415e+01,-3.339228083999999797e+01,-3.570631459999999890e+01,-3.233110280000000358e+01,-3.259946879999999680e+01,-3.300993959999999561e+01,-3.503467760000000908e+01,-3.594631300000000351e+01,-3.394049739999999105e+01,-3.352612799999999993e+01,-3.394709739999999698e+01,-3.554768280000000402e+01
8.000000000000000000e+04,-3.404340412000000526e+01,-3.483830024200000963e+01,-3.327676056650000902e+01,-3.543383260000000234e+01,-3.239093560000000593e+01,-3.233227720000000005e+01,-3.291059419999999847e+01,-3.487055820000000494e+01,-3.570577839999999981e+01,-3.375851440000000281e+01,-3.357710600000000056e+01,-3.373287140000000051e+01,-3.572157320000000169e+01
8.500000000000000000e+04,-3.401033628000000419e+01,-3.479095881749999819e+01,-3.325815305350000273e+01,-3.530843819999999766e+01,-3.210378040000000510e+01,-3.259526180000000295e+01,-3.306806999999999874e+01,-3.486244939999999559e+01,-3.571917720000000429e+01,-3.364107899999999773e+01,-3.375020779999999831e+01,-3.338108939999999336e+01,-3.567380959999999845e+01
9.000000000000000000e+04,-3.398709042000000125e+01,-3.475250577599999957e+01,-3.325743893399999962e+01,-3.511769180000000290e+01,-3.207492700000000241e+01,-3.265620800000000656e+01,-3.302890899999999874e+01,-3.463242720000000219e+01,-3.578417860000000417e+01,-3.364377019999999874e+01,-3.372604900000000328e+01,-3.356997800000000609e+01,-3.563676540000000159e+01
9.500000000000000000e+04,-3.400098864000000276e+01,-3.477614128950000350e+01,-3.328890170349999522e+01,-3.576620339999999487e+01,-3.220151760000000252e+01,-3.280333960000000104e+01,-3.318183259999999990e+01,-3.414609739999999505e+01,-3.567029140000000353e+01,-3.361607580000000439e+01,-3.351612160000000529e+01,-3.357181560000000076e+01,-3.553659139999999894e+01
1.000000000000000000e+05,-3.408562127999999802e+01,-3.484555355150000366e+01,-3.339365862400000395e+01,-3.587526859999999829e+01,-3.254808680000000010e+01,-3.329752840000000447e+01,-3.294276499999999430e+01,-3.411573779999999800e+01,-3.568987440000000078e+01,-3.371901319999999913e+01,-3.354733819999999866e+01,-3.341013679999999653e+01,-3.571046360000000419e+01
1.050000000000000000e+05,-3.412728519999999577e+01,-3.482657495700000538e+01,-3.348677734150000163e+01,-3.587523700000000559e+01,-3.264093919999999827e+01,-3.334282979999999696e+01,-3.309481159999999988e+01,-3.395137699999999370e+01,-3.561292180000000229e+01,-3.417272399999999521e+01,-3.363810260000000341e+01,-3.345760140000000149e+01,-3.548630760000000350e+01
1.100000000000000000e+05,-3.415161024000000367e+01,-3.489181820449999805e+01,-3.348763265400000932e+01,-3.621809040000000124e+01,-3.282331820000000278e+01,-3.317095880000000818e+01,-3.314692680000000280e+01,-3.348386920000000089e+01,-3.564584620000000115e+01,-3.419729579999999913e+01,-3.398233979999999832e+01,-3.338366680000000031e+01,-3.546379040000000771e+01
1.150000000000000000e+05,-3.415576773999999460e+01,-3.487241324349999871e+01,-3.351138758749998914e+01,-3.600708200000000403e+01,-3.285311839999999250e+01,-3.326590660000000099e+01,-3.337769160000000568e+01,-3.343356400000000406e+01,-3.528758960000000400e+01,-3.418587260000000327e+01,-3.399008339999999606e+01,-3.325377079999999808e+01,-3.590299840000000131e+01
1.200000000000000000e+05,-3.413634895999999941e+01,-3.488459046199999136e+01,-3.346429462549999556e+01,-3.604916659999999240e+01,-3.258716959999999574e+01,-3.310022200000000225e+01,-3.355284039999999379e+01,-3.368532900000000296e+01,-3.508980359999999621e+01,-3.418970059999999478e+01,-3.397881079999999798e+01,-3.311621579999999909e+01,-3.601423119999999756e+01
1.250000000000000000e+05,-3.427836828000000224e+01,-3.505026522199999306e+01,-3.354977775949999597e+01,-3.586599239999999611e+01,-3.231994399999999956e+01,-3.330545899999999904e+01,-3.329836139999999745e+01,-3.402850480000000033e+01,-3.536231659999999977e+01,-3.452337639999999652e+01,-3.424371979999999382e+01,-3.349491920000000533e+01,-3.634108919999999898e+01
1.300000000000000000e+05,-3.427350507999999252e+01,-3.502194158950000258e+01,-3.355186035300000214e+01,-3.586799800000000005e+01,-3.237662400000000673e+01,-3.317538419999999633e+01,-3.336939739999999688e+01,-3.381006299999999953e+01,-3.504002580000000222e+01,-3.480798379999999526e+01,-3.482186860000000195e+01,-3.335384119999999797e+01,-3.611186479999999932e+01
1.350000000000000000e+05,-3.437828525999999840e+01,-3.513501168899999527e+01,-3.364422345349999688e+01,-3.608718439999999816e+01,-3.228396199999999538e+01,-3.336017320000000552e+01,-3.339819220000000399e+01,-3.387731860000000239e+01,-3.543585819999999842e+01,-3.455651559999999733e+01,-3.503328559999999925e+01,-3.372095219999999927e+01,-3.602941059999999851e+01
1.400000000000000000e+05,-3.438159488000000152e+01,-3.514326016750000292e+01,-3.363733549600000572e+01,-3.636649679999999307e+01,-3.249318560000000389e+01,-3.376356600000000441e+01,-3.297743200000000030e+01,-3.373809939999999585e+01,-3.537343099999999652e+01,-3.445994920000000405e+01,-3.525943200000000388e+01,-3.353472880000000345e+01,-3.584962799999999561e+01
1.450000000000000000e+05,-3.455543404000000862e+01,-3.531634753950000771e+01,-3.381392574750000790e+01,-3.675340740000000039e+01,-3.253492619999999391e+01,-3.432246480000000588e+01,-3.324615680000000140e+01,-3.403667620000000227e+01,-3.544688359999999960e+01,-3.458708099999999774e+01,-3.532859479999999763e+01,-3.352136940000000465e+01,-3.577678019999999748e+01
1.500000000000000000e+05,-3.455059319999999445e+01,-3.527082153050000812e+01,-3.385963558000000972e+01,-3.677558000000000504e+01,-3.276469179999999426e+01,-3.452268600000000021e+01,-3.330414340000000095e+01,-3.410942740000000128e+01,-3.531013620000000230e+01,-3.464716119999999933e+01,-3.508817799999999920e+01,-3.344407160000000090e+01,-3.553985640000000501e+01
1.550000000000000000e+05,-3.449196570000000150e+01,-3.518042060149999628e+01,-3.385553896799999762e+01,-3.674697919999999840e+01,-3.280985779999999608e+01,-3.417900200000000410e+01,-3.347220860000000187e+01,-3.391841240000000113e+01,-3.499357559999999978e+01,-3.491004819999999853e+01,-3.496897840000000457e+01,-3.357083859999999476e+01,-3.534975620000000163e+01
1.600000000000000000e+05,-3.445880325999999627e+01,-3.511262619500000426e+01,-3.382071686699999447e+01,-3.640984519999999947e+01,-3.320495439999999832e+01,-3.462637080000000367e+01,-3.309125500000000386e+01,-3.347009839999999770e+01,-3.489990399999999937e+01,-3.504844299999999890e+01,-3.539216499999999854e+01,-3.353864599999999285e+01,-3.490635080000000556e+01
1.650000000000000000e+05,-3.449002446000000077e+01,-3.504304095100000893e+01,-3.393940658900000784e+01,-3.607874299999999579e+01,-3.409259240000000091e+01,-3.470998560000000310e+01,-3.297027380000000107e+01,-3.346660599999999874e+01,-3.488834860000000049e+01,-3.508154919999999777e+01,-3.532539560000000023e+01,-3.368351640000000202e+01,-3.460323400000000049e+01
