time,x,y,yaw
1.000000000000000021e-03,5.999999988266343509e-01,-7.300727399683903940e-06,1.134930259512317700e-04
2.000000000000000042e-03,5.999999818518103600e-01,-2.905720994317295691e-05,4.505475380307127908e-04
3.000000000000000062e-03,5.999999162409110909e-01,-6.488588915926074563e-05,1.006207901808660581e-03
4.000000000000000083e-03,5.999997460870416521e-01,-1.144271286879772198e-04,1.775716605745330297e-03
5.000000000000000104e-03,5.999993962089293920e-01,-1.773171434548137526e-04,2.754504552436641204e-03
6.000000000000000125e-03,5.999987739342663717e-01,-2.531888105881674456e-04,3.938180926034710178e-03
7.000000000000000146e-03,5.999977708494327322e-01,-3.416724477545152183e-04,5.322522788642810448e-03
8.000000000000000167e-03,5.999962645058415367e-01,-4.423965585526601352e-04,6.903464551072118274e-03
9.000000000000001055e-03,5.999941200753037274e-01,-5.549885448626334927e-04,8.677087453410472356e-03
1.000000000000000194e-02,5.999911919475854338e-01,-6.790753863009091340e-04,1.063960917880471535e-02
1.100000000000000283e-02,5.999873252642201615e-01,-8.142842872622679806e-04,1.278737371000280773e-02
1.200000000000000372e-02,5.999823573834335289e-01,-9.602432925921444706e-04,1.511684152261525554e-02
1.300000000000000461e-02,5.999761192716276392e-01,-1.116581874001210117e-03,1.762458019141970034e-02
1.400000000000000550e-02,5.999684368170432602e-01,-1.282931491371097632e-03,2.030725546542594406e-02
1.500000000000000638e-02,5.999591320606525446e-01,-1.458926136690408271e-03,2.316162284154700893e-02
1.600000000000000727e-02,5.999480243345212127e-01,-1.644202871864675064e-03,2.618451961930086044e-02
1.700000000000000816e-02,5.999349313045392318e-01,-1.838402383638138016e-03,2.937285736574448899e-02
1.800000000000000905e-02,5.999196698987914189e-01,-2.041169602013670481e-03,3.272361472988671166e-02
1.900000000000000994e-02,5.999020572053287426e-01,-2.252154171533182758e-03,3.623383098448754863e-02
2.000000000000001082e-02,5.998819115061304608e-01,-2.471010322032063389e-03,3.990060266342501660e-02
2.100000000000001171e-02,5.998590530595249160e-01,-2.697397184027228167e-03,4.372107858345374021e-02
2.200000000000001260e-02,5.998333047221882097e-01,-2.930979311680070865e-03,4.769245480925294461e-02
2.300000000000001349e-02,5.998044925354401036e-01,-3.171427094913803479e-03,5.181197092978063329e-02
2.400000000000001438e-02,5.997724462916956822e-01,-3.418417023186126613e-03,5.607690685343615089e-02
2.500000000000001527e-02,5.997370000295108028e-01,-3.671631952432086177e-03,6.048458008918043693e-02
2.600000000000001615e-02,5.996979924718958133e-01,-3.930761348324873783e-03,6.503234347845339436e-02
2.700000000000001704e-02,5.996552674129245197e-01,-4.195501506204679654e-03,6.971758334127715895e-02
2.800000000000001793e-02,5.996086740580343077e-01,-4.465555747988347868e-03,7.453771799923795960e-02
2.900000000000001882e-02,5.995580673237079772e-01,-4.740634596328230366e-03,7.949019663799333779e-02
3.000000000000001971e-02,5.995033080885633359e-01,-5.020455927173650412e-03,8.457249847580786128e-02
3.100000000000002059e-02,5.994442631940372079e-01,-5.304745114998787869e-03,8.978213227302160593e-02
3.200000000000002148e-02,5.993808056276449525e-01,-5.593235142669905624e-03,9.511663603622358409e-02
3.300000000000002237e-02,5.993128145968826814e-01,-5.885666696265001718e-03,1.005735768682512327e-01
3.400000000000002326e-02,5.992401756853978911e-01,-6.181788232500651237e-03,1.061505510374156636e-01
3.500000000000002415e-02,5.991627808708658298e-01,-6.481356034316987369e-03,1.118451841947512293e-01
3.600000000000002504e-02,5.990805285345093267e-01,-6.784134246760331610e-03,1.176551317134640479e-01
3.700000000000002592e-02,5.989933234450273147e-01,-7.089894895086323867e-03,1.235780791268954321e-01
3.800000000000002681e-02,5.989010767194029583e-01,-7.398417885715380393e-03,1.296117426434475750e-01
3.900000000000002770e-02,5.988037057629187476e-01,-7.709490990693901313e-03,1.357538697190080745e-01
4.000000000000002859e-02,5.987011341905550399e-01,-8.022909816337020494e-03,1.420022396694318456e-01
4.100000000000002948e-02,5.985932917318088631e-01,-8.338477756747397773e-03,1.483546643075737137e-01
4.200000000000003036e-02,5.984801141208294650e-01,-8.656005932921595480e-03,1.548089885911977936e-01
4.300000000000003125e-02,5.983615429736309776e-01,-8.975313118170791249e-03,1.613630912698105491e-01
4.400000000000003214e-02,5.982375256540178876e-01,-9.296225650595846268e-03,1.680148855200678526e-01
4.500000000000003303e-02,5.981080151297322178e-01,-9.618577333365296855e-03,1.747623195608875857e-01
4.600000000000003392e-02,5.979729698202195243e-01,-9.942209323551109978e-03,1.816033772407600611e-01
4.700000000000003481e-02,5.978323534372964598e-01,-1.026697001028314959e-02,1.885360785909881987e-01
