time,x,y,yaw
1.000000000000000021e-03,5.999999985637262112e-01,-7.354178625684770765e-06,1.163298905208229122e-04
2.000000000000000042e-03,5.999999782446909791e-01,-2.926783481460581982e-05,4.617810951398069780e-04
3.000000000000000062e-03,5.999998997684267144e-01,-6.534909949323930434e-05,1.031238260528708926e-03
4.000000000000000083e-03,5.999996963862597177e-01,-1.152248787837928390e-04,1.819834924019982699e-03
5.000000000000000104e-03,5.999992784331976692e-01,-1.785136474733994838e-04,2.822940794389259146e-03
6.000000000000000125e-03,5.999985354647904279e-01,-2.548267247866609075e-04,4.036148606608781254e-03
7.000000000000000146e-03,5.999973383239960434e-01,-3.437694887210018813e-04,5.455260731904571642e-03
8.000000000000000167e-03,5.999955411309297881e-01,-4.449425289986264076e-04,7.076275712122884892e-03
9.000000000000001055e-03,5.999929831898690447e-01,-5.579427387725210963e-04,8.895374869962677580e-03
1.000000000000000194e-02,5.999894908087995971e-01,-6.823643445962312981e-04,1.090890911896523832e-02
1.100000000000000283e-02,5.999848790270057020e-01,-8.177998784961726386e-04,1.311338609391119944e-02
1.200000000000000372e-02,5.999789532462430630e-01,-9.638410973712430163e-04,1.550545769839204585e-02
1.300000000000000461e-02,5.999715107596179653e-01,-1.120079860220002388e-03,1.808190812600652536e-02
1.400000000000000550e-02,5.999623421687797498e-01,-1.286108981832456699e-03,2.083964237201068465e-02
1.500000000000000638e-02,5.999512326733897893e-01,-1.461523097976036301e-03,2.377567519020402573e-02
1.600000000000000727e-02,5.999379632082330049e-01,-1.645919597932421485e-03,2.688712037870639657e-02
1.700000000000000816e-02,5.999223118685543810e-01,-1.838898799339516721e-03,3.017118234387331996e-02
1.800000000000000905e-02,5.999040548919855054e-01,-2.040064729476709360e-03,3.362514828153973651e-02
1.900000000000000994e-02,5.998829677542821814e-01,-2.249025476989907624e-03,3.724637926297189733e-02
2.000000000000001082e-02,5.998588259111963250e-01,-2.465394019752709109e-03,4.103230290546138609e-02
2.100000000000001171e-02,5.998314056513245340e-01,-2.688788664117647276e-03,4.498040671007745572e-02
2.200000000000001260e-02,5.998004848472713313e-01,-2.918833506874107808e-03,4.908823204302720233e-02
2.300000000000001349e-02,5.997658436389569081e-01,-3.155158861305573659e-03,5.335336873192970258e-02
2.400000000000001438e-02,5.997272649729844529e-01,-3.397401647991515894e-03,5.777345023697339627e-02
2.500000000000001527e-02,5.996845351470753149e-01,-3.645205753506630675e-03,6.234614936891839931e-02
2.600000000000001615e-02,5.996374442682463890e-01,-3.898222357380409786e-03,6.706917452164865012e-02
2.700000000000001704e-02,5.995857866973098860e-01,-4.156110229400544753e-03,7.194026637320156958e-02
2.800000000000001793e-02,5.995293614086080192e-01,-4.418535997646688696e-03,7.695719502041875604e-02
2.900000000000001882e-02,5.994679723084198608e-01,-4.685174388901647280e-03,8.211775751010060020e-02
3.000000000000001971e-02,5.994014285100420780e-01,-4.955708442482220644e-03,8.741977573060026596e-02
3.100000000000002059e-02,5.993295445692903289e-01,-5.229829698538801530e-03,9.286109462922528812e-02
3.200000000000002148e-02,5.992521406839805831e-01,-5.507238361816546579e-03,9.843958072253458647e-02
3.300000000000002237e-02,5.991690449505615579e-01,-5.787643286005339505e-03,1.041530543467944214e-01
3.400000000000002326e-02,5.990801025231199395e-01,-6.070762894429204692e-03,1.099988768032311576e-01
3.500000000000002415e-02,5.989851736934473925e-01,-6.356327001296568913e-03,1.159741415700804024e-01
3.600000000000002504e-02,5.988841325377978198e-01,-6.644077404979686907e-03,1.220759492795023410e-01
3.700000000000002592e-02,5.987768639073922650e-01,-6.933768633843540030e-03,1.283014102023790626e-01
3.800000000000002681e-02,5.986632641913076647e-01,-7.225167713441671413e-03,1.346476468922973291e-01
3.900000000000002770e-02,5.985432412231875832e-01,-7.518054144279306961e-03,1.411117969519929127e-01
4.000000000000002859e-02,5.984167141350629215e-01,-7.812219832874611747e-03,1.476910158781487570e-01
4.100000000000002948e-02,5.982836131634078347e-01,-8.107468978973686458e-03,1.543824799449197427e-01
4.200000000000003036e-02,5.981438794123670188e-01,-8.403617921851902484e-03,1.611833890909366851e-01
4.300000000000003125e-02,5.979974645788898036e-01,-8.700494948687798047e-03,1.680909697787617840e-01
4.400000000000003214e-02,5.978443306442918770e-01,-8.997940068030951810e-03,1.751024777997845783e-01
4.500000000000003303e-02,5.976844495365474241e-01,-9.295804751393577092e-03,1.822152010013306511e-01
4.600000000000003392e-02,5.975178266466373289e-01,-9.593886138282492482e-03,1.894255873525997058e-01
4.700000000000003481e-02,5.973444961189368074e-01,-9.891959032587105405e-03,1.967287696769252914e-01
4.800000000000003569e-02,5.971645252896365941e-01,-1.018976124595916133e-02,2.041197737139427704e-01
4.900000000000003658e-02,5.969779932680968626e-01,-1.048706159985368647e-02,2.115936883808937907e-01
5.000000000000003747e-02,5.967849943249584621e-01,-1.078364482297455851e-02,2.191456733820131841e-01
5.100000000000003836e-02,5.965856370509567963e-01,-1.107931115795834920e-02,2.267709664299089600e-01
5.200000000000003925e-02,5.963800434734511935e-01,-1.137387592319633045e-02,2.344648900571127403e-01
5.300000000000004013e-02,5.961683481386231831e-01,-1.166716903631881408e-02,2.422228580011354937e-01
5.400000000000004102e-02,5.959506971669277231e-01,-1.195903450564750337e-02,2.500403811510477636e-01
5.500000000000004191e-02,5.957272472889941772e-01,-1.224932989565102881e-02,2.579130730478282341e-01
5.600000000000004280e-02,5.954981648687763807e-01,-1.253792577214085657e-02,2.658366549345054231e-01
5.700000000000004369e-02,5.952636249203463459e-01,-1.282470513260719480e-02,2.738069603554781906e-01
5.800000000000004458e-02,5.950238101243148225e-01,-1.310956282674147211e-02,2.818199393073649306e-01
5.900000000000004546e-02,5.947789098494453697e-01,-1.339240497181259926e-02,2.898716619463254651e-01
6.000000000000004635e-02,5.945291191846154844e-01,-1.367314836718092064e-02,2.979583218590516336e-01
6.100000000000004724e-02,5.942746379858614425e-01,-1.395171991183608018e-02,3.060762389065568856e-01
6.200000000000004813e-02,5.940156699428342790e-01,-1.422805602845156336e-02,3.142218616515419227e-01
6.300000000000004208e-02,5.937524216685844403e-01,-1.450210209705660169e-02,3.223917693814942198e-01
6.400000000000004297e-02,5.934851018161977354e-01,-1.477381190103810304e-02,3.305826737408215643e-01
6.500000000000004385e-02,5.932139202254095300e-01,-1.504314708781451237e-02,3.387914199862445686e-01
6.600000000000004474e-02,5.929391025878232302e-01,-1.530992719281559777e-02,3.470138198525815620e-01
6.700000000000004563e-02,5.926608917508559005e-01,-1.557384385620136369e-02,3.552432128926221733e-01
6.800000000000004652e-02,5.923795482488681818e-01,-1.583444508112175075e-02,3.634726462917963752e-01
6.900000000000004741e-02,5.920953308045011632e-01,-1.609133497634557264e-02,3.716953743384120434e-01
7.000000000000004829e-02,5.918084984950733318e-01,-1.634413513978472121e-02,3.799048647338180151e-01
7.100000000000004918e-02,5.915193096534677730e-01,-1.659248436214838529e-02,3.880948042053461999e-01
7.200000000000005007e-02,5.912280208134582660e-01,-1.683603832368374409e-02,3.962591034370854803e-01
7.300000000000005096e-02,5.909348857034647517e-01,-1.707446928810235631e-02,4.043919013321989331e-01
7.400000000000005185e-02,5.906401542903794155e-01,-1.730746581335945722e-02,4.124875685495323907e-01
7.500000000000005274e-02,5.903440718779791041e-01,-1.753473246305653488e-02,4.205407103593621354e-01
7.600000000000005362e-02,5.900468782627665831e-01,-1.775598951974766138e-02,4.285461689833246490e-01
7.700000000000005451e-02,5.897488069504971397e-01,-1.797097268799219272e-02,4.364990253698804445e-01
7.800000000000005540e-02,5.894500844334065182e-01,-1.817943280535383455e-02,4.443946004090904012e-01
7.900000000000005629e-02,5.891509295294692361e-01,-1.838113556010967375e-02,4.522284556098207231e-01
8.000000000000005718e-02,5.888515527845127329e-01,-1.857586121622006869e-02,4.599963932629317909e-01
8.100000000000005806e-02,5.885521559376953871e-01,-1.876340434606360574e-02,4.676944561144071311e-01
8.200000000000005895e-02,5.882529314505939855e-01,-1.894357357128872987e-02,4.753189265727895130e-01
8.300000000000005984e-02,5.879540620999176292e-01,-1.911619131202041411e-02,4.828663254757504242e-01
8.400000000000006073e-02,5.876557206336688877e-01,-1.928109354458895641e-02,4.903334104411700145e-01
8.500000000000006162e-02,5.873580694904033672e-01,-1.943812956791107771e-02,4.977171738287768377e-01
8.600000000000006251e-02,5.870612605811020845e-01,-1.958716177865860164e-02,5.050148403392215046e-01
8.700000000000006339e-02,5.867654351330604534e-01,-1.972806545538524636e-02,5.122238642784590068e-01
8.800000000000006428e-02,5.864707235951295283e-01,-1.986072855185594399e-02,5.193419265165111209e-01
8.900000000000006517e-02,5.861772456036097312e-01,-1.998505149992674257e-02,5.263669311710841292e-01
9.000000000000006606e-02,5.858851100081116092e-01,-2.010094702245496245e-02,5.332970020481087037e-01
9.100000000000006695e-02,5.855944149566936208e-01,-2.020833995685944462e-02,5.401304788729301976e-01
9.200000000000006783e-02,5.853053219906236837e-01,-2.030715034123620200e-02,5.468652541305378811e-01
9.300000000000006872e-02,5.850180422492144983e-01,-2.039729996083788910e-02,5.534981342571385632e-01
9.400000000000006961e-02,5.847328521588824879e-01,-2.047870814521973726e-02,5.600259493926583731e-01
9.500000000000007050e-02,5.844500043405201906e-01,-2.055131358924144891e-02,5.664457717670818848e-01
