time,x,y,yaw
1.000000000000000021e-03,5.999999995562466104e-01,7.314642715305907927e-06,-9.009365145473631270e-05
2.000000000000000042e-03,5.999999917968278362e-01,2.910759742230650815e-05,-3.575145544052112665e-04
3.000000000000000062e-03,5.999999619076760160e-01,6.498161915552413959e-05,-7.980740072344900959e-04
4.000000000000000083e-03,5.999998845751869370e-01,1.145769911958804954e-04,-1.407715168052323714e-03
5.000000000000000104e-03,5.999997258736321504e-01,1.775395034133153693e-04,-2.182508622258812290e-03
6.000000000000000125e-03,5.999994440987928002e-01,2.535204745502395163e-04,-3.118647928131222050e-03
7.000000000000000146e-03,5.999989905588480887e-01,3.421767706110467877e-04,-4.212445167906994289e-03
8.000000000000000167e-03,5.999983103274098006e-01,4.431708184509663973e-04,-5.460326530750401683e-03
9.000000000000001055e-03,5.999973429826803706e-01,5.561706173700664557e-04,-6.858827942336494926e-03
1.000000000000000194e-02,5.999960232766304857e-01,6.808497447284844739e-04,-8.404590764283284207e-03
1.100000000000000283e-02,5.999942817842383036e-01,8.168873581503310888e-04,-1.009435758958112696e-02
1.200000000000000372e-02,5.999920455047951240e-01,9.639681911123298974e-04,-1.192496814072610024e-02
1.300000000000000461e-02,5.999892384360758779e-01,1.121782544760863143e-03,-1.389335528645242908e-02
1.400000000000000550e-02,5.999857821095346821e-01,1.290026274718747423e-03,-1.599654118807951331e-02
1.500000000000000638e-02,5.999815962452376139e-01,1.468401537991326222e-03,-1.823187539085590475e-02
1.600000000000000727e-02,5.999765990931249515e-01,1.656616096479102129e-03,-2.059706602819622728e-02
1.700000000000000816e-02,5.999707079335513393e-01,1.854383443458063052e-03,-2.308993220565007040e-02
1.800000000000000905e-02,5.999638393417783266e-01,2.061422051485295448e-03,-2.570839237527512006e-02
1.900000000000000994e-02,5.999559095818505217e-01,2.277455414417373092e-03,-2.845045935972389736e-02
2.000000000000001082e-02,5.999468349380366883e-01,2.502211938191389873e-03,-3.131423555423718669e-02
2.100000000000001171e-02,5.999365320163990711e-01,2.735424835938859989e-03,-3.429790830226091963e-02
2.200000000000001260e-02,5.999249180177285146e-01,2.976832028463327617e-03,-3.739974543954998482e-02
2.300000000000001349e-02,5.999119109830484131e-01,3.226176051079554519e-03,-4.061809100091880870e-02
2.400000000000001438e-02,5.998974300128206982e-01,3.483203967752257491e-03,-4.395136108327964836e-02
2.500000000000001527e-02,5.998813954608935850e-01,3.747667293381107267e-03,-4.739803985831084893e-02
2.600000000000001615e-02,5.998637291041067909e-01,4.019321924935925772e-03,-5.095667572804923884e-02
2.700000000000001704e-02,5.998443542883327151e-01,4.297928081952451240e-03,-5.462587761691924809e-02
2.800000000000001793e-02,5.998231960515756356e-01,4.583250256645132747e-03,-5.840431139418869599e-02
2.900000000000001882e-02,5.998001812245888908e-01,4.875057173598262850e-03,-6.229069642154212022e-02
3.000000000000001971e-02,5.997752385092837146e-01,5.173121758672627468e-03,-6.628380222132423949e-02
3.100000000000002059e-02,5.997482985349844586e-01,5.477221116437946957e-03,-7.038244526194759043e-02
3.200000000000002148e-02,5.997192938922908390e-01,5.787136515139346127e-03,-7.458548585790057694e-02
3.300000000000002237e-02,5.996881591438869563e-01,6.102653377945521651e-03,-7.889182518268283983e-02
3.400000000000002326e-02,5.996548308110176695e-01,6.423561279004064151e-03,-8.330040239383719458e-02
3.500000000000002415e-02,5.996192473334642781e-01,6.749653942627886760e-03,-8.781019187012911731e-02
3.600000000000002504e-02,5.995813489996617562e-01,7.080729243684746876e-03,-9.242020056202961131e-02
3.700000000000002592e-02,5.995410778422290976e-01,7.416589206886037289e-03,-9.712946545823436528e-02
3.800000000000002681e-02,5.994983774931306186e-01,7.757040002113746446e-03,-1.019370511730993412e-01
3.900000000000002770e-02,5.994531929932871428e-01,8.101891932431937171e-03,-1.068420476617212012e-01
4.000000000000002859e-02,5.994054706942142374e-01,8.450959121386880657e-03,-1.118435715886616777e-01
4.100000000000002948e-02,5.993551588448144951e-01,8.804056854077868532e-03,-1.169408094540003717e-01
4.200000000000003036e-02,5.993022062366718528e-01,9.161002393058448323e-03,-1.221330073927215237e-01
4.300000000000003125e-02,5.992465616720771271e-01,9.521615980343178798e-03,-1.274194316322459497e-01
4.400000000000003214e-02,5.991881736489874655e-01,9.885724270574103301e-03,-1.327993605689884449e-01
4.500000000000003303e-02,5.991269914015612263e-01,1.025315983947405751e-02,-1.382720755269117863e-01
4.600000000000003392e-02,5.990629665704475526e-01,1.062376192489333793e-02,-1.438368713039096247e-01
4.700000000000003481e-02,5.989960536259064661e-01,1.099737297034686367e-02,-1.494930482714928455e-01
4.800000000000003569e-02,5.989262092806543203e-01,1.137383732061481023e-02,-1.552399275121903177e-01
4.900000000000003658e-02,5.988533910317304088e-01,1.175299974865667840e-02,-1.610768466781567765e-01
5.000000000000003747e-02,5.987775564208758228e-01,1.213470848037223604e-02,-1.670031507845971819e-01
5.100000000000003836e-02,5.986986706723376184e-01,1.251873619730753395e-02,-1.730176336780291091e-01
5.200000000000003925e-02,5.986167420078382095e-01,1.290460560252038036e-02,-1.791155373153773822e-01
5.300000000000004013e-02,5.985318365522822592e-01,1.329159196239260154e-02,-1.852885919498055700e-01
5.400000000000004102e-02,5.984440598956808355e-01,1.367891324126796482e-02,-1.915280471438867982e-01
5.500000000000004191e-02,5.983535219657881710e-01,1.406583483792539502e-02,-1.978252891038605743e-01
5.600000000000004280e-02,5.982603423396777309e-01,1.445164534310378057e-02,-2.041718511007050985e-01
5.700000000000004369e-02,5.981646495522643381e-01,1.483565718512941389e-02,-2.105594233787852487e-01
5.800000000000004458e-02,5.980665957000753652e-01,1.521719271174470922e-02,-2.169795054970653503e-01
5.900000000000004546e-02,5.979663775082929567e-01,1.559556999616273920e-02,-2.234220766806876424e-01
6.000000000000004635e-02,5.978642354777841117e-01,1.597010546795035735e-02,-2.298766888003551667e-01
6.100000000000004724e-02,5.977604197952042231e-01,1.634014958024365693e-02,-2.363331099871789354e-01
6.200000000000004813e-02,5.976551919991978101e-01,1.670508344552362745e-02,-2.427813365463593609e-01
6.300000000000004208e-02,5.975488242819501084e-01,1.706431848128453499e-02,-2.492116044884852555e-01
6.400000000000004297e-02,5.974415983451718537e-01,1.741729640453604233e-02,-2.556144006395772439e-01
6.500000000000004385e-02,5.973338042421574290e-01,1.776348914779296573e-02,-2.619804732930626767e-01
