time,x,y,yaw
1.000000000000000021e-03,2.399999999801380124e+00,-5.687781080510045939e-06,5.938368499149974413e-05
2.000000000000000042e-03,2.399999996106869204e+00,-2.263714729172638940e-05,2.354931787347358096e-04
3.000000000000000062e-03,2.399999981861167253e+00,-5.054566067469457025e-05,5.251724270718722979e-04
4.000000000000000083e-03,2.399999945009847924e+00,-8.912390048732010683e-05,9.251496285882531735e-04
5.000000000000000104e-03,2.399999869459528146e+00,-1.380725468778654097e-04,1.432045024931207985e-03
6.000000000000000125e-03,2.399999735553672853e+00,-1.970830658565847493e-04,2.042378675211163966e-03
7.000000000000000146e-03,2.399999520561355126e+00,-2.658383852436330130e-04,2.752578206923858573e-03
8.000000000000000167e-03,2.399999199167018649e+00,-3.440135621002315958e-04,3.558986535574240866e-03
9.000000000000001055e-03,2.399998743962112435e+00,-4.312764422321757607e-04,4.457869546230384429e-03
1.000000000000000194e-02,2.399998125923274994e+00,-5.272883120605031948e-04,5.445423728914101404e-03
1.100000000000000283e-02,2.399997314884591226e+00,-6.317045434268697690e-04,6.517783759909387235e-03
1.200000000000000372e-02,2.399996279995824988e+00,-7.441752315847649513e-04,7.671030020811400903e-03
1.300000000000000461e-02,2.399994990163931696e+00,-8.643458266153758451e-04,8.901196046816299209e-03
1.400000000000000550e-02,2.399993414474963505e+00,-9.918577584058785312e-04,1.020427589546263683e-02
1.500000000000000638e-02,2.399991522593796667e+00,-1.126349055231290475e-03,1.157623142676572105e-02
1.600000000000000727e-02,2.399989285139461970e+00,-1.267454955881874845e-03,1.301299948545342998e-02
1.700000000000000816e-02,2.399986674034193079e+00,-1.414808515182053306e-03,1.451049897582953885e-02
1.800000000000000905e-02,2.399983662824638930e+00,-1.568041202649250732e-03,1.606463781967034515e-02
1.900000000000000994e-02,2.399980226974016251e+00,-1.726783493949723969e-03,1.767131978751143584e-02
2.000000000000001082e-02,2.399976344124282956e+00,-1.890665454720552585e-03,1.932645119371048312e-02
2.100000000000001171e-02,2.399971994327733782e+00,-2.059317316245867779e-03,2.102594744578319824e-02
2.200000000000001260e-02,2.399967160247680642e+00,-2.232370042401565779e-03,2.276573943870435074e-02
2.300000000000001349e-02,2.399961827328183972e+00,-2.409455887216138681e-03,2.454177978514358177e-02
