time,x,y,yaw
1.000000000000000021e-03,5.999999997855258727e-01,-5.443402526839058453e-06,5.236079004517771638e-05
2.000000000000000042e-03,5.999999959634407798e-01,-2.168550074388431170e-05,2.082308236458127709e-04
3.000000000000000062e-03,5.999999812524822174e-01,-4.847784801992327530e-05,4.659974287277132742e-04
4.000000000000000083e-03,5.999999432686720091e-01,-8.558547926224013835e-05,8.239224062599516136e-04
5.000000000000000104e-03,5.999998655431624250e-01,-1.327642041928367433e-04,1.280148534863066647e-03
6.000000000000000125e-03,5.999997280427337154e-01,-1.897609616161033408e-04,1.832706108525484958e-03
7.000000000000000146e-03,5.999995076894105717e-01,-2.563141819496017604e-04,2.479519492105132592e-03
8.000000000000000167e-03,5.999991788826350980e-01,-3.321541604898170519e-04,3.218413680243809027e-03
9.000000000000001055e-03,5.999987140083791193e-01,-4.170034436061231808e-04,4.047120846092416152e-03
1.000000000000000194e-02,5.999980839374514652e-01,-5.105772295861399357e-04,4.963286866663300066e-03
1.100000000000000283e-02,5.999972585091594146e-01,-6.125837855096571971e-04,5.964477812557033090e-03
1.200000000000000372e-02,5.999962069966513489e-01,-7.227248810610098495e-04,7.048186390415957063e-03
1.300000000000000461e-02,5.999948985512283395e-01,-8.406962398099793177e-04,8.211838327082752326e-03
1.400000000000000550e-02,5.999933026231579758e-01,-9.661880081019980082e-04,9.452798685032459680e-03
1.500000000000000638e-02,5.999913893568655787e-01,-1.098885241330227469e-03,1.076837809920257356e-02
1.600000000000000727e-02,5.999891299587142290e-01,-1.238468407016912742e-03,1.215583892587103129e-02
1.700000000000000816e-02,5.999864970359225502e-01,-1.384613903815723468e-03,1.361240129473045325e-02
1.800000000000000905e-02,5.999834649054900382e-01,-1.536994595256302443e-03,1.513524905578382540e-02
1.900000000000000994e-02,5.999800098723142572e-01,-1.695280356798278820e-03,1.672153561314715722e-02
2.000000000000001082e-02,5.999761104759735453e-01,-1.859138634537460533e-03,1.836838963829380209e-02
2.100000000000001171e-02,5.999717477059277604e-01,-2.028235013716628288e-03,2.007292065571783177e-02
2.200000000000001260e-02,5.999669051851354018e-01,-2.202233795039310049e-03,2.183222449443424432e-02
2.300000000000001349e-02,5.999615693223195878e-01,-2.380798576658127441e-03,2.364338859917480828e-02
2.400000000000001438e-02,5.999557294333148771e-01,-2.563592839619877051e-03,2.550349719558217196e-02
2.500000000000001527e-02,5.999493778321137727e-01,-2.750280534484894623e-03,2.740963630415167718e-02
2.600000000000001615e-02,5.999425098923903965e-01,-2.940526666803111588e-03,2.935889859811874683e-02
2.700000000000001704e-02,5.999351240804174923e-01,-3.133997879114780449e-03,3.134838810093447392e-02
2.800000000000001793e-02,5.999272219604137035e-01,-3.330363027145177846e-03,3.337522471940010393e-02
2.900000000000001882e-02,5.999188081734418976e-01,-3.529293747863038178e-03,3.543654860890831093e-02
3.000000000000001971e-02,5.999098903910512481e-01,-3.730465017025841323e-03,3.752952436747104825e-02
3.100000000000002059e-02,5.999004792450171042e-01,-3.933555693632295736e-03,3.965134505503894319e-02
3.200000000000002148e-02,5.998905882359394370e-01,-4.138249048143971542e-03,4.179923603352753148e-02
3.300000000000002237e-02,5.998802336348314501e-01,-4.344233272296438297e-03,4.397045862403758248e-02
3.400000000000002326e-02,5.998694343266273155e-01,-4.551201975829533009e-03,4.616231360023425462e-02
3.500000000000002415e-02,5.998582116214068449e-01,-4.758854626283337552e-03,4.837214442755798788e-02
3.600000000000002504e-02,5.998465890944800760e-01,-4.966896991550451279e-03,5.059734032894187827e-02
3.700000000000002592e-02,5.998345924862366063e-01,-5.175041553721948517e-03,5.283533924538125898e-02
3.800000000000002681e-02,5.998222495035148150e-01,-5.383007919807003550e-03,5.508363059831431624e-02
3.900000000000002770e-02,5.998095896248980541e-01,-5.590523196694396901e-03,5.733975787927195894e-02
4.000000000000002859e-02,5.997966439084937429e-01,-5.797322343785549226e-03,5.960132106854329481e-02
4.100000000000002948e-02,5.997834447966413629e-01,-6.003148499974242380e-03,6.186597888324486122e-02
4.200000000000003036e-02,5.997700259201717010e-01,-6.207753284060868459e-03,6.413145085630990450e-02
4.300000000000003125e-02,5.997564219044991818e-01,-6.410897068076071292e-03,6.639551924859202203e-02
4.400000000000003214e-02,5.997426681796842463e-01,-6.612349223201308135e-03,6.865603079672337461e-02
4.500000000000003303e-02,5.997288007964478584e-01,-6.811888338152050082e-03,7.091089829970638470e-02
4.600000000000003392e-02,5.997148562500960178e-01,-7.009302406449591238e-03,7.315810205402771549e-02
4.700000000000003481e-02,5.997008711879870946e-01,-7.204388997787358750e-03,7.539569123601534695e-02
4.800000000000003569e-02,5.996868820681447998e-01,-7.396955414178063570e-03,7.762178525160895459e-02
4.900000000000003658e-02,5.996729249142156437e-01,-7.586818804759976054e-03,7.983457462940622695e-02
5.000000000000003747e-02,5.996590353140093255e-01,-7.773806208372369131e-03,8.203232181650908783e-02
5.100000000000003836e-02,5.996452482218397328e-01,-7.957754621863544209e-03,8.421336187885090918e-02
5.200000000000003925e-02,5.996315977871606862e-01,-8.138511038572437961e-03,8.637610306370607782e-02
5.300000000000004013e-02,5.996181171948159472e-01,-8.315932462898689703e-03,8.851902722505584908e-02
5.400000000000004102e-02,5.996048385155510196e-01,-8.489885904548855056e-03,9.064069009416338141e-02
5.500000000000004191e-02,5.995917925675686710e-01,-8.660248349163512938e-03,9.273972142703877652e-02
5.600000000000004280e-02,5.995790087896053500e-01,-8.826906705952985988e-03,9.481482505144424311e-02
5.700000000000004369e-02,5.995665151259239600e-01,-8.989757732544123581e-03,9.686477879710812811e-02
5.800000000000004458e-02,5.995543379233435610e-01,-9.148707940268341332e-03,9.888843431118593541e-02
5.900000000000004546e-02,5.995425018404568762e-01,-9.303673480384577754e-03,1.008847167627059532e-01
6.000000000000004635e-02,5.995310297690447099e-01,-9.454580012197344452e-03,1.028526244396954642e-01
6.100000000000004724e-02,5.995199427675701465e-01,-9.601362554036096952e-03,1.047912282426295832e-01
6.200000000000004813e-02,5.995092600064921839e-01,-9.743965318043557033e-03,1.066996710777793345e-01
6.300000000000004208e-02,5.994989988444193729e-01,-9.882341830555918527e-03,1.085771664560301886e-01
6.400000000000004297e-02,5.994891747051765973e-01,-1.001645458569172531e-02,1.104229972096816143e-01
6.500000000000004385e-02,5.994798010216481066e-01,-1.014627475481988395e-02,1.122365164385939335e-01
6.600000000000004474e-02,5.994708890586797345e-01,-1.027178151862462308e-02,1.140171467047090409e-01
6.700000000000004563e-02,5.994624479281043250e-01,-1.039296140281997793e-02,1.157643797227897731e-01
6.800000000000004652e-02,5.994544845323140914e-01,-1.050980740492934995e-02,1.174777765219250786e-01
6.900000000000004741e-02,5.994470039290116237e-01,-1.062231845188715829e-02,1.191569678666801191e-01
7.000000000000004829e-02,5.994400098026713142e-01,-1.073049943229442693e-02,1.208016537269368390e-01
7.100000000000004918e-02,5.994335048413093059e-01,-1.083436106603830051e-02,1.224116015960264037e-01
7.200000000000005007e-02,5.994274905431408174e-01,-1.093391983923169830e-02,1.239866440863174463e-01
7.300000000000005096e-02,5.994219670943711220e-01,-1.102919795395629343e-02,1.255266769724162623e-01
7.400000000000005185e-02,5.994169325748178734e-01,-1.112022308984877972e-02,1.270316576136849285e-01
7.500000000000005274e-02,5.994123830676062470e-01,-1.120702804907969252e-02,1.285016023052625300e-01
7.600000000000005362e-02,5.994083128683470596e-01,-1.128965052737529451e-02,1.299365841770251662e-01
7.700000000000005451e-02,5.994047152507188114e-01,-1.136813298848399212e-02,1.313367315991454121e-01
7.800000000000005540e-02,5.994015824363694289e-01,-1.144252250407173932e-02,1.327022262780451489e-01
7.900000000000005629e-02,5.993989056515205416e-01,-1.151287055478322774e-02,1.340333013010504282e-01
8.000000000000005718e-02,5.993966752719728230e-01,-1.157923284276685116e-02,1.353302391928830894e-01
8.100000000000005806e-02,5.993948810243229230e-01,-1.164166900620339229e-02,1.365933703034016844e-01
8.200000000000005895e-02,5.993935115416062498e-01,-1.170024260212959577e-02,1.378230719053795961e-01
8.300000000000005984e-02,5.993925545517748699e-01,-1.175502088720509208e-02,1.390197658178306539e-01
8.400000000000006073e-02,5.993919968439961332e-01,-1.180607474017059122e-02,1.401839156178005252e-01
8.500000000000006162e-02,5.993918245906146858e-01,-1.185347840546213671e-02,1.413160245877823906e-01
8.600000000000006251e-02,5.993920233699039368e-01,-1.189730931991650476e-02,1.424166337003429095e-01
8.700000000000006339e-02,5.993925782411734238e-01,-1.193764791961343663e-02,1.434863196033472621e-01
8.800000000000006428e-02,5.993934738178314792e-01,-1.197457744550733949e-02,1.445256926061183333e-01
8.900000000000006517e-02,5.993946943382078008e-01,-1.200818374714079928e-02,1.455353946682685640e-01
9.000000000000006606e-02,5.993962237338928967e-01,-1.203855508476453506e-02,1.465160973931799449e-01
9.100000000000006695e-02,5.993980456953839075e-01,-1.206578193019636203e-02,1.474685000282495440e-01
9.200000000000006783e-02,5.994001437348641659e-01,-1.208995676675728159e-02,1.483933274740922015e-01
9.300000000000006872e-02,5.994025012459834878e-01,-1.211117388863131028e-02,1.492913283049185080e-01
9.400000000000006961e-02,5.994051015605444954e-01,-1.212952920000326396e-02,1.501632728023043206e-01
9.500000000000007050e-02,5.994079277514352544e-01,-1.214511995271938538e-02,1.510099504088482925e-01
9.600000000000007139e-02,5.994109628674014756e-01,-1.215804458469321725e-02,1.518321676078234206e-01
9.700000000000007228e-02,5.994141900363284536e-01,-1.216840253285611517e-02,1.526307471181400088e-01
9.800000000000007316e-02,5.994175927636756773e-01,-1.217629409947623698e-02,1.534065260796054486e-01
9.900000000000007405e-02,5.994211548429519976e-01,-1.218182022926467267e-02,1.541603541042324554e-01
1.000000000000000749e-01,5.994248603524733321e-01,-1.218508230771481182e-02,1.548930913696286715e-01
1.010000000000000758e-01,5.994286936607888805e-01,-1.218618196365989226e-02,1.556056067542536669e-01
1.020000000000000767e-01,5.994326394148027370e-01,-1.218522088425649796e-02,1.562987760053689834e-01
1.030000000000000776e-01,5.994366825269884513e-01,-1.218230063872571822e-02,1.569734799216593590e-01
1.040000000000000785e-01,5.994408082292296269e-01,-1.217752248681047700e-02,1.576306026604731569e-01
1.050000000000000794e-01,5.994450021611175128e-01,-1.217098718281106606e-02,1.582710300879509313e-01
1.060000000000000803e-01,5.994492503932860039e-01,-1.216279480205345598e-02,1.588956481729195958e-01
1.070000000000000812e-01,5.994535393818644087e-01,-1.215304457105204072e-02,1.595053414443178552e-01
1.080000000000000820e-01,5.994578558252598999e-01,-1.214183468644836061e-02,1.601009913998258927e-01
1.090000000000000829e-01,5.994621866436907753e-01,-1.212926214611953490e-02,1.606834748061707618e-01
1.100000000000000838e-01,5.994665190761404583e-01,-1.211542260023945605e-02,1.612536621679321880e-01
1.110000000000000847e-01,5.994708408189854953e-01,-1.210041021862590105e-02,1.618124163836622276e-01
1.120000000000000856e-01,5.994751400417559495e-01,-1.208431755422401110e-02,1.623605914394202487e-01
1.130000000000000865e-01,5.994794053690092328e-01,-1.206723540733489752e-02,1.628990311223198206e-01
1.140000000000000874e-01,5.994836258677004315e-01,-1.204925269588097425e-02,1.634285677689163996e-01
1.150000000000000883e-01,5.994877910382886421e-01,-1.203045633265875658e-02,1.639500210566203209e-01
1.160000000000000892e-01,5.994918908074609032e-01,-1.201093110918238782e-02,1.644641968428297851e-01
1.170000000000000900e-01,5.994959155212603585e-01,-1.199075958617601412e-02,1.649718860559544475e-01
1.180000000000000909e-01,5.994998559380468883e-01,-1.197002199050406501e-02,1.654738636373639105e-01
1.190000000000000918e-01,5.995037032209781236e-01,-1.194879611909960282e-02,1.659708875342024714e-01
1.200000000000000927e-01,5.995074489299367926e-01,-1.192715724986809223e-02,1.664636977434137965e-01
1.210000000000000936e-01,5.995110850129247160e-01,-1.190517805958563047e-02,1.669530154072576822e-01
1.220000000000000945e-01,5.995146037969873998e-01,-1.188292854880296234e-02,1.674395419605530233e-01
1.230000000000000954e-01,5.995179979787571556e-01,-1.186047597375167184e-02,1.679239583298304250e-01
1.240000000000000963e-01,5.995212606147095613e-01,-1.183788478522984633e-02,1.684069241845202181e-01
1.250000000000000833e-01,5.995243851112271871e-01,-1.181521657442741180e-02,1.688890772402374951e-01
1.260000000000000842e-01,5.995273652145588494e-01,-1.179253002563329655e-02,1.693710326141560085e-01
1.270000000000000850e-01,5.995301950007558833e-01,-1.176988087574848407e-02,1.698533822323889941e-01
1.280000000000000859e-01,5.995328688656551552e-01,-1.174732188051202941e-02,1.703366942892183544e-01
1.290000000000000868e-01,5.995353815149729870e-01,-1.172490278733229196e-02,1.708215127579353065e-01
1.300000000000000877e-01,5.995377279545620608e-01,-1.170267031459987228e-02,1.713083569529762484e-01
1.310000000000000886e-01,5.995399034808762684e-01,-1.168066813734414122e-02,1.717977211429583539e-01
1.320000000000000895e-01,5.995419036716802541e-01,-1.165893687908492460e-02,1.722900742141406372e-01
1.330000000000000904e-01,5.995437243770338487e-01,-1.163751410971669564e-02,1.727858593837579837e-01
1.340000000000000913e-01,5.995453617105759303e-01,-1.161643434925363483e-02,1.732854939625992352e-01
1.350000000000000921e-01,5.995468120411269197e-01,-1.159572907725409108e-02,1.737893691661255569e-01
1.360000000000000930e-01,5.995480719846237871e-01,-1.157542674773398561e-02,1.742978499733520981e-01
1.370000000000000939e-01,5.995491383964089982e-01,-1.155555280931314099e-02,1.748112750327862897e-01
1.380000000000000948e-01,5.995500083638957145e-01,-1.153612973023976362e-02,1.753299566152887179e-01
1.390000000000000957e-01,5.995506791995934837e-01,-1.151717702833687795e-02,1.758541806118440465e-01
1.400000000000000966e-01,5.995511484344947517e-01,-1.149871130569574129e-02,1.763842065746160370e-01
1.410000000000000975e-01,5.995514138118279712e-01,-1.148074628792661311e-02,1.769202678007868179e-01
1.420000000000000984e-01,5.995514732811910719e-01,-1.146329286761144095e-02,1.774625714580460589e-01
1.430000000000000993e-01,5.995513249930671806e-01,-1.144635915175923335e-02,1.780112987504982869e-01
1.440000000000001001e-01,5.995509672937198165e-01,-1.142995051303635767e-02,1.785666051237003726e-01
1.450000000000001010e-01,5.995503987204566787e-01,-1.141406964454233508e-02,1.791286205074861249e-01
1.460000000000001019e-01,5.995496179972477080e-01,-1.139871661789876311e-02,1.796974495951828565e-01
1.470000000000001028e-01,5.995486240306613368e-01,-1.138388894441849652e-02,1.802731721577749135e-01
1.480000000000001037e-01,5.995474159060660835e-01,-1.136958163912221709e-02,1.808558433915245234e-01
1.490000000000001046e-01,5.995459928840194408e-01,-1.135578728736591492e-02,1.814454942975240459e-01
1.500000000000001055e-01,5.995443543967263755e-01,-1.134249611384519074e-02,1.820421320916299768e-01
1.510000000000001064e-01,5.995425000444216668e-01,-1.132969605374151145e-02,1.826457406432244746e-01
1.520000000000001072e-01,5.995404295914895654e-01,-1.131737282577893744e-02,1.832562809412696947e-01
1.530000000000001081e-01,5.995381429621153835e-01,-1.130551000696500275e-02,1.838736915861684251e-01
1.540000000000001090e-01,5.995356402352615133e-01,-1.129408910879847738e-02,1.844978893060178204e-01
1.550000000000001099e-01,5.995329216387970117e-01,-1.128308965474233982e-02,1.851287694959369290e-01
1.560000000000001108e-01,5.995299875427042569e-01,-1.127248925877782915e-02,1.857662067792520966e-01
1.570000000000001117e-01,5.995268384514697013e-01,-1.126226370488775386e-02,1.864100555894331601e-01
1.580000000000001126e-01,5.995234749960866028e-01,-1.125238702735731344e-02,1.870601507717789824e-01
1.590000000000001135e-01,5.995198979265281558e-01,-1.124283159182842828e-02,1.877163082038962594e-01
1.600000000000001144e-01,5.995161081058941743e-01,-1.123356817707543698e-02,1.883783254338479152e-01
1.610000000000001152e-01,5.995121065072726019e-01,-1.122456605742855329e-02,1.890459823343214052e-01
1.620000000000001161e-01,5.995078942135360078e-01,-1.121579308566700295e-02,1.897190417704664456e-01
1.630000000000001170e-01,5.995034724192495057e-01,-1.120721577608946307e-02,1.903972502787200094e-01
1.640000000000001179e-01,5.994988424333443922e-01,-1.119879938744022807e-02,1.910803387542642784e-01
1.650000000000001188e-01,5.994940056814332952e-01,-1.119050800543086588e-02,1.917680231454247930e-01
1.660000000000001197e-01,5.994889637072319255e-01,-1.118230462468761122e-02,1.924600051538321033e-01
1.670000000000001206e-01,5.994837181730188203e-01,-1.117415123001996857e-02,1.931559729393894920e-01
1.680000000000001215e-01,5.994782708592830689e-01,-1.116600887693197652e-02,1.938556018291069105e-01
1.690000000000001223e-01,5.994726236637506478e-01,-1.115783777130369137e-02,1.945585550288074506e-01
1.700000000000001232e-01,5.994667785999512333e-01,-1.114959734816778347e-02,1.952644843366555527e-01
1.710000000000001241e-01,5.994607377954394023e-01,-1.114124634950480752e-02,1.959730308574196556e-01
1.720000000000001250e-01,5.994545034897366120e-01,-1.113274290097759911e-02,1.966838257163650849e-01
1.730000000000001259e-01,5.994480780320172730e-01,-1.112404458752619396e-02,1.973964907716693751e-01
1.740000000000001268e-01,5.994414638785187099e-01,-1.111510852774155733e-02,1.981106393242534069e-01
1.750000000000001277e-01,5.994346635896081743e-01,-1.110589144693685526e-02,1.988258768239165586e-01
1.760000000000001286e-01,5.994276798263862283e-01,-1.109634974883050296e-02,1.995418015706424408e-01
1.770000000000001295e-01,5.994205153466313218e-01,-1.108643958574839772e-02,2.002580054098892504e-01
1.780000000000001303e-01,5.994131729998211089e-01,-1.107611692724203012e-02,2.009740744205810725e-01
1.790000000000001312e-01,5.994056557208901070e-01,-1.106533762700867563e-02,2.016895895943668637e-01
1.800000000000001321e-01,5.993979665224022924e-01,-1.105405748799265231e-02,2.024041275045427579e-01
1.810000000000001330e-01,5.993901084850254968e-01,-1.104223232556672540e-02,2.031172609629559589e-01
1.820000000000001339e-01,5.993820847467590252e-01,-1.102981802876218387e-02,2.038285596634642483e-01
1.830000000000001348e-01,5.993738984922134527e-01,-1.101677061964234650e-02,2.045375908113573615e-01
