time,x,y,yaw
1.000000000000000021e-03,5.999999998960980907e-01,-4.358317256036858822e-06,4.895318869884389412e-05
2.000000000000000042e-03,5.999999979040561149e-01,-1.736301204341428317e-05,1.946617756886353926e-04
3.000000000000000062e-03,5.999999901964239157e-01,-3.881683692846804590e-05,4.355696658662321780e-04
4.000000000000000083e-03,5.999999701968442567e-01,-6.853057078609614550e-05,7.700129462499900792e-04
5.000000000000000104e-03,5.999999290669587593e-01,-1.063058251429827017e-04,1.196225447495411799e-03
6.000000000000000125e-03,5.999998559382188068e-01,-1.519355302600500224e-04,1.712344293603632484e-03
7.000000000000000146e-03,5.999997381447816913e-01,-2.052044295684507524e-04,2.316415431712124870e-03
8.000000000000000167e-03,5.999995614617577022e-01,-2.658895819339646138e-04,3.006399134591649768e-03
9.000000000000001055e-03,5.999993103427408991e-01,-3.337608710701767123e-04,3.780175469254581141e-03
1.000000000000000194e-02,5.999989681580957246e-01,-4.085815213046850580e-04,4.635549725651852068e-03
1.100000000000000283e-02,5.999985174361137652e-01,-4.901086192489190196e-04,5.570257798912156381e-03
1.200000000000000372e-02,5.999979401004263968e-01,-5.780936403104730559e-04,6.581971518399258245e-03
1.300000000000000461e-02,5.999972177018477737e-01,-6.722829789428397262e-04,7.668303922555144703e-03
1.400000000000000550e-02,5.999963316333262187e-01,-7.724184810253276190e-04,8.826814472569641939e-03
1.500000000000000638e-02,5.999952633432223958e-01,-8.782379780506444078e-04,1.005501420035140314e-02
1.600000000000000727e-02,5.999939945378501838e-01,-9.894758209706422392e-04,1.135037078804162006e-02
1.700000000000000816e-02,5.999925073731162684e-01,-1.105863411835661392e-03,1.271031357857408707e-02
1.800000000000000905e-02,5.999907846343481843e-01,-1.227129733245957421e-03,1.413223850787153311e-02
1.900000000000000994e-02,5.999888099035693978e-01,-1.353001874892900691e-03,1.561351295341581978e-02
2.000000000000001082e-02,5.999865677136434483e-01,-1.483205555745881199e-03,1.715148049736224881e-02
2.100000000000001171e-02,5.999840436888728146e-01,-1.617465640198156862e-03,1.874346560039290288e-02
2.200000000000001260e-02,5.999812246717878272e-01,-1.755506647053872715e-03,2.038677818251952503e-02
2.300000000000001349e-02,5.999780988360041700e-01,-1.897053250164149052e-03,2.207871810710402075e-02
2.400000000000001438e-02,5.999746557696407079e-01,-2.041830770123209682e-03,2.381657956515022614e-02
2.500000000000001527e-02,5.999708865305740657e-01,-2.189565655932868005e-03,2.559765535814851473e-02
2.600000000000001615e-02,5.999667837039418528e-01,-2.339985954436629711e-03,2.741924106963571778e-02
2.700000000000001704e-02,5.999623414706364288e-01,-2.492821766190089772e-03,2.927863912603972593e-02
2.800000000000001793e-02,5.999575556408909272e-01,-2.647805688445636907e-03,3.117316274427407718e-02
2.900000000000001882e-02,5.999524236724518289e-01,-2.804673243718469600e-03,3.310013976205825048e-02
3.000000000000001971e-02,5.999469446760312685e-01,-2.963163293348947125e-03,3.505691634620443364e-02
3.100000000000002059e-02,5.999411194077891585e-01,-3.123018435238988921e-03,3.704086057428636336e-02
3.200000000000002148e-02,5.999349502495134878e-01,-3.283985384801901830e-03,3.904936589324314866e-02
3.300000000000002237e-02,5.999284411772335401e-01,-3.445815338188495947e-03,4.107985445162818522e-02
3.400000000000002326e-02,5.999215977190334170e-01,-3.608264317561171719e-03,4.312978030173934829e-02
3.500000000000002415e-02,5.999144269028835463e-01,-3.771093497999256083e-03,4.519663246972474568e-02
3.600000000000002504e-02,5.999069371953379415e-01,-3.934069515612037549e-03,4.727793789200789715e-02
3.700000000000002592e-02,5.998991384319659614e-01,-4.096964756529652973e-03,4.937126421663366044e-02
3.800000000000002681e-02,5.998910417404028639e-01,-4.259557626515142470e-03,5.147422246839981202e-02
3.900000000000002770e-02,5.998826594569086623e-01,-4.421632801007990832e-03,5.358446957690682355e-02
4.000000000000002859e-02,5.998740050373185806e-01,-4.582981455478363220e-03,5.569971076692849937e-02
4.100000000000002948e-02,5.998650929632620699e-01,-4.743401476032471642e-03,5.781770181077747900e-02
4.200000000000003036e-02,5.998559386445040387e-01,-4.902697650272458407e-03,5.993625114261140474e-02
4.300000000000003125e-02,5.998465583182385208e-01,-5.060681838468195082e-03,6.205322183489714316e-02
4.400000000000003214e-02,5.998369689461269250e-01,-5.217173125151242097e-03,6.416653343752212746e-02
