time,x,y,yaw
1.000000000000000021e-03,5.999999999005062312e-01,-4.309638689636852149e-06,4.812902535326121762e-05
2.000000000000000042e-03,5.999999979873668066e-01,-1.717008991874990897e-05,1.914155795870388810e-04
3.000000000000000062e-03,5.999999905841634229e-01,-3.838822695745314206e-05,4.283912734815744348e-04
4.000000000000000083e-03,5.999999713722876660e-01,-6.777884118891464027e-05,7.574797839928901688e-04
5.000000000000000104e-03,5.999999318571140883e-01,-1.051476022251307541e-04,1.177002311792939033e-03
6.000000000000000125e-03,5.999998615891242171e-01,-1.502915274569915915e-04,1.685183030791187128e-03
7.000000000000000146e-03,5.999997483855004088e-01,-2.029994607095630954e-04,2.280154521062842561e-03
8.000000000000000167e-03,5.999995785566566431e-01,-2.630525595340715839e-04,2.959963177353259599e-03
9.000000000000001055e-03,5.999993371321310498e-01,-3.302247905151989293e-04,3.722574586139834347e-03
1.000000000000000194e-02,5.999990080871429043e-01,-4.042834318368493385e-04,4.565878864837385510e-03
1.100000000000000283e-02,5.999985745721254649e-01,-4.849895826706807078e-04,5.487695956287558588e-03
1.200000000000000372e-02,5.999980191383161854e-01,-5.720986783229187189e-04,6.485780871690723960e-03
1.300000000000000461e-02,5.999973239582575557e-01,-6.653610100800788629e-04,7.557828880377299649e-03
1.400000000000000550e-02,5.999964710301404214e-01,-7.645222481687530269e-04,8.701480639423928021e-03
1.500000000000000638e-02,5.999954423806908022e-01,-8.693239672653008121e-04,9.914327258809807475e-03
1.600000000000000727e-02,5.999942202578938399e-01,-9.795041716310071145e-04,1.119391530186305064e-02
1.700000000000000816e-02,5.999927873134229817e-01,-1.094797820098636354e-03,1.253775171502539976e-02
1.800000000000000905e-02,5.999911267739279630e-01,-1.214937349664269028e-03,1.394330867791372490e-02
1.900000000000000994e-02,5.999892226004878149e-01,-1.339653197356516223e-03,1.540802837230350469e-02
2.000000000000001082e-02,5.999870596357038677e-01,-1.468674318028939663e-03,1.692932766660458499e-02
2.100000000000001171e-02,5.999846237380571656e-01,-1.601728696975390775e-03,1.850460271210530722e-02
2.200000000000001260e-02,5.999819019033015843e-01,-1.738543856109553420e-03,2.013123344734554440e-02
2.300000000000001349e-02,5.999788823728097187e-01,-1.878847352467127862e-03,2.180658800706173142e-02
2.400000000000001438e-02,5.999755547199275840e-01,-2.022367268153246744e-03,2.352802703264390491e-02
2.500000000000001527e-02,5.999719098936222572e-01,-2.168832691385125244e-03,2.529290788307678867e-02
2.600000000000001615e-02,5.999679402815252249e-01,-2.317974185246929331e-03,2.709858873761301565e-02
2.700000000000001704e-02,5.999636397639633856e-01,-2.469524244146370506e-03,2.894243258855170448e-02
2.800000000000001793e-02,5.999590037565967204e-01,-2.623217736993921356e-03,3.082181112368846329e-02
2.900000000000001882e-02,5.999540292267752095e-01,-2.778792336782520689e-03,3.273410849414352952e-02
3.000000000000001971e-02,5.999487146997506404e-01,-2.935988935132249900e-03,3.467672496476868066e-02
3.100000000000002059e-02,5.999430602525666067e-01,-3.094552041622344873e-03,3.664708044154812300e-02
3.200000000000002148e-02,5.999370674962577477e-01,-3.254230166779115141e-03,3.864261787287253530e-02
3.300000000000002237e-02,5.999307395470473425e-01,-3.414776187935453233e-03,4.066080653019672059e-02
3.400000000000002326e-02,5.999240809872860014e-01,-3.575947696875747539e-03,4.269914516359897549e-02
3.500000000000002415e-02,5.999170978168966162e-01,-3.737507329302336423e-03,4.475516502903943705e-02
3.600000000000002504e-02,5.999097973961283747e-01,-3.899223075678082129e-03,4.682643278577614671e-02
3.700000000000002592e-02,5.999021883804448452e-01,-4.060868573077525134e-03,4.891055326263395175e-02
3.800000000000002681e-02,5.998942806483834600e-01,-4.222223377766176622e-03,5.100517209206402447e-02
3.900000000000002770e-02,5.998860852232273944e-01,-4.383073218300836960e-03,5.310797821117952539e-02
4.000000000000002859e-02,5.998776141893267244e-01,-4.543210229011440671e-03,5.521670622920504118e-02
4.100000000000002948e-02,5.998688806038932064e-01,-4.702433163789321302e-03,5.732913866103344497e-02
4.200000000000003036e-02,5.998598984050721450e-01,-4.860547590167962895e-03,5.944310802684399375e-02
4.300000000000003125e-02,5.998506823170647317e-01,-5.017366063736039550e-03,6.155649881800074469e-02
4.400000000000003214e-02,5.998412477530346010e-01,-5.172708282970672755e-03,6.366724932972203654e-02
4.500000000000003303e-02,5.998316108174046590e-01,-5.326401417060366850e-03,6.577335287140650966e-02
4.600000000000003392e-02,5.998217881278417041e-01,-5.478280111453348589e-03,6.787285929358874426e-02
4.700000000000003481e-02,5.998117966953276925e-01,-5.628186560169778918e-03,6.996387708330567556e-02
