time,x,y,yaw
1.000000000000000021e-03,5.999999992199299692e-01,-7.349493199582113334e-06,1.063802829723353233e-04
2.000000000000000042e-03,5.999999872088727093e-01,-2.925072800452621635e-05,4.222841343686574065e-04
3.000000000000000062e-03,5.999999407689583508e-01,-6.531623264560693087e-05,9.430245552520981952e-04
4.000000000000000083e-03,5.999998202821756887e-01,-1.151889545806250581e-04,1.664097114603656875e-03
5.000000000000000104e-03,5.999995723925815039e-01,-1.785124119738079607e-04,2.581172330249375656e-03
6.000000000000000125e-03,5.999991311944529171e-01,-2.549310659543113644e-04,3.690087925760537121e-03
7.000000000000000146e-03,5.999984193801642940e-01,-3.440906645283403620e-04,4.986841029630047217e-03
8.000000000000000167e-03,5.999973493469784591e-01,-4.456385594965306396e-04,6.467580379410853980e-03
9.000000000000001055e-03,5.999958242596931113e-01,-5.592239977664226203e-04,8.128598589029327817e-03
1.000000000000000194e-02,5.999937390679840332e-01,-6.844983885551103597e-04,9.966324532201278202e-03
1.100000000000000283e-02,5.999909814704975641e-01,-8.211155480291609798e-04,1.197731588835774033e-02
1.200000000000000372e-02,5.999874328279605207e-01,-9.687319232858371265e-04,1.415825188992685807e-02
1.300000000000000461e-02,5.999829690288258632e-01,-1.127006798000984578e-03,1.650592630707773886e-02
1.400000000000000550e-02,5.999774613164189363e-01,-1.295602482309865522e-03,1.901724069532723105e-02
1.500000000000000638e-02,5.999707770570422705e-01,-1.474184488944096927e-03,2.168919792707047975e-02
1.600000000000000727e-02,5.999627804541866061e-01,-1.662421697441407442e-03,2.451889602476914690e-02
1.700000000000000816e-02,5.999533332006756758e-01,-1.859986506336341883e-03,2.750352231324402000e-02
1.800000000000000905e-02,5.999422950598294335e-01,-2.066554968706280082e-03,3.064034791696225793e-02
1.900000000000000994e-02,5.999295243847134751e-01,-2.281806898730254218e-03,3.392672264712248698e-02
2.000000000000001082e-02,5.999148786711331338e-01,-2.505425937907423961e-03,3.736007031707635345e-02
2.100000000000001171e-02,5.998982153193834765e-01,-2.737099626987427037e-03,4.093788435420932931e-02
2.200000000000001260e-02,5.998793922564371606e-01,-2.976519563894108877e-03,4.465772339993014789e-02
2.300000000000001349e-02,5.998582683328588239e-01,-3.223381613026765624e-03,4.851720706853853565e-02
2.400000000000001438e-02,5.998347035221689438e-01,-3.477386159881967753e-03,5.251401195665281185e-02
2.500000000000001527e-02,5.998085591865224275e-01,-3.738238462759613245e-03,5.664586757029357877e-02
2.600000000000001615e-02,5.997796983138637961e-01,-4.005649248340126256e-03,6.091055179822438964e-02
2.700000000000001704e-02,5.997479857995289265e-01,-4.279334571294701739e-03,6.530588777724843919e-02
2.800000000000001793e-02,5.997132888447389565e-01,-4.559014843037667575e-03,6.982974744390993416e-02
2.900000000000001882e-02,5.996754772566175173e-01,-4.844414423732401609e-03,7.448004715737754911e-02
3.000000000000001971e-02,5.996344234953235874e-01,-5.135262760982250985e-03,7.925474425002985990e-02
3.100000000000002059e-02,5.995900027819923706e-01,-5.431294290729304919e-03,8.415183483638387363e-02
3.200000000000002148e-02,5.995420933209711922e-01,-5.732248507803849868e-03,8.916935218199195656e-02
3.300000000000002237e-02,5.994905765515450291e-01,-6.037870046540605440e-03,9.430536528399108276e-02
3.400000000000002326e-02,5.994353373135757890e-01,-6.347908745950370246e-03,9.955797748304279216e-02
3.500000000000002415e-02,5.993762639643935852e-01,-6.662119700717950010e-03,1.049253252177179130e-01
3.600000000000002504e-02,5.993132484877842225e-01,-6.980263309815382122e-03,1.104055769056619951e-01
3.700000000000002592e-02,5.992461865919667119e-01,-7.302105320113938536e-03,1.159969319382045394e-01
3.800000000000002681e-02,5.991749778069500598e-01,-7.627416865882141739e-03,1.216976197818418204e-01
3.900000000000002770e-02,5.990995255963883492e-01,-7.955974507532381779e-03,1.275058991953976484e-01
4.000000000000002859e-02,5.990197374882719750e-01,-8.287560276417860194e-03,1.334200575950340029e-01
4.100000000000002948e-02,5.989355251478292175e-01,-8.621961727274918275e-03,1.394384105816419694e-01
4.200000000000003036e-02,5.988468205706612979e-01,-8.958952500285444209e-03,1.455587627023608444e-01
4.300000000000003125e-02,5.987535738678239072e-01,-9.298302318458628868e-03,1.517780171484232610e-01
4.400000000000003214e-02,5.986557574580435581e-01,-9.639771626537951832e-03,1.580929728616367047e-01
4.500000000000003303e-02,5.985533505978080093e-01,-9.983134949789640444e-03,1.645004574440220857e-01
4.600000000000003392e-02,5.984463426698947153e-01,-1.032817604189290028e-02,1.709973306451391950e-01
4.700000000000003481e-02,5.983347330462540636e-01,-1.067468791944492512e-02,1.775804876526385356e-01
4.800000000000003569e-02,5.982185308861124318e-01,-1.102247283833202030e-02,1.842468622170732317e-01
4.900000000000003658e-02,5.980977549259889336e-01,-1.137134222615343582e-02,1.909934296334383497e-01
5.000000000000003747e-02,5.979724331458499131e-01,-1.172111666134545427e-02,1.978172099129540118e-01
5.100000000000003836e-02,5.978426017400216841e-01,-1.207162626224073110e-02,2.047152738049367315e-01
