time,x,y,yaw
1.000000000000000021e-03,5.999999985576371930e-01,-7.324480406190048143e-06,1.192234139422807551e-04
2.000000000000000042e-03,5.999999778140339135e-01,-2.915234685280099214e-05,4.732768407413850530e-04
3.000000000000000062e-03,5.999998976955436270e-01,-6.510046135543845480e-05,1.056928709066272875e-03
4.000000000000000083e-03,5.999996900574907643e-01,-1.148060936266293020e-04,1.865197732896464733e-03
5.000000000000000104e-03,5.999992633706134892e-01,-1.778997667453152687e-04,2.893339670037860245e-03
6.000000000000000125e-03,5.999985049183372832e-01,-2.540063060501029923e-04,4.136833584060629204e-03
7.000000000000000146e-03,5.999972829275777020e-01,-3.427458309815945015e-04,5.591367813359231394e-03
8.000000000000000167e-03,5.999954486240312024e-01,-4.437346915405204761e-04,7.252825837655821513e-03
9.000000000000001055e-03,5.999928382047599040e-01,-5.565863517224545198e-04,9.117272215271159455e-03
1.000000000000000194e-02,5.999892747213586564e-01,-6.809122234867626133e-04,1.118093874369081343e-02
1.100000000000000283e-02,5.999845698668930805e-01,-8.163224570615357223e-04,1.344021097050437930e-02
1.200000000000000372e-02,5.999785256586750437e-01,-9.624266975753470454e-04,1.589161514977609560e-02
1.300000000000000461e-02,5.999709360061629138e-01,-1.118834825538872479e-03,1.853180569684138509e-02
1.400000000000000550e-02,5.999615881479112289e-01,-1.285157711690187998e-03,2.135755313680568271e-02
1.500000000000000638e-02,5.999502640490518290e-01,-1.461007869145991567e-03,2.436573279974434819e-02
1.600000000000000727e-02,5.999367418696134324e-01,-1.645999818515597735e-03,2.755331551124793124e-02
1.700000000000000816e-02,5.999207971929606531e-01,-1.839750582124877187e-03,3.091735790736814191e-02
1.800000000000000905e-02,5.999022040445176618e-01,-2.041880325430567300e-03,3.445499340637787899e-02
1.900000000000000994e-02,5.998807358975394299e-01,-2.252012856296670140e-03,3.816342424850138748e-02
2.000000000000001082e-02,5.998561666182442575e-01,-2.469776077379914891e-03,4.203991430766412796e-02
2.100000000000001171e-02,5.998282713117811804e-01,-2.694802416020436464e-03,4.608178265337165014e-02
2.200000000000001260e-02,5.997968270899375343e-01,-2.926729227363478181e-03,5.028639783267557783e-02
2.300000000000001349e-02,5.997616148707844985e-01,-3.165198959381387844e-03,5.465111102663031822e-02
2.400000000000001438e-02,5.997224243126652032e-01,-3.409859758456812440e-03,5.917293334336409111e-02
2.500000000000001527e-02,5.996790540553961213e-01,-3.660366839492001922e-03,6.384870582189999810e-02
2.600000000000001615e-02,5.996313118165097489e-01,-3.916383362483677466e-03,6.867528412435441876e-02
2.700000000000001704e-02,5.995790138844284689e-01,-4.177581286805287508e-03,7.364953791889031209e-02
2.800000000000001793e-02,5.995219858742459884e-01,-4.443641580804846836e-03,7.876835085163171046e-02
2.900000000000001882e-02,5.994600631164653803e-01,-4.714254551420271611e-03,8.402862104253426556e-02
3.000000000000001971e-02,5.993930909593481182e-01,-4.989120128801038945e-03,8.942726203494216763e-02
3.100000000000002059e-02,5.993209249906121805e-01,-5.267948106757514015e-03,9.496120413100425650e-02
3.200000000000002148e-02,5.992434311842123051e-01,-5.550458340015773651e-03,1.006273960483738683e-01
3.300000000000002237e-02,5.991604859778778547e-01,-5.836380899405080314e-03,1.064228068374706432e-01
3.400000000000002326e-02,5.990719762869891607e-01,-6.125456186251210244e-03,1.123444280028590841e-01
3.500000000000002415e-02,5.989777994602335509e-01,-6.417435007381622203e-03,1.183892757768387621e-01
