time,x,y,yaw
1.000000000000000021e-03,5.999999984021591182e-01,-7.291187587410430382e-06,1.206226755890867336e-04
2.000000000000000042e-03,5.999999757514860033e-01,-2.901931366594556749e-05,4.788422587645309010e-04
3.000000000000000062e-03,5.999998882817135781e-01,-6.480149237159116282e-05,1.069387439602621868e-03
4.000000000000000083e-03,5.999996616356459977e-01,-1.142723929882794032e-04,1.887246588802785584e-03
5.000000000000000104e-03,5.999991959976487266e-01,-1.770578177430759403e-04,2.927653265753081546e-03
6.000000000000000125e-03,5.999983685394825184e-01,-2.527759870764589856e-04,4.186071088685583592e-03
7.000000000000000146e-03,5.999970358001793791e-01,-3.410387649772639307e-04,5.658178219869753299e-03
8.000000000000000167e-03,5.999950359873693628e-01,-4.414528247624338597e-04,7.339851701929345912e-03
9.000000000000001055e-03,5.999921911894788851e-01,-5.536207571052997878e-04,9.227151858960239150e-03
1.000000000000000194e-02,5.999883094880653633e-01,-6.771421245735931294e-04,1.131630694750402830e-02
1.100000000000000283e-02,5.999831869582666899e-01,-8.116144714089279510e-04,1.360369820575989264e-02
1.200000000000000372e-02,5.999766095420546730e-01,-9.566343053045711642e-04,1.608584540111522229e-02
1.300000000000000461e-02,5.999683547725785937e-01,-1.111798081882942046e-03,1.875939291013234769e-02
1.400000000000000550e-02,5.999581935654491049e-01,-1.276702956086950280e-03,2.162109694369630450e-02
1.500000000000000638e-02,5.999458918381103123e-01,-1.450947525488244239e-03,2.466781413887750643e-02
1.600000000000000727e-02,5.999312120370532408e-01,-1.634132497494167335e-03,2.789649016607078855e-02
1.700000000000000816e-02,5.999139147256720150e-01,-1.825861382302562674e-03,3.130411562510898582e-02
1.800000000000000905e-02,5.998937622276377946e-01,-2.025740986133672816e-03,3.488747397185684024e-02
1.900000000000000994e-02,5.998705199629249529e-01,-2.233383047680503886e-03,3.864322039493909428e-02
2.000000000000001082e-02,5.998439578350124313e-01,-2.448405004839282473e-03,4.256804042804010479e-02
2.100000000000001171e-02,5.998138508011563452e-01,-2.670431223395552944e-03,4.665864504092644832e-02
2.200000000000001260e-02,5.997799800465315467e-01,-2.899093481792014426e-03,5.091176672583749840e-02
2.300000000000001349e-02,5.997421339040148736e-01,-3.134031560489081158e-03,5.532415652104567122e-02
2.400000000000001438e-02,5.997001086526343450e-01,-3.374893774869824892e-03,5.989258190022245937e-02
2.500000000000001527e-02,5.996537092001594793e-01,-3.621337452416661939e-03,6.461382545108294850e-02
2.600000000000001615e-02,5.996027496557487790e-01,-3.873029355065726875e-03,6.948468426392030717e-02
2.700000000000001704e-02,5.995470537988770721e-01,-4.129646047814683474e-03,7.450196994976449050e-02
2.800000000000001793e-02,5.994864554509771182e-01,-4.390874214828976996e-03,7.966250920868997443e-02
2.900000000000001882e-02,5.994207987563323625e-01,-4.656410924443965538e-03,8.496314487095114887e-02
3.000000000000001971e-02,5.993499383787894708e-01,-4.925963844613912013e-03,9.040073733685853596e-02
3.100000000000002059e-02,5.992737396208099865e-01,-5.199251410495653314e-03,9.597216634536356872e-02
3.200000000000002148e-02,5.991920784712805315e-01,-5.476002945984104198e-03,1.016743330059661915e-01
3.300000000000002237e-02,5.991048415883487577e-01,-5.755958741134881151e-03,1.075041620335950854e-01
