time,x,y,yaw
1.000000000000000021e-03,5.999999985763010413e-01,-7.323321276009320258e-06,1.196061608791226116e-04
2.000000000000000042e-03,5.999999779635677433e-01,-2.914826649569324246e-05,4.747969075931839154e-04
3.000000000000000062e-03,5.999998983512249140e-01,-6.509318156394661159e-05,1.060323926272632115e-03
4.000000000000000083e-03,5.999996920276854384e-01,-1.147974036226906414e-04,1.871188700427049234e-03
5.000000000000000104e-03,5.999992680503157816e-01,-1.778940434621345545e-04,2.902629254946195551e-03
6.000000000000000125e-03,5.999985144332178333e-01,-2.540109749001873141e-04,4.150106400415407189e-03
7.000000000000000146e-03,5.999973002696316060e-01,-3.427717685909881240e-04,5.609289683150217760e-03
8.000000000000000167e-03,5.999954777795667438e-01,-4.437965722403069968e-04,7.276043232965587193e-03
9.000000000000001055e-03,5.999928842751921509e-01,-5.567029398848011290e-04,9.146411683571666409e-03
1.000000000000000194e-02,5.999893440369866715e-01,-6.811066141004795682e-04,1.121660631945099566e-02
1.100000000000000283e-02,5.999846700935677069e-01,-8.166222672751910494e-04,1.348299157728028927e-02
1.200000000000000372e-02,5.999786658970451825e-01,-9.628642122969099937e-04,1.594207199754766810e-02
1.300000000000000461e-02,5.999711268830701938e-01,-1.119447100544457285e-03,1.859047967962882200e-02
1.400000000000000550e-02,5.999618418996006675e-01,-1.285986637952540868e-03,2.142496223584468631e-02
1.500000000000000638e-02,5.999505946355698782e-01,-1.462100150115996922e-03,2.444237162307305242e-02
1.600000000000000727e-02,5.999371650323770400e-01,-1.647406961631625588e-03,2.763965483652885968e-02
1.700000000000000816e-02,5.999213305373105598e-01,-1.841528829103211695e-03,3.101384413095275433e-02
1.800000000000000905e-02,5.999028670754771309e-01,-2.044090588420477417e-03,3.456204813141415533e-02
1.900000000000000994e-02,5.998815500864648209e-01,-2.254720593630910042e-03,3.828144393534708284e-02
2.000000000000001082e-02,5.998571554474192435e-01,-2.473051147449223386e-03,4.216926999559373473e-02
2.100000000000001171e-02,5.998294603132827696e-01,-2.698718906056163380e-03,4.622281976118358671e-02
2.200000000000001260e-02,5.997982438769655644e-01,-2.931365259384755007e-03,5.043943604488884680e-02
2.300000000000001349e-02,5.997632880537617783e-01,-3.170636687961969624e-03,5.481650608069164182e-02
2.400000000000001438e-02,5.997243780944534475e-01,-3.416185097240065360e-03,5.935145722990654849e-02
2.500000000000001527e-02,5.996813031315895159e-01,-3.667668130231227508e-03,6.404175329167628716e-02
2.600000000000001615e-02,5.996338566634177303e-01,-3.924749459150556063e-03,6.888489137173990640e-02
2.700000000000001704e-02,5.995818369798771030e-01,-4.187099056678744713e-03,7.387839926260079959e-02
2.800000000000001793e-02,5.995250475349441777e-01,-4.454393447373916626e-03,7.901983328833750431e-02
2.900000000000001882e-02,5.994632972694804440e-01,-4.726315939692027346e-03,8.430677656815165066e-02
3.000000000000001971e-02,5.993964008885436234e-01,-5.002556839019678403e-03,8.973683765419236680e-02
3.100000000000002059e-02,5.993241790969311422e-01,-5.282813642077943683e-03,9.530764950110501288e-02
3.200000000000002148e-02,5.992464587965029565e-01,-5.566791213018729145e-03,1.010168687270074361e-01
3.300000000000002237e-02,5.991630732486108446e-01,-5.854201941512093832e-03,1.068621751280958709e-01
3.400000000000002326e-02,5.990738622047288020e-01,-6.144765883104585935e-03,1.128412714117361104e-01
3.500000000000002415e-02,5.989786720081504701e-01,-6.438210882118544642e-03,1.189518831156280848e-01
3.600000000000002504e-02,5.988773556693932631e-01,-6.734272677360542136e-03,1.251917586833794227e-01
3.700000000000002592e-02,5.987697729177272610e-01,-7.032694990907806254e-03,1.315586696695354996e-01
3.800000000000002681e-02,5.986557902310363222e-01,-7.333229600250068536e-03,1.380504110497479953e-01
3.900000000000002770e-02,5.985352808460143725e-01,-7.635636394072886635e-03,1.446648016142896287e-01
4.000000000000002859e-02,5.984081247505104173e-01,-7.939683411984033157e-03,1.513996844255164342e-01
4.100000000000002948e-02,5.982742086596571918e-01,-8.245146868498476334e-03,1.582529273221239541e-01
