time,x,y,yaw
1.000000000000000021e-03,5.999999998247481647e-01,-5.596205706004386826e-06,5.919354101810618356e-05
2.000000000000000042e-03,5.999999965073248287e-01,-2.229463297864775484e-05,2.353915541888163617e-04
3.000000000000000062e-03,5.999999837054913465e-01,-4.984150402242981670e-05,5.267369577732110893e-04
4.000000000000000083e-03,5.999999505665275512e-01,-8.799482066251806955e-05,9.312389709698813516e-04
5.000000000000000104e-03,5.999998825793838586e-01,-1.365017453444639095e-04,1.446780161588808030e-03
6.000000000000000125e-03,5.999997619872238230e-01,-1.950990975230770808e-04,2.071123485337809239e-03
7.000000000000000146e-03,5.999995682068646197e-01,-2.635138630572297913e-04,2.801919304452989666e-03
8.000000000000000167e-03,5.999992782569851801e-01,-3.414637175548351777e-04,3.636712373531875413e-03
9.000000000000001055e-03,5.999988671824373343e-01,-4.286575638297041024e-04,4.572948782774017770e-03
1.000000000000000194e-02,5.999983084704668679e-01,-5.247960821739838799e-04,5.607982846353545478e-03
1.100000000000000283e-02,5.999975744595027471e-01,-6.295722933660208298e-04,6.739083924351115494e-03
1.200000000000000372e-02,5.999966367381381893e-01,-7.426721344894748889e-04,7.963443176097588505e-03
1.300000000000000461e-02,5.999954665306228563e-01,-8.637750480701145150e-04,9.278180237310992493e-03
1.400000000000000550e-02,5.999940350661611133e-01,-9.925545829039261747e-04,1.068034981317262169e-02
1.500000000000000638e-02,5.999923139300733510e-01,-1.128679005331201246e-03,1.216694818089947283e-02
1.600000000000000727e-02,5.999902753948636036e-01,-1.271811919675180924e-03,1.373491959572603616e-02
1.700000000000000816e-02,5.999878927295373421e-01,-1.421612896350454847e-03,1.538116259447022682e-02
1.800000000000000905e-02,5.999851404857849957e-01,-1.577738106003312435e-03,1.710253619106541501e-02
1.900000000000000994e-02,5.999819947599287495e-01,-1.739840957923732834e-03,1.889586595860640386e-02
2.000000000000001082e-02,5.999784334298103872e-01,-1.907572740874552419e-03,2.075794999259437251e-02
2.100000000000001171e-02,5.999744363660836077e-01,-2.080583264408852884e-03,2.268556475018614418e-02
2.200000000000001260e-02,5.999699856176583523e-01,-2.258521498698540242e-03,2.467547076036791590e-02
2.300000000000001349e-02,5.999650655713238967e-01,-2.441036210868552381e-03,2.672441820009293853e-02
2.400000000000001438e-02,5.999596630858556878e-01,-2.627776595822139960e-03,2.882915233155533552e-02
2.500000000000001527e-02,5.999537676011733600e-01,-2.818392899558042064e-03,3.098641879592613224e-02
2.600000000000001615e-02,5.999473712233718281e-01,-3.012537033007134379e-03,3.319296875905841659e-02
2.700000000000001704e-02,5.999404687866801700e-01,-3.209863174465921176e-03,3.544556390488106529e-02
2.800000000000001793e-02,5.999330578936163949e-01,-3.410028358766525880e-03,3.774098127244751577e-02
2.900000000000001882e-02,5.999251389347872720e-01,-3.612693051401050237e-03,4.007601793288881331e-02
3.000000000000001971e-02,5.999167150899678003e-01,-3.817521704885806777e-03,4.244749550468825128e-02
3.100000000000002059e-02,5.999077921780282541e-01,-4.024183303970696457e-03,4.485226455370013715e-02
3.200000000000002148e-02,5.998983786227558568e-01,-4.232351876686191172e-03,4.728720882252004931e-02
3.300000000000002237e-02,5.998884853454574673e-01,-4.441706992573568602e-03,4.974924922897398794e-02
3.400000000000002326e-02,5.998781257451594184e-01,-4.651934232800192248e-03,5.223534770945250510e-02
3.500000000000002415e-02,5.998673155730072093e-01,-4.862725646939347612e-03,5.474251088873777898e-02
3.600000000000002504e-02,5.998560728078279336e-01,-5.073780184183307451e-03,5.726779357346587634e-02
3.700000000000002592e-02,5.998444175189268091e-01,-5.284804100002538085e-03,5.980830206837100399e-02
3.800000000000002681e-02,5.998323717176955450e-01,-5.495511337538450114e-03,6.236119731485232492e-02
3.900000000000002770e-02,5.998199591996077329e-01,-5.705623883135113594e-03,6.492369785178964126e-02
4.000000000000002859e-02,5.998072053781716706e-01,-5.914872095537981878e-03,6.749308259890790529e-02
4.100000000000002948e-02,5.997941371123852727e-01,-6.122995008405407447e-03,7.006669346334955251e-02
4.200000000000003036e-02,5.997807825292076345e-01,-6.329740605931333253e-03,7.264193777028392363e-02
4.300000000000003125e-02,5.997671708424507919e-01,-6.534866073165945810e-03,7.521629050889412638e-02
4.400000000000003214e-02,5.997533321695595054e-01,-6.738138019414752211e-03,7.778729639513259908e-02
4.500000000000003303e-02,5.997392973476586286e-01,-6.939332674504306020e-03,8.035257177804955298e-02
4.600000000000003392e-02,5.997250977502169844e-01,-7.138236056455304901e-03,8.290980638214404119e-02
4.700000000000003481e-02,5.997107651054677246e-01,-7.334644112735044796e-03,8.545676488368122992e-02
4.800000000000003569e-02,5.996963313177038346e-01,-7.528362835321600333e-03,8.799128832363110886e-02
4.900000000000003658e-02,5.996818282924604171e-01,-7.719208349956596660e-03,9.051129536009604182e-02
5.000000000000003747e-02,5.996672877664721568e-01,-7.907006980073405522e-03,9.301478336329666030e-02
5.100000000000003836e-02,5.996527411431502586e-01,-8.091595285937280835e-03,9.549982935638318127e-02
5.200000000000003925e-02,5.996382193341321942e-01,-8.272820079569032092e-03,9.796459080554328902e-02
5.300000000000004013e-02,5.996237526072091262e-01,-8.450538416036712519e-03,1.004073062631107016e-01
5.400000000000004102e-02,5.996093704405572877e-01,-8.624617561673708632e-03,1.028262958676896544e-01
5.500000000000004191e-02,5.995951015561648001e-01,-8.794935568421424765e-03,1.052199600510694416e-01
5.600000000000004280e-02,5.995809735804282781e-01,-8.961380603364044184e-03,1.075867804987908904e-01
5.700000000000004369e-02,5.995670128827053080e-01,-9.123850749538586768e-03,1.099253223132249102e-01
5.800000000000004458e-02,5.995532443673392553e-01,-9.282253523821670793e-03,1.122342337840536719e-01
5.900000000000004546e-02,5.995396914309123471e-01,-9.436505915924930932e-03,1.145122460480385296e-01
6.000000000000004635e-02,5.995263759375608625e-01,-9.586534075601726990e-03,1.167581730580288801e-01
6.100000000000004724e-02,5.995133185159738920e-01,-9.732272365086613863e-03,1.189709135255358347e-01
6.200000000000004813e-02,5.995005387231611138e-01,-9.873662553774864570e-03,1.211494509403368419e-01
6.300000000000004208e-02,5.994880552102744842e-01,-1.001065383762406169e-02,1.232928517841960225e-01
6.400000000000004297e-02,5.994758853774347918e-01,-1.014320303825910763e-02,1.254002659054657964e-01
6.500000000000004385e-02,5.994640453539138436e-01,-1.027127471239486223e-02,1.274709257168575027e-01
6.600000000000004474e-02,5.994525498426197530e-01,-1.039484086892983328e-02,1.295041450141748707e-01
6.700000000000004563e-02,5.994414121773137261e-01,-1.051388078832804496e-02,1.314993176982807987e-01
6.800000000000004652e-02,5.994306442214537567e-01,-1.062838087037637491e-02,1.334559165781577517e-01
6.900000000000004741e-02,5.994202556070717947e-01,-1.073833416586966738e-02,1.353734917835364704e-01
7.000000000000004829e-02,5.994102541597733369e-01,-1.084373977155794755e-02,1.372516698332966190e-01
7.100000000000004918e-02,5.994006462269070301e-01,-1.094460264468205546e-02,1.390901517424376344e-01
7.200000000000005007e-02,5.993914371973018129e-01,-1.104093375650572195e-02,1.408887107986892540e-01
7.300000000000005096e-02,5.993826313563929142e-01,-1.113274999017893618e-02,1.426471907667038186e-01
7.400000000000005185e-02,5.993742319769064242e-01,-1.122007393321705626e-02,1.443655040322601169e-01
7.500000000000005274e-02,5.993662414563435403e-01,-1.130293370670354403e-02,1.460436297233301262e-01
7.600000000000005362e-02,5.993586608630702139e-01,-1.138136295247321739e-02,1.476816126802117102e-01
7.700000000000005451e-02,5.993514899713987543e-01,-1.145540063592098701e-02,1.492795621336644452e-01
7.800000000000005540e-02,5.993447271259108033e-01,-1.152509089353770388e-02,1.508376488131706050e-01
7.900000000000005629e-02,5.993383696653965531e-01,-1.159048273381241279e-02,1.523561027951024771e-01
8.000000000000005718e-02,5.993324139033878728e-01,-1.165162987555834473e-02,1.538352114288623618e-01
8.100000000000005806e-02,5.993268551795096766e-01,-1.170859056694151246e-02,1.552753172023897676e-01
8.200000000000005895e-02,5.993216879115994544e-01,-1.176142740182251067e-02,1.566768155443601651e-01
8.300000000000005984e-02,5.993169056485171398e-01,-1.181020713087588270e-02,1.580401526527626943e-01
8.400000000000006073e-02,5.993125011240064692e-01,-1.185500046027038179e-02,1.593658233204423014e-01
8.500000000000006162e-02,5.993084663105698873e-01,-1.189588184777451429e-02,1.606543687406595811e-01
8.600000000000006251e-02,5.993047924731768061e-01,-1.193292929643768874e-02,1.619063742955329788e-01
8.700000000000006339e-02,5.993014702227067447e-01,-1.196622414578774052e-02,1.631224673301627515e-01
8.800000000000006428e-02,5.992984895690851577e-01,-1.199585086085819263e-02,1.643033149151544581e-01
8.900000000000006517e-02,5.992958398483279048e-01,-1.202189678339304901e-02,1.654496212912635322e-01
9.000000000000006606e-02,5.992935096539460105e-01,-1.204445187120323224e-02,1.665621243513720207e-01
9.100000000000006695e-02,5.992914871328054449e-01,-1.206360854837856822e-02,1.676415949594713406e-01
9.200000000000006783e-02,5.992897603442977061e-01,-1.207946157854766778e-02,1.686888356342868267e-01
9.300000000000006872e-02,5.992883172352299059e-01,-1.209210784150582807e-02,1.697046780809511601e-01
9.400000000000006961e-02,5.992871455768513655e-01,-1.210164609059261043e-02,1.706899807723461227e-01
9.500000000000007050e-02,5.992862329814403477e-01,-1.210817672743008666e-02,1.716456265894319988e-01
9.600000000000007139e-02,5.992855669617764836e-01,-1.211180158633790027e-02,1.725725205600612266e-01
9.700000000000007228e-02,5.992851349250325477e-01,-1.211262372087873462e-02,1.734715877607193868e-01
9.800000000000007316e-02,5.992849237767375881e-01,-1.211074714092180704e-02,1.743437710469969981e-01
9.900000000000007405e-02,5.992849199521469439e-01,-1.210627658074447943e-02,1.751900282531751174e-01
1.000000000000000749e-01,5.992851095947709927e-01,-1.209931730654989490e-02,1.760113299826403521e-01
1.010000000000000758e-01,5.992854789608274002e-01,-1.208997496086239298e-02,1.768086577692075667e-01
1.020000000000000767e-01,5.992860143961356023e-01,-1.207835536490431405e-02,1.775830021697733518e-01
1.030000000000000776e-01,5.992867023718422281e-01,-1.206456430337482510e-02,1.783353608015670055e-01
1.040000000000000785e-01,5.992875294839077327e-01,-1.204870733899132684e-02,1.790667363943322654e-01
1.050000000000000794e-01,5.992884824742148453e-01,-1.203088962925924488e-02,1.797781348865470363e-01
1.060000000000000803e-01,5.992895482527342832e-01,-1.201121574776575773e-02,1.804705635832956345e-01
1.070000000000000812e-01,5.992907139181867793e-01,-1.198978950780815733e-02,1.811450293634028208e-01
1.080000000000000820e-01,5.992919667758092039e-01,-1.196671379178448902e-02,1.818025369326325413e-01
1.090000000000000829e-01,5.992932943519498901e-01,-1.194209038598997852e-02,1.824440871229777161e-01
1.100000000000000838e-01,5.992946844055104805e-01,-1.191601982096657242e-02,1.830706752385271585e-01
1.110000000000000847e-01,5.992961249364169296e-01,-1.188860121760054733e-02,1.836832894487063494e-01
1.120000000000000856e-01,5.992976040157650397e-01,-1.185993214192232470e-02,1.842829095404024953e-01
1.130000000000000865e-01,5.992991098476145861e-01,-1.183010846089793677e-02,1.848705054889102362e-01
1.140000000000000874e-01,5.993006307642323449e-01,-1.179922420601942079e-02,1.854470356297631961e-01
1.150000000000000883e-01,5.993021553558487424e-01,-1.176737144234579757e-02,1.860134452147995110e-01
1.160000000000000892e-01,5.993036724525852010e-01,-1.173464014723168969e-02,1.865706650504721786e-01
1.170000000000000900e-01,5.993051711313772678e-01,-1.170111809524920776e-02,1.871196101912778187e-01
1.180000000000000909e-01,5.993066407219463931e-01,-1.166689074995297393e-02,1.876611786891927147e-01
1.190000000000000918e-01,5.993080708119122857e-01,-1.163204116251470577e-02,1.881962503999407843e-01
1.200000000000000927e-01,5.993094512511257799e-01,-1.159664987722092144e-02,1.887256858468410736e-01
1.210000000000000936e-01,5.993107721552696221e-01,-1.156079484381100642e-02,1.892503251428796773e-01
1.220000000000000945e-01,5.993120239086890955e-01,-1.152455133663576881e-02,1.897709869715087094e-01
1.230000000000000954e-01,5.993131971663150370e-01,-1.148799188067034516e-02,1.902884676264800790e-01
1.240000000000000963e-01,5.993142828545061640e-01,-1.145118618449658676e-02,1.908035401108112705e-01
1.250000000000000833e-01,5.993152721708334685e-01,-1.141420108040785975e-02,1.913169532948826856e-01
1.260000000000000842e-01,5.993161565831954807e-01,-1.137710047166390348e-02,1.918294311337801761e-01
1.270000000000000850e-01,5.993169278288155155e-01,-1.133994528670795310e-02,1.923416719441399247e-01
1.280000000000000859e-01,5.993175779133639303e-01,-1.130279344004403441e-02,1.928543477406129414e-01
1.290000000000000868e-01,5.993180991099873456e-01,-1.126569979954550327e-02,1.933681036317062285e-01
1.300000000000000877e-01,5.993184839579807077e-01,-1.122871616007153905e-02,1.938835572745633840e-01
1.310000000000000886e-01,5.993187252612032223e-01,-1.119189122328834163e-02,1.944012983882809631e-01
1.320000000000000895e-01,5.993188160865583480e-01,-1.115527058361132084e-02,1.949218883252913648e-01
1.330000000000000904e-01,5.993187497626023541e-01,-1.111889672024474196e-02,1.954458597000618414e-01
1.340000000000000913e-01,5.993185198779749090e-01,-1.108280899526847829e-02,1.959737160741648887e-01
1.350000000000000921e-01,5.993181202793343987e-01,-1.104704365757236406e-02,1.965059316968505165e-01
1.360000000000000930e-01,5.993175450687897587e-01,-1.101163385230918834e-02,1.970429513003795208e-01
1.370000000000000939e-01,5.993167886010661860e-01,-1.097660963554009106e-02,1.975851899493344666e-01
1.380000000000000948e-01,5.993158454806489788e-01,-1.094199799384193428e-02,1.981330329429567827e-01
1.390000000000000957e-01,5.993147105590291845e-01,-1.090782286871438966e-02,1.986868357693953313e-01
1.400000000000000966e-01,5.993133789320786997e-01,-1.087410518564368989e-02,1.992469241106431810e-01
1.410000000000000975e-01,5.993118459375416096e-01,-1.084086288766700212e-02,1.998135938968714775e-01
1.420000000000000984e-01,5.993101071526227841e-01,-1.080811097326300763e-02,2.003871114088204286e-01
1.430000000000000993e-01,5.993081583916584076e-01,-1.077586153837711835e-02,2.009677134268653409e-01
