time,x,y,yaw
1.000000000000000021e-03,5.999999974492705723e-01,-7.143568544198952708e-06,1.252198838722359895e-04
2.000000000000000042e-03,5.999999634677309901e-01,-2.842087381599300855e-05,4.971680577934134817e-04
3.000000000000000062e-03,5.999998323023295610e-01,-6.342768802303222486e-05,1.110555409140199633e-03
4.000000000000000083e-03,5.999994926030021158e-01,-1.117512340780835167e-04,1.960445510783087163e-03
5.000000000000000104e-03,5.999987951072350834e-01,-1.729490566713676181e-04,3.042230558743958153e-03
6.000000000000000125e-03,5.999975564740596123e-01,-2.465524993335299619e-04,4.351605778995088630e-03
7.000000000000000146e-03,5.999955630281275099e-01,-3.320700696227696369e-04,5.884542892394921398e-03
8.000000000000000167e-03,5.999925743885785590e-01,-4.289906889456962524e-04,7.637263170929082558e-03
9.000000000000001055e-03,5.999883269393607721e-01,-5.367868370233508379e-04,9.606210536565644789e-03
1.000000000000000194e-02,5.999825373318465882e-01,-6.549174806392277226e-04,1.178802536959904987e-02
1.100000000000000283e-02,5.999749056736324304e-01,-7.828309158431356884e-04,1.417951932408578232e-02
1.200000000000000372e-02,5.999651186567633854e-01,-9.199674138082869490e-04,1.677765119936293348e-02
1.300000000000000461e-02,5.999528523803225877e-01,-1.065761778320906128e-03,1.957950438991533024e-02
1.400000000000000550e-02,5.999377750702845624e-01,-1.219645717152328945e-03,2.258226601319337709e-02
1.500000000000000638e-02,5.999195495991185290e-01,-1.381050069617417719e-03,2.578320783508284211e-02
1.600000000000000727e-02,5.998978358168449709e-01,-1.549406886072690614e-03,2.917966905847030334e-02
1.700000000000000816e-02,5.998722926938387934e-01,-1.724151361771397717e-03,3.276904099276881782e-02
1.800000000000000905e-02,5.998425802775245730e-01,-1.904723628100235544e-03,3.654875358178622663e-02
1.900000000000000994e-02,5.998083614667454322e-01,-2.090570404692404516e-03,4.051626373398994202e-02
2.000000000000001082e-02,5.997693036090079310e-01,-2.281146516269316749e-03,4.466904537281556065e-02
2.100000000000001171e-02,5.997250799269999710e-01,-2.475916278325163145e-03,4.900458110473258910e-02
2.200000000000001260e-02,5.996753707817648049e-01,-2.674354755959951202e-03,5.352035538872056131e-02
2.300000000000001349e-02,5.996198647806900706e-01,-2.875948900296021460e-03,5.821384908193043967e-02
2.400000000000001438e-02,5.995582597390515245e-01,-3.080198567000758114e-03,6.308253523187697109e-02
2.500000000000001527e-02,5.994902641915900166e-01,-3.286619205974283808e-03,6.812385589063879587e-02
2.600000000000001615e-02,5.994155992140727252e-01,-3.494746071049437131e-03,7.333519522718784378e-02
2.700000000000001704e-02,5.993339989124103484e-01,-3.704134758124033588e-03,7.871390509273591685e-02
2.800000000000001793e-02,5.992452107710118936e-01,-3.914362099029233821e-03,8.425731073571433860e-02
2.900000000000001882e-02,5.991489958205025168e-01,-4.125026461851644122e-03,8.996271163873136023e-02
3.000000000000001971e-02,5.990451287489679810e-01,-4.335748111715331810e-03,9.582738301242017809e-02
3.100000000000002059e-02,5.989333979101728600e-01,-4.546169430504010123e-03,1.018485778229431399e-01
3.200000000000002148e-02,5.988136052415085064e-01,-4.755955005547707337e-03,1.080235292420164694e-01
3.300000000000002237e-02,5.986855661038090748e-01,-4.964791597306228432e-03,1.143494534204342744e-01
3.400000000000002326e-02,5.985491090544617920e-01,-5.172387996005112232e-03,1.208235524978909792e-01
3.500000000000002415e-02,5.984040755644663978e-01,-5.378474777032293819e-03,1.274430177731949998e-01
3.600000000000002504e-02,5.982503196892829944e-01,-5.582803964690741250e-03,1.342050329695699817e-01
3.700000000000002592e-02,5.980877077024677746e-01,-5.785148613638713133e-03,1.411067775395463686e-01
3.800000000000002681e-02,5.979161177002171312e-01,-5.985302318042340364e-03,1.481454299594862911e-01
3.900000000000002770e-02,5.977354391840298264e-01,-6.183078658630825064e-03,1.553181709622921680e-01
4.000000000000002859e-02,5.975455726281294622e-01,-6.378310592218772168e-03,1.626221867009455258e-01
4.100000000000002948e-02,5.973464290374266294e-01,-6.570849790911881261e-03,1.700546718232123777e-01
4.200000000000003036e-02,5.971379295010043053e-01,-6.760565938981444312e-03,1.776128324260935754e-01
4.300000000000003125e-02,5.969200047453772084e-01,-6.947345995961473619e-03,1.852938888748448809e-01
4.400000000000003214e-02,5.966925946911660894e-01,-7.131093432173385427e-03,1.930950784759874472e-01
4.500000000000003303e-02,5.964556480162279684e-01,-7.311727442779081265e-03,2.010136579971932569e-01
4.600000000000003392e-02,5.962091217277363242e-01,-7.489182146008133145e-03,2.090469060298290604e-01
4.700000000000003481e-02,5.959529807452198513e-01,-7.663405770756748225e-03,2.171921251923373264e-01
4.800000000000003569e-02,5.956872027842740058e-01,-7.834362333730082728e-03,2.254465886158255050e-01
4.900000000000003658e-02,5.954117884143159678e-01,-8.002038433034486253e-03,2.338073225866147131e-01
