time,x,y,yaw
1.000000000000000021e-03,5.999999974406219350e-01,7.143568544476508464e-06,-1.252198838665056287e-04
2.000000000000000042e-03,5.999999634333251786e-01,2.842087381665914236e-05,-4.971680577035635876e-04
3.000000000000000062e-03,5.999998322255589711e-01,6.342768802536369321e-05,-1.110555408693482318e-03
4.000000000000000083e-03,5.999994924677584107e-01,1.117512340844117880e-04,-1.960445509397359259e-03
5.000000000000000104e-03,5.999987948979367269e-01,1.729490566854119393e-04,-3.042230555426008072e-03
6.000000000000000125e-03,5.999975561756761833e-01,2.465524993603418480e-04,-4.351605772252808285e-03
7.000000000000000146e-03,5.999955626262006847e-01,3.320700696683442921e-04,-5.884542880163414792e-03
8.000000000000000167e-03,5.999925738692372112e-01,4.289906890173611487e-04,-7.637263150509754003e-03
9.000000000000001055e-03,5.999883262893291880e-01,5.367868371298212260e-04,-9.606210504575865908e-03
1.000000000000000194e-02,5.999825365384481302e-01,6.549174807894408978e-04,-1.178802532193782421e-02
1.100000000000000283e-02,5.999749047247932010e-01,7.828309160449187232e-04,-1.417951925591425487e-02
1.200000000000000372e-02,5.999651175410111170e-01,9.199674140659142019e-04,-1.677765110509395891e-02
1.300000000000000461e-02,5.999528510867824238e-01,1.065761778633655954e-03,-1.957950426321345902e-02
1.400000000000000550e-02,5.999377735886718410e-01,1.219645717511763650e-03,-2.258226584698421954e-02
1.500000000000000638e-02,5.999195479197292347e-01,1.381050070004663510e-03,-2.578320762157071747e-02
1.600000000000000727e-02,5.998978339305438556e-01,1.549406886455384491e-03,-2.917966878916308446e-02
1.700000000000000816e-02,5.998722905920461645e-01,1.724151362100134754e-03,-3.276904065850889947e-02
1.800000000000000905e-02,5.998425779522007506e-01,1.904723628304738625e-03,-3.654875317278656610e-02
1.900000000000000994e-02,5.998083589103745394e-01,2.090570404677583038e-03,-4.051626323987427003e-02
2.000000000000001082e-02,5.997693008145805749e-01,2.281146515910770223e-03,-4.466904478266176676e-02
2.100000000000001171e-02,5.997250768879957006e-01,2.475916277464740300e-03,-4.900458040711856006e-02
2.200000000000001260e-02,5.996753674921332378e-01,2.674354754401031542e-03,-5.352035457177165695e-02
2.300000000000001349e-02,5.996198612348324630e-01,2.875948897798574766e-03,-5.821384813336798886e-02
2.400000000000001438e-02,5.995582559318022309e-01,3.080198563276403956e-03,-6.308253413906722562e-02
2.500000000000001527e-02,5.994902622237181511e-01,3.286595471251874123e-03,-6.812362900631818707e-02
2.600000000000001615e-02,5.994156127301317749e-01,3.494586608001892802e-03,-7.333297194330619384e-02
2.700000000000001704e-02,5.993340633342701951e-01,3.703584786085345470e-03,-7.870575537531618315e-02
2.800000000000001793e-02,5.992453894099714073e-01,3.913024783379459581e-03,-8.423715045743927765e-02
2.900000000000001882e-02,5.991493858053826838e-01,4.122365107243564086e-03,-8.992231385752963435e-02
3.000000000000001971e-02,5.990458673287032410e-01,4.331086571975617527e-03,-9.575639507396223327e-02
3.100000000000002059e-02,5.989346688912849936e-01,4.538692861086990327e-03,-1.017345441473793688e-01
3.200000000000002148e-02,5.988156488251220599e-01,4.744686322024960212e-03,-1.078516811065388520e-01
3.300000000000002237e-02,5.986887132663549771e-01,4.948399347577681073e-03,-1.140999599291236954e-01
3.400000000000002326e-02,5.985538137802182135e-01,5.149082086882250664e-03,-1.204695008991378685e-01
3.500000000000002415e-02,5.984109403832020835e-01,5.345970403735411658e-03,-1.269504724180490762e-01
3.600000000000002504e-02,5.982601143004587785e-01,5.538358241939211890e-03,-1.335331120814514105e-01
3.700000000000002592e-02,5.981013883996030289e-01,5.725577437424356209e-03,-1.402077473176017164e-01
3.800000000000002681e-02,5.979348458996469606e-01,5.906997591873852649e-03,-1.469648154260491946e-01
3.900000000000002770e-02,5.977605989108741857e-01,6.082025750008990261e-03,-1.537948828802055967e-01
4.000000000000002859e-02,5.975787868311355222e-01,6.250105900783231583e-03,-1.606886637840959642e-01
4.100000000000002948e-02,5.973895746225380554e-01,6.410718323667297103e-03,-1.676370373955433368e-01
4.200000000000003036e-02,5.971931509909438329e-01,6.563378800719887884e-03,-1.746310646478732020e-01
4.300000000000003125e-02,5.969897264891136368e-01,6.707637714462866274e-03,-1.816620036198997035e-01
4.400000000000003214e-02,5.967795315627359987e-01,6.843079050725786594e-03,-1.887213239195480452e-01
4.500000000000003303e-02,5.965628145569888963e-01,6.969319324634626334e-03,-1.958007199600720893e-01
4.600000000000003392e-02,5.963398396996743012e-01,7.086006446804460346e-03,-2.028921231195391639e-01
4.700000000000003481e-02,5.961108850753252808e-01,7.192818545582790879e-03,-2.099877127841201507e-01
4.800000000000003569e-02,5.958762406029396441e-01,7.289462759887399557e-03,-2.170799262836365651e-01
4.900000000000003658e-02,5.956362060279971615e-01,7.375674015758060253e-03,-2.241614677332287864e-01
5.000000000000003747e-02,5.953910889368708714e-01,7.451213798099654007e-03,-2.312253157960232619e-01
5.100000000000003836e-02,5.951412027981690667e-01,7.515868926846080988e-03,-2.382647303719608312e-01
5.200000000000003925e-02,5.948868650314860229e-01,7.569450342752803707e-03,-2.452732581761837838e-01
5.300000000000004013e-02,5.946283947829837935e-01,7.611791771560461051e-03,-2.522447353725234542e-01
5.400000000000004102e-02,5.943661118818778233e-01,7.642748675598776131e-03,-2.591732906130449487e-01
5.500000000000004191e-02,5.941003357049411404e-01,7.662197199248321766e-03,-2.660533515501619095e-01
5.600000000000004280e-02,5.938313823971085315e-01,7.670032922451663904e-03,-2.728796440534845824e-01
5.700000000000004369e-02,5.935595914725129152e-01,7.666171224086304470e-03,-2.796468672774574671e-01
5.800000000000004458e-02,5.932853400172173330e-01,7.650552761745255115e-03,-2.863491810568835616e-01
5.900000000000004546e-02,5.930090603003267402e-01,7.623153126827098003e-03,-2.929806139496883288e-01
6.000000000000004635e-02,5.927311959175105560e-01,7.583982483980455935e-03,-2.995352854487093874e-01
6.100000000000004724e-02,5.924521989870950023e-01,7.533080875671060994e-03,-3.060076231118399326e-01
6.200000000000004813e-02,5.921725185338897468e-01,7.470513012525992202e-03,-3.123923658750886179e-01
6.300000000000004208e-02,5.918925999606378108e-01,7.396366552415323259e-03,-3.186845659599060743e-01
6.400000000000004297e-02,5.916128823350695898e-01,7.310749897962209864e-03,-3.248795893232669374e-01
6.500000000000004385e-02,5.913337957716728877e-01,7.213790056563029740e-03,-3.309731153018763417e-01
6.600000000000004474e-02,5.910557589105016607e-01,7.105630501612558714e-03,-3.369611352676734062e-01
6.700000000000004563e-02,5.907791764780748744e-01,6.986429124643644961e-03,-3.428399501570429941e-01
6.800000000000004652e-02,5.905044389562165152e-01,6.856357675569912935e-03,-3.486061563349500680e-01
6.900000000000004741e-02,5.902319224796901409e-01,6.715605758680409654e-03,-3.542565996906432146e-01
7.000000000000004829e-02,5.899619859690885537e-01,6.564378672292037198e-03,-3.597883925320027876e-01
7.100000000000004918e-02,5.896949650313869640e-01,6.402895004850694960e-03,-3.651989209062750930e-01
7.200000000000005007e-02,5.894311702595379510e-01,6.231384083841495780e-03,-3.704858361777546572e-01
7.300000000000005096e-02,5.891708872953979048e-01,6.050085429232854306e-03,-3.756470437655238803e-01
7.400000000000005185e-02,5.889143805145847788e-01,5.859250405523097616e-03,-3.806806876063215661e-01
