time,x,y,yaw
1.000000000000000021e-03,5.999999979853938292e-01,4.057245028832312528e-06,-9.016467626245830381e-05
2.000000000000000042e-03,5.999999711832149085e-01,1.611097069975642171e-05,-3.576401994312327563e-04
3.000000000000000062e-03,5.999998679571808546e-01,3.587254397641181924e-05,-7.978537252888911807e-04
4.000000000000000083e-03,5.999996011317533240e-01,6.302719332590411838e-05,-1.406392430622575157e-03
5.000000000000000104e-03,5.999990543261853881e-01,9.722741838158466265e-05,-2.178991183799210574e-03
6.000000000000000125e-03,5.999980852076445270e-01,1.380965997740402074e-04,-3.111519268644626166e-03
7.000000000000000146e-03,5.999965286922082086e-01,1.852325116828423823e-04,-4.199966581037830986e-03
8.000000000000000167e-03,5.999942000403813980e-01,2.382107249299103557e-04,-5.440429688468822848e-03
9.000000000000001055e-03,5.999908978505120727e-01,2.965878856713843881e-04,-6.829098077002751857e-03
1.000000000000000194e-02,5.999864068958471464e-01,3.599048640387514375e-04,-8.362240895250540318e-03
1.100000000000000283e-02,5.999805008393518380e-01,4.276897599683193718e-04,-1.003619444479804564e-02
1.200000000000000372e-02,5.999729447961772433e-01,4.994607614782764493e-04,-1.184735061908727231e-02
1.300000000000000461e-02,5.999634977389914914e-01,5.747288503435976637e-04,-1.379214644556163785e-02
1.400000000000000550e-02,5.999519147407588182e-01,6.530003518630533854e-04,-1.586705484044424394e-02
1.500000000000000638e-02,5.999379490514857860e-01,7.337793267964132227e-04,-1.806857664343704262e-02
1.600000000000000727e-02,5.999213540072504403e-01,8.165698048027691947e-04,-2.039323396174122158e-02
1.700000000000000816e-02,5.999018847714865377e-01,9.008778598332267684e-04,-2.283756481963995430e-02
1.800000000000000905e-02,5.998793046633268400e-01,9.861939533573060856e-04,-2.539752404744323108e-02
1.900000000000000994e-02,5.998533881723824290e-01,1.072003877581217957e-03,-2.806837761377881796e-02
2.000000000000001082e-02,5.998239224535832914e-01,1.157794291518854379e-03,-3.084534059069411055e-02
2.100000000000001171e-02,5.997907074028380192e-01,1.243065948583754743e-03,-3.372360859206025019e-02
2.200000000000001260e-02,5.997535571484861050e-01,1.327332611201770263e-03,-3.669836192620474363e-02
2.300000000000001349e-02,5.997123010883089744e-01,1.410122445224870624e-03,-3.976477080107249790e-02
2.400000000000001438e-02,5.996667847151402331e-01,1.490979227555866427e-03,-4.291800143095732961e-02
2.500000000000001527e-02,5.996168702415263230e-01,1.569463374572477310e-03,-4.615322289386702970e-02
2.600000000000001615e-02,5.995624370347999443e-01,1.645152799700955182e-03,-4.946561459209151274e-02
2.700000000000001704e-02,5.995033818746199339e-01,1.717643609117858183e-03,-5.285037417479152011e-02
2.800000000000001793e-02,5.994396190454941431e-01,1.786550645053786024e-03,-5.630272578973405384e-02
2.900000000000001882e-02,5.993710802770811918e-01,1.851507886543479753e-03,-5.981792854106639939e-02
3.000000000000001971e-02,5.992977145451671150e-01,1.912168717720152955e-03,-6.339128504072140402e-02
3.100000000000002059e-02,5.992194877461645142e-01,1.968206073895084618e-03,-6.701814995224261717e-02
3.200000000000002148e-02,5.991363822578057441e-01,2.019312475704693188e-03,-7.069393843714877335e-02
3.300000000000002237e-02,5.990483963984103433e-01,2.065199961555075348e-03,-7.441413442513601650e-02
3.400000000000002326e-02,5.989555437967306606e-01,2.105599928455215153e-03,-7.817429864022187869e-02
3.500000000000002415e-02,5.988578526839215543e-01,2.140262891117128419e-03,-8.197007632520385279e-02
3.600000000000002504e-02,5.987553651186672266e-01,2.168958168920487317e-03,-8.579720461642374729e-02
