time,x,y,yaw,reward,yaw_rate,turn_radius
2.000000000000001082e-02,5.998680876501515380e-01,-2.491890745941527374e-03,4.180117683027848724e-02,0.000000000000000000e+00,3.933045988271075100e+00,inf
4.000000000000002859e-02,5.996253464685465939e-01,-3.520705224262454802e-03,6.233653483001976026e-02,0.000000000000000000e+00,1.202848628074718373e+00,inf
6.000000000000004635e-02,5.991845349576565560e-01,-4.757902782019485244e-03,8.126442877052830749e-02,0.000000000000000000e+00,1.843623058974708018e+00,inf
8.000000000000005718e-02,5.987399426772689326e-01,-5.032075032306015938e-03,8.882062155302054840e-02,0.000000000000000000e+00,8.738029150922442811e-01,inf
1.000000000000000749e-01,5.980647334062230147e-01,-5.752813821174485032e-03,9.955659964149440877e-02,0.000000000000000000e+00,1.258595658941335849e+00,inf
1.200000000000000927e-01,5.973789211374721519e-01,-5.703252916166912101e-03,1.018095360513585068e-01,0.000000000000000000e+00,6.740426254279032747e-01,inf
1.400000000000000966e-01,5.964384404627258718e-01,-6.221338147527677442e-03,1.090200309853554123e-01,0.000000000000000000e+00,9.567750590997038396e-01,inf
1.600000000000001144e-01,5.954814877510473670e-01,-6.046490384181479882e-03,1.088643972698346563e-01,0.000000000000000000e+00,5.436049589906137847e-01,inf
1.800000000000001321e-01,5.942663568368946603e-01,-6.492026638831693841e-03,1.143729841739333092e-01,0.000000000000000000e+00,7.699649801831465190e-01,inf
2.000000000000001499e-01,5.930341828172229768e-01,-6.273651779302058529e-03,1.129672178193794063e-01,0.000000000000000000e+00,4.527387915637179350e-01,inf
2.200000000000001676e-01,5.915504875038053445e-01,-6.698788216435436205e-03,1.175320217472262119e-01,0.000000000000000000e+00,6.424263355108081885e-01,inf
2.400000000000001854e-01,5.900529317761176173e-01,-6.469092059558034791e-03,1.153824742392824121e-01,0.000000000000000000e+00,3.859514631085072534e-01,inf
2.600000000000001754e-01,5.883144880135334764e-01,-6.893987712408067292e-03,1.193531919909871508e-01,0.000000000000000000e+00,5.495294562941852590e-01,inf
2.800000000000001932e-01,5.865603160387816706e-01,-6.602973987385629684e-03,1.186189574198233954e-01,0.000000000000000000e+00,3.488553182829598476e-01,inf
3.000000000000002109e-01,5.846300125130632352e-01,-6.815610484906031719e-03,1.259154385361322126e-01,0.000000000000000000e+00,5.037825060514541375e-01,inf
3.200000000000002287e-01,5.825405678152604239e-01,-6.228370158940399470e-03,1.330882648678327340e-01,0.000000000000000000e+00,3.671493783171882463e-01,inf
3.400000000000002465e-01,5.802301290647264853e-01,-6.023883095136184362e-03,1.506417317931598721e-01,0.000000000000000000e+00,5.298502707764849440e-01,inf
3.600000000000002642e-01,5.777905881859846104e-01,-4.691478128309944928e-03,1.629849648386634264e-01,0.000000000000000000e+00,4.110700952574992129e-01,inf
3.800000000000002820e-01,5.752460544761972550e-01,-3.750687847230316230e-03,1.818169899847863480e-01,0.000000000000000000e+00,5.536492225012580315e-01,inf
4.000000000000002998e-01,5.723077641807687854e-01,-1.780143758726759895e-03,2.016679842506595155e-01,0.000000000000000000e+00,4.784480494454808053e-01,inf
4.200000000000003175e-01,5.690730555368824772e-01,3.524662091723418378e-04,2.251647934536930018e-01,0.000000000000000000e+00,5.981867286993168831e-01,inf
4.400000000000003353e-01,5.659137403053366988e-01,3.772734456946646997e-03,2.372721300602275707e-01,0.000000000000000000e+00,5.009045961221643140e-01,inf
4.600000000000003531e-01,5.628839817738657825e-01,6.802168380432904726e-03,2.504557348290087915e-01,0.000000000000000000e+00,5.917719590305405841e-01,inf
4.800000000000003708e-01,5.593918335325420710e-01,1.032524444005961106e-02,2.648281703528992392e-01,0.000000000000000000e+00,5.238087914787342703e-01,inf
5.000000000000003331e-01,5.556955519783686182e-01,1.287108103508782797e-02,2.906649667953970506e-01,0.000000000000000000e+00,6.346115818403772479e-01,inf
5.200000000000003508e-01,5.526410689663382447e-01,1.608641855428383227e-02,3.060113747180751020e-01,0.000000000000000000e+00,5.543950721526917924e-01,inf
5.400000000000003686e-01,5.506675446042438304e-01,1.877901075854210289e-02,3.155217807499500204e-01,0.000000000000000000e+00,6.101470364242421729e-01,inf
5.600000000000003864e-01,5.483593255739921402e-01,1.777150141343381007e-02,3.741229705690554685e-01,0.000000000000000000e+00,7.110985459603831327e-01,inf
5.800000000000004041e-01,5.468997648011664214e-01,1.773345463578679393e-02,4.199613051111603101e-01,0.000000000000000000e+00,7.254147805321854436e-01,inf
6.000000000000004219e-01,5.465663644866940452e-01,1.903315555766166289e-02,4.416087004188953280e-01,0.000000000000000000e+00,7.340081141269479970e-01,inf
6.200000000000004396e-01,5.468191559675553703e-01,2.025289472494240517e-02,4.582501924343186372e-01,0.000000000000000000e+00,6.255825370399181740e-01,inf
6.400000000000004574e-01,5.473456908568797852e-01,2.161543712972385789e-02,4.695378361240791776e-01,0.000000000000000000e+00,6.924516044914579282e-01,inf
6.600000000000004752e-01,5.479534798629085435e-01,2.278127547238056883e-02,4.787642124719145298e-01,0.000000000000000000e+00,6.042140955726892360e-01,inf
6.800000000000004929e-01,5.485015325286397569e-01,2.321940478225559268e-02,4.898305152654292005e-01,0.000000000000000000e+00,6.937715780056176174e-01,inf
7.000000000000005107e-01,5.489161205635857410e-01,2.266972241649528597e-02,5.054174103621721370e-01,0.000000000000000000e+00,6.310115487002199153e-01,inf
7.200000000000005285e-01,5.491802199018739339e-01,2.121295188345417859e-02,5.264280063057863446e-01,0.000000000000000000e+00,7.453493755493955097e-01,inf
7.400000000000005462e-01,5.492760593535467306e-01,1.906382782177229451e-02,5.522710913571929892e-01,0.000000000000000000e+00,7.033642110964256622e-01,inf
7.600000000000005640e-01,5.492026274009028652e-01,1.637996907512678790e-02,5.811644052737813260e-01,0.000000000000000000e+00,8.313355940819752155e-01,inf
7.800000000000005818e-01,5.489628082756899952e-01,1.318030413572834902e-02,6.105048681242764008e-01,0.000000000000000000e+00,7.934411004380127475e-01,inf
8.000000000000005995e-01,5.485062427424914899e-01,9.422581129541418576e-03,6.384490787038358262e-01,0.000000000000000000e+00,9.189140640551871630e-01,inf
8.200000000000006173e-01,5.477939869384134131e-01,5.182323900604079991e-03,6.649247212993947276e-01,0.000000000000000000e+00,8.782299608351096243e-01,inf
8.400000000000006350e-01,5.468518665593750105e-01,6.768791916612615367e-04,6.914334902714546205e-01,0.000000000000000000e+00,1.005004469523204547e+00,inf
