name,direction,action_mode,run_idx,policy_fitted_yaw_rate_rad_s,policy_fitted_yaw_rate_error_rad_s,fixed_fitted_yaw_rate_rad_s,fixed_fitted_yaw_rate_error_rad_s,exported_amp_scales
formal_tailamp_y05_200k_right_biasonly_run01,right,bias_only,1,-0.2953117045440319,0.20468829545596812,-0.3655905224927106,0.13440947750728938,"[1.225, 1.075, 1.0, 1.075, 1.15, 1.225]"
formal_tailamp_y05_200k_right_biasonly_run02,right,bias_only,2,-0.2913316610196006,0.20866833898039938,-0.34489517275978165,0.15510482724021835,"[1.225, 1.075, 1.0, 1.075, 1.15, 1.225]"
formal_tailamp_y05_200k_right_biasonly_run03,right,bias_only,3,-0.2407420402219693,0.2592579597780307,-0.39294747633630434,0.10705252366369566,"[1.225, 1.075, 1.0, 1.075, 1.15, 1.225]"
formal_tailamp_y05_200k_right_tail3amp_run01,right,bias_tail3_amp,1,-0.24349078237489535,0.25650921762510465,-0.2954977947296678,0.2045022052703322,"[1.225, 1.075, 1.0, 1.325504, 1.371207, 1.51873]"
formal_tailamp_y05_200k_right_tail3amp_run02,right,bias_tail3_amp,2,-0.23806761423427467,0.2619323857657253,-0.3806102505118349,0.11938974948816511,"[1.225, 1.075, 1.0, 1.193409, 1.426867, 1.474884]"
formal_tailamp_y05_200k_right_tail3amp_run03,right,bias_tail3_amp,3,-0.32658575001506496,0.17341424998493504,-0.49555710692416627,0.0044428930758337315,"[1.225, 1.075, 1.0, 1.209905, 1.363006, 1.518753]"
formal_tailamp_y05_200k_left_biasonly_run01,left,bias_only,1,0.2206093204501038,0.27939067954989616,0.3176366733660251,0.18236332663397492,"[1.225, 1.075, 1.0, 1.075, 1.15, 1.225]"
formal_tailamp_y05_200k_left_biasonly_run02,left,bias_only,2,0.20432040543230612,0.2956795945676939,0.31503369647475055,0.18496630352524945,"[1.225, 1.075, 1.0, 1.075, 1.15, 1.225]"
formal_tailamp_y05_200k_left_biasonly_run03,left,bias_only,3,0.24295848317356075,0.2570415168264393,0.4691503811392405,0.030849618860759487,"[1.225, 1.075, 1.0, 1.075, 1.15, 1.225]"
formal_tailamp_y05_200k_left_tail3amp_run01,left,bias_tail3_amp,1,0.32395815157214214,0.17604184842785786,0.42392512424189943,0.07607487575810057,"[1.225, 1.075, 1.0, 1.286939, 1.488288, 1.426606]"
formal_tailamp_y05_200k_left_tail3amp_run02,left,bias_tail3_amp,2,0.243914456551434,0.256085543448566,0.3625249831614077,0.1374750168385923,"[1.225, 1.075, 1.0, 1.289515, 1.440783, 1.659275]"
formal_tailamp_y05_200k_left_tail3amp_run03,left,bias_tail3_amp,3,0.2535685982762525,0.2464314017237475,0.5297309889749533,0.0297309889749533,"[1.225, 1.075, 1.0, 1.333273, 1.46529, 1.455042]"
