timesteps,mean_reward,ci95_low,ci95_high,run01,run02,run03,run04,run05,run06,run07,run08,run09,run10
5.000000000000000000e+03,-1.362360007099999621e+03,-1.391404510765999703e+03,-1.332123075960000051e+03,-1.400930535799999689e+03,-1.356557029199999988e+03,-1.343231868800000029e+03,-1.295027174800000012e+03,-1.318461151399999835e+03,-1.400791623399999935e+03,-1.426294942599999786e+03,-1.405324117200000046e+03,-1.280766040399999838e+03,-1.396215587400000004e+03
1.000000000000000000e+04,-1.154875996899999791e+03,-1.192874537337499987e+03,-1.107548004395000135e+03,-1.178148813999999902e+03,-1.158775922000000037e+03,-1.194447840000000042e+03,-9.888656150000000480e+02,-1.183486773000000085e+03,-1.237263439000000062e+03,-1.177334262999999964e+03,-1.152119095999999900e+03,-1.070206834000000072e+03,-1.208111372999999958e+03
1.500000000000000000e+04,-9.380996695999998565e+02,-9.957483806000000186e+02,-8.750176842275000126e+02,-9.269727339999999458e+02,-1.004733402000000069e+03,-9.948062400000001162e+02,-7.418567669999999907e+02,-9.275645010000000639e+02,-1.069053077000000030e+03,-9.778068419999999605e+02,-8.705963850000000548e+02,-8.246221279999999751e+02,-1.042984619999999950e+03
2.000000000000000000e+04,-6.488515918000000511e+02,-7.541224217750000207e+02,-5.336687511500000483e+02,-5.862150189999999839e+02,-7.932032369999999446e+02,-6.936268700000000536e+02,-3.087655730000000176e+02,-7.196561639999999898e+02,-8.714552550000000792e+02,-7.967987620000000106e+02,-4.810170739999999796e+02,-4.346932330000000775e+02,-8.030847310000000334e+02
2.500000000000000000e+04,-2.850409710000000132e+02,-3.950979438999999616e+02,-1.707610586000000126e+02,-2.275169209999999964e+02,-4.768891609999999446e+02,-3.266451890000000162e+02,-3.403109599999999801e+01,-5.051834390000000212e+02,-4.866452889999999343e+02,-4.157028129999999919e+02,-4.074173100000000147e+01,-4.920092199999999849e+01,-2.878531489999999735e+02
3.000000000000000000e+04,-1.600324486000000093e+02,-2.060321440525000298e+02,-1.144672915650000249e+02,-1.127091439999999949e+02,-2.176863339999999880e+02,-3.800157099999999843e+01,-1.788824950000000058e+02,-2.888837459999999737e+02,-2.233784079999999790e+02,-8.726884200000000646e+01,-2.111365639999999928e+02,-1.525892059999999901e+02,-8.978817600000000709e+01
3.500000000000000000e+04,-1.897490015000000199e+02,-2.205751562425000145e+02,-1.557139667824999947e+02,-2.248226410000000328e+02,-1.338957240000000013e+02,-2.036281779999999912e+02,-2.289926289999999938e+02,-8.950002999999999531e+01,-1.362554800000000057e+02,-1.598055310000000020e+02,-2.430531080000000088e+02,-2.284847679999999741e+02,-2.490519260000000088e+02
4.000000000000000000e+04,-2.378955180000000382e+02,-2.470479962175000423e+02,-2.283073197375000518e+02,-2.378095040000000040e+02,-2.246208359999999971e+02,-2.049762389999999925e+02,-2.400843490000000315e+02,-2.514139540000000181e+02,-2.475042629999999804e+02,-2.402247089999999901e+02,-2.357286960000000420e+02,-2.326718890000000215e+02,-2.639207410000000209e+02
4.500000000000000000e+04,-2.434774699000000169e+02,-2.520852219900000364e+02,-2.343563464500000464e+02,-2.538364599999999882e+02,-2.338884559999999908e+02,-2.186530229999999904e+02,-2.241298390000000040e+02,-2.577343819999999823e+02,-2.437644600000000139e+02,-2.575234370000000013e+02,-2.338083120000000292e+02,-2.497693429999999921e+02,-2.616669870000000060e+02
5.000000000000000000e+04,-2.347114215999999942e+02,-2.443733717700000057e+02,-2.246786544375000290e+02,-2.446421530000000075e+02,-2.375181900000000041e+02,-2.166761769999999956e+02,-2.096164080000000070e+02,-2.523457620000000077e+02,-2.505485569999999882e+02,-2.496009419999999750e+02,-2.196398959999999931e+02,-2.186963409999999897e+02,-2.478297900000000027e+02
5.500000000000000000e+04,-2.294665404000000422e+02,-2.368870155050000221e+02,-2.224412707224999792e+02,-2.206729459999999960e+02,-2.427932429999999897e+02,-2.291816729999999893e+02,-2.277068419999999946e+02,-2.235937299999999937e+02,-2.385303739999999948e+02,-2.529594710000000362e+02,-2.097775320000000079e+02,-2.208992900000000077e+02,-2.285503030000000422e+02
6.000000000000000000e+04,-2.118979070999999692e+02,-2.267474119999999971e+02,-1.933850390824999579e+02,-2.195650209999999731e+02,-2.401011239999999702e+02,-1.438270530000000065e+02,-2.198406709999999862e+02,-2.155786129999999901e+02,-2.385833969999999624e+02,-2.329140229999999860e+02,-2.004581410000000119e+02,-2.202281149999999741e+02,-1.878829130000000021e+02
6.500000000000000000e+04,-2.084128294000000210e+02,-2.216444482450000351e+02,-1.916977296900000169e+02,-2.235487079999999764e+02,-2.407772460000000194e+02,-1.846425350000000094e+02,-2.168545049999999605e+02,-1.978641210000000115e+02,-2.176995569999999987e+02,-2.160543910000000380e+02,-2.146349389999999744e+02,-2.229058829999999887e+02,-1.491464090000000056e+02
7.000000000000000000e+04,-2.054775720000000092e+02,-2.148912677000000144e+02,-1.954312210549999804e+02,-2.085385150000000181e+02,-2.245418109999999956e+02,-1.972924260000000061e+02,-2.041621519999999919e+02,-1.950287500000000023e+02,-2.248972090000000321e+02,-2.082142299999999864e+02,-1.906134979999999928e+02,-2.252105200000000025e+02,-1.762766090000000077e+02
7.500000000000000000e+04,-1.915601307000000020e+02,-2.039548851149999678e+02,-1.761921898925000107e+02,-2.056927760000000092e+02,-2.084792530000000284e+02,-1.799651310000000137e+02,-1.949535190000000000e+02,-2.071844629999999938e+02,-1.957844660000000090e+02,-1.903641509999999926e+02,-1.746641129999999862e+02,-2.213114109999999926e+02,-1.372020239999999944e+02
8.000000000000000000e+04,-1.819419357999999818e+02,-1.969770079549999764e+02,-1.620455486049999934e+02,-1.911518039999999985e+02,-1.981154139999999870e+02,-1.930808020000000056e+02,-1.943074180000000126e+02,-1.778357870000000105e+02,-1.886582349999999906e+02,-2.083793609999999603e+02,-1.551992500000000064e+02,-2.052329920000000243e+02,-1.074582949999999926e+02
8.500000000000000000e+04,-1.832704090000000008e+02,-1.999108097875000283e+02,-1.663563212349999674e+02,-2.070076239999999927e+02,-1.945980509999999981e+02,-1.918258869999999945e+02,-1.783536070000000109e+02,-1.617008910000000128e+02,-1.795461789999999951e+02,-2.356328460000000291e+02,-1.668227779999999996e+02,-1.885335129999999992e+02,-1.286827140000000043e+02
9.000000000000000000e+04,-1.760433805000000120e+02,-1.923495836274999817e+02,-1.602887794000000099e+02,-1.708852850000000103e+02,-1.945805970000000116e+02,-2.028491710000000126e+02,-1.750669829999999934e+02,-1.607172060000000045e+02,-1.591771830000000136e+02,-2.233966369999999984e+02,-1.592489280000000065e+02,-1.865724559999999883e+02,-1.279393589999999961e+02
9.500000000000000000e+04,-1.779533442999999977e+02,-1.983267808824999747e+02,-1.556653677424999955e+02,-1.747254930000000002e+02,-1.968969020000000114e+02,-2.134705230000000142e+02,-1.753796619999999962e+02,-1.901136909999999887e+02,-1.461561059999999941e+02,-2.302232439999999656e+02,-1.623759809999999959e+02,-1.896941309999999987e+02,-1.004977099999999979e+02
1.000000000000000000e+05,-1.733823356999999987e+02,-1.957248775150000029e+02,-1.471995885049999799e+02,-1.836208379999999920e+02,-1.890351809999999944e+02,-2.091302029999999945e+02,-1.698927189999999996e+02,-1.756200110000000052e+02,-1.506869309999999871e+02,-2.316145930000000135e+02,-1.568396539999999959e+02,-1.900348710000000096e+02,-7.734835599999999545e+01
1.050000000000000000e+05,-1.728045272999999895e+02,-1.903024249324999744e+02,-1.525367928574999894e+02,-1.922507249999999885e+02,-1.910090150000000051e+02,-1.890721650000000125e+02,-1.512420500000000061e+02,-1.703330850000000112e+02,-1.595794070000000033e+02,-2.179903710000000103e+02,-1.587314700000000016e+02,-1.954617639999999881e+02,-1.023752209999999963e+02
1.100000000000000000e+05,-1.647200569999999686e+02,-1.811843985149999696e+02,-1.505832701274999863e+02,-1.556186109999999871e+02,-1.831057869999999923e+02,-1.551319579999999974e+02,-1.526145219999999938e+02,-1.550164279999999906e+02,-1.385136620000000107e+02,-2.224480460000000335e+02,-1.730227380000000039e+02,-1.799446480000000008e+02,-1.317841699999999889e+02
1.150000000000000000e+05,-1.628557665000000156e+02,-1.791221711974999948e+02,-1.480585433275000184e+02,-1.695225039999999979e+02,-1.825384689999999921e+02,-1.650001410000000135e+02,-1.723349120000000028e+02,-1.364907890000000066e+02,-1.551567750000000103e+02,-2.187627899999999954e+02,-1.482075250000000040e+02,-1.586257200000000012e+02,-1.219180399999999906e+02
1.200000000000000000e+05,-1.576227847000000395e+02,-1.744183712075000017e+02,-1.396888751350000177e+02,-1.636210499999999968e+02,-1.771244350000000054e+02,-1.657559229999999957e+02,-1.560525100000000123e+02,-1.639955129999999883e+02,-1.624383880000000033e+02,-2.104079820000000041e+02,-1.417493910000000028e+02,-1.409108449999999948e+02,-9.417180999999999358e+01
1.250000000000000000e+05,-1.573230181999999786e+02,-1.765394997175000071e+02,-1.387831400674999998e+02,-1.584817610000000059e+02,-1.743921799999999962e+02,-1.819304500000000075e+02,-1.454270480000000134e+02,-1.635270800000000122e+02,-1.675455179999999871e+02,-2.185120579999999677e+02,-1.382140349999999955e+02,-1.125199300000000022e+02,-1.126801220000000114e+02
1.300000000000000000e+05,-1.490709419000000082e+02,-1.660054381699999908e+02,-1.325181978449999747e+02,-1.395409840000000088e+02,-1.845866640000000132e+02,-1.762283429999999953e+02,-1.280555190000000039e+02,-1.075262570000000153e+02,-1.413489700000000084e+02,-1.768550060000000030e+02,-1.810855679999999950e+02,-1.363387649999999951e+02,-1.191433430000000016e+02
1.350000000000000000e+05,-1.575058389000000147e+02,-1.711856057049999720e+02,-1.433262728349999975e+02,-1.452511649999999861e+02,-1.802131919999999923e+02,-1.854001539999999864e+02,-1.262900049999999936e+02,-1.243442029999999932e+02,-1.671595649999999864e+02,-1.837507860000000051e+02,-1.691097690000000000e+02,-1.609001680000000079e+02,-1.326393820000000119e+02
1.400000000000000000e+05,-1.547909012999999732e+02,-1.712083208175000095e+02,-1.384008185925000021e+02,-1.420464269999999942e+02,-2.014366880000000037e+02,-1.821225059999999871e+02,-1.184225239999999957e+02,-1.183430170000000032e+02,-1.549625420000000133e+02,-1.626092830000000049e+02,-1.731850249999999960e+02,-1.657128789999999867e+02,-1.290681219999999882e+02
