timesteps,mean_reward,ci95_low,ci95_high,run01,run02,run03,run04,run05,run06,run07,run08,run09,run10
5.000000000000000000e+03,-2.189582207199999573e+02,-2.213231411479999906e+02,-2.164143275300000084e+02,-2.157401308000000029e+02,-2.222584282000000258e+02,-2.136800357999999846e+02,-2.148139249999999834e+02,-2.224803211999999917e+02,-2.212820058000000358e+02,-2.240708450000000198e+02,-2.132746988000000385e+02,-2.223025618000000065e+02,-2.196792547999999954e+02
1.000000000000000000e+04,-1.786923697000000004e+02,-1.855830093049999903e+02,-1.700111024549999854e+02,-1.807614949999999965e+02,-1.778038960000000088e+02,-1.711167309999999873e+02,-1.770365089999999952e+02,-1.935145750000000078e+02,-1.846079550000000040e+02,-1.801914370000000076e+02,-1.465830970000000093e+02,-1.940088440000000105e+02,-1.812991580000000056e+02
1.500000000000000000e+04,-1.040300615000000164e+02,-1.204683127600000319e+02,-8.660084674749998612e+01,-9.310204699999999889e+01,-7.841439300000000401e+01,-9.409037600000000623e+01,-9.351530999999999949e+01,-1.498453790000000083e+02,-1.117753740000000136e+02,-1.183473320000000086e+02,-4.909714199999999806e+01,-1.327096070000000054e+02,-1.194036550000000005e+02
2.000000000000000000e+04,-2.885377410000000253e+01,-3.508173961000000673e+01,-2.252596175000000045e+01,-4.110914799999999758e+01,-1.491430199999999751e+01,-2.804275900000000021e+01,-3.034611400000000003e+01,-3.690770799999999952e+01,-1.647426600000000008e+01,-1.512408900000000145e+01,-4.391529700000000247e+01,-3.698470700000000022e+01,-2.471935099999999963e+01
2.500000000000000000e+04,-8.336792810000000031e+01,-1.113434253524999917e+02,-6.226403390250000314e+01,-4.960708199999999835e+01,-7.564100600000000441e+01,-8.548663100000000270e+01,-9.348777800000000582e+01,-5.441911000000000342e+01,-6.312945700000000215e+01,-1.187846839999999986e+02,-1.849005750000000035e+02,-4.804837799999999959e+01,-6.017458000000000595e+01
3.000000000000000000e+04,-1.162544603999999993e+02,-1.329130395125000064e+02,-9.809493740250000826e+01,-9.294799700000000087e+01,-5.767993400000000292e+01,-9.263991099999999790e+01,-1.564697810000000118e+02,-1.048855790000000070e+02,-1.321225110000000029e+02,-1.509891279999999938e+02,-1.281118329999999901e+02,-1.262544139999999970e+02,-1.204435160000000025e+02
3.500000000000000000e+04,-1.284548882999999933e+02,-1.454733269125000277e+02,-1.122054875000000038e+02,-1.340188119999999969e+02,-8.007996699999999635e+01,-1.007200040000000030e+02,-1.877904880000000105e+02,-1.300438039999999944e+02,-1.451629090000000133e+02,-1.225309670000000040e+02,-1.195263900000000206e+02,-1.298669720000000041e+02,-1.348085700000000031e+02
4.000000000000000000e+04,-1.178910144999999829e+02,-1.292447289999999498e+02,-1.051077344975000045e+02,-1.111906739999999871e+02,-7.131417000000000428e+01,-1.373615709999999979e+02,-1.493566730000000007e+02,-1.157857309999999842e+02,-1.219538080000000093e+02,-1.137848790000000037e+02,-1.128170449999999789e+02,-1.149268859999999961e+02,-1.304187080000000094e+02
4.500000000000000000e+04,-1.152021665000000041e+02,-1.260283001874999655e+02,-1.044974043274999929e+02,-1.147095769999999959e+02,-8.057530300000000523e+01,-1.085447690000000023e+02,-1.481514139999999884e+02,-1.014885539999999935e+02,-1.368725289999999859e+02,-1.135671299999999917e+02,-1.185198989999999810e+02,-1.144329819999999955e+02,-1.151595080000000024e+02
5.000000000000000000e+04,-1.044196063999999922e+02,-1.191373940750000031e+02,-9.182236168250000219e+01,-8.097013800000000572e+01,-8.425437599999999350e+01,-1.245609850000000023e+02,-1.560454630000000122e+02,-1.057481369999999998e+02,-1.124728920000000016e+02,-7.507348700000000008e+01,-9.819933500000000492e+01,-1.003049809999999979e+02,-1.065662700000000029e+02
