timesteps,mean_reward,ci95_low,ci95_high,run01,run02,run03,run04,run05
5.000000000000000000e+03,-1.370468113520000088e+03,-1.455317456239999956e+03,-1.306564739240000108e+03,-1.528553256200000078e+03,-1.362780418600000075e+03,-1.314942258600000059e+03,-1.270079380200000060e+03,-1.375985254000000168e+03
1.000000000000000000e+04,-1.164340247200000022e+03,-1.230551312600000074e+03,-1.095504714799999874e+03,-1.255295521000000008e+03,-1.230926427999999987e+03,-1.193434999999999945e+03,-1.044118766000000051e+03,-1.097925520999999890e+03
1.500000000000000000e+04,-1.029188539999999875e+03,-1.114446031400000038e+03,-9.402787943999999243e+02,-1.131877903000000060e+03,-1.143364796999999953e+03,-1.021744757000000050e+03,-8.492571040000000266e+02,-9.996981389999998555e+02
2.000000000000000000e+04,-9.989387449999998125e+02,-1.382114746399999831e+03,-7.017449777999999014e+02,-1.022899783999999954e+03,-1.753510735999999724e+03,-7.222000030000000379e+02,-5.682416809999999714e+02,-9.278415209999999433e+02
2.500000000000000000e+04,-7.666500256000000491e+02,-1.209903025199999774e+03,-4.088392258100003573e+02,-9.540958500000000413e+02,-1.619196134000000029e+03,-5.482672939999999926e+02,-2.378308739999999943e+02,-4.738599760000000174e+02
3.000000000000000000e+04,-4.949788553999999863e+02,-9.376740362000000459e+02,-9.770814339999999731e+01,-1.176749847999999929e+03,-9.496275040000000445e+02,-9.508722799999999609e+01,-2.084931330000000003e+02,-4.493656399999999707e+01
3.500000000000000000e+04,-2.720378784000000110e+02,-3.727351789999999596e+02,-1.921834667999999908e+02,-4.353781789999999887e+02,-3.311637339999999767e+02,-1.770558599999999956e+02,-2.263776240000000257e+02,-1.902139950000000113e+02
4.000000000000000000e+04,-1.982630525999999804e+02,-2.562257144000000153e+02,-1.232051077999999933e+02,-5.922940700000000191e+01,-1.658555749999999875e+02,-2.513319899999999905e+02,-2.797070039999999835e+02,-2.351912870000000169e+02
4.500000000000000000e+04,-2.524737422000000038e+02,-2.666675917999999683e+02,-2.373964086000000009e+02,-2.265355979999999931e+02,-2.446369490000000155e+02,-2.636362080000000105e+02,-2.785055869999999913e+02,-2.490543690000000083e+02
5.000000000000000000e+04,-2.524460124000000292e+02,-2.632921517999999992e+02,-2.429993113449999669e+02,-2.521264470000000131e+02,-2.432909009999999910e+02,-2.549588510000000099e+02,-2.736811369999999783e+02,-2.381727260000000115e+02
5.500000000000000000e+04,-2.531265046000000041e+02,-2.613474441999999840e+02,-2.427478622950000329e+02,-2.610273119999999949e+02,-2.606388969999999858e+02,-2.620218499999999722e+02,-2.500013250000000085e+02,-2.319431390000000306e+02
6.000000000000000000e+04,-2.278728329999999858e+02,-2.512852581750000240e+02,-2.040633289699999864e+02,-1.895852419999999938e+02,-2.254359499999999912e+02,-2.349315819999999917e+02,-2.756901149999999916e+02,-2.137212759999999889e+02
6.500000000000000000e+04,-2.345189608000000021e+02,-2.479392097999999862e+02,-2.214268993999999964e+02,-2.520416799999999853e+02,-2.291276190000000099e+02,-2.485821520000000078e+02,-2.078544960000000117e+02,-2.349888569999999959e+02
7.000000000000000000e+04,-2.138007328000000200e+02,-2.328023209999999779e+02,-1.956975819999999544e+02,-2.387503189999999904e+02,-1.974110440000000040e+02,-2.288369889999999884e+02,-1.796605099999999879e+02,-2.243448019999999872e+02
7.500000000000000000e+04,-2.102611092000000212e+02,-2.228281728000000044e+02,-2.002893767999999852e+02,-2.330167190000000232e+02,-1.991539129999999886e+02,-2.077460609999999974e+02,-1.954520589999999913e+02,-2.159367940000000203e+02
8.000000000000000000e+04,-2.027922338000000195e+02,-2.181493717999999831e+02,-1.856547464000000218e+02,-2.275214759999999785e+02,-2.064980539999999962e+02,-2.051703309999999760e+02,-1.717592080000000010e+02,-2.030121000000000038e+02
8.500000000000000000e+04,-2.036973859999999945e+02,-2.161202524000000267e+02,-1.943885381999999993e+02,-2.273548270000000286e+02,-1.948142139999999927e+02,-2.037225669999999980e+02,-1.892958480000000066e+02,-2.032994740000000036e+02
9.000000000000000000e+04,-2.037642248000000222e+02,-2.179750387749999732e+02,-1.895667249999999910e+02,-2.270902639999999906e+02,-1.876914270000000045e+02,-1.841104019999999934e+02,-2.042299669999999878e+02,-2.156990639999999928e+02
9.500000000000000000e+04,-1.931475116000000014e+02,-2.058332413999999915e+02,-1.804617818000000113e+02,-2.100210390000000302e+02,-1.867038190000000100e+02,-1.749730639999999937e+02,-1.828294809999999870e+02,-2.112101549999999861e+02
1.000000000000000000e+05,-1.951528291999999851e+02,-2.181106902950000404e+02,-1.756175625999999852e+02,-2.348519780000000026e+02,-1.772008270000000039e+02,-1.686395899999999983e+02,-1.864069790000000069e+02,-2.086647719999999993e+02
1.050000000000000000e+05,-1.892402429999999924e+02,-2.012401043350000407e+02,-1.761929233999999838e+02,-2.006426439999999900e+02,-1.656460079999999948e+02,-1.792220220000000097e+02,-1.958859699999999862e+02,-2.048045710000000383e+02
1.100000000000000000e+05,-1.764688637999999798e+02,-1.857038062000000025e+02,-1.637115411800000118e+02,-1.853001950000000022e+02,-1.534985880000000122e+02,-1.718539499999999975e+02,-1.862270550000000071e+02,-1.854645309999999938e+02
1.150000000000000000e+05,-1.695231071999999983e+02,-1.790223149150000097e+02,-1.552269022800000187e+02,-1.709484280000000069e+02,-1.402375570000000096e+02,-1.801370180000000119e+02,-1.777665149999999983e+02,-1.785260179999999934e+02
1.200000000000000000e+05,-1.677529281999999853e+02,-1.755917265999999870e+02,-1.605691885999999897e+02,-1.602360909999999876e+02,-1.572513199999999927e+02,-1.697555069999999944e+02,-1.836506019999999921e+02,-1.678711209999999880e+02
1.250000000000000000e+05,-1.568353271999999947e+02,-1.646378901999999869e+02,-1.495409791999999811e+02,-1.523779590000000042e+02,-1.556402359999999874e+02,-1.633503589999999974e+02,-1.436543709999999976e+02,-1.691537109999999871e+02
1.300000000000000000e+05,-1.588885641999999905e+02,-1.698539475999999979e+02,-1.483439422000000150e+02,-1.419023990000000026e+02,-1.649253820000000132e+02,-1.603139859999999999e+02,-1.510871319999999969e+02,-1.762139219999999966e+02
1.350000000000000000e+05,-1.559468860000000063e+02,-1.632657739999999933e+02,-1.467597398999999996e+02,-1.650628159999999980e+02,-1.619560079999999971e+02,-1.526738890000000026e+02,-1.379181020000000046e+02,-1.621236150000000009e+02
1.400000000000000000e+05,-1.481939806000000033e+02,-1.608902308000000119e+02,-1.354977304000000231e+02,-1.610406810000000064e+02,-1.563224519999999984e+02,-1.284563510000000122e+02,-1.321267489999999896e+02,-1.630236700000000098e+02
1.450000000000000000e+05,-1.530392809999999884e+02,-1.636877136050000274e+02,-1.379345425999999861e+02,-1.549083369999999888e+02,-1.529347940000000108e+02,-1.256201939999999979e+02,-1.738292859999999962e+02,-1.579037940000000049e+02
1.500000000000000000e+05,-1.406035933999999941e+02,-1.525383697999999981e+02,-1.259704269050000107e+02,-1.470393950000000132e+02,-1.561269829999999956e+02,-1.128417500000000047e+02,-1.353105950000000064e+02,-1.516992439999999931e+02
1.550000000000000000e+05,-1.347329438000000152e+02,-1.439378458000000194e+02,-1.247053582600000112e+02,-1.368585610000000088e+02,-1.392572690000000080e+02,-1.158236429999999899e+02,-1.311725350000000105e+02,-1.505527109999999880e+02
1.600000000000000000e+05,-1.397049192000000062e+02,-1.452139384000000177e+02,-1.341958999999999946e+02,-1.322345249999999908e+02,-1.334147590000000037e+02,-1.482016790000000128e+02,-1.449927010000000109e+02,-1.396809320000000127e+02
1.650000000000000000e+05,-1.357312699999999950e+02,-1.457563237999999899e+02,-1.274354696000000047e+02,-1.309687169999999981e+02,-1.219453050000000047e+02,-1.517099389999999914e+02,-1.426830850000000055e+02,-1.313493039999999894e+02
1.700000000000000000e+05,-1.287567029999999875e+02,-1.392860000000000014e+02,-1.169363584000000174e+02,-1.221572619999999887e+02,-1.309693739999999877e+02,-1.387448320000000024e+02,-1.439854809999999929e+02,-1.079265660000000082e+02
1.750000000000000000e+05,-1.378282041999999876e+02,-1.530105536000000086e+02,-1.226458547999999809e+02,-1.350790399999999920e+02,-1.261188249999999869e+02,-1.634357559999999978e+02,-1.515511079999999993e+02,-1.129562920000000048e+02
1.800000000000000000e+05,-1.446329423999999904e+02,-1.703631555999999989e+02,-1.266400127999999938e+02,-1.233083400000000012e+02,-1.299989799999999889e+02,-1.909791930000000093e+02,-1.505859969999999919e+02,-1.282922020000000032e+02
1.850000000000000000e+05,-1.416443535999999881e+02,-1.639753814000000034e+02,-1.251547544000000016e+02,-1.179506609999999966e+02,-1.290226089999999886e+02,-1.862524899999999946e+02,-1.320968279999999879e+02,-1.428991800000000012e+02
1.900000000000000000e+05,-1.478014911999999867e+02,-1.822092289999999934e+02,-1.143768929999999955e+02,-1.033159189999999796e+02,-9.840022100000000194e+01,-1.945432370000000049e+02,-1.635364869999999939e+02,-1.792115919999999960e+02
1.950000000000000000e+05,-1.494049677999999801e+02,-1.709216478000000166e+02,-1.276089385999999877e+02,-1.331960190000000068e+02,-1.088494909999999862e+02,-1.783002009999999871e+02,-1.553504189999999880e+02,-1.713287090000000035e+02
2.000000000000000000e+05,-1.457663190000000100e+02,-1.654904342000000383e+02,-1.260422038000000100e+02,-1.161197070000000195e+02,-1.231000700000000023e+02,-1.695571710000000110e+02,-1.517714650000000063e+02,-1.682831820000000107e+02
