timesteps,mean_reward,ci95_low,ci95_high,run01,run02,run03,run04,run05
5.000000000000000000e+03,-1.363841449560000001e+03,-1.441871146519999911e+03,-1.285811752600000091e+03,-1.427103851799999802e+03,-1.497369916400000193e+03,-1.264632113000000118e+03,-1.269693170399999872e+03,-1.360408196200000020e+03
1.000000000000000000e+04,-1.184064689599999838e+03,-1.260002924399999984e+03,-1.113748189280000361e+03,-1.199936807000000044e+03,-1.327534163999999919e+03,-1.075440346999999974e+03,-1.123447175000000016e+03,-1.193964954999999918e+03
1.500000000000000000e+04,-1.051954361399999925e+03,-1.211834705799999938e+03,-9.261129555999999639e+02,-1.022982459999999946e+03,-1.356180569999999989e+03,-8.899769579999999678e+02,-9.138142009999999118e+02,-1.076817618000000039e+03
2.000000000000000000e+04,-8.334976358000000118e+02,-1.018104359000000045e+03,-6.700844253999999864e+02,-7.137088189999999486e+02,-1.180545978000000105e+03,-5.978796190000000479e+02,-7.272452510000000530e+02,-9.481085120000000188e+02
2.500000000000000000e+04,-5.020430774000000156e+02,-6.206148470000000543e+02,-3.838876976000000241e+02,-3.063498289999999997e+02,-7.008950780000000123e+02,-5.025814790000000585e+02,-4.308006799999999998e+02,-5.695883209999999508e+02
3.000000000000000000e+04,-9.323222739999999931e+01,-1.748243754000000081e+02,-4.123062280000000612e+01,-3.347086000000000183e+01,-4.083272800000000302e+01,-8.482284199999999430e+01,-5.754593799999999959e+01,-2.494887689999999907e+02
3.500000000000000000e+04,-1.534419690000000287e+02,-1.981424801999999943e+02,-9.918215960000000564e+01,-2.035050599999999861e+02,-1.616075950000000034e+02,-2.110473430000000121e+02,-1.441430430000000058e+02,-4.690680400000000105e+01
4.000000000000000000e+04,-2.416761231999999779e+02,-2.555154848000000243e+02,-2.160004158000000132e+02,-2.559699669999999969e+02,-2.559910460000000114e+02,-2.520986330000000066e+02,-2.536764770000000340e+02,-1.906444930000000113e+02
4.500000000000000000e+04,-2.220722386000000483e+02,-2.469506175999999869e+02,-1.971938596000000246e+02,-1.934314090000000022e+02,-2.203672919999999920e+02,-2.639093970000000127e+02,-2.432835009999999727e+02,-1.893695940000000064e+02
5.000000000000000000e+04,-2.415578896000000100e+02,-2.480097989999999868e+02,-2.369412643999999943e+02,-2.408478009999999756e+02,-2.400319169999999644e+02,-2.534501659999999958e+02,-2.388506960000000277e+02,-2.346088679999999727e+02
5.500000000000000000e+04,-2.411039686000000017e+02,-2.482593785999999909e+02,-2.320666286000000014e+02,-2.473293880000000229e+02,-2.231180040000000133e+02,-2.440933200000000056e+02,-2.399423800000000142e+02,-2.510367510000000095e+02
6.000000000000000000e+04,-2.258638469999999927e+02,-2.380592310000000111e+02,-2.136667059650000340e+02,-2.379664130000000171e+02,-2.095459879999999941e+02,-2.146112300000000346e+02,-2.471677249999999617e+02,-2.200278790000000413e+02
6.500000000000000000e+04,-2.074623200000000054e+02,-2.312639573999999811e+02,-1.836565184000000102e+02,-2.226476349999999798e+02,-2.265042290000000378e+02,-2.384035499999999956e+02,-1.846947580000000073e+02,-1.650614280000000065e+02
7.000000000000000000e+04,-2.152667420000000220e+02,-2.390045611999999835e+02,-1.987085219999999879e+02,-2.198339460000000258e+02,-2.074327959999999962e+02,-2.560120610000000170e+02,-1.859022300000000030e+02,-2.071526769999999829e+02
7.500000000000000000e+04,-2.198156835999999714e+02,-2.415537115150000318e+02,-1.954945376000000010e+02,-2.159421089999999879e+02,-2.168497649999999908e+02,-2.489880340000000274e+02,-1.708475149999999871e+02,-2.464509950000000060e+02
8.000000000000000000e+04,-2.122514422000000138e+02,-2.421609940000000165e+02,-1.854563369600000158e+02,-1.879790360000000078e+02,-2.036802680000000123e+02,-2.581084920000000125e+02,-1.660355560000000139e+02,-2.454538590000000227e+02
8.500000000000000000e+04,-2.019918999999999869e+02,-2.166170533999999748e+02,-1.879362115350000124e+02,-1.818884759999999972e+02,-2.034391630000000077e+02,-2.165561950000000309e+02,-1.848088089999999966e+02,-2.232668569999999875e+02
9.000000000000000000e+04,-2.079049837999999966e+02,-2.235084001999999543e+02,-1.939363758549999943e+02,-1.960122749999999883e+02,-2.324350509999999872e+02,-2.242245730000000208e+02,-1.974697040000000072e+02,-1.893833160000000078e+02
9.500000000000000000e+04,-1.986198878000000150e+02,-2.117881332000000043e+02,-1.859569176000000255e+02,-1.915828199999999981e+02,-2.178595850000000098e+02,-2.158193379999999593e+02,-1.826556600000000117e+02,-1.851820360000000107e+02
1.000000000000000000e+05,-2.028220571999999891e+02,-2.162604797800000256e+02,-1.893860530000000040e+02,-1.923061329999999884e+02,-2.209200030000000083e+02,-2.152134950000000231e+02,-1.766473440000000039e+02,-2.090233110000000067e+02
1.050000000000000000e+05,-1.962596423999999899e+02,-2.049312419999999690e+02,-1.880642501999999752e+02,-1.823033409999999890e+02,-1.937224730000000079e+02,-2.045844439999999906e+02,-1.909960480000000018e+02,-2.096919059999999604e+02
1.100000000000000000e+05,-1.827653396000000043e+02,-1.960791409999999928e+02,-1.691191405999999802e+02,-1.681223129999999912e+02,-1.951099089999999876e+02,-1.991949769999999944e+02,-1.579515780000000120e+02,-1.934479210000000080e+02
1.150000000000000000e+05,-1.878238137999999822e+02,-1.967295605999999850e+02,-1.789180670000000077e+02,-1.760596490000000074e+02,-1.995113870000000134e+02,-1.875259529999999870e+02,-1.774725420000000042e+02,-1.985495380000000125e+02
1.200000000000000000e+05,-1.806924673999999982e+02,-1.960256150000000162e+02,-1.653593198000000086e+02,-1.618625749999999925e+02,-1.963526420000000030e+02,-1.903514889999999866e+02,-1.563599800000000073e+02,-1.985356510000000014e+02
1.250000000000000000e+05,-1.755674981999999886e+02,-1.889987300000000232e+02,-1.592827470000000005e+02,-1.741922859999999957e+02,-1.914622569999999939e+02,-1.769873240000000010e+02,-1.426547180000000026e+02,-1.925409060000000068e+02
1.300000000000000000e+05,-1.732877194000000145e+02,-1.852330470299999945e+02,-1.616989358000000152e+02,-1.680011749999999893e+02,-1.815673759999999959e+02,-1.661551000000000045e+02,-1.540916520000000105e+02,-1.966232939999999871e+02
1.350000000000000000e+05,-1.654851572000000033e+02,-1.878609782850000158e+02,-1.359081615999999997e+02,-1.747594339999999988e+02,-1.783973310000000083e+02,-1.659842549999999903e+02,-1.087946809999999971e+02,-1.994900849999999934e+02
1.400000000000000000e+05,-1.648106699999999876e+02,-1.763002975999999649e+02,-1.508411536000000126e+02,-1.781241559999999993e+02,-1.656297439999999881e+02,-1.635345749999999896e+02,-1.369531589999999994e+02,-1.798117159999999899e+02
1.450000000000000000e+05,-1.719577296000000217e+02,-1.870702881999999931e+02,-1.515993531350000296e+02,-1.865067919999999901e+02,-1.905021250000000066e+02,-1.330741999999999905e+02,-1.683719240000000070e+02,-1.813336070000000007e+02
1.500000000000000000e+05,-1.604870648000000131e+02,-1.752897540350000156e+02,-1.395701396000000045e+02,-1.627479950000000031e+02,-1.801851220000000069e+02,-1.196508570000000020e+02,-1.637012180000000114e+02,-1.761501320000000135e+02
1.550000000000000000e+05,-1.616511122000000000e+02,-1.756792235999999718e+02,-1.444447514000000012e+02,-1.775233639999999866e+02,-1.646303340000000048e+02,-1.280609469999999988e+02,-1.586813879999999983e+02,-1.793595280000000116e+02
1.600000000000000000e+05,-1.517005221999999947e+02,-1.654923385999999823e+02,-1.298758803999999998e+02,-1.676410419999999988e+02,-1.647802739999999915e+02,-1.091380630000000167e+02,-1.626190609999999879e+02,-1.543241710000000069e+02
1.650000000000000000e+05,-1.510304638000000068e+02,-1.664010738000000060e+02,-1.372906775999999809e+02,-1.762500569999999982e+02,-1.481955489999999998e+02,-1.261614959999999854e+02,-1.598350849999999923e+02,-1.447101319999999873e+02
1.700000000000000000e+05,-1.503755981999999847e+02,-1.643140462000000070e+02,-1.345318247999999812e+02,-1.715684559999999976e+02,-1.595046879999999874e+02,-1.198548820000000035e+02,-1.535897899999999936e+02,-1.473601749999999981e+02
1.750000000000000000e+05,-1.438617291999999850e+02,-1.553968026000000009e+02,-1.275021480000000054e+02,-1.542646210000000053e+02,-1.586607239999999877e+02,-1.147808950000000152e+02,-1.526989719999999977e+02,-1.389034340000000043e+02
1.800000000000000000e+05,-1.338304033999999945e+02,-1.544168950000000109e+02,-1.125571687999999995e+02,-1.520930229999999881e+02,-1.613364180000000090e+02,-1.038987000000000052e+02,-1.486593080000000100e+02,-1.031645680000000027e+02
1.850000000000000000e+05,-1.507983018000000186e+02,-1.660243574000000137e+02,-1.326451943999999799e+02,-1.635633990000000040e+02,-1.677423400000000129e+02,-1.368788150000000030e+02,-1.655368540000000053e+02,-1.202701009999999968e+02
1.900000000000000000e+05,-1.365369507999999996e+02,-1.489855021350000186e+02,-1.242674207750000193e+02,-1.349299029999999959e+02,-1.512936359999999922e+02,-1.227868040000000036e+02,-1.555120119999999986e+02,-1.181623990000000077e+02
1.950000000000000000e+05,-1.305725337999999738e+02,-1.429472697700000197e+02,-1.225806460000000015e+02,-1.218728739999999959e+02,-1.556378149999999891e+02,-1.216245030000000042e+02,-1.278190010000000001e+02,-1.259084759999999932e+02
2.000000000000000000e+05,-1.337160939999999982e+02,-1.474875861999999813e+02,-1.234573606000000154e+02,-1.194528360000000049e+02,-1.595032119999999907e+02,-1.266134540000000044e+02,-1.306961269999999899e+02,-1.323148410000000013e+02
