timesteps,mean_reward,ci95_low,ci95_high,run01,run02,run03,run04,run05
5.000000000000000000e+03,-2.228956152400000121e+02,-2.264930218399999831e+02,-2.181220831600000167e+02,-2.281526780000000088e+02,-2.249724173999999834e+02,-2.141442775999999810e+02,-2.232051656000000150e+02,-2.240035375999999872e+02
1.000000000000000000e+04,-1.833251859999999738e+02,-1.920182732000000101e+02,-1.727617527999999822e+02,-1.936227580000000046e+02,-1.855989879999999914e+02,-1.632022900000000050e+02,-1.805784629999999993e+02,-1.936234310000000107e+02
1.500000000000000000e+04,-1.155868758000000014e+02,-1.291911159999999938e+02,-9.904763880000000142e+01,-1.247129159999999928e+02,-1.106626770000000022e+02,-8.193745400000000245e+01,-1.270559470000000175e+02,-1.335653849999999920e+02
2.000000000000000000e+04,-2.399687120000000107e+01,-3.363576059999999757e+01,-1.630846840000000242e+01,-2.160941499999999849e+01,-1.343741999999999948e+01,-1.761101599999999934e+01,-4.370743900000000082e+01,-2.361906600000000012e+01
2.500000000000000000e+04,-8.049815320000000440e+01,-9.761883650500000442e+01,-6.147180240000000140e+01,-8.524528800000000217e+01,-7.897501699999999403e+01,-1.084864550000000065e+02,-8.361914699999999812e+01,-4.616485899999999987e+01
3.000000000000000000e+04,-1.196679680000000019e+02,-1.336422258000000056e+02,-1.053321494000000058e+02,-1.381719170000000076e+02,-1.137156569999999931e+02,-1.025856160000000017e+02,-1.399797210000000121e+02,-1.038869289999999808e+02
3.500000000000000000e+04,-1.244403274000000010e+02,-1.432156423999999788e+02,-1.037218929550000155e+02,-1.361600929999999892e+02,-1.125391709999999819e+02,-1.277611480000000057e+02,-1.579984389999999905e+02,-8.774278599999999528e+01
4.000000000000000000e+04,-1.206862857999999932e+02,-1.503174254000000190e+02,-9.061852580000001467e+01,-1.710267320000000097e+02,-9.953807299999999714e+01,-1.223692000000000064e+02,-1.389688580000000115e+02,-7.152856599999999787e+01
4.500000000000000000e+04,-1.046538614000000109e+02,-1.263606021999999882e+02,-8.000009231999999315e+01,-9.441620899999999494e+01,-1.091346690000000024e+02,-1.315532670000000053e+02,-1.297809039999999925e+02,-5.838425800000000265e+01
5.000000000000000000e+04,-1.171317191999999920e+02,-1.392346546000000274e+02,-9.502878380000001357e+01,-1.513367450000000076e+02,-1.088161570000000040e+02,-9.518764199999999676e+01,-1.423418130000000019e+02,-8.797623900000000674e+01
5.500000000000000000e+04,-1.145653068000000019e+02,-1.482044255999999791e+02,-8.112682620000001066e+01,-1.687743250000000046e+02,-1.006430239999999969e+02,-1.024250370000000032e+02,-1.340561289999999985e+02,-6.692801900000000614e+01
