timesteps,mean_reward,ci95_low,ci95_high,run01,run02,run03,run04,run05
5.000000000000000000e+03,-2.186026703200000156e+02,-2.201571882000000073e+02,-2.161702683999999977e+02,-2.201515929999999912e+02,-2.137922970000000191e+02,-2.195950106000000233e+02,-2.190305788000000007e+02,-2.204438722000000439e+02
1.000000000000000000e+04,-1.718247342000000231e+02,-1.836855625999999972e+02,-1.587098705999999879e+02,-1.907559599999999875e+02,-1.475870970000000000e+02,-1.661250530000000083e+02,-1.746206809999999905e+02,-1.800348799999999869e+02
1.500000000000000000e+04,-9.200634859999998127e+01,-1.112601370000000145e+02,-6.620240087500002346e+01,-1.158302070000000015e+02,-4.350873099999999738e+01,-1.087793419999999998e+02,-1.070815869999999848e+02,-8.483187599999999406e+01
2.000000000000000000e+04,-3.448642200000000457e+01,-5.550561539999999638e+01,-1.744503359999999859e+01,-3.875007099999999838e+01,-7.647215500000000077e+01,-9.361541000000000778e+00,-2.065374299999999863e+01,-2.719460000000000122e+01
2.500000000000000000e+04,-9.361679719999999350e+01,-1.191974746300000021e+02,-7.432433399999999324e+01,-6.619934200000000146e+01,-1.437722919999999931e+02,-8.071220999999999890e+01,-7.925538799999999640e+01,-9.814475400000000604e+01
3.000000000000000000e+04,-1.232023030000000006e+02,-1.455614513999999815e+02,-8.880711780000000033e+01,-6.042319499999999977e+01,-1.548918070000000000e+02,-1.227194369999999992e+02,-1.400465670000000102e+02,-1.379305090000000007e+02
3.500000000000000000e+04,-1.241338210000000117e+02,-1.668404869999999960e+02,-8.488628880000000265e+01,-8.279864100000000349e+01,-1.618768839999999898e+02,-7.934955200000000275e+01,-1.001350580000000008e+02,-1.965089700000000050e+02
4.000000000000000000e+04,-1.227683631999999960e+02,-1.528079986550000342e+02,-9.279547959999999307e+01,-9.359887700000000166e+01,-1.424097649999999931e+02,-7.929579099999999414e+01,-1.181880619999999880e+02,-1.803493210000000033e+02
4.500000000000000000e+04,-1.249551335999999964e+02,-1.582057666000000040e+02,-1.002713698000000022e+02,-9.041745400000000643e+01,-1.304619490000000042e+02,-1.202458989999999801e+02,-1.001380209999999948e+02,-1.835123450000000105e+02
5.000000000000000000e+04,-1.328741868000000181e+02,-1.673753532000000064e+02,-9.878407380500000556e+01,-8.396460199999999929e+01,-1.460313130000000115e+02,-1.580906640000000039e+02,-8.942021800000000553e+01,-1.868641369999999995e+02
