time,x,y,yaw,reward,velocity_x,velocity_y,steady_state,frequency,phase_lag_1,phase_lag_2,phase_lag_3,phase_lag_4,phase_lag_5
2.000000000000001082e-02,5.999769881786216619e-01,-1.962899747690649566e-03,2.302294674789214304e-02,0.000000000000000000e+00,-4.081914427196044019e-03,-1.748390364387857054e-01,0.000000000000000000e+00,1.000000000000000000e+00,6.872034668922424316e-01,6.671786904335021973e-01,6.702614426612854004e-01,6.723983287811279297e-01,6.004182100296020508e-01
4.000000000000002859e-02,5.997841473222498276e-01,-6.047765228572310470e-03,7.484371253783364542e-02,0.000000000000000000e+00,-9.554750264564999124e-03,-1.930877823893837886e-01,0.000000000000000000e+00,1.000000000000000000e+00,7.489231228828430176e-01,6.631706953048706055e-01,6.537123322486877441e-01,6.466320753097534180e-01,6.810423731803894043e-01
6.000000000000004635e-02,5.994363967185362130e-01,-9.734399449581154773e-03,1.293769310176254850e-01,0.000000000000000000e+00,-1.226006100492832950e-02,-1.776093152296688016e-01,0.000000000000000000e+00,1.000000000000000000e+00,7.482913136482238770e-01,6.655558347702026367e-01,6.541222929954528809e-01,6.498428583145141602e-01,6.724660992622375488e-01
8.000000000000005718e-02,5.991429953854079393e-01,-1.172357662088130414e-02,1.700470839797395550e-01,0.000000000000000000e+00,-1.189339678533271084e-02,-1.463345779519587553e-01,0.000000000000000000e+00,1.000000000000000000e+00,7.294569611549377441e-01,6.740128993988037109e-01,6.626558899879455566e-01,6.682565212249755859e-01,6.159591674804687500e-01
1.000000000000000749e-01,5.990074576910701110e-01,-1.198967515544663298e-02,1.936967400303629960e-01,0.000000000000000000e+00,-1.017607948646082408e-02,-1.131588866475558286e-01,0.000000000000000000e+00,1.000000000000000000e+00,6.870769262313842773e-01,6.837605237960815430e-01,6.743657588958740234e-01,6.931007504463195801e-01,5.346150398254394531e-01
1.200000000000000927e-01,5.989772971363672704e-01,-1.122627869430731229e-02,2.063730805278186087e-01,0.000000000000000000e+00,-8.585673974332989553e-03,-8.596615456098709307e-02,0.000000000000000000e+00,1.002348899841308594e+00,6.638904213905334473e-01,6.837384104728698730e-01,6.780056953430175781e-01,6.974216699600219727e-01,5.190463066101074219e-01
1.400000000000000966e-01,5.989492077548570492e-01,-1.020292749787465869e-02,2.162930934895410107e-01,0.000000000000000000e+00,-7.760905596667964403e-03,-6.669598156295857005e-02,0.000000000000000000e+00,1.007087111473083496e+00,6.576807498931884766e-01,6.823436021804809570e-01,6.783177852630615234e-01,6.967785358428955078e-01,5.213854908943176270e-01
1.600000000000001144e-01,5.988475851922100412e-01,-9.324248403200285917e-03,2.285748114400093511e-01,0.000000000000000000e+00,-7.736519902991776700e-03,-5.343102944850921382e-02,0.000000000000000000e+00,1.002187252044677734e+00,6.624500751495361328e-01,6.825684309005737305e-01,6.777788996696472168e-01,6.961613297462463379e-01,5.244672298431396484e-01
1.800000000000001321e-01,5.986452037005823845e-01,-8.552195041007126797e-03,2.435831049855259334e-01,0.000000000000000000e+00,-8.268326055566389485e-03,-4.298969272985895401e-02,0.000000000000000000e+00,1.000000000000000000e+00,6.677506566047668457e-01,6.834719777107238770e-01,6.775217056274414062e-01,6.963676214218139648e-01,5.245279073715209961e-01
2.000000000000001499e-01,5.983584403186325007e-01,-7.580100603368999934e-03,2.582605398800988938e-01,0.000000000000000000e+00,-9.014004330693433514e-03,-3.272948812242072736e-02,0.000000000000000000e+00,1.000000000000000000e+00,6.667535305023193359e-01,6.842249035835266113e-01,6.782100200653076172e-01,6.976155638694763184e-01,5.204782485961914062e-01
