time,x,y,yaw,reward,yaw_rate,turn_radius,steady_state,action_0,action_1,action_2,action_3,action_4,action_5
2.000000000000001082e-02,5.998109259745791899e-01,-2.394243750550362204e-03,4.395323805316456167e-02,0.000000000000000000e+00,4.153237947875218161e+00,inf,0.000000000000000000e+00,3.074476122856140137e-01,2.242540270090103149e-01,2.935993373394012451e-01,1.916874647140502930e-01,1.797592043876647949e-01,4.563077539205551147e-02
4.000000000000002859e-02,5.978711827198952555e-01,-7.202278210765467037e-03,1.595403401712149893e-01,0.000000000000000000e+00,5.691034920350482196e+00,inf,0.000000000000000000e+00,3.499999940395355225e-01,1.664883792400360107e-01,3.027310669422149658e-01,1.727894246578216553e-01,2.865783572196960449e-01,1.580988764762878418e-01
6.000000000000004635e-02,5.928305908485825837e-01,-1.154985644423101032e-02,3.219956861929618719e-01,0.000000000000000000e+00,6.697614788699946864e+00,inf,0.000000000000000000e+00,3.023727238178253174e-01,1.151340901851654053e-01,2.547811865806579590e-01,1.386078000068664551e-01,2.659270167350769043e-01,1.592850089073181152e-01
8.000000000000005718e-02,5.862161605002971232e-01,-1.487483651586590794e-02,4.935415005038129022e-01,0.000000000000000000e+00,7.090145993094765231e+00,inf,0.000000000000000000e+00,2.881774902343750000e-01,9.590887278318405151e-02,2.483423650264739990e-01,1.191081926226615906e-01,2.408866882324218750e-01,1.487175673246383667e-01
1.000000000000000749e-01,5.801683371476995532e-01,-1.790002222405084886e-02,6.512583557594013861e-01,0.000000000000000000e+00,7.127687313072938124e+00,inf,0.000000000000000000e+00,3.134609460830688477e-01,1.201025620102882385e-01,2.803191542625427246e-01,1.161398515105247498e-01,2.066935449838638306e-01,1.248713284730911255e-01
1.200000000000000927e-01,5.755760037581993949e-01,-2.017592741914070453e-02,7.836428076314855273e-01,0.000000000000000000e+00,6.890725346670779849e+00,inf,0.000000000000000000e+00,3.499999940395355225e-01,1.489423215389251709e-01,3.057931959629058838e-01,1.077902242541313171e-01,1.651386767625808716e-01,9.913662821054458618e-02
1.400000000000000966e-01,5.720203598637206843e-01,-2.007433172339861960e-02,8.825163350662638129e-01,0.000000000000000000e+00,6.489746885572871271e+00,inf,0.000000000000000000e+00,3.499999940395355225e-01,1.968230903148651123e-01,3.390490114688873291e-01,1.207294017076492310e-01,1.634029448032379150e-01,9.464867413043975830e-02
1.600000000000001144e-01,5.686216936834456170e-01,-1.701273177476103626e-02,9.523936707932368906e-01,0.000000000000000000e+00,6.042022228336033862e+00,inf,0.000000000000000000e+00,3.499999940395355225e-01,2.182661592960357666e-01,3.499999940395355225e-01,1.580424904823303223e-01,2.356177568435668945e-01,1.280736625194549561e-01
1.800000000000001321e-01,5.658637288118593123e-01,-1.126734093711945217e-02,9.950884913549529198e-01,0.000000000000000000e+00,5.539762110308109833e+00,inf,0.000000000000000000e+00,3.499999940395355225e-01,1.864773929119110107e-01,2.872735857963562012e-01,2.320366799831390381e-01,3.420844674110412598e-01,1.604266315698623657e-01
2.000000000000001499e-01,5.643695657393423826e-01,-2.994715725938679185e-03,1.006019180940767699e+00,0.000000000000000000e+00,4.950905442062497386e+00,inf,0.000000000000000000e+00,2.141105234622955322e-01,2.094636112451553345e-01,2.092894166707992554e-01,2.339319288730621338e-01,3.182775676250457764e-01,1.088971421122550964e-01
2.200000000000001676e-01,5.648205456491652843e-01,7.046675363809484782e-03,9.785919662446329603e-01,0.000000000000000000e+00,4.297539130575590782e+00,inf,0.000000000000000000e+00,1.414356678724288940e-01,1.867889612913131714e-01,1.601889133453369141e-01,2.204094529151916504e-01,2.847154140472412109e-01,8.343808352947235107e-02
2.400000000000001854e-01,5.676642608732122008e-01,1.764613070432569097e-02,9.176438522790072438e-01,0.000000000000000000e+00,3.631716714880674601e+00,inf,0.000000000000000000e+00,7.439719885587692261e-02,1.793799996376037598e-01,1.202139481902122498e-01,2.067837715148925781e-01,2.145192027091979980e-01,3.985208272933959961e-02
2.600000000000001754e-01,5.718195057169158657e-01,2.690181232441285486e-02,8.436144061259821525e-01,0.000000000000000000e+00,3.084949413075076752e+00,inf,0.000000000000000000e+00,1.158317774534225464e-01,2.106554210186004639e-01,1.408983916044235229e-01,1.617494821548461914e-01,9.666537493467330933e-02,-6.055222358554601669e-03
2.800000000000001932e-01,5.764954465089915381e-01,3.240150021365206801e-02,7.899186283753755200e-01,0.000000000000000000e+00,2.726968691419343394e+00,inf,0.000000000000000000e+00,1.703773587942123413e-01,1.863622367382049561e-01,1.723594963550567627e-01,1.165140271186828613e-01,4.536001011729240417e-02,-1.150367129594087601e-02
3.000000000000002109e-01,5.814923149964945637e-01,3.464853471097179005e-02,7.637492582024210108e-01,0.000000000000000000e+00,2.487784933117199060e+00,inf,0.000000000000000000e+00,2.080444991588592529e-01,1.537809222936630249e-01,2.045461684465408325e-01,5.421478673815727234e-02,-7.777472957968711853e-03,-8.752517751418054104e-04
3.200000000000002287e-01,5.858817148610702130e-01,3.637231180582789491e-02,7.441781929912687499e-01,0.000000000000000000e+00,2.256466153631204730e+00,inf,0.000000000000000000e+00,1.739724576473236084e-01,1.699618995189666748e-01,2.079275697469711304e-01,4.095904529094696045e-02,-4.093257710337638855e-02,-8.774146437644958496e-03
3.400000000000002465e-01,5.885598222531086554e-01,3.974092874704265865e-02,7.131950871133537762e-01,0.000000000000000000e+00,2.011697680197333415e+00,inf,0.000000000000000000e+00,1.369299888610839844e-01,1.998818963766098022e-01,2.030723690986633301e-01,1.120168045163154602e-01,5.177052691578865051e-02,2.108075283467769623e-02
3.600000000000002642e-01,5.897135117678267147e-01,4.523506386011011404e-02,6.658385087709101091e-01,0.000000000000000000e+00,1.743838348023849516e+00,inf,0.000000000000000000e+00,1.068999171257019043e-01,2.081480622291564941e-01,1.383374035358428955e-01,1.867811828851699829e-01,2.492585778236389160e-01,7.976819574832916260e-02
3.800000000000002820e-01,5.902232768903461491e-01,5.280812477572610630e-02,5.945946272628421791e-01,0.000000000000000000e+00,1.424624036946888550e+00,inf,0.000000000000000000e+00,5.649541970342397690e-03,1.761731952428817749e-01,5.721537768840789795e-02,1.576108187437057495e-01,2.368799448013305664e-01,5.779390409588813782e-02
