time,x,y,yaw,reward,yaw_rate,turn_radius,steady_state,action_0,action_1,action_2,action_3,action_4,action_5
2.000000000000001082e-02,5.997693008145805749e-01,2.281146515910770223e-03,-4.466904478266176676e-02,0.000000000000000000e+00,-4.244577797592971713e+00,inf,0.000000000000000000e+00,-3.499999940395355225e-01,-3.499999940395355225e-01,-2.994677722454071045e-01,-2.214620560407638550e-01,-1.888270229101181030e-01,-1.578929722309112549e-01
4.000000000000002859e-02,5.991222519847075878e-01,2.473564689488561008e-03,-7.172427449873511329e-02,0.000000000000000000e+00,-1.527662074724913888e+00,inf,0.000000000000000000e+00,3.499999940395355225e-01,3.384119868278503418e-01,3.499999940395355225e-01,1.903772652149200439e-01,1.733659356832504272e-01,3.499999940395355225e-01
6.000000000000004635e-02,5.983498677543181987e-01,2.647769755401374603e-03,-9.743423936996557788e-02,0.000000000000000000e+00,-2.169492931847647466e+00,inf,0.000000000000000000e+00,-3.499999940395355225e-01,-3.499999940395355225e-01,-3.499999940395355225e-01,-3.107663989067077637e-01,-2.542752325534820557e-01,-3.366417586803436279e-01
8.000000000000005718e-02,5.975211119774874735e-01,1.797158511140095616e-03,-1.113805472946390457e-01,0.000000000000000000e+00,-1.194990333909350610e+00,inf,0.000000000000000000e+00,3.499999940395355225e-01,2.501728236675262451e-01,3.499999940395355225e-01,1.598874777555465698e-01,1.402412354946136475e-01,3.499999940395355225e-01
1.000000000000000749e-01,5.965210997071249688e-01,1.393877182951031024e-03,-1.279561483214388951e-01,0.000000000000000000e+00,-1.569995502314410540e+00,inf,0.000000000000000000e+00,-3.499999940395355225e-01,-3.499999940395355225e-01,-3.499999940395355225e-01,-3.203878700733184814e-01,-2.700632214546203613e-01,-3.499999940395355225e-01
1.200000000000000927e-01,5.954813561749331408e-01,2.551331539593637565e-04,-1.353941909292500911e-01,0.000000000000000000e+00,-9.740311954522115068e-01,inf,0.000000000000000000e+00,3.499999940395355225e-01,1.891618520021438599e-01,3.499999940395355225e-01,1.354980915784835815e-01,1.160866841673851013e-01,3.481618463993072510e-01
1.400000000000000966e-01,5.942530781233268389e-01,-2.720420797561740045e-04,-1.471162613035570665e-01,0.000000000000000000e+00,-1.243292886203930081e+00,inf,0.000000000000000000e+00,-3.499999940395355225e-01,-3.499999940395355225e-01,-3.499999940395355225e-01,-3.246172070503234863e-01,-2.773991525173187256e-01,-3.499999940395355225e-01
1.600000000000001144e-01,5.929755812981511998e-01,-1.443891193242397009e-03,-1.508412791249774676e-01,0.000000000000000000e+00,-8.168838740282757804e-01,inf,0.000000000000000000e+00,3.499999940395355225e-01,1.434096395969390869e-01,3.499999940395355225e-01,1.136899590492248535e-01,9.895998239517211914e-02,3.355415463447570801e-01
1.800000000000001321e-01,5.915129462696654405e-01,-1.943408781870825663e-03,-1.596602669405634833e-01,0.000000000000000000e+00,-1.029354123756553774e+00,inf,0.000000000000000000e+00,-3.499999940395355225e-01,-3.499999940395355225e-01,-3.499999940395355225e-01,-3.276333510875701904e-01,-2.811996638774871826e-01,-3.499999940395355225e-01
2.000000000000001499e-01,5.899931491357109925e-01,-3.059537470975814966e-03,-1.610462814827808564e-01,0.000000000000000000e+00,-6.991920722853230963e-01,inf,0.000000000000000000e+00,3.499999940395355225e-01,1.060169562697410583e-01,3.499999940395355225e-01,9.354504197835922241e-02,8.612418174743652344e-02,3.248953223228454590e-01
2.200000000000001676e-01,5.882986732064704460e-01,-3.478430765106288458e-03,-1.679366170835152605e-01,0.000000000000000000e+00,-8.746303156581881622e-01,inf,0.000000000000000000e+00,-3.499999940395355225e-01,-3.499999940395355225e-01,-3.499999940395355225e-01,-3.300247788429260254e-01,-2.829943299293518066e-01,-3.499999940395355225e-01
2.400000000000001854e-01,5.865504582802555378e-01,-4.504932579035725304e-03,-1.674982172938183633e-01,0.000000000000000000e+00,-6.055018201637132336e-01,inf,0.000000000000000000e+00,3.458173573017120361e-01,7.176978141069412231e-02,3.282212316989898682e-01,7.677217572927474976e-02,7.320216298103332520e-02,3.130547702312469482e-01
2.600000000000001754e-01,5.846908818914354766e-01,-4.800275664514241925e-03,-1.707397661375988085e-01,0.000000000000000000e+00,-7.389527693785077345e-01,inf,0.000000000000000000e+00,-3.499999940395355225e-01,-3.499999940395355225e-01,-3.499999940395355225e-01,-3.311751484870910645e-01,-2.841349840164184570e-01,-3.499999940395355225e-01
2.800000000000001932e-01,5.828421741824817426e-01,-5.613385500349510338e-03,-1.650508352935063094e-01,0.000000000000000000e+00,-5.006257209811101339e-01,inf,0.000000000000000000e+00,2.517976462841033936e-01,-1.334717310965061188e-02,2.490950524806976318e-01,3.848823532462120056e-02,3.654303774237632751e-02,2.427530884742736816e-01
3.000000000000002109e-01,5.808340630330750542e-01,-5.596075545352630076e-03,-1.629879347129154221e-01,0.000000000000000000e+00,-6.057363310823685731e-01,inf,0.000000000000000000e+00,-3.499999940395355225e-01,-3.499999940395355225e-01,-3.499999940395355225e-01,-3.354069292545318604e-01,-2.848225533962249756e-01,-3.499999940395355225e-01
3.200000000000002287e-01,5.787511744799669344e-01,-5.401574250208152073e-03,-1.626002812817249898e-01,0.000000000000000000e+00,-4.613766469457308839e-01,inf,0.000000000000000000e+00,1.388393938541412354e-01,-1.087547093629837036e-01,1.742108613252639771e-01,-4.324015602469444275e-02,1.808961294591426849e-02,1.550267636775970459e-01
3.400000000000002465e-01,5.764543116996688754e-01,-3.939992049612095482e-03,-1.755619217962382517e-01,0.000000000000000000e+00,-5.941180334949255348e-01,inf,0.000000000000000000e+00,-3.499999940395355225e-01,-3.499999940395355225e-01,-3.499999940395355225e-01,-3.408432304859161377e-01,-2.484247386455535889e-01,-3.499999940395355225e-01
3.600000000000002642e-01,5.741385509842769075e-01,-3.466919888366282176e-03,-1.753403869278667426e-01,0.000000000000000000e+00,-4.274686892810125594e-01,inf,0.000000000000000000e+00,2.875390350818634033e-01,3.285494074225425720e-02,3.122932612895965576e-01,-3.512034565210342407e-02,1.304264515638351440e-01,2.079396247863769531e-01
3.800000000000002820e-01,5.716554022310382788e-01,-2.449469157486561244e-03,-1.781257835173009896e-01,0.000000000000000000e+00,-5.300020097473842062e-01,inf,0.000000000000000000e+00,-3.499999940395355225e-01,-3.499999940395355225e-01,-3.499999940395355225e-01,-3.499999940395355225e-01,-2.553000152111053467e-01,-3.499999940395355225e-01
4.000000000000002998e-01,5.691523191568509388e-01,-1.236261333074084590e-03,-1.829441857845792441e-01,0.000000000000000000e+00,-4.286979915997797264e-01,inf,0.000000000000000000e+00,2.559950649738311768e-01,-5.802103318274021149e-03,3.499999940395355225e-01,-6.748411804437637329e-02,1.637615263462066650e-01,2.639978528022766113e-01
4.200000000000003175e-01,5.664628545241658930e-01,1.166985129445630154e-03,-1.999472688358951145e-01,0.000000000000000000e+00,-5.472948933922703318e-01,inf,0.000000000000000000e+00,-3.499999940395355225e-01,-3.499999940395355225e-01,-3.499999940395355225e-01,-3.499999940395355225e-01,-1.912202686071395874e-01,-3.499999940395355225e-01
4.400000000000003353e-01,5.638925404722602286e-01,2.397663790522142069e-03,-2.032487645998480308e-01,0.000000000000000000e+00,-4.231152911161531471e-01,inf,0.000000000000000000e+00,3.321818709373474121e-01,7.402580976486206055e-02,3.499999940395355225e-01,-4.990071803331375122e-02,2.178728878498077393e-01,2.770167589187622070e-01
4.600000000000003531e-01,5.611965117363530986e-01,4.096632984349091178e-03,-2.102847512849354283e-01,0.000000000000000000e+00,-5.170398086428871220e-01,inf,0.000000000000000000e+00,-3.499999940395355225e-01,-3.499999940395355225e-01,-3.499999940395355225e-01,-3.499999940395355225e-01,-2.072561383247375488e-01,-3.499999940395355225e-01
4.800000000000003708e-01,5.584531893487770793e-01,5.824187923619716933e-03,-2.212352077452760246e-01,0.000000000000000000e+00,-4.458098681800341523e-01,inf,0.000000000000000000e+00,3.188872337341308594e-01,5.814468860626220703e-02,3.499999940395355225e-01,-6.121054757386445999e-03,1.602483093738555908e-01,3.115730881690979004e-01
