time,x,y,yaw,reward,yaw_rate,turn_radius,steady_state,action_0,action_1,action_2,action_3,action_4,action_5
2.000000000000001082e-02,5.998531451250910251e-01,-2.466070713660561964e-03,4.231905347701434700e-02,0.000000000000000000e+00,3.985910477148185915e+00,3.098965058114912588e-02,0.000000000000000000e+00,2.185332477092742920e-01,2.239399552345275879e-01,1.885685622692108154e-01,1.799592077732086182e-01,1.006437242031097412e-01,1.691604778170585632e-02
4.000000000000002859e-02,5.983755211749482994e-01,-7.900777003436998402e-03,1.518402334463880843e-01,0.000000000000000000e+00,5.396227892900911982e+00,3.736894094483689949e-02,0.000000000000000000e+00,1.631600409746170044e-01,2.508336901664733887e-01,1.794888526201248169e-01,2.430189400911331177e-01,9.689692407846450806e-02,1.315160654485225677e-02
6.000000000000004635e-02,5.943130594396432986e-01,-1.399324293913445372e-02,3.079510758461074804e-01,0.000000000000000000e+00,6.439047017952336915e+00,3.909663929200464516e-02,0.000000000000000000e+00,1.366850882768630981e-01,2.274403721094131470e-01,1.618705838918685913e-01,2.294649928808212280e-01,9.405568987131118774e-02,1.170210726559162140e-02
8.000000000000005718e-02,5.884606345863101495e-01,-1.869948786623992776e-02,4.719438973350669198e-01,0.000000000000000000e+00,6.702065268926201469e+00,4.098241003542287680e-02,0.000000000000000000e+00,1.212415397167205811e-01,2.083470970392227173e-01,1.527007371187210083e-01,2.098036110401153564e-01,9.658410400152206421e-02,1.445397827774286270e-02
1.000000000000000749e-01,5.836339611254357518e-01,-2.038344301533562275e-02,5.956998626171927658e-01,0.000000000000000000e+00,6.315349693143657461e+00,4.139219611624148781e-02,0.000000000000000000e+00,1.288318186998367310e-01,2.026020139455795288e-01,1.542334556579589844e-01,1.817229539155960083e-01,1.040901839733123779e-01,2.349798195064067841e-02
1.200000000000000927e-01,5.812482553636114657e-01,-1.924555566522800909e-02,6.697728078319508116e-01,0.000000000000000000e+00,5.710330475428210484e+00,3.921316765902156665e-02,0.000000000000000000e+00,1.624186336994171143e-01,2.126581519842147827e-01,1.679318249225616455e-01,1.583877354860305786e-01,1.049621105194091797e-01,2.752460539340972900e-02
1.400000000000000966e-01,5.803883493280455053e-01,-1.686786287551500507e-02,7.180949330831666311e-01,0.000000000000000000e+00,5.204767985338865977e+00,3.550010339609160209e-02,0.000000000000000000e+00,2.115390747785568237e-01,2.345493882894515991e-01,1.921513825654983521e-01,1.431888341903686523e-01,9.588299691677093506e-02,2.535992488265037537e-02
1.600000000000001144e-01,5.795447604986565526e-01,-1.439419900683730491e-02,7.642563554369822265e-01,0.000000000000000000e+00,4.854627165651367982e+00,3.220148522141597081e-02,0.000000000000000000e+00,2.277328222990036011e-01,2.526299357414245605e-01,2.093710750341415405e-01,1.617956757545471191e-01,9.056469053030014038e-02,2.630369178950786591e-02
1.800000000000001321e-01,5.778558489984390034e-01,-1.167256001697453138e-02,8.142825446056185523e-01,0.000000000000000000e+00,4.596392855508930175e+00,3.025587629477792181e-02,0.000000000000000000e+00,2.231642603874206543e-01,2.607603073120117188e-01,2.083982080221176147e-01,2.141260057687759399e-01,1.028145924210548401e-01,2.466749772429466248e-02
2.000000000000001499e-01,5.760948161326344685e-01,-7.166135252725525095e-03,8.466554085560488163e-01,0.000000000000000000e+00,4.218131960615819409e+00,2.958203779151249990e-02,0.000000000000000000e+00,1.802726238965988159e-01,2.082970738410949707e-01,1.481572985649108887e-01,2.304225414991378784e-01,1.073008775711059570e-01,3.255363088101148605e-03
2.200000000000001676e-01,5.760660867229475679e-01,-3.471020362050269981e-05,8.366640988303509774e-01,0.000000000000000000e+00,3.694705842604346646e+00,2.944500426716482183e-02,0.000000000000000000e+00,1.583643406629562378e-01,1.472173780202865601e-01,9.425146132707595825e-02,2.120216041803359985e-01,8.407205343246459961e-02,-2.579933777451515198e-02
2.400000000000001854e-01,5.782521999005612034e-01,8.011063429289255744e-03,7.921869141418474980e-01,0.000000000000000000e+00,3.167692376390878195e+00,3.048534411922562345e-02,0.000000000000000000e+00,1.733888834714889526e-01,1.173206791281700134e-01,8.443675935268402100e-02,1.712381690740585327e-01,6.370808184146881104e-02,-3.501520678400993347e-02
2.600000000000001754e-01,5.814460461568587979e-01,1.466988171923855333e-02,7.437593555432731041e-01,0.000000000000000000e+00,2.764257384736294121e+00,3.291020676517857069e-02,0.000000000000000000e+00,1.906197816133499146e-01,1.241025254130363464e-01,1.037624850869178772e-01,1.203984096646308899e-01,5.220859125256538391e-02,-1.321754883974790573e-02
2.800000000000001932e-01,5.843009787639711350e-01,1.879090512240455535e-02,7.188956994567622383e-01,0.000000000000000000e+00,2.528962901390592766e+00,3.457919572433963695e-02,0.000000000000000000e+00,2.175855189561843872e-01,1.480002701282501221e-01,1.439529955387115479e-01,5.080832913517951965e-02,6.424000859260559082e-02,1.911023259162902832e-02
3.000000000000002109e-01,5.861307489063848353e-01,2.101283939297121650e-02,7.209549843641031019e-01,0.000000000000000000e+00,2.393814727277288501e+00,3.505880110896626711e-02,0.000000000000000000e+00,2.285685837268829346e-01,1.683131158351898193e-01,1.632012873888015747e-01,3.244555369019508362e-02,7.793975621461868286e-02,2.860770188271999359e-02
3.200000000000002287e-01,5.866100830119358456e-01,2.310348085224606107e-02,7.347866427708186210e-01,0.000000000000000000e+00,2.284779941223559874e+00,3.652320629326403362e-02,0.000000000000000000e+00,2.346106171607971191e-01,1.871210634708404541e-01,1.661139875650405884e-01,6.289813667535781860e-02,8.791530132293701172e-02,2.752907946705818176e-02
3.400000000000002465e-01,5.861457207805287339e-01,2.675349523860537371e-02,7.382600841755305732e-01,0.000000000000000000e+00,2.128442263994802630e+00,4.163208085817959869e-02,0.000000000000000000e+00,2.267458885908126831e-01,1.840225309133529663e-01,1.488835960626602173e-01,1.280291676521301270e-01,1.052819564938545227e-01,8.305031806230545044e-03
3.600000000000002642e-01,5.857525815514186274e-01,3.320386598476710027e-02,7.057466697958090229e-01,0.000000000000000000e+00,1.860200704617882339e+00,5.395401218465648713e-02,0.000000000000000000e+00,1.915069967508316040e-01,1.382416337728500366e-01,1.018625125288963318e-01,1.686192452907562256e-01,9.421028941869735718e-02,-3.291270509362220764e-02
3.800000000000002820e-01,5.864590346682003741e-01,4.205299391806149867e-02,6.279603655232806059e-01,0.000000000000000000e+00,1.500907886392531365e+00,7.746068979504841523e-02,0.000000000000000000e+00,1.492835432291030884e-01,8.094073832035064697e-02,5.785051360726356506e-02,1.595730930566787720e-01,6.236346811056137085e-02,-4.610394686460494995e-02
4.000000000000002998e-01,5.894033297487351053e-01,5.179414104841351119e-02,5.092264630887903820e-01,0.000000000000000000e+00,1.094511686515365678e+00,1.207548236537406561e-01,0.000000000000000000e+00,1.267068684101104736e-01,4.205471649765968323e-02,4.933655634522438049e-02,1.050193607807159424e-01,4.267902672290802002e-02,-3.032200038433074951e-02
4.200000000000003175e-01,5.943029570940183692e-01,6.016844148655803304e-02,3.701871844060016792e-01,0.000000000000000000e+00,7.083277753086254513e-01,2.031530281647499769e-01,0.000000000000000000e+00,1.134263500571250916e-01,1.615634933114051819e-02,4.707007482647895813e-02,2.799190953373908997e-02,1.956722885370254517e-02,-4.863765090703964233e-03
4.400000000000003353e-01,6.003487703739588399e-01,6.580421052911250568e-02,2.348766251070444899e-01,0.000000000000000000e+00,3.884127058711777658e-01,3.850469416982154058e-01,0.000000000000000000e+00,9.941066056489944458e-02,7.225631270557641983e-03,4.665783047676086426e-02,-2.689473517239093781e-02,9.783697314560413361e-03,1.390858553349971771e-02
4.600000000000003531e-01,6.073114312012071192e-01,6.805738176973874509e-02,1.271999654641261801e-01,0.000000000000000000e+00,1.759816886332044306e-01,8.455547474818349007e-01,0.000000000000000000e+00,1.133892908692359924e-01,3.019605018198490143e-02,6.544242799282073975e-02,-4.389844089746475220e-02,1.646262034773826599e-02,2.395907416939735413e-02
4.800000000000003708e-01,6.153768321350036041e-01,6.653189606932474742e-02,7.364127962970337671e-02,0.000000000000000000e+00,1.181906087342729506e-01,9.484128393215834896e-01,0.000000000000000000e+00,1.707570254802703857e-01,9.733844548463821411e-02,1.233023032546043396e-01,-2.416274882853031158e-02,4.490128159523010254e-02,3.154233843088150024e-02
5.000000000000003331e-01,6.234968389814012912e-01,6.174348090374615072e-02,9.198838945969900482e-02,0.000000000000000000e+00,2.223197528445436666e-01,5.943088153411963948e-01,0.000000000000000000e+00,2.590140104293823242e-01,2.238650172948837280e-01,2.132691890001296997e-01,7.768460363149642944e-02,9.099732339382171631e-02,2.404367737472057343e-02
5.200000000000003508e-01,6.290215626597043252e-01,5.580405254400361281e-02,1.619854589359503994e-01,0.000000000000000000e+00,3.625263203140624002e-01,3.336599669238456412e-01,0.000000000000000000e+00,2.217493802309036255e-01,2.789547741413116455e-01,2.233788222074508667e-01,2.077322453260421753e-01,1.126863956451416016e-01,2.366740256547927856e-02
