time,x,y,yaw,reward,yaw_rate,turn_radius,steady_state,action_0,action_1,action_2,action_3,action_4,action_5
2.000000000000001082e-02,5.998919316041798622e-01,-2.353306894190276832e-03,3.532909569482753365e-02,0.000000000000000000e+00,3.355337429941655625e+00,inf,0.000000000000000000e+00,9.766951948404312134e-02,3.499999940395355225e-01,2.165980190038681030e-01,-7.045039534568786621e-02,3.499999940395355225e-01,3.499999940395355225e-01
4.000000000000002859e-02,5.993184464148970658e-01,-4.103970172925741622e-03,7.617238204853690742e-02,0.000000000000000000e+00,2.134941621759828490e+00,inf,0.000000000000000000e+00,-3.499999940395355225e-01,3.499999940395355225e-01,-1.160765886306762695e-01,-3.192417323589324951e-01,3.499999940395355225e-01,3.499999940395355225e-01
6.000000000000004635e-02,5.980610616702854987e-01,-5.689870099826799255e-03,1.372063616937745645e-01,0.000000000000000000e+00,3.073515079602797240e+00,inf,0.000000000000000000e+00,2.556254565715789795e-01,3.499999940395355225e-01,3.499999940395355225e-01,3.919173032045364380e-02,3.499999940395355225e-01,3.499999940395355225e-01
8.000000000000005718e-02,5.951848799427861270e-01,-6.266865196343451849e-03,2.246303644094969354e-01,0.000000000000000000e+00,3.269081956140833967e+00,inf,0.000000000000000000e+00,-1.560691446065902710e-01,3.499999940395355225e-01,1.155977696180343628e-01,-2.936471700668334961e-01,3.499999940395355225e-01,3.499999940395355225e-01
1.000000000000000749e-01,5.910568856044340347e-01,-7.223754421597727848e-03,3.265344267230917419e-01,0.000000000000000000e+00,3.841805681089363045e+00,inf,0.000000000000000000e+00,5.701974779367446899e-02,3.499999940395355225e-01,3.220883905887603760e-01,-2.273631542921066284e-01,3.499999940395355225e-01,3.499999940395355225e-01
1.200000000000000927e-01,5.880918601200593177e-01,-6.161019621853947026e-03,3.885006639631456982e-01,0.000000000000000000e+00,3.285598468523752036e+00,inf,0.000000000000000000e+00,-3.499999940395355225e-01,1.397112309932708740e-01,-3.367740511894226074e-01,-3.499999940395355225e-01,2.314727604389190674e-01,2.883697450160980225e-01
1.400000000000000966e-01,5.874838476994935776e-01,-3.083363017643392379e-03,3.958938431853493700e-01,0.000000000000000000e+00,2.853892300518082070e+00,inf,0.000000000000000000e+00,-8.208629675209522247e-03,-1.037546098232269287e-01,5.832073092460632324e-02,-1.758535057306289673e-01,2.567875981330871582e-01,8.672849833965301514e-02
1.600000000000001144e-01,5.876224993603473834e-01,1.093052501120295172e-03,3.670646161952422770e-01,0.000000000000000000e+00,2.121812547870657983e+00,inf,0.000000000000000000e+00,-1.503776311874389648e-01,-1.580844521522521973e-01,-2.623984813690185547e-01,-1.312124431133270264e-01,8.227045834064483643e-02,-4.224209487438201904e-02
1.800000000000001321e-01,5.873579674223350366e-01,4.008025097226475264e-03,3.265883169664552943e-01,0.000000000000000000e+00,1.765239908699463456e+00,inf,0.000000000000000000e+00,2.754662036895751953e-01,-1.487097293138504028e-01,5.932917073369026184e-02,1.755177825689315796e-01,-1.369839534163475037e-03,-1.398370862007141113e-01
2.000000000000001499e-01,5.866202721959880018e-01,6.223558887779645499e-03,2.780738966498346731e-01,0.000000000000000000e+00,1.224889045760374939e+00,inf,0.000000000000000000e+00,-9.345595538616180420e-02,-1.709156483411788940e-01,-2.786235511302947998e-01,-3.847669064998626709e-02,-3.535274043679237366e-02,-1.153028085827827454e-01
2.200000000000001676e-01,5.849386119894801617e-01,6.831905991437292602e-03,2.496266154868465592e-01,0.000000000000000000e+00,1.177538197045793655e+00,inf,0.000000000000000000e+00,3.420192599296569824e-01,1.502452325075864792e-02,1.294794678688049316e-01,2.167569845914840698e-01,8.384219557046890259e-02,-5.833197385072708130e-02
2.400000000000001854e-01,5.816309794148686318e-01,3.482370080917174260e-03,2.978105068211401307e-01,0.000000000000000000e+00,1.384489613037661604e+00,inf,0.000000000000000000e+00,1.427319645881652832e-01,3.499999940395355225e-01,1.233284622430801392e-01,-1.387466304004192352e-02,3.448273837566375732e-01,2.668178379535675049e-01
2.600000000000001754e-01,5.768875394773272935e-01,1.870863145895351742e-03,3.596186686404041488e-01,0.000000000000000000e+00,1.470581760917641923e+00,inf,0.000000000000000000e+00,-1.965389251708984375e-01,3.499999940395355225e-01,5.590106174349784851e-02,-3.261470794677734375e-01,3.499999940395355225e-01,3.499999940395355225e-01
2.800000000000001932e-01,5.709599256187842808e-01,6.256884075593327488e-04,4.410318467068425896e-01,0.000000000000000000e+00,1.757490307475828795e+00,inf,0.000000000000000000e+00,3.499999940395355225e-01,3.499999940395355225e-01,3.499999940395355225e-01,-3.394936397671699524e-02,3.499999940395355225e-01,3.499999940395355225e-01
