time,x,y,yaw,reward,yaw_rate,turn_radius,steady_state,action_0,action_1,action_2,action_3,action_4,action_5
2.000000000000001082e-02,5.998519053819383329e-01,9.878138242848111261e-04,-2.697322345940221522e-02,0.000000000000000000e+00,-2.412472641356851799e+00,2.070186018350363491e-02,0.000000000000000000e+00,-1.346389651298522949e-01,-1.160559952259063721e-01,-1.363598257303237915e-01,-1.225664541125297546e-01,-5.077706277370452881e-02,-2.774105966091156006e-02
4.000000000000002859e-02,5.989306334762261042e-01,1.472324526806734202e-03,-7.233491744081610442e-02,0.000000000000000000e+00,-2.150532135438831816e+00,2.115399051909947273e-02,0.000000000000000000e+00,-1.306597590446472168e-01,-7.104451954364776611e-02,-9.505814313888549805e-02,-8.213834464550018311e-02,-5.402889475226402283e-02,-2.558499947190284729e-02
6.000000000000004635e-02,5.979180770265699607e-01,3.149927344477942981e-04,-9.786935077664532523e-02,0.000000000000000000e+00,-1.634679562828495358e+00,2.146819498501077034e-02,0.000000000000000000e+00,-1.444536745548248291e-01,-6.381918489933013916e-02,-9.632221609354019165e-02,-7.936695218086242676e-02,-4.464189335703849792e-02,-1.833419874310493469e-02
8.000000000000005718e-02,5.972616597780450176e-01,-1.208871764926955361e-03,-1.091389780985613650e-01,0.000000000000000000e+00,-1.337121952743987929e+00,2.798272760183368596e-02,0.000000000000000000e+00,-1.748161017894744873e-01,-9.733496606349945068e-02,-1.298513710498809814e-01,-1.045815423130989075e-01,-4.566954448819160461e-02,-2.046003192663192749e-02
1.000000000000000749e-01,5.967476082172906704e-01,-3.045867670150304019e-03,-1.112569500871472689e-01,0.000000000000000000e+00,-1.023197835533088851e+00,4.354911099872034452e-02,0.000000000000000000e+00,-1.386477351188659668e-01,-1.247394904494285583e-01,-1.301561444997787476e-01,-1.058206781744956970e-01,-5.486620962619781494e-02,-2.123319916427135468e-02
1.200000000000000927e-01,5.961450121545167624e-01,-6.130343767154544654e-03,-9.185916373215477493e-02,0.000000000000000000e+00,-5.931012867814452472e-01,1.017488949434390971e-01,0.000000000000000000e+00,-9.496480971574783325e-02,-1.150649264454841614e-01,-1.121989563107490540e-01,-1.211298182606697083e-01,-3.737808391451835632e-02,-2.078855969011783600e-02
1.400000000000000966e-01,5.952726312839525802e-01,-9.975865488389690228e-03,-5.109798414751264006e-02,0.000000000000000000e+00,-1.786244524677042533e-01,4.414404915243384520e-01,0.000000000000000000e+00,-8.327728509902954102e-02,-1.000002771615982056e-01,-1.055245995521545410e-01,-1.194975823163986206e-01,-2.329891733825206757e-02,-2.186152525246143341e-02
1.600000000000001144e-01,5.940950937516360497e-01,-1.310009235650816395e-02,-3.977196241175769142e-03,0.000000000000000000e+00,1.220267351486141738e-01,5.987259876172759121e-01,0.000000000000000000e+00,-8.197623491287231445e-02,-8.750404417514801025e-02,-9.872693568468093872e-02,-1.040311306715011597e-01,-2.081310935318470001e-02,-2.237653732299804688e-02
1.800000000000001321e-01,5.927321355309141948e-01,-1.439076712831233174e-02,3.282794648337482302e-02,0.000000000000000000e+00,2.619423829996429531e-01,3.419308258966168856e-01,0.000000000000000000e+00,-9.026031941175460815e-02,-8.330834656953811646e-02,-9.539789706468582153e-02,-9.108600020408630371e-02,-2.468500658869743347e-02,-2.001817896962165833e-02
2.000000000000001499e-01,5.914012226286433638e-01,-1.364988008008299891e-02,4.902880333443132566e-02,0.000000000000000000e+00,2.631673032950127000e-01,3.065069197984732208e-01,0.000000000000000000e+00,-9.391704946756362915e-02,-9.024500101804733276e-02,-9.455956518650054932e-02,-8.881315588951110840e-02,-3.235138952732086182e-02,-1.419810298830270767e-02
2.200000000000001676e-01,5.902553307569096130e-01,-1.163670459685700598e-02,4.687480899048426797e-02,0.000000000000000000e+00,2.006363928864781654e-01,3.438602360891191423e-01,0.000000000000000000e+00,-7.979704439640045166e-02,-1.026431322097778320e-01,-9.456061571836471558e-02,-8.914213627576828003e-02,-3.890356048941612244e-02,-7.923616096377372742e-03
2.400000000000001854e-01,5.892786275221030268e-01,-9.385199261810583948e-03,3.632561948691281212e-02,0.000000000000000000e+00,1.336755641832789443e-01,3.958014538758004575e-01,0.000000000000000000e+00,-5.561247467994689941e-02,-1.161335706710815430e-01,-9.649850428104400635e-02,-8.901374042034149170e-02,-4.710226133465766907e-02,-1.013091951608657837e-02
2.600000000000001754e-01,5.883670675828630570e-01,-7.346877014476838053e-03,2.453824905582552979e-02,0.000000000000000000e+00,7.767606343600451380e-02,3.527870795946804749e-01,0.000000000000000000e+00,-4.090988263487815857e-02,-1.219288259744644165e-01,-9.647247195243835449e-02,-9.290248155593872070e-02,-5.189119279384613037e-02,-1.630526036024093628e-02
2.800000000000001932e-01,5.874382553299267729e-01,-5.171964420525920758e-03,1.067815206172167963e-02,0.000000000000000000e+00,1.383152049171635159e-02,3.234474911764737559e-01,0.000000000000000000e+00,-4.000760242342948914e-02,-1.266673952341079712e-01,-9.931701421737670898e-02,-9.340474754571914673e-02,-5.495821684598922729e-02,-1.982527226209640503e-02
3.000000000000002109e-01,5.864318276833414556e-01,-2.461705560175775354e-03,-7.765984547502928492e-03,0.000000000000000000e+00,-5.757428101267199338e-02,3.064373492688720613e-01,0.000000000000000000e+00,-3.545910865068435669e-02,-1.279470026493072510e-01,-9.669645875692367554e-02,-8.190122991800308228e-02,-5.898747593164443970e-02,-1.893749274313449860e-02
3.200000000000002287e-01,5.853153566578208622e-01,7.431377063378818981e-04,-3.001859437192867450e-02,0.000000000000000000e+00,-1.296619700925082386e-01,3.063215645816856902e-01,0.000000000000000000e+00,-2.858832851052284241e-02,-1.236816421151161194e-01,-9.074142575263977051e-02,-7.156778126955032349e-02,-5.793621763586997986e-02,-1.495705824345350266e-02
3.400000000000002465e-01,5.841456140707884659e-01,4.263105345419682113e-03,-5.612910701637917332e-02,0.000000000000000000e+00,-2.069547490332492579e-01,2.333209682001412544e-01,0.000000000000000000e+00,-2.335634827613830566e-02,-1.213414892554283142e-01,-8.833479136228561401e-02,-6.629852950572967529e-02,-5.615104362368583679e-02,-1.233072578907012939e-02
3.600000000000002642e-01,5.830550127542181160e-01,7.992375143124064163e-03,-8.873044178088633493e-02,0.000000000000000000e+00,-2.977787671769277500e-01,1.747688064906429972e-01,0.000000000000000000e+00,-1.941614784300327301e-02,-1.227805241942405701e-01,-8.948593586683273315e-02,-6.419227272272109985e-02,-5.897508934140205383e-02,-1.293868385255336761e-02
3.800000000000002820e-01,5.821479938126599141e-01,1.192307874786413535e-02,-1.313438998440943362e-01,0.000000000000000000e+00,-4.088662021942668368e-01,1.381709805410012426e-01,0.000000000000000000e+00,-2.040056884288787842e-02,-1.257472783327102661e-01,-9.327170252799987793e-02,-6.582679599523544312e-02,-6.586725264787673950e-02,-1.592536643147468567e-02
4.000000000000002998e-01,5.814089870179279806e-01,1.611490606102844447e-02,-1.867959330243098848e-01,0.000000000000000000e+00,-5.423971144731349892e-01,1.134001688036076205e-01,0.000000000000000000e+00,-3.028021194040775299e-02,-1.275896131992340088e-01,-9.857715666294097900e-02,-7.122847437858581543e-02,-7.290132343769073486e-02,-2.014581300318241119e-02
4.200000000000003175e-01,5.807352461924548681e-01,2.044311746964860843e-02,-2.547369656253425374e-01,0.000000000000000000e+00,-6.891152780712241910e-01,9.705358586955353806e-02,0.000000000000000000e+00,-4.407399520277976990e-02,-1.274185478687286377e-01,-1.022225320339202881e-01,-7.483759522438049316e-02,-7.727667689323425293e-02,-2.387953549623489380e-02
4.400000000000003353e-01,5.800719743197564338e-01,2.450261115718571636e-02,-3.304505111168825615e-01,0.000000000000000000e+00,-8.329794942511207223e-01,8.617283303957574969e-02,0.000000000000000000e+00,-5.546470358967781067e-02,-1.273727267980575562e-01,-1.048558726906776428e-01,-7.577972859144210815e-02,-7.918107509613037109e-02,-2.592787705361843109e-02
4.600000000000003531e-01,5.794497345849193293e-01,2.784870807588474273e-02,-4.080608475602643948e-01,0.000000000000000000e+00,-9.633732159833668929e-01,7.810005649821015472e-02,0.000000000000000000e+00,-6.480421125888824463e-02,-1.286926269531250000e-01,-1.092285066843032837e-01,-7.876398414373397827e-02,-7.988134771585464478e-02,-2.717218734323978424e-02
4.800000000000003708e-01,5.788914963853833973e-01,3.022704170201284679e-02,-4.845002566642846453e-01,0.000000000000000000e+00,-1.079562887820877171e+00,7.114745420315403412e-02,0.000000000000000000e+00,-7.522232085466384888e-02,-1.312131434679031372e-01,-1.166226640343666077e-01,-8.577147871255874634e-02,-8.003645390272140503e-02,-2.925905026495456696e-02
5.000000000000003331e-01,5.783525516331212701e-01,3.159226094810402286e-02,-5.598543588546073257e-01,0.000000000000000000e+00,-1.185320742668438898e+00,6.461929808293423450e-02,0.000000000000000000e+00,-8.812785893678665161e-02,-1.335387378931045532e-01,-1.255481243133544922e-01,-9.430529922246932983e-02,-7.956212013959884644e-02,-3.224844485521316528e-02
5.200000000000003508e-01,5.777778697671268615e-01,3.197408647774063750e-02,-6.346903625114992398e-01,0.000000000000000000e+00,-1.281820210403401328e+00,5.841747950471939954e-02,0.000000000000000000e+00,-1.019820645451545715e-01,-1.343650072813034058e-01,-1.332600861787796021e-01,-1.007306277751922607e-01,-7.830640673637390137e-02,-3.454710915684700012e-02
5.400000000000003686e-01,5.771795651964540808e-01,3.136466972208978854e-02,-7.079209506244057426e-01,0.000000000000000000e+00,-1.366325388723849121e+00,5.257149494062338807e-02,0.000000000000000000e+00,-1.147725284099578857e-01,-1.335888355970382690e-01,-1.386863738298416138e-01,-1.043960154056549072e-01,-7.649967074394226074e-02,-3.512907773256301880e-02
5.600000000000003864e-01,5.766423185094819992e-01,2.972087216391156028e-02,-7.770776502580342138e-01,0.000000000000000000e+00,-1.435241035704419188e+00,4.703160500748712614e-02,0.000000000000000000e+00,-1.261138767004013062e-01,-1.317270994186401367e-01,-1.427759379148483276e-01,-1.070110648870468140e-01,-7.417251169681549072e-02,-3.442671149969100952e-02
5.800000000000004041e-01,5.762687000981199237e-01,2.702006025498315811e-02,-8.397023803565306643e-01,0.000000000000000000e+00,-1.486579430818538494e+00,4.170868677934103791e-02,0.000000000000000000e+00,-1.364587247371673584e-01,-1.289417594671249390e-01,-1.463844776153564453e-01,-1.098176911473274231e-01,-7.127050310373306274e-02,-3.346630930900573730e-02
