time,x,y,yaw,reward,yaw_rate,turn_radius,steady_state,action_0,action_1,action_2,action_3,action_4,action_5
2.000000000000001082e-02,5.998158888597362459e-01,2.405484025540804982e-03,-4.388864198173828002e-02,0.000000000000000000e+00,-4.152533942322213178e+00,inf,0.000000000000000000e+00,-3.499999940395355225e-01,-3.499999940395355225e-01,-3.083728849887847900e-01,-3.499999940395355225e-01,-3.499999940395355225e-01,1.542934477329254150e-01
4.000000000000002859e-02,5.993603671766010166e-01,3.032101791284269598e-03,-6.955917312288067977e-02,0.000000000000000000e+00,-1.465244055112771449e+00,inf,0.000000000000000000e+00,2.822998166084289551e-01,2.220015823841094971e-01,3.499999940395355225e-01,2.376936078071594238e-01,2.478004246950149536e-01,-4.079136624932289124e-02
6.000000000000004635e-02,5.988345373307184527e-01,3.575772901491303113e-03,-9.393942135103698632e-02,0.000000000000000000e+00,-2.091342332456756825e+00,inf,0.000000000000000000e+00,-3.499999940395355225e-01,-3.499999940395355225e-01,-3.499999940395355225e-01,-3.499999940395355225e-01,-3.499999940395355225e-01,2.177611738443374634e-01
8.000000000000005718e-02,5.983190519210989100e-01,3.200004527912192476e-03,-1.063186673459367293e-01,0.000000000000000000e+00,-1.128533650499583985e+00,inf,0.000000000000000000e+00,1.531725674867630005e-01,1.173485666513442993e-01,3.303492367267608643e-01,1.528794020414352417e-01,1.773499101400375366e-01,-2.444334700703620911e-02
1.000000000000000749e-01,5.976994742627064205e-01,3.143869409792554581e-03,-1.217332736915906211e-01,0.000000000000000000e+00,-1.497517576976436615e+00,inf,0.000000000000000000e+00,-3.499999940395355225e-01,-3.499999940395355225e-01,-3.499999940395355225e-01,-3.499999940395355225e-01,-3.499999940395355225e-01,2.224751412868499756e-01
1.200000000000000927e-01,5.971029549956531346e-01,2.432456161098550673e-03,-1.279263782402935146e-01,0.000000000000000000e+00,-9.114518413998995428e-01,inf,0.000000000000000000e+00,6.386872380971908569e-02,4.532301798462867737e-02,2.661466002464294434e-01,9.450063854455947876e-02,1.291480511426925659e-01,-1.364243775606155396e-02
1.400000000000000966e-01,5.963794928319242628e-01,2.192046245730161491e-03,-1.388775814287997734e-01,0.000000000000000000e+00,-1.178763068238997125e+00,inf,0.000000000000000000e+00,-3.499999940395355225e-01,-3.499999940395355225e-01,-3.499999940395355225e-01,-3.499999940395355225e-01,-3.499999940395355225e-01,2.258670628070831299e-01
1.600000000000001144e-01,5.956697817534275519e-01,1.388382798937604079e-03,-1.417712083643981047e-01,0.000000000000000000e+00,-7.612879154368160650e-01,inf,0.000000000000000000e+00,-3.873505862429738045e-03,-9.707402437925338745e-03,2.155847698450088501e-01,5.053004994988441467e-02,9.358305484056472778e-02,-5.221653264015913010e-03
1.800000000000001321e-01,5.948286237850832769e-01,1.114317612315340877e-03,-1.502075947055928062e-01,0.000000000000000000e+00,-9.735622402854764434e-01,inf,0.000000000000000000e+00,-3.499999940395355225e-01,-3.499999940395355225e-01,-3.499999940395355225e-01,-3.499999940395355225e-01,-3.499999940395355225e-01,2.287671416997909546e-01
2.000000000000001499e-01,5.939930726240316705e-01,3.813026132701291537e-04,-1.517925694971295481e-01,0.000000000000000000e+00,-6.637017777468299240e-01,inf,0.000000000000000000e+00,-6.017377227544784546e-02,-5.558842048048973083e-02,1.747943758964538574e-01,1.380565948784351349e-02,6.459377706050872803e-02,2.707305829972028732e-03
