name,mode,direction,target,model_zip,trajectory_csv,summary_json,steady_action_count,steady_reward_mean,steady_reward_min,steady_reward_max,mean_bias_0,mean_bias_1,mean_bias_2,mean_bias_3,mean_bias_4,mean_bias_5,filtered25_bias_0,filtered25_bias_1,filtered25_bias_2,filtered25_bias_3,filtered25_bias_4,filtered25_bias_5,top20_bias_0,top20_bias_1,top20_bias_2,top20_bias_3,top20_bias_4,top20_bias_5,median_bias_0,median_bias_1,median_bias_2,median_bias_3,median_bias_4,median_bias_5,trimmed20_bias_0,trimmed20_bias_1,trimmed20_bias_2,trimmed20_bias_3,trimmed20_bias_4,trimmed20_bias_5
ppo_turn_right_a20_r03_run01,radius,right,0.3,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\ppo_turn_right_a20_r03_run01_eval\best_model\best_model.zip,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\policy_rerun_best_once\ppo_turn_right_a20_r03_run01_policy_rerun_trajectory.csv,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\policy_rerun_best_once\ppo_turn_right_a20_r03_run01_policy_rerun_summary.json,400,-0.11336736072416909,-0.26468729157846405,-9.635091396575923e-05,-0.3499999940395355,-0.3499999940395355,-0.3499999940395355,-0.14237248258898036,-0.026310409231809898,-0.3499999940395355,-0.3499999940395355,-0.3499999940395355,-0.3499999940395355,-0.25645865784026683,-0.14683983877145995,-0.3499999940395355,-0.3499999940395355,-0.3499999940395355,-0.3499999940395355,-0.34039503410458566,-0.28189656329923307,-0.3499999940395355,-0.3499999940395355,-0.3499999940395355,-0.3499999940395355,-0.3499999940395355,-0.1257101632654667,-0.3499999940395355,-0.3499999940395355,-0.3499999940395355,-0.3499999940395355,-0.1642179456190209,-0.026310409231809898,-0.3499999940395355
ppo_turn_right_a20_r03_run02,radius,right,0.3,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\ppo_turn_right_a20_r03_run02_eval\best_model\best_model.zip,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\policy_rerun_best_once\ppo_turn_right_a20_r03_run02_policy_rerun_trajectory.csv,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\policy_rerun_best_once\ppo_turn_right_a20_r03_run02_policy_rerun_summary.json,400,-0.14083975981202912,-0.3476955032557554,-7.352701270546547e-05,-0.3499999940395355,-0.34048182513564823,-0.34676852092146876,-0.20640406575024828,-0.13338368961180094,-0.3303722123242915,-0.3499999940395355,-0.34668847744663556,-0.34893205523490906,-0.26978785745915956,-0.2029449007473886,-0.34164993370572727,-0.3499999940395355,-0.349601461365819,-0.3499999940395355,-0.3438255127519369,-0.3343191710766405,-0.34875545985996725,-0.3499999940395355,-0.3499999940395355,-0.3499999940395355,-0.3499999940395355,-0.23178493976593018,-0.3499999940395355,-0.3499999940395355,-0.3499999940395355,-0.3499999940395355,-0.250190992187709,-0.17284361969272133,-0.3499999940395355
ppo_turn_right_a20_r03_run03,radius,right,0.3,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\ppo_turn_right_a20_r03_run03_eval\best_model\best_model.zip,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\policy_rerun_best_once\ppo_turn_right_a20_r03_run03_policy_rerun_trajectory.csv,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\policy_rerun_best_once\ppo_turn_right_a20_r03_run03_policy_rerun_summary.json,400,-0.12980727644620532,-0.2751909064662219,-0.0006420337343733262,-0.28303434677422046,-0.26211161732673643,-0.2372507143765688,-0.1740721655264497,-0.1662097037397325,-0.04894396149087697,-0.29492504090070726,-0.25715776801109314,-0.23735723565022152,-0.1735870504875978,-0.1714801248908043,-0.05103083931530515,-0.3138260619714856,-0.25713648907840253,-0.23765034191310405,-0.17580053536221385,-0.17428818698972465,-0.0536893576849252,-0.30246807634830475,-0.26914481818675995,-0.2394600287079811,-0.16640448570251465,-0.17183105647563934,-0.046622518450021744,-0.2888304997235535,-0.2631923514604568,-0.23813583735376617,-0.17498079162091018,-0.16772859359160058,-0.04871936558745808
ppo_turn_right_a20_r03_run04,radius,right,0.3,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\ppo_turn_right_a20_r03_run04_eval\best_model\best_model.zip,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\policy_rerun_best_once\ppo_turn_right_a20_r03_run04_policy_rerun_trajectory.csv,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\policy_rerun_best_once\ppo_turn_right_a20_r03_run04_policy_rerun_summary.json,400,-0.13407561602732404,-0.4996868806755461,-9.00651249224893e-06,-0.3499999940395355,-0.3499907135218382,-0.3498824366927147,-0.1683584854763467,-0.14035684910462806,-0.16436173353882622,-0.3499999940395355,-0.3499876200159391,-0.3499498310685158,-0.2535505813996618,-0.23861106860885534,-0.2080526664032368,-0.3499999940395355,-0.3499999940395355,-0.3499999940395355,-0.34334970293566586,-0.3435102380346507,-0.2779700200771913,-0.3499999940395355,-0.3499999940395355,-0.3499999940395355,-0.3499999940395355,-0.3499999940395355,-0.1663932204246521,-0.3499999940395355,-0.3499999940395355,-0.3499999940395355,-0.21085879829828597,-0.17904349584923687,-0.17624388142256073
ppo_turn_right_a20_r03_run05,radius,right,0.3,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\ppo_turn_right_a20_r03_run05_eval\best_model\best_model.zip,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\policy_rerun_best_once\ppo_turn_right_a20_r03_run05_policy_rerun_trajectory.csv,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\policy_rerun_best_once\ppo_turn_right_a20_r03_run05_policy_rerun_summary.json,400,-0.11490497529695119,-0.25601450770749123,-0.002182345338183511,-0.3499999940395355,-0.3499999940395355,-0.3499999940395355,-0.06453978584846481,-0.1714367671385844,-0.3499999940395355,-0.3499999940395355,-0.3499999940395355,-0.3499999940395355,-0.1878443452126036,-0.25604076353619654,-0.3499999940395355,-0.3499999940395355,-0.3499999940395355,-0.3499999940395355,-0.31774265989661216,-0.3402997413650155,-0.3499999940395355,-0.3499999940395355,-0.3499999940395355,-0.3499999940395355,-0.3038730174303055,-0.3499999940395355,-0.3499999940395355,-0.3499999940395355,-0.3499999940395355,-0.3499999940395355,-0.06453978584846481,-0.18315395909179644,-0.3499999940395355
ppo_turn_right_a20_r05_run01,radius,right,0.5,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\ppo_turn_right_a20_r05_run01_eval\best_model\best_model.zip,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\policy_rerun_best_once\ppo_turn_right_a20_r05_run01_policy_rerun_trajectory.csv,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\policy_rerun_best_once\ppo_turn_right_a20_r05_run01_policy_rerun_summary.json,400,-0.09865021543966847,-0.24752986265786311,-0.00034546923877889487,-0.17866022199392317,-0.20988963454961776,-0.19503100780770183,-0.08719910105224699,-0.0711924504954368,-0.0398588207969442,-0.17923918570081393,-0.20487172722816469,-0.19037069243689378,-0.07720275487129886,-0.07280480659256379,-0.04158592745040854,-0.18173192217946052,-0.197938503138721,-0.19031556006520986,-0.06116036726161837,-0.07606135769747198,-0.0428074809955433,-0.17853371053934097,-0.21246042102575302,-0.19798585027456284,-0.09265070036053658,-0.06935980916023254,-0.04164043627679348,-0.17886160328984255,-0.21105223856866345,-0.1960044352337715,-0.08712816436775016,-0.07161866759881393,-0.04002023055218155
ppo_turn_right_a20_r05_run02,radius,right,0.5,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\ppo_turn_right_a20_r05_run02_eval\best_model\best_model.zip,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\policy_rerun_best_once\ppo_turn_right_a20_r05_run02_policy_rerun_trajectory.csv,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\policy_rerun_best_once\ppo_turn_right_a20_r05_run02_policy_rerun_summary.json,400,-0.09739924011533464,-0.32059837662844215,-0.00020701927305131207,-0.20843364894390107,-0.19313056552782654,-0.17563928505405785,-0.1387527268193662,-0.05949583767913282,-0.05441394843823218,-0.20559632867574693,-0.19678589465717475,-0.182372020855546,-0.14112060882151126,-0.06130140616248051,-0.06037006540699319,-0.20256193224340677,-0.19957574345171453,-0.18740552878007294,-0.14298571133986115,-0.06350676566362382,-0.06857285478763515,-0.2029624581336975,-0.18923798203468323,-0.1830073669552803,-0.14045798033475876,-0.06025845557451248,-0.05131440982222557,-0.2080229945480817,-0.19285608123987935,-0.17617030983790768,-0.13890730986371672,-0.059220558507367856,-0.053420494385645806
ppo_turn_right_a20_r05_run03,radius,right,0.5,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\ppo_turn_right_a20_r05_run03_eval\best_model\best_model.zip,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\policy_rerun_best_once\ppo_turn_right_a20_r05_run03_policy_rerun_trajectory.csv,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\policy_rerun_best_once\ppo_turn_right_a20_r05_run03_policy_rerun_summary.json,400,-0.2913260127517247,-1.659684121550505,-0.0014975676493711898,-0.253133537909016,-0.1907551195472479,-0.20393962521804496,-0.11528056399896741,-0.1020676132105291,-0.08426814591599395,-0.2503143654266993,-0.19673959928254287,-0.2003539373166859,-0.1207316768169403,-0.09816469176361958,-0.0814810269139707,-0.2279421809129417,-0.19720565294846892,-0.16808607743587345,-0.1314717996865511,-0.08309752335771918,-0.060807138953532555,-0.27016571164131165,-0.19508888572454453,-0.21563805639743805,-0.11224225535988808,-0.10827276483178139,-0.09200657531619072,-0.26003067523240975,-0.193785089924931,-0.21258715867996167,-0.11462156843394018,-0.10454918542876847,-0.08886531704105448
ppo_turn_right_a20_r05_run04,radius,right,0.5,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\ppo_turn_right_a20_r05_run04_eval\best_model\best_model.zip,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\policy_rerun_best_once\ppo_turn_right_a20_r05_run04_policy_rerun_trajectory.csv,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\policy_rerun_best_once\ppo_turn_right_a20_r05_run04_policy_rerun_summary.json,400,-0.18346352861048754,-1.3039678760408504,-0.00012101382849487584,-0.20566837668418883,-0.1594479748979211,-0.13529621765948832,-0.08388705817051231,-0.06515740281669423,-0.05664724845439196,-0.21552310893932977,-0.16035915213326613,-0.132757192303737,-0.08823984003315369,-0.07299534044228494,-0.05277403457090259,-0.23791160024702548,-0.14876288333907722,-0.10946029359474778,-0.09127040258608758,-0.09687766572460532,-0.0358405813574791,-0.2116190791130066,-0.16041536629199982,-0.14089570194482803,-0.08077827095985413,-0.067814901471138,-0.05974188446998596,-0.20405966050922897,-0.1606563931517303,-0.13690192077308855,-0.08423810999840498,-0.06473637954331923,-0.0572357654757797
ppo_turn_right_a20_r05_run05,radius,right,0.5,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\ppo_turn_right_a20_r05_run05_eval\best_model\best_model.zip,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\policy_rerun_best_once\ppo_turn_right_a20_r05_run05_policy_rerun_trajectory.csv,C:\Users\ytyla\Documents\GitHub\robot_eel\mujoco_simulation\outputs\csv_png\policy_rerun_best_once\ppo_turn_right_a20_r05_run05_policy_rerun_summary.json,400,-0.10955703775741736,-0.35534250967121034,-7.7407498181703e-05,-0.22892820293083788,-0.19064182497095317,-0.19545459382236005,-0.1781203893199563,-0.06350542079309549,-0.028001893680775537,-0.2228757395843665,-0.21784793216735124,-0.21319428487370412,-0.18019247829914092,-0.07375640020193562,-0.00823298104883482,-0.2278828864917159,-0.251697448361665,-0.2452185579575598,-0.20094196777790785,-0.09427499138982967,0.012674060621066019,-0.22203492373228073,-0.2236449345946312,-0.20262061059474945,-0.17655569314956665,-0.07058415561914444,-0.019855606369674206,-0.23296087596565487,-0.19695152107626218,-0.2003696044161919,-0.1813143918849526,-0.06452844074461597,-0.02802927465760146
