time,x,y,yaw,reward,yaw_rate,turn_radius,steady_state,action_0,action_1,action_2,action_3,action_4,action_5
2.000000000000001082e-02,5.997693036090079310e-01,-2.281146516269316749e-03,4.466904537281556065e-02,0.000000000000000000e+00,4.244577899262739429e+00,2.700836528925714200e-02,0.000000000000000000e+00,3.499999940395355225e-01,3.499999940395355225e-01,3.499999940395355225e-01,3.499999940395355225e-01,3.499999940395355225e-01,3.499999940395355225e-01
4.000000000000002859e-02,5.977356410631654571e-01,-6.328955810143810368e-03,1.561735810213610853e-01,0.000000000000000000e+00,5.416128920704102789e+00,3.102691254490847622e-02,0.000000000000000000e+00,1.982321776449680328e-02,2.600045800209045410e-01,2.600401937961578369e-01,3.499999940395355225e-01,1.371207386255264282e-01,1.640130430459976196e-01
6.000000000000004635e-02,5.925823355395816172e-01,-9.979874211677730589e-03,3.123263002619872108e-01,0.000000000000000000e+00,6.571336716566849923e+00,3.153750634104948020e-02,0.000000000000000000e+00,1.749484837055206299e-01,3.313937485218048096e-01,3.499999940395355225e-01,3.499999940395355225e-01,2.919376492500305176e-01,3.096093833446502686e-01
8.000000000000005718e-02,5.844341291489087986e-01,-1.055975532979780418e-02,4.741267120311087879e-01,0.000000000000000000e+00,6.713658387132380057e+00,3.502132833102932635e-02,0.000000000000000000e+00,-1.160184852778911591e-02,2.239967882633209229e-01,2.195220738649368286e-01,3.499999940395355225e-01,1.627022027969360352e-01,2.143924236297607422e-01
1.000000000000000749e-01,5.744712283474071590e-01,-1.048804900153493813e-02,6.356571182874303227e-01,0.000000000000000000e+00,7.135315542103404240e+00,3.867975740237557247e-02,0.000000000000000000e+00,3.414379358291625977e-01,3.499999940395355225e-01,3.499999940395355225e-01,3.499999940395355225e-01,3.499999940395355225e-01,3.499999940395355225e-01
1.200000000000000927e-01,5.633603615886846327e-01,-1.173439441328882893e-02,8.156659533032174503e-01,0.000000000000000000e+00,7.417602106119209004e+00,4.322245419089566776e-02,0.000000000000000000e+00,2.500573396682739258e-01,3.499999940395355225e-01,3.499999940395355225e-01,3.499999940395355225e-01,3.279259502887725830e-01,3.420357406139373779e-01
1.400000000000000966e-01,5.546126909806161631e-01,-1.273426749167716476e-02,9.789596011102824624e-01,0.000000000000000000e+00,7.390973613127146180e+00,4.555739604797619247e-02,0.000000000000000000e+00,2.879562675952911377e-01,3.499999940395355225e-01,3.375786244869232178e-01,3.499999940395355225e-01,3.499999940395355225e-01,3.477193713188171387e-01
1.600000000000001144e-01,5.501562481249074876e-01,-1.044134958504783217e-02,1.086165889275378715e+00,0.000000000000000000e+00,6.911468559796748679e+00,4.605175910032023590e-02,0.000000000000000000e+00,2.256932556629180908e-01,3.499999940395355225e-01,2.937762439250946045e-01,3.499999940395355225e-01,3.201439976692199707e-01,3.217063844203948975e-01
1.800000000000001321e-01,5.489338742736886712e-01,-5.486860256157410909e-03,1.147710162866163897e+00,0.000000000000000000e+00,6.433977902085658229e+00,4.434793228300702717e-02,0.000000000000000000e+00,3.499999940395355225e-01,3.499999940395355225e-01,3.499999940395355225e-01,3.499999940395355225e-01,2.468284517526626587e-01,3.499999940395355225e-01
2.000000000000001499e-01,5.487065944306623866e-01,3.137487197713006992e-06,1.191809328741149754e+00,0.000000000000000000e+00,5.974851223105274833e+00,4.292442083489669824e-02,0.000000000000000000e+00,3.499999940395355225e-01,3.499999940395355225e-01,3.499999940395355225e-01,3.499999940395355225e-01,2.309542149305343628e-01,3.455993235111236572e-01
