time,x,y,yaw,reward,yaw_rate,turn_radius,steady_state,action_0,action_1,action_2,action_3,action_4,action_5
2.000000000000001082e-02,5.997693036090079310e-01,-2.281146516269316749e-03,4.466904537281556065e-02,0.000000000000000000e+00,4.244577899262739429e+00,inf,0.000000000000000000e+00,1.698925942182540894e-01,3.499999940395355225e-01,2.056967318058013916e-01,3.499999940395355225e-01,3.123980164527893066e-01,3.331234157085418701e-01
4.000000000000002859e-02,5.991222552879261753e-01,-2.473564568487462978e-03,7.172427577311715763e-02,0.000000000000000000e+00,1.527662107961391014e+00,inf,0.000000000000000000e+00,-3.499999940395355225e-01,-3.499999940395355225e-01,-3.499999940395355225e-01,-2.067032605409622192e-01,-3.348010182380676270e-01,-2.821938991546630859e-01
6.000000000000004635e-02,5.983498716523832917e-01,-2.647769518061393601e-03,9.743424163585523434e-02,0.000000000000000000e+00,2.169492997707486381e+00,inf,0.000000000000000000e+00,3.499999940395355225e-01,3.499999940395355225e-01,3.499999940395355225e-01,3.499999940395355225e-01,3.499999940395355225e-01,3.499999940395355225e-01
8.000000000000005718e-02,5.975211153740082048e-01,-1.797158142308963313e-03,1.113805498649644288e-01,0.000000000000000000e+00,1.194990366203158239e+00,inf,0.000000000000000000e+00,-3.499999940395355225e-01,-3.047173917293548584e-01,-3.499999940395355225e-01,-1.501608788967132568e-01,-2.779249250888824463e-01,-2.221189290285110474e-01
1.000000000000000749e-01,5.965211032212025533e-01,-1.393876680199412910e-03,1.279561518340064097e-01,0.000000000000000000e+00,1.569995556752074917e+00,inf,0.000000000000000000e+00,3.499999940395355225e-01,3.499999940395355225e-01,3.499999940395355225e-01,3.499999940395355225e-01,3.499999940395355225e-01,3.499999940395355225e-01
1.200000000000000927e-01,5.954813589955476605e-01,-2.551325239629753661e-04,1.353941947211123042e-01,0.000000000000000000e+00,9.740312282799533650e-01,inf,0.000000000000000000e+00,-3.499999940395355225e-01,-2.390130162239074707e-01,-3.288827836513519287e-01,-9.594436734914779663e-02,-2.160079926252365112e-01,-1.747932732105255127e-01
1.400000000000000966e-01,5.942530810190987944e-01,2.720428421910670025e-04,1.471162661134866323e-01,0.000000000000000000e+00,1.243292936209106525e+00,inf,0.000000000000000000e+00,3.499999940395355225e-01,3.499999940395355225e-01,3.499999940395355225e-01,3.499999940395355225e-01,3.499999940395355225e-01,3.499999940395355225e-01
1.600000000000001144e-01,5.929034886615299760e-01,1.411080688069277222e-03,1.543646799457306096e-01,0.000000000000000000e+00,8.630103037865242133e-01,inf,0.000000000000000000e+00,-3.499999940395355225e-01,-1.855350434780120850e-01,-2.888662517070770264e-01,-5.030554160475730896e-02,-1.643726229667663574e-01,-1.385459005832672119e-01
1.800000000000001321e-01,5.913440592642534854e-01,1.924661229277035979e-03,1.696461574951255435e-01,0.000000000000000000e+00,1.101255998723424723e+00,inf,0.000000000000000000e+00,3.499999940395355225e-01,3.499999940395355225e-01,3.499999940395355225e-01,3.499999940395355225e-01,3.499999940395355225e-01,3.499999940395355225e-01
2.000000000000001499e-01,5.896561369140844722e-01,3.147213457033781747e-03,1.788422521209756255e-01,0.000000000000000000e+00,8.139525437254618856e-01,inf,0.000000000000000000e+00,-3.499999940395355225e-01,-2.057137191295623779e-01,-2.918750345706939697e-01,-4.849161952733993530e-02,-1.553079038858413696e-01,-1.678748726844787598e-01
2.200000000000001676e-01,5.877805266395667028e-01,3.782220924311463506e-03,1.945567485414350373e-01,0.000000000000000000e+00,1.014633567302791750e+00,inf,0.000000000000000000e+00,3.499999940395355225e-01,3.499999940395355225e-01,3.499999940395355225e-01,3.499999940395355225e-01,3.499999940395355225e-01,3.499999940395355225e-01
