time,x,y,yaw,reward,yaw_rate,turn_radius,steady_state,action_0,action_1,action_2,action_3,action_4,action_5
2.000000000000001082e-02,5.997693008145805749e-01,2.281146515910770223e-03,-4.466904478266176676e-02,0.000000000000000000e+00,-4.244577797592971713e+00,2.700836924412440207e-02,0.000000000000000000e+00,-3.499999940395355225e-01,-3.499999940395355225e-01,-3.499999940395355225e-01,-3.140161931514739990e-01,-8.053237199783325195e-02,-3.499999940395355225e-01
4.000000000000002859e-02,5.975407401396004570e-01,6.361418420331055312e-03,-1.626971569529880868e-01,0.000000000000000000e+00,-5.814302022873038212e+00,2.932525185738394172e-02,0.000000000000000000e+00,-3.499999940395355225e-01,-3.499999940395355225e-01,-3.499999940395355225e-01,-3.499999940395355225e-01,-3.499999940395355225e-01,-2.802957892417907715e-01
6.000000000000004635e-02,5.916961931719607604e-01,9.281073650039994849e-03,-3.328368803387291019e-01,0.000000000000000000e+00,-6.997082384639479180e+00,2.966373349733938958e-02,0.000000000000000000e+00,-3.499999940395355225e-01,-3.499999940395355225e-01,-3.499999940395355225e-01,-3.499999940395355225e-01,-3.499999940395355225e-01,-1.696908324956893921e-01
8.000000000000005718e-02,5.829149720826257708e-01,8.940434414806908148e-03,-5.140004851689088383e-01,0.000000000000000000e+00,-7.308585980095152479e+00,3.297984429905421316e-02,0.000000000000000000e+00,-3.499999940395355225e-01,-3.303270637989044189e-01,-3.499999940395355225e-01,-3.499999940395355225e-01,-3.499999940395355225e-01,-1.459482759237289429e-01
1.000000000000000749e-01,5.747581416428617640e-01,3.798726623779724587e-03,-6.433217998916725966e-01,0.000000000000000000e+00,-6.768604845876690312e+00,3.771249721445526365e-02,0.000000000000000000e+00,-3.141497671604156494e-01,-3.269370198249816895e-01,-3.499999940395355225e-01,-3.499999940395355225e-01,-3.499999940395355225e-01,-1.384722590446472168e-01
1.200000000000000927e-01,5.706661414355633788e-01,-4.141917998872146622e-03,-7.053705271137835631e-01,0.000000000000000000e+00,-5.926426007308105426e+00,4.165640637654423328e-02,0.000000000000000000e+00,-3.499999940395355225e-01,-3.499999940395355225e-01,-3.499999940395355225e-01,-6.688217073678970337e-02,8.404053002595901489e-02,-2.134456187486648560e-01
1.400000000000000966e-01,5.715339273662447539e-01,-1.273961246652166590e-02,-7.171584072925483166e-01,0.000000000000000000e+00,-5.024619803834828424e+00,4.433423754803826611e-02,0.000000000000000000e+00,-3.499999940395355225e-01,-3.499999940395355225e-01,-3.499999940395355225e-01,-1.898640692234039307e-01,1.106745228171348572e-01,-3.499999940395355225e-01
1.600000000000001144e-01,5.758599511060161769e-01,-2.048440309295007644e-02,-6.966334860674524565e-01,0.000000000000000000e+00,-4.208888176523012170e+00,4.701353623200806714e-02,0.000000000000000000e+00,-3.499999940395355225e-01,-3.499999940395355225e-01,-3.499999940395355225e-01,-5.505856126546859741e-02,2.094099819660186768e-01,-3.499999940395355225e-01
1.800000000000001321e-01,5.817211577394583166e-01,-2.626003109834806892e-02,-6.626387764461452168e-01,0.000000000000000000e+00,-3.542540708090300416e+00,5.017647210090273036e-02,0.000000000000000000e+00,-3.499999940395355225e-01,-3.499999940395355225e-01,-3.499999940395355225e-01,-1.921714991331100464e-01,3.345242142677307129e-02,-3.499999940395355225e-01
2.000000000000001499e-01,5.867726613942139124e-01,-2.968101675607409673e-02,-6.414576861761547288e-01,0.000000000000000000e+00,-3.159280557195429218e+00,5.142785320073283567e-02,0.000000000000000000e+00,-3.499999940395355225e-01,-3.499999940395355225e-01,-3.499999940395355225e-01,-3.499999940395355225e-01,-3.234984576702117920e-01,-3.499999940395355225e-01
