time,x,y,yaw,reward,yaw_rate,turn_radius,steady_state,action_0,action_1,action_2,action_3,action_4,action_5
2.000000000000001082e-02,5.998770563409528966e-01,1.859530107694573609e-03,-3.287880044467787061e-02,0.000000000000000000e+00,-2.877581785227809608e+00,inf,0.000000000000000000e+00,-1.880049258470535278e-01,-1.435721516609191895e-01,-7.301405072212219238e-02,-3.743321821093559265e-02,-6.846307218074798584e-02,-7.920349016785621643e-03
4.000000000000002859e-02,5.991487900149224943e-01,4.166172816604529761e-03,-8.807436112654382088e-02,0.000000000000000000e+00,-2.613758084983978325e+00,inf,0.000000000000000000e+00,-2.042601257562637329e-01,-7.554524391889572144e-02,-1.161794643849134445e-02,-4.074267670512199402e-02,-6.267638504505157471e-02,-2.793629653751850128e-02
6.000000000000004635e-02,5.983178931589394622e-01,4.206622633894208096e-03,-1.189665890782403007e-01,0.000000000000000000e+00,-1.968030574498453644e+00,inf,0.000000000000000000e+00,-1.821075379848480225e-01,-1.061085313558578491e-01,-9.641797281801700592e-03,-3.633477166295051575e-02,-4.580455645918846130e-02,-2.789743617177009583e-02
8.000000000000005718e-02,5.977319770494090578e-01,2.593509469295041114e-03,-1.269842441031074909e-01,0.000000000000000000e+00,-1.499410585223032610e+00,inf,0.000000000000000000e+00,-1.959558427333831787e-01,-1.644174009561538696e-01,-3.414361178874969482e-02,-3.551743552088737488e-02,-4.823417589068412781e-02,-1.391084492206573486e-02
1.000000000000000749e-01,5.972562058362180792e-01,1.821809116285821872e-04,-1.208140322275014639e-01,0.000000000000000000e+00,-1.065590160386139074e+00,inf,0.000000000000000000e+00,-1.904156208038330078e-01,-1.516061425209045410e-01,-4.460095614194869995e-02,-2.806616015732288361e-02,-5.860556289553642273e-02,2.449883846566081047e-03
1.200000000000000927e-01,5.966596588712226312e-01,-3.693768628785676356e-03,-8.868401574982906488e-02,0.000000000000000000e+00,-5.026168907789264617e-01,inf,0.000000000000000000e+00,-1.176921203732490540e-01,-1.135270670056343079e-01,-7.318696379661560059e-02,-2.399899810552597046e-02,-5.395089089870452881e-02,1.318530272692441940e-02
1.400000000000000966e-01,5.956737639824601915e-01,-8.909662844758692302e-03,-2.928872780980761037e-02,0.000000000000000000e+00,5.895094509460419019e-02,inf,0.000000000000000000e+00,-3.392539545893669128e-02,-1.205185055732727051e-01,-9.778216481208801270e-02,-6.588512565940618515e-03,-4.682325571775436401e-02,2.332229167222976685e-02
1.600000000000001144e-01,5.942304974259046135e-01,-1.400748410941021760e-02,4.230603213777903160e-02,0.000000000000000000e+00,4.806867138708851850e-01,inf,0.000000000000000000e+00,-6.184452213346958160e-03,-1.263559013605117798e-01,-8.901562541723251343e-02,9.071261622011661530e-03,-4.170036688446998596e-02,2.613895200192928314e-02
1.800000000000001321e-01,5.927423652491941031e-01,-1.623470547093969207e-02,9.240651567374014164e-02,0.000000000000000000e+00,5.978165662759655774e-01,inf,0.000000000000000000e+00,-3.603655099868774414e-02,-1.518324762582778931e-01,-7.925879210233688354e-02,6.726974155753850937e-03,-4.034064710140228271e-02,2.616887353360652924e-02
2.000000000000001499e-01,5.916263644220985940e-01,-1.458735658730242468e-02,1.001907838855814192e-01,0.000000000000000000e+00,4.782045849151005390e-01,inf,0.000000000000000000e+00,-1.570169329643249512e-01,-1.715896427631378174e-01,-6.435704976320266724e-02,-2.300594560801982880e-02,-5.110336467623710632e-02,1.214438397437334061e-02
2.200000000000001676e-01,5.906525099510299137e-01,-1.069804273528601746e-02,8.006811985143809374e-02,0.000000000000000000e+00,3.096567926574529950e-01,inf,0.000000000000000000e+00,-2.350575476884841919e-01,-1.194828748703002930e-01,-4.411855712532997131e-02,-5.107994750142097473e-02,-5.693838745355606079e-02,-7.244376000016927719e-03
2.400000000000001854e-01,5.896049349802779949e-01,-5.812332923455176825e-03,4.428529626399003993e-02,0.000000000000000000e+00,1.012760996013619685e-01,inf,0.000000000000000000e+00,-2.474907934665679932e-01,-1.080594733357429504e-01,-6.580646336078643799e-02,-7.109291106462478638e-02,-6.192664057016372681e-02,-1.015658024698495865e-02
2.600000000000001754e-01,5.884715093144271547e-01,-1.380028039510428073e-04,-7.768402225956224857e-03,0.000000000000000000e+00,-1.369678893943382658e-01,inf,0.000000000000000000e+00,-2.471783310174942017e-01,-9.203071892261505127e-02,-8.747184276580810547e-02,-8.281808346509933472e-02,-7.617258280515670776e-02,-8.755333721637725830e-03
2.800000000000001932e-01,5.872018003308764333e-01,5.480232450617517070e-03,-6.590572061333166420e-02,0.000000000000000000e+00,-3.173058731593903503e-01,inf,0.000000000000000000e+00,-2.261376678943634033e-01,-6.849885731935501099e-02,-9.821178764104843140e-02,-8.489593863487243652e-02,-8.532796800136566162e-02,-4.429502878338098526e-03
3.000000000000002109e-01,5.859751703168729620e-01,9.258453616569461975e-03,-1.065583804288368214e-01,0.000000000000000000e+00,-3.925541500309666643e-01,inf,0.000000000000000000e+00,-2.067947685718536377e-01,-5.188634246587753296e-02,-1.051131263375282288e-01,-8.132445067167282104e-02,-9.181167185306549072e-02,-2.957444812636822462e-04
3.200000000000002287e-01,5.848903976120286563e-01,1.109605424948356678e-02,-1.244261207124344876e-01,0.000000000000000000e+00,-3.999576326903615531e-01,inf,0.000000000000000000e+00,-1.866938620805740356e-01,-5.276653170585632324e-02,-1.079619154334068298e-01,-6.865504384040832520e-02,-9.535305947065353394e-02,8.157948614098131657e-04
3.400000000000002465e-01,5.837664444124326391e-01,1.219044731999219255e-02,-1.303287454552047309e-01,0.000000000000000000e+00,-3.924353804842282134e-01,inf,0.000000000000000000e+00,-1.690143197774887085e-01,-6.274876743555068970e-02,-9.478060156106948853e-02,-5.125338584184646606e-02,-8.603956550359725952e-02,9.832726791501045227e-04
3.600000000000002642e-01,5.823869732144292266e-01,1.408788131716720571e-02,-1.418181990626992961e-01,0.000000000000000000e+00,-4.248275062898901333e-01,inf,0.000000000000000000e+00,-1.735148131847381592e-01,-7.466059923171997070e-02,-7.857827842235565186e-02,-4.398020729422569275e-02,-7.691346108913421631e-02,4.975236370228230953e-04
3.800000000000002820e-01,5.807465825322302155e-01,1.784635698907027779e-02,-1.752009583523284064e-01,0.000000000000000000e+00,-5.243238222055617292e-01,inf,0.000000000000000000e+00,-2.034516334533691406e-01,-7.280632108449935913e-02,-6.873697787523269653e-02,-5.096655339002609253e-02,-7.817424088716506958e-02,-4.483964759856462479e-03
4.000000000000002998e-01,5.791052644639232971e-01,2.322903502174389345e-02,-2.344226912989704759e-01,0.000000000000000000e+00,-6.747451431727007343e-01,inf,0.000000000000000000e+00,-2.384085208177566528e-01,-5.866222456097602844e-02,-6.794367730617523193e-02,-6.604292988777160645e-02,-8.796938508749008179e-02,-1.637548394501209259e-02
4.200000000000003175e-01,5.777374038443952031e-01,2.918417001045964243e-02,-3.127451632122076330e-01,0.000000000000000000e+00,-8.395963352976048011e-01,inf,0.000000000000000000e+00,-2.534590959548950195e-01,-4.664150625467300415e-02,-7.049768418073654175e-02,-7.768695056438446045e-02,-9.244844317436218262e-02,-2.419125102460384369e-02
4.400000000000003353e-01,5.769167614047200354e-01,3.396626194124924281e-02,-3.917481930332166740e-01,0.000000000000000000e+00,-9.691224283479534796e-01,inf,0.000000000000000000e+00,-2.435201406478881836e-01,-3.501906245946884155e-02,-7.273443043231964111e-02,-7.837494462728500366e-02,-9.578996896743774414e-02,-2.745474129915237427e-02
4.600000000000003531e-01,5.766939933802784912e-01,3.665757681305459315e-02,-4.577027822103921784e-01,0.000000000000000000e+00,-1.054399634464807667e+00,inf,0.000000000000000000e+00,-2.317292541265487671e-01,-3.623118624091148376e-02,-7.796807587146759033e-02,-7.108677923679351807e-02,-1.049978584051132202e-01,-2.995355799794197083e-02
4.800000000000003708e-01,5.768156731685102345e-01,3.760330912965981209e-02,-5.102186117372621288e-01,0.000000000000000000e+00,-1.110162221790371273e+00,inf,0.000000000000000000e+00,-2.221028804779052734e-01,-4.661406204104423523e-02,-7.756335288286209106e-02,-5.849714949727058411e-02,-1.111454665660858154e-01,-3.420186415314674377e-02
5.000000000000003331e-01,5.769871083791713318e-01,3.764918829918523224e-02,-5.556741800175681867e-01,0.000000000000000000e+00,-1.154431596015481842e+00,inf,0.000000000000000000e+00,-2.147485464811325073e-01,-6.173584982752799988e-02,-6.973349303007125854e-02,-4.741381853818893433e-02,-1.095801666378974915e-01,-3.665608912706375122e-02
5.200000000000003508e-01,5.770253829993776673e-01,3.756449184691501575e-02,-6.019678294840434818e-01,0.000000000000000000e+00,-1.203202143481471920e+00,inf,0.000000000000000000e+00,-2.188172787427902222e-01,-7.485276460647583008e-02,-6.175335869193077087e-02,-4.320267215371131897e-02,-1.052639782428741455e-01,-3.694193437695503235e-02
5.400000000000003686e-01,5.768652946406679360e-01,3.771019209528486682e-02,-6.554124632960521835e-01,0.000000000000000000e+00,-1.264627430344056114e+00,inf,0.000000000000000000e+00,-2.339773178100585938e-01,-8.021324127912521362e-02,-6.175084412097930908e-02,-4.885931313037872314e-02,-1.047677174210548401e-01,-3.830046579241752625e-02
5.600000000000003864e-01,5.766168907342842376e-01,3.765706354167125403e-02,-7.146546723742583929e-01,0.000000000000000000e+00,-1.325946743276491313e+00,inf,0.000000000000000000e+00,-2.404224127531051636e-01,-7.437846809625625610e-02,-6.570062041282653809e-02,-5.693139135837554932e-02,-1.038252860307693481e-01,-3.947133943438529968e-02
5.800000000000004041e-01,5.764527350478730883e-01,3.644950143635999895e-02,-7.707437859696265603e-01,0.000000000000000000e+00,-1.369231001087721111e+00,inf,0.000000000000000000e+00,-2.289377599954605103e-01,-7.725915312767028809e-02,-7.129496335983276367e-02,-5.732735618948936462e-02,-1.009141728281974792e-01,-3.842325136065483093e-02
6.000000000000004219e-01,5.764483063340086755e-01,3.349883400587483351e-02,-8.152286848675053266e-01,0.000000000000000000e+00,-1.386144444163083023e+00,inf,0.000000000000000000e+00,-2.089412212371826172e-01,-9.226328134536743164e-02,-7.307981699705123901e-02,-4.917836189270019531e-02,-9.961874783039093018e-02,-3.854769468307495117e-02
6.200000000000004396e-01,5.766785286543109068e-01,2.911566676863719394e-02,-8.459088985457294818e-01,0.000000000000000000e+00,-1.381134020468812507e+00,inf,0.000000000000000000e+00,-1.971736699342727661e-01,-1.116488873958587646e-01,-6.557864695787429810e-02,-3.541715443134307861e-02,-9.791394323110580444e-02,-3.853192180395126343e-02
6.400000000000004574e-01,5.772191561692022743e-01,2.409507824046769331e-02,-8.658641730764298217e-01,0.000000000000000000e+00,-1.362959562077953768e+00,inf,0.000000000000000000e+00,-1.908095180988311768e-01,-1.341438144445419312e-01,-5.269512534141540527e-02,-2.034805715084075928e-02,-9.152629226446151733e-02,-3.782078623771667480e-02
6.600000000000004752e-01,5.780588957361955105e-01,1.907553132983835775e-02,-8.802214474817035006e-01,0.000000000000000000e+00,-1.340921757053157526e+00,inf,0.000000000000000000e+00,-1.905173957347869873e-01,-1.562625020742416382e-01,-4.416810348629951477e-02,-1.265933271497488022e-02,-8.438844233751296997e-02,-3.495980799198150635e-02
6.800000000000004929e-01,5.789896400298840673e-01,1.429306497254190234e-02,-8.938054580743961530e-01,0.000000000000000000e+00,-1.321260528543400259e+00,inf,0.000000000000000000e+00,-1.972358822822570801e-01,-1.731711924076080322e-01,-4.549328982830047607e-02,-1.471429690718650818e-02,-8.019649237394332886e-02,-3.126316517591476440e-02
7.000000000000005107e-01,5.797861742453780387e-01,9.501746320629111953e-03,-9.071267109487084479e-01,0.000000000000000000e+00,-1.300276575998912998e+00,inf,0.000000000000000000e+00,-2.004854828119277954e-01,-1.808295100927352905e-01,-5.421466752886772156e-02,-2.099858038127422333e-02,-7.875127345323562622e-02,-2.939603850245475769e-02
7.200000000000005285e-01,5.804352996868549219e-01,4.106368146955030607e-03,-9.142571498351369508e-01,0.000000000000000000e+00,-1.266430110080091875e+00,inf,0.000000000000000000e+00,-1.903606802225112915e-01,-1.840793490409851074e-01,-6.383368372917175293e-02,-2.278517931699752808e-02,-7.707681506872177124e-02,-2.777997404336929321e-02
7.400000000000005462e-01,5.811651952110381547e-01,-2.301424460181222820e-03,-9.071893891206735949e-01,0.000000000000000000e+00,-1.211294922479877245e+00,inf,0.000000000000000000e+00,-1.707877963781356812e-01,-1.906723380088806152e-01,-6.905783712863922119e-02,-1.685027964413166046e-02,-7.321470975875854492e-02,-2.462311461567878723e-02
7.600000000000005640e-01,5.823582909670750318e-01,-9.552061174672665800e-03,-8.822377673810766208e-01,0.000000000000000000e+00,-1.135823817321982343e+00,inf,0.000000000000000000e+00,-1.513867527246475220e-01,-2.011170834302902222e-01,-6.791669130325317383e-02,-7.662419695407152176e-03,-6.622170656919479370e-02,-1.928248256444931030e-02
