time,x,y,yaw,reward,velocity_x,velocity_y,steady_state,frequency,phase_lag_1,phase_lag_2,phase_lag_3,phase_lag_4,phase_lag_5
2.000000000000001082e-02,5.999769907135047431e-01,-1.962854694277538226e-03,2.302234699669403195e-02,0.000000000000000000e+00,-4.081341998062846393e-03,-1.748325476440454329e-01,0.000000000000000000e+00,1.000000000000000000e+00,7.174277305603027344e-01,6.884977817535400391e-01,6.194563508033752441e-01,7.134651541709899902e-01,6.019087433815002441e-01
4.000000000000002859e-02,5.997841719559378060e-01,-6.047689270997969047e-03,7.484109619293483062e-02,0.000000000000000000e+00,-9.554030031949631990e-03,-1.930907008050729012e-01,0.000000000000000000e+00,1.000000000000000000e+00,6.540187597274780273e-01,8.000000119209289551e-01,6.491855382919311523e-01,6.800072789192199707e-01,5.000000000000000000e-01
6.000000000000004635e-02,5.994363852433873818e-01,-9.735082553090357305e-03,1.293769335375556384e-01,0.000000000000000000e+00,-1.226148917075057555e-02,-1.776328138248075283e-01,0.000000000000000000e+00,1.004352092742919922e+00,6.379357576370239258e-01,8.000000119209289551e-01,6.693012714385986328e-01,6.740416884422302246e-01,5.000000000000000000e-01
8.000000000000005718e-02,5.991426018265338937e-01,-1.172524206112535161e-02,1.700704704533343992e-01,0.000000000000000000e+00,-1.190511452056620262e-02,-1.463481453701186707e-01,0.000000000000000000e+00,1.026952266693115234e+00,6.330567598342895508e-01,7.709385752677917480e-01,6.863320469856262207e-01,6.870428323745727539e-01,5.000000000000000000e-01
1.000000000000000749e-01,5.990053002735559184e-01,-1.198674417564682404e-02,1.937732649229962079e-01,0.000000000000000000e+00,-1.021392375144174192e-02,-1.130636292873761217e-01,0.000000000000000000e+00,1.031764388084411621e+00,6.518338322639465332e-01,6.851165294647216797e-01,7.003186345100402832e-01,7.186985015869140625e-01,5.482965707778930664e-01
1.200000000000000927e-01,5.989713910810136044e-01,-1.120522461646916712e-02,2.064784793122602657e-01,0.000000000000000000e+00,-8.652951440981810835e-03,-8.567622158233183238e-02,0.000000000000000000e+00,1.010495543479919434e+00,6.878208518028259277e-01,6.241859793663024902e-01,6.877184510231018066e-01,7.316735386848449707e-01,6.169459819793701172e-01
1.400000000000000966e-01,5.989394769370129934e-01,-1.015221747148026266e-02,2.163364659982987270e-01,0.000000000000000000e+00,-7.838808284351203234e-03,-6.621897092522001371e-02,0.000000000000000000e+00,1.000000000000000000e+00,7.049318552017211914e-01,6.103014945983886719e-01,6.734583973884582520e-01,7.334204316139221191e-01,6.398944258689880371e-01
1.600000000000001144e-01,5.988367350579092419e-01,-9.242056750057681125e-03,2.284621204029619601e-01,0.000000000000000000e+00,-7.799948094778423949e-03,-5.282474085033143224e-02,0.000000000000000000e+00,1.000000000000000000e+00,7.054536938667297363e-01,6.224047541618347168e-01,6.703782081604003906e-01,7.339923381805419922e-01,6.287563443183898926e-01
1.800000000000001321e-01,5.986369632358774506e-01,-8.441553864205975088e-03,2.432456405747091266e-01,0.000000000000000000e+00,-8.300852689932877379e-03,-4.230195446027441852e-02,0.000000000000000000e+00,1.000000000000000000e+00,6.990539431571960449e-01,6.348724961280822754e-01,6.743911504745483398e-01,7.332354187965393066e-01,6.135534644126892090e-01
2.000000000000001499e-01,5.983556062766596240e-01,-7.443894739156575735e-03,2.576526459602953012e-01,0.000000000000000000e+00,-9.012525160165863608e-03,-3.198768361054660225e-02,0.000000000000000000e+00,1.000000000000000000e+00,6.963925957679748535e-01,6.303496360778808594e-01,6.784278154373168945e-01,7.322694659233093262e-01,6.166483759880065918e-01
2.200000000000001676e-01,5.980389764881633985e-01,-5.910546119495763140e-03,2.676952288486323939e-01,0.000000000000000000e+00,-9.624837088999298185e-03,-2.051967440361208983e-02,0.000000000000000000e+00,1.000000000000000000e+00,7.023419737815856934e-01,6.103624105453491211e-01,6.766076087951660156e-01,7.314217686653137207e-01,6.399306654930114746e-01
2.400000000000001854e-01,5.977453179044017739e-01,-3.643542869116389582e-03,2.704005299086553737e-01,0.000000000000000000e+00,-9.925107076051169555e-03,-7.764724557742234967e-03,0.000000000000000000e+00,1.000000000000000000e+00,7.142587304115295410e-01,5.864329338073730469e-01,6.666034460067749023e-01,7.296130061149597168e-01,6.725986003875732422e-01
2.600000000000001754e-01,5.975224687618091446e-01,-6.337234159518034815e-04,2.645288550082789958e-01,0.000000000000000000e+00,-9.837389305923999877e-03,5.697764050919905572e-03,0.000000000000000000e+00,1.000000000000000000e+00,7.271326780319213867e-01,5.676504373550415039e-01,6.515114903450012207e-01,7.272633910179138184e-01,7.026725411415100098e-01
2.800000000000001932e-01,5.974022988820111291e-01,2.989633465342200758e-03,2.502565494240128197e-01,0.000000000000000000e+00,-9.353009361316527714e-03,1.911122295432191726e-02,0.000000000000000000e+00,1.000000000000000000e+00,7.383193373680114746e-01,5.572912693023681641e-01,6.362338066101074219e-01,7.254114151000976562e-01,7.236401438713073730e-01
