time,x,y,yaw
1.000000000000000021e-03,5.999999980429275848e-01,6.786436582140176199e-06,-1.174327718691637283e-04
2.000000000000000042e-03,5.999999714348167590e-01,2.699363683683619897e-05,-4.660230419106748886e-04
3.000000000000000062e-03,5.999998688350920428e-01,6.023025142448679148e-05,-1.040304497503155784e-03
4.000000000000000083e-03,5.999996033085112090e-01,1.061064836523351040e-04,-1.835036071094410266e-03
5.000000000000000104e-03,5.999990584782173286e-01,1.642124269558009608e-04,-2.845187492852016900e-03
6.000000000000000125e-03,5.999980916157560129e-01,2.341203973443284347e-04,-4.065923862036999875e-03
7.000000000000000146e-03,5.999965366677972867e-01,3.153872048143324669e-04,-5.492589618536962079e-03
8.000000000000000167e-03,5.999942071976210878e-01,4.075563586573016650e-04,-7.120692266820981622e-03
9.000000000000001055e-03,5.999908992294398224e-01,5.101602067995592016e-04,-8.945886163524473592e-03
1.000000000000000194e-02,5.999863939466812957e-01,6.227220179591541616e-04,-1.096395661704416616e-02
1.100000000000000283e-02,5.999804603028712213e-01,7.447579674678683759e-04,-1.317080459841564466e-02
1.200000000000000372e-02,5.999728575845685308e-01,8.757789782751768115e-04,-1.556243261690976910e-02
1.300000000000000461e-02,5.999633377919776356e-01,1.015292495848918453e-03,-1.813493130477512177e-02
1.400000000000000550e-02,5.999516477636247513e-01,1.162804230716574239e-03,-2.088446711828265828e-02
1.500000000000000638e-02,5.999375312258010684e-01,1.317819770070338681e-03,-2.380727129759688254e-02
1.600000000000000727e-02,5.999207306802667450e-01,1.479846099877279997e-03,-2.689963008510711309e-02
1.700000000000000816e-02,5.999009891372639736e-01,1.648393033858497336e-03,-3.015787622007793517e-02
1.800000000000000905e-02,5.998780528866529682e-01,1.822977021385674412e-03,-3.357829999193535919e-02
1.900000000000000994e-02,5.998516744996318373e-01,2.003123851142873946e-03,-3.715705066165602560e-02
2.000000000000001082e-02,5.998216159815420445e-01,2.188363736226051071e-03,-4.089012002328946960e-02
2.100000000000001171e-02,5.997876556979246931e-01,2.378218940053911101e-03,-4.477266277797550126e-02
2.200000000000001260e-02,5.997495904144619638e-01,2.572209169282968499e-03,-4.879940289604673548e-02
2.300000000000001349e-02,5.997072342935880762e-01,2.769869299675042917e-03,-5.296504547970602717e-02
2.400000000000001438e-02,5.996604194882453331e-01,2.970751463400145287e-03,-5.726428112791080716e-02
2.500000000000001527e-02,5.996089970885730702e-01,3.174425253451684803e-03,-6.169179142224197332e-02
2.600000000000001615e-02,5.995528377163426015e-01,3.380478545529697065e-03,-6.624225536361530442e-02
2.700000000000001704e-02,5.994918328963931842e-01,3.588477325863537182e-03,-7.091007242584095038e-02
2.800000000000001793e-02,5.994258992824578192e-01,3.797862857159772787e-03,-7.568781208991669229e-02
2.900000000000001882e-02,5.993549787855262378e-01,4.007990261329030801e-03,-8.056707237527170606e-02
3.000000000000001971e-02,5.992790370131756417e-01,4.218225920361973191e-03,-8.553947807911213563e-02
3.100000000000002059e-02,5.991980712314708413e-01,4.427969705492307284e-03,-9.059639882457592996e-02
3.200000000000002148e-02,5.991121151735703254e-01,4.636649631582279163e-03,-9.572861949054735364e-02
3.300000000000002237e-02,5.990212377386540110e-01,4.843722295108543463e-03,-1.009268709746880405e-01
3.400000000000002326e-02,5.989255347232506077e-01,5.048675227883825389e-03,-1.061819606926477505e-01
3.500000000000002415e-02,5.988251286452017652e-01,5.251026144752812819e-03,-1.114847911502225286e-01
3.600000000000002504e-02,5.987201673218177644e-01,5.450322603390123088e-03,-1.168263779565065358e-01
3.700000000000002592e-02,5.986108223031131326e-01,5.646141501682022668e-03,-1.221978671457301380e-01
3.800000000000002681e-02,5.984972871853395660e-01,5.838088432511434611e-03,-1.275905517005146428e-01
3.900000000000002770e-02,5.983797758284932211e-01,6.025796915230086093e-03,-1.329958871923458685e-01
4.000000000000002859e-02,5.982585204998634998e-01,6.208927522387441833e-03,-1.384055064760160159e-01
4.100000000000002948e-02,5.981337699640495442e-01,6.387166919423092892e-03,-1.438112333935472609e-01
4.200000000000003036e-02,5.980057875382244204e-01,6.560226834049609490e-03,-1.492050954597056167e-01
4.300000000000003125e-02,5.978748491297953827e-01,6.727842970975672632e-03,-1.545793355157095983e-01
4.400000000000003214e-02,5.977412412720110035e-01,6.889773886482153387e-03,-1.599264223502422089e-01
4.500000000000003303e-02,5.976052591715151907e-01,7.045799836181698694e-03,-1.652390602975204736e-01
4.600000000000003392e-02,5.974672047803536445e-01,7.195721608090732690e-03,-1.705101978311098221e-01
4.700000000000003481e-02,5.973273849035061200e-01,7.339359351943242071e-03,-1.757330351795449719e-01
4.800000000000003569e-02,5.971861093516570573e-01,7.476551414490550940e-03,-1.809010309957843066e-01
4.900000000000003658e-02,5.970436891476188501e-01,7.607153189379378677e-03,-1.860079081172261728e-01
5.000000000000003747e-02,5.969004347936002208e-01,7.731035989089751759e-03,-1.910476584565815872e-01
5.100000000000003836e-02,5.967566546053427734e-01,7.848085945353466819e-03,-1.960145470664279854e-01
5.200000000000003925e-02,5.966126531180240278e-01,7.958202943466441415e-03,-2.009031154218029747e-01
5.300000000000004013e-02,5.964687295677109091e-01,8.061299594940452007e-03,-2.057081839656162703e-01
5.400000000000004102e-02,5.963251764509354125e-01,8.157300251975752037e-03,-2.104248539603571222e-01
5.500000000000004191e-02,5.961822780682047851e-01,8.246140044881111741e-03,-2.150485084894474541e-01
5.600000000000004280e-02,5.960403091985012614e-01,8.327763959372014302e-03,-2.195748121789470320e-01
5.700000000000004369e-02,5.958995341986894623e-01,8.402126047487246119e-03,-2.239997124439923604e-01
5.800000000000004458e-02,5.957602061698147322e-01,8.469188678247419055e-03,-2.283194395641924002e-01
5.900000000000004546e-02,5.956225655688854870e-01,8.528921706269287917e-03,-2.325305045353335542e-01
6.000000000000004635e-02,5.954868393741378219e-01,8.581301637715643693e-03,-2.366296942308674378e-01
6.100000000000004724e-02,5.953532404693940849e-01,8.626310895605726614e-03,-2.406140686755464386e-01
6.200000000000004813e-02,5.952219679727513979e-01,8.663937315817549223e-03,-2.444809589119599225e-01
6.300000000000004208e-02,5.950932054956176165e-01,8.694173536866911522e-03,-2.482279650834846585e-01
6.400000000000004297e-02,5.949671205992435041e-01,8.717016502983399029e-03,-2.518529533240169149e-01
6.500000000000004385e-02,5.948438640672099043e-01,8.732466978220276843e-03,-2.553540523281164765e-01
6.600000000000004474e-02,5.947235698367934198e-01,8.740529156674725630e-03,-2.587296499121878868e-01
6.700000000000004563e-02,5.946063545067515888e-01,8.741210291379641895e-03,-2.619783891720745550e-01
6.800000000000004652e-02,5.944923169426088450e-01,8.734520381483423801e-03,-2.650991637393136369e-01
6.900000000000004741e-02,5.943815380786892089e-01,8.720471997424261712e-03,-2.680911095864177418e-01
7.000000000000004829e-02,5.942740832969136688e-01,8.699080719300478215e-03,-2.709535863499516473e-01
7.100000000000004918e-02,5.941700054324952074e-01,8.670365773599419956e-03,-2.736861554395464968e-01
7.200000000000005007e-02,5.940693454341573476e-01,8.634350213654107264e-03,-2.762885507230144477e-01
7.300000000000005096e-02,5.939721336865059209e-01,8.591061302103297770e-03,-2.787606562951969180e-01
7.400000000000005185e-02,5.938783891787248193e-01,8.540530307891591733e-03,-2.811024958507685745e-01
7.500000000000005274e-02,5.937881204352400966e-01,8.482793220064954731e-03,-2.833142275229471596e-01
7.600000000000005362e-02,5.937013254917138383e-01,8.417891437826896528e-03,-2.853961386486796314e-01
7.700000000000005451e-02,5.936179911085415206e-01,8.345869530731520047e-03,-2.873486447419464906e-01
7.800000000000005540e-02,5.935380948544330959e-01,8.266773651800563005e-03,-2.891722873208315558e-01
7.900000000000005629e-02,5.934616065698360421e-01,8.180654486629579392e-03,-2.908677289380238729e-01
8.000000000000005718e-02,5.933884875425241567e-01,8.087572327424463747e-03,-2.924357412565143366e-01
8.100000000000005806e-02,5.933186878067230330e-01,7.987601143487454980e-03,-2.938771895482429897e-01
8.200000000000005895e-02,5.932521468562419464e-01,7.880828357094360470e-03,-2.951930314509280118e-01
8.300000000000005984e-02,5.931887944893365905e-01,7.767352905935553942e-03,-2.963843136021683256e-01
8.400000000000006073e-02,5.931285523671556703e-01,7.647284898723405444e-03,-2.974521718708942331e-01
8.500000000000006162e-02,5.930713347968465943e-01,7.520747464536903237e-03,-2.983978338419354670e-01
8.600000000000006251e-02,5.930170492303916685e-01,7.387877431551004292e-03,-2.992226180469111374e-01
8.700000000000006339e-02,5.929655946883658491e-01,7.248824420061139584e-03,-2.999279340399865768e-01
8.800000000000006428e-02,5.929168642360593822e-01,7.103749853792029612e-03,-3.005152842422829651e-01
8.900000000000006517e-02,5.928707454589309256e-01,6.952825434169529473e-03,-3.009862646923122664e-01
9.000000000000006606e-02,5.928271202144147489e-01,6.796233415040930925e-03,-3.013425624498775046e-01
9.100000000000006695e-02,5.927858649682007375e-01,6.634165103950040443e-03,-3.015859562283000894e-01
9.200000000000006783e-02,5.927468531786276307e-01,6.466820966022635009e-03,-3.017183191151567301e-01
9.300000000000006872e-02,5.927099551303737224e-01,6.294410246989345925e-03,-3.017416192752984117e-01
9.400000000000006961e-02,5.926750372230125130e-01,6.117150725305275927e-03,-3.016579194157698041e-01
9.500000000000007050e-02,5.926419629704419156e-01,5.935266880944367607e-03,-3.014693787953112158e-01
9.600000000000007139e-02,5.926105940918063864e-01,5.748988826168921484e-03,-3.011782527028791789e-01
9.700000000000007228e-02,5.925807917200286434e-01,5.558551164215996820e-03,-3.007868909422680703e-01
9.800000000000007316e-02,5.925524163172272152e-01,5.364192787779942240e-03,-3.002977351762649016e-01
