time,x,y,yaw,reward,yaw_rate,turn_radius
2.000000000000001082e-02,5.998134387317468619e-01,2.400018201586584521e-03,-4.392749599180052755e-02,0.000000000000000000e+00,-4.156895943509759661e+00,inf
4.000000000000002859e-02,5.993471332451897338e-01,3.016570367639637151e-03,-6.966907924358135829e-02,0.000000000000000000e+00,-1.466377314266364973e+00,inf
6.000000000000004635e-02,5.987893437510339867e-01,3.508206913856615206e-03,-9.450646666262277340e-02,0.000000000000000000e+00,-2.110245599823171503e+00,inf
8.000000000000005718e-02,5.981821341809462345e-01,2.880670938880169896e-03,-1.081738076719854086e-01,0.000000000000000000e+00,-1.159905597196452254e+00,inf
1.000000000000000749e-01,5.975953291162483527e-01,2.018652798760622868e-03,-1.176676394363478928e-01,0.000000000000000000e+00,-1.403719078074534554e+00,inf
1.200000000000000927e-01,5.970395811482819282e-01,1.099814786735264782e-04,-1.147927995152876607e-01,0.000000000000000000e+00,-7.753760418678514732e-01,inf
1.400000000000000966e-01,5.965390368729306392e-01,-1.248303463243116695e-03,-1.156795807590819125e-01,0.000000000000000000e+00,-9.726094712129368380e-01,inf
1.600000000000001144e-01,5.960166937083359873e-01,-8.049358883541191112e-04,-1.381234785991782843e-01,0.000000000000000000e+00,-8.631487418556693658e-01,inf
1.800000000000001321e-01,5.952780108123745251e-01,1.329950650513667121e-03,-1.831542144954764473e-01,0.000000000000000000e+00,-1.226945965265169969e+00,inf
2.000000000000001499e-01,5.942624761235235642e-01,3.848924344594273350e-03,-2.358588800847675748e-01,0.000000000000000000e+00,-1.214530727424628642e+00,inf
2.200000000000001676e-01,5.930683142353875281e-01,7.032173429944277299e-03,-2.906117117408092421e-01,0.000000000000000000e+00,-1.484054933021909051e+00,inf
2.400000000000001854e-01,5.917217284515788878e-01,1.139658752674954645e-02,-3.563229586068333288e-01,0.000000000000000000e+00,-1.544307302794032610e+00,inf
2.600000000000001754e-01,5.904155737830451001e-01,1.533398386010426107e-02,-4.109568040503037700e-01,0.000000000000000000e+00,-1.658731456149702632e+00,inf
2.800000000000001932e-01,5.890981079976209678e-01,1.852128706647471201e-02,-4.618521117325524172e-01,0.000000000000000000e+00,-1.683176180522606424e+00,inf
3.000000000000002109e-01,5.879681443284830999e-01,2.059532657453100324e-02,-5.014096341713901728e-01,0.000000000000000000e+00,-1.699244487943427862e+00,inf
3.200000000000002287e-01,5.873681866363379411e-01,2.156516045943590587e-02,-5.218489899520444286e-01,0.000000000000000000e+00,-1.610182072729090086e+00,inf
3.400000000000002465e-01,5.871369557052870114e-01,2.192541126755964687e-02,-5.234654513227483541e-01,0.000000000000000000e+00,-1.517124200565874270e+00,inf
3.600000000000002642e-01,5.866751200437787528e-01,2.241009080593692193e-02,-5.224330875301723687e-01,0.000000000000000000e+00,-1.436502662952776621e+00,inf
3.800000000000002820e-01,5.855359810430562639e-01,2.403163324024570890e-02,-5.473719080561144645e-01,0.000000000000000000e+00,-1.481590214365904101e+00,inf
4.000000000000002998e-01,5.843059088873643336e-01,2.586034511384038836e-02,-5.833612559313657853e-01,0.000000000000000000e+00,-1.474117751643023722e+00,inf
4.200000000000003175e-01,5.836546502829971228e-01,2.681149702508478505e-02,-6.062576485726709485e-01,0.000000000000000000e+00,-1.457056926861057811e+00,inf
4.400000000000003353e-01,5.840432079353798933e-01,2.515091445293765604e-02,-5.920917718286194953e-01,0.000000000000000000e+00,-1.289914168256510285e+00,inf
4.600000000000003531e-01,5.839921324803377667e-01,2.404474064783285181e-02,-5.822654950239231075e-01,0.000000000000000000e+00,-1.285416770958895505e+00,inf
4.800000000000003708e-01,5.830026885845608353e-01,2.499968713978051316e-02,-5.995539344616710453e-01,0.000000000000000000e+00,-1.258564160743435023e+00,inf
5.000000000000003331e-01,5.808665286706510278e-01,2.803634856915820928e-02,-6.494596555773152202e-01,0.000000000000000000e+00,-1.376903359780139890e+00,inf
5.200000000000003508e-01,5.795146091904510577e-01,2.961131252977949879e-02,-6.831277517619407380e-01,0.000000000000000000e+00,-1.301744020971771665e+00,inf
5.400000000000003686e-01,5.789541918435356926e-01,2.922654674623531568e-02,-6.922487302561476374e-01,0.000000000000000000e+00,-1.308920516882853047e+00,inf
5.600000000000003864e-01,5.794608365852182974e-01,2.691865811756810611e-02,-6.772178956260898053e-01,0.000000000000000000e+00,-1.163407393487321029e+00,inf
5.800000000000004041e-01,5.806756140404202293e-01,2.236675271631144435e-02,-6.307690520874967843e-01,0.000000000000000000e+00,-1.066921946057836301e+00,inf
6.000000000000004219e-01,5.821509482741525909e-01,1.638649726798269146e-02,-5.701843380050378718e-01,0.000000000000000000e+00,-8.878259403928161486e-01,inf
6.200000000000004396e-01,5.835146974737113190e-01,9.460253259190143371e-03,-4.931127743461932722e-01,0.000000000000000000e+00,-7.597522722974250353e-01,inf
6.400000000000004574e-01,5.840723290780356347e-01,2.877333340468302136e-03,-4.231309700897953330e-01,0.000000000000000000e+00,-6.183155882656830027e-01,inf
6.600000000000004752e-01,5.835897539252142829e-01,-5.856227001943548061e-05,-3.992503518928843254e-01,0.000000000000000000e+00,-6.331202574066056021e-01,inf
6.800000000000004929e-01,5.825886997146008106e-01,-1.055199347767321605e-03,-4.015962026416588504e-01,0.000000000000000000e+00,-5.890334313643655895e-01,inf
7.000000000000005107e-01,5.810891640503690336e-01,-3.749259135399363174e-04,-4.262205623435728619e-01,0.000000000000000000e+00,-6.614529908373631972e-01,inf
7.200000000000005285e-01,5.801759986350354392e-01,-6.687002516190254653e-04,-4.378806039376675341e-01,0.000000000000000000e+00,-5.970185067065579831e-01,inf
7.400000000000005462e-01,5.793199252579891434e-01,-8.182641526596201587e-04,-4.512787545725616134e-01,0.000000000000000000e+00,-6.524484034652384690e-01,inf
7.600000000000005640e-01,5.788001134964785299e-01,-2.167488779974469093e-03,-4.560571938970944261e-01,0.000000000000000000e+00,-5.855729141910294144e-01,inf
7.800000000000005818e-01,5.788137167288197604e-01,-4.501203045661816837e-03,-4.462603153365521935e-01,0.000000000000000000e+00,-5.884009156135308061e-01,inf
8.000000000000005995e-01,5.788653010290039092e-01,-8.354902746167569560e-03,-4.243157215549784311e-01,0.000000000000000000e+00,-5.052009508928205772e-01,inf
8.200000000000006173e-01,5.790740144794201960e-01,-1.403741770565342106e-02,-3.785646545868043833e-01,0.000000000000000000e+00,-4.498665824521257961e-01,inf
8.400000000000006350e-01,5.795628634220201247e-01,-2.106949322642404088e-02,-3.125555182850372482e-01,0.000000000000000000e+00,-3.254500142735226587e-01,inf
8.600000000000006528e-01,5.807932901259383884e-01,-2.501029247195651894e-02,-2.754476174404262845e-01,0.000000000000000000e+00,-3.327739171243840888e-01,inf
8.800000000000006706e-01,5.818750264570893282e-01,-2.735247201622392765e-02,-2.606623600509417882e-01,0.000000000000000000e+00,-2.786058812876320290e-01,inf
9.000000000000006883e-01,5.828635600906286740e-01,-2.798221730404637508e-02,-2.662400511513840495e-01,0.000000000000000000e+00,-3.229261449754296520e-01,inf
9.200000000000007061e-01,5.835611189397088561e-01,-2.653723513638983622e-02,-2.998166564264833078e-01,0.000000000000000000e+00,-3.335110538854336171e-01,inf
9.400000000000007239e-01,5.845393978464862306e-01,-2.412717282918441786e-02,-3.409813274562317198e-01,0.000000000000000000e+00,-3.941026841117435953e-01,inf
9.600000000000007416e-01,5.855810271195371897e-01,-2.263732319445499463e-02,-3.681632084212806411e-01,0.000000000000000000e+00,-3.763707497601937457e-01,inf
9.800000000000007594e-01,5.868948529273093628e-01,-2.225487861248365284e-02,-3.779214826344742262e-01,0.000000000000000000e+00,-3.918501037876310766e-01,inf
1.000000000000000666e+00,5.883135692534970929e-01,-2.392984636123901554e-02,-3.623867538239869401e-01,0.000000000000000000e+00,-3.342596820955561210e-01,inf
1.019999999999998463e+00,5.904788601141148785e-01,-2.636325300537356586e-02,-3.310819205388616515e-01,0.000000000000000000e+00,-2.377170940507490060e-01,inf
