time,x,y,yaw
1.000000000000000021e-03,5.999999980173649217e-01,-7.328785782523272729e-06,1.247359858429884110e-04
2.000000000000000042e-03,5.999999718959628803e-01,-2.916557849796941326e-05,4.952279486559951153e-04
3.000000000000000062e-03,5.999998710760449105e-01,-6.511667296860146337e-05,1.106144500665667439e-03
4.000000000000000083e-03,5.999996099912904279e-01,-1.147970288568056496e-04,1.952462928171428899e-03
5.000000000000000104e-03,5.999990739763769731e-01,-1.778054927653593964e-04,3.029449326556953384e-03
6.000000000000000125e-03,5.999981222457964058e-01,-2.537268118615321200e-04,4.332637246640942338e-03
7.000000000000000146e-03,5.999965908154792915e-01,-3.421335343886111602e-04,5.857805397146535926e-03
8.000000000000000167e-03,5.999942953474973750e-01,-4.425878024583163040e-04,7.600954910142901193e-03
9.000000000000001055e-03,5.999910338933263088e-01,-5.546430456120909902e-04,9.558286623098202414e-03
1.000000000000000194e-02,5.999865895080288558e-01,-6.778455892005874617e-04,1.172617876059149633e-02
1.100000000000000283e-02,5.999807327285329173e-01,-8.117361837816083892e-04,1.410116534789204734e-02
1.200000000000000372e-02,5.999732240697567276e-01,-9.558513642298205326e-04,1.667991593659950283e-02
1.300000000000000461e-02,5.999638162678451181e-01,-1.109724783974530560e-03,1.945921657414511480e-02
1.400000000000000550e-02,5.999522564022463644e-01,-1.272888451391007703e-03,2.243595208287925760e-02
1.500000000000000638e-02,5.999382878143699749e-01,-1.444873926926437679e-03,2.560709000782767850e-02
1.600000000000000727e-02,5.999216519260591740e-01,-1.625213420838766964e-03,2.896966620977257587e-02
1.700000000000000816e-02,5.999020898980558236e-01,-1.813440827774348563e-03,3.252077212145283031e-02
1.800000000000000905e-02,5.998793441386767178e-01,-2.009092696221237428e-03,3.625754364699092930e-02
1.900000000000000994e-02,5.998531596652865172e-01,-2.211709135372774693e-03,4.017715165352179346e-02
2.000000000000001082e-02,5.998232853223652850e-01,-2.420834661612858429e-03,4.427679397923922622e-02
2.100000000000001171e-02,5.997894748610115290e-01,-2.636018986553245735e-03,4.855368886330328065e-02
2.200000000000001260e-02,5.997514878855865206e-01,-2.856817748326634376e-03,5.300506968973638794e-02
2.300000000000001349e-02,5.997090906739134253e-01,-3.082793187659249590e-03,5.762818092895825167e-02
2.400000000000001438e-02,5.996620568779832405e-01,-3.313514770116043895e-03,6.242027515630407114e-02
2.500000000000001527e-02,5.996101681125161065e-01,-3.548559755826130591e-03,6.737861102606623742e-02
2.600000000000001615e-02,5.995532144389760232e-01,-3.787513717944557268e-03,7.250045208164580812e-02
2.700000000000001704e-02,5.994909947527697902e-01,-4.029971011093869127e-03,7.778306628668923972e-02
2.800000000000001793e-02,5.994233170813692002e-01,-4.275535191034851579e-03,8.322372616806573975e-02
2.900000000000001882e-02,5.993499988010163593e-01,-4.523819386849425861e-03,8.881970946872479178e-02
3.000000000000001971e-02,5.992708667795005884e-01,-4.774446626959194528e-03,9.456830021644067885e-02
3.100000000000002059e-02,5.991857574522546637e-01,-5.027050120360032626e-03,1.004667901228486204e-01
3.200000000000002148e-02,5.990945168387242781e-01,-5.281273494508298416e-03,1.065124802357151484e-01
3.300000000000002237e-02,5.989970005056207691e-01,-5.536770991353578975e-03,1.127026827758331046e-01
3.400000000000002326e-02,5.988930734832950131e-01,-5.793207623070062429e-03,1.190347230981102650e-01
3.500000000000002415e-02,5.987826101410745894e-01,-6.050259289087256409e-03,1.255059417241982944e-01
3.600000000000002504e-02,5.986654940270002001e-01,-6.307612856067235096e-03,1.321136964012936121e-01
3.700000000000002592e-02,5.985416176769864371e-01,-6.564966202509070481e-03,1.388553641484744361e-01
3.800000000000002681e-02,5.984108825670853005e-01,-6.822028356014420147e-03,1.457283406159976535e-01
3.900000000000002770e-02,5.982732007733321256e-01,-7.078522089541627871e-03,1.527300068920521559e-01
4.000000000000002859e-02,5.981285022331372936e-01,-7.334187122684188154e-03,1.598575848006111022e-01
4.100000000000002948e-02,5.979767342581030487e-01,-7.588783436313306652e-03,1.671081015236421663e-01
4.200000000000003036e-02,5.978178607732221872e-01,-7.842090834919324127e-03,1.744785789802662246e-01
4.300000000000003125e-02,5.976518570110459505e-01,-8.093909539312882373e-03,1.819660584375523138e-01
4.400000000000003214e-02,5.974787095591318486e-01,-8.344059248104662707e-03,1.895676050931934808e-01
4.500000000000003303e-02,5.972984165840177218e-01,-8.592316560471990883e-03,1.972798246647161635e-01
4.600000000000003392e-02,5.971110046167432683e-01,-8.838345388422041982e-03,2.050968834734949731e-01
4.700000000000003481e-02,5.969165270887005770e-01,-9.081725948337282528e-03,2.130118034578777630e-01
4.800000000000003569e-02,5.967150645160114175e-01,-9.322065409712809725e-03,2.210176302570560358e-01
4.900000000000003658e-02,5.965067102464260973e-01,-9.559007422897780604e-03,2.291075124884109915e-01
5.000000000000003747e-02,5.962915715351101431e-01,-9.792223700936575348e-03,2.372747139294623664e-01
5.100000000000003836e-02,5.960697681595136244e-01,-1.002141320587257578e-02,2.455126247299375675e-01
5.200000000000003925e-02,5.958414701534074931e-01,-1.024623700268939563e-02,2.538136854303835177e-01
5.300000000000004013e-02,5.956068985133585736e-01,-1.046631027806294023e-02,2.621681281296940891e-01
5.400000000000004102e-02,5.953663245457967435e-01,-1.068121096463131581e-02,2.705658327241197703e-01
5.500000000000004191e-02,5.951200364111758345e-01,-1.089055832896057563e-02,2.789969012453536457e-01
5.600000000000004280e-02,5.948683396937204382e-01,-1.109400902422152946e-02,2.874516716357443102e-01
5.700000000000004369e-02,5.946115561791981419e-01,-1.129125175315121021e-02,2.959207300361239579e-01
5.800000000000004458e-02,5.943500217213630865e-01,-1.148200565002216456e-02,3.043949216358285970e-01
5.900000000000004546e-02,5.940840841464933852e-01,-1.166601863118704729e-02,3.128653601382652694e-01
6.000000000000004635e-02,5.938141012072772895e-01,-1.184306573097998472e-02,3.213234359032893228e-01
6.100000000000004724e-02,5.935404385952791628e-01,-1.201294743785163988e-02,3.297608228331482816e-01
6.200000000000004813e-02,5.932634680194560639e-01,-1.217548804378765226e-02,3.381694840722593853e-01
6.300000000000004208e-02,5.929835653566838394e-01,-1.233053401831746276e-02,3.465416765930068865e-01
6.400000000000004297e-02,5.927011088789717608e-01,-1.247795241679466871e-02,3.548699547404294274e-01
6.500000000000004385e-02,5.924164775609734868e-01,-1.261762933112542395e-02,3.631471728084382788e-01
6.600000000000004474e-02,5.921300494705342699e-01,-1.274946838975204999e-02,3.713664867193584573e-01
6.700000000000004563e-02,5.918422002443283203e-01,-1.287338931247500318e-02,3.795213548773944678e-01
6.800000000000004652e-02,5.915533016501344221e-01,-1.298932652462436721e-02,3.876055382653722514e-01
6.900000000000004741e-02,5.912637202369682710e-01,-1.309722783418032499e-02,3.956130998530948961e-01
7.000000000000004829e-02,5.909738160741477841e-01,-1.319705317470731831e-02,4.035384033852303376e-01
7.100000000000004918e-02,5.906839415804336912e-01,-1.328877341642009657e-02,4.113761116172816035e-01
